,https://roic.ai/company/WSTRF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
45,Total Non-Current Assets,690000,6640000,11850000,12860000,13820000,110000,30000,- -,- -,2200000,23220370,21953620,21953700,22058800,22056810,22055327
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,690000,6700000,31300000,22060000,18010000,1510000,460000,290000,170000,2500000,23573160,23067170,22639040,23194410,24434570,22846173
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404020,347017
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,503979,1541193,183125,487450,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,44620,24620,64620
52,Other Current Liabilities,170000,10000,1260000,800000,220000,260000,460000,580000,500000,186021,1523397,985885,602020,493320,270370,216834
53,Total Current Liabilities,170000,10000,1260000,800000,220000,260000,460000,580000,500000,690000,3064590,1169010,1129470,537940,699010,628471
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,420000,449980,468370,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,47720,23100,108480
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4063330,2708887,2708887,2708887,2708887
57,Other Non-Current Liabilities,- -,1750000,2070000,2010000,2040000,- -,- -,- -,- -,120000,4283470,559660,587163,577003,570273,626969
58,Total Non-Current Liabilities,- -,1750000,2070000,2010000,2040000,- -,- -,- -,- -,540000,4733450,5091360,3356050,3333610,3302260,3444336
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,170000,1760000,3330000,2810000,2260000,260000,460000,580000,500000,1230000,7798040,6260370,4485520,3871550,4001270,4072807
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,23050000,18880000,17830000,19800000,19510000,20320000,19290000,2320000,17658040,20927360,22657530,25865370,29042550,29886367
64,Retained Earnings,- -,- -,4920000,360000,-4470000,-27070000,-27820000,-31050000,-29470000,-1050000,-1951560,-4125860,-4540140,-6584340,-8694570,-11087459
65,Other Comprehensive Income/Loss,- -,- -,-60000,-180000,-340000,-240000,-210000,-230000,- -,- -,68644,33728,36134,41832,85318,-25542
66,Other Total Stockholders Equity,510000,4940000,60000,190000,2720000,8760000,- -,10670000,9850000,-1209,-2,-28424,-4,-5,-2,- -
67,Total Stockholders Equity,510000,4940000,27970000,19250000,15740000,1250000,- -,-290000,-330000,1268791,15775122,16806804,18153520,19322857,20433296,18773366
68,Total Liabilities And Stockholders Equity,680000,6700000,31300000,22060000,18000000,1510000,460000,290000,170000,2498791,23573162,23067174,22639040,23194407,24434566,22846173
69,Minority Interest,10000,- -,- -,- -,10000,- -,- -,- -,- -,1209,-2,-4,- -,3,4,- -
70,Total Liabilities & Equity,690000,6700000,31300000,22060000,18010000,1510000,460000,290000,170000,2500000,23573160,23067170,22639040,23194410,24434570,22846173
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1621906/000121390017003160/0001213900-17-003160-index.html,https://www.sec.gov/Archives/edgar/data/1621906/000121390018003919/0001213900-18-003919-index.html,https://www.sec.gov/Archives/edgar/data/1621906/000121390019005519/0001213900-19-005519-index.html,https://www.sec.gov/Archives/edgar/data/1621906/000121390020009198/0001213900-20-009198-index.htm,https://www.sec.gov/Archives/edgar/data/1621906/000121390021021730/0001213900-21-021730-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-40000,-200000,-1090000,-5240000,-4120000,5160000,-1410000,-550000,-480000,-1050000,-1590000,-2170000,-414290,-2044200,-2110230,-2392890
74,Depreciation and Amortization,- -,- -,20000,50000,50000,110000,50000,30000,- -,- -,- -,- -,- -,- -,6610,10628
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1354440,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152322,209435,180269,204808
77,Change in Working Capital,- -,220000,18140000,-9790000,-4430000,-2830000,-1170000,-260000,-40000,-60000,-2321800,2656340,-388670,1041800,1081080,-1516375
78,Accounts Receivable,- -,- -,-1120000,220000,830000,10000,30000,10000,-10000,10000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84553,-76445,- -,-110543
81,Other Working Capital,-170000,50000,18190000,8400000,3970000,1140000,-30000,-290000,-330000,-390000,-2711800,-55460,-444130,597670,1678750,162375
82,Other Non-Cash Items,- -,-70000,-17610000,14440000,7680000,-3810000,2150000,450000,70000,70000,2712490,-2424360,339348,-852305,-942269,2180203
83,Cash Provided by Operating Activities,-40000,-50000,-540000,-540000,-820000,-1370000,-380000,-330000,-450000,-1040000,-1199310,-1938020,-1665730,-1645270,-1784540,-1513626
84,CAPEX,-490000,-1420000,-3360000,-4790000,-2310000,- -,- -,- -,- -,-530000,-19810,-19810,- -,-36500,-71042,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-16320000,13700000,270000,-3770000,210000,120000,40000,- -,-358884,-358884,-34916,- -,- -,- -
89,Cash Used for Investing Activites,-490000,-1420000,-19680000,8910000,-2040000,-3770000,210000,120000,40000,-526781,-378694,- -,- -,-36502,-71042,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-253346,-90000,-185564,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1353793,2890269,1437396,2996911,- -
92,Common Stock Repurchased,- -,- -,22910000,- -,- -,960000,150000,210000,410000,1500000,1353790,2890270,1437400,2765500,2996910,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,530000,1530000,-1670000,- -,-2190000,- -,- -,- -,- -,236241,194955,-1440448,-2957408,-1751833,-2996910,73116
95,Cash Used/Provided by Financing Activities,530000,1530000,21240000,- -,-2190000,960000,150000,210000,410000,1736241,1548745,2550269,1280261,2265499,2996911,73116
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70830,-34916,20756,-32291,42224,-69873
97,Net Change In Cash,- -,70000,1020000,8370000,-5050000,-4190000,-20000,- -,10000,170000,41570,577330,-580690,551440,1183550,-1510383
98,Cash at the End of Period,- -,70000,1080000,9540000,3250000,-70000,- -,- -,10000,180000,211570,791810,211120,978460,2093420,1472061
99,Cash at the Beginning of Period,- -,- -,60000,1170000,8300000,4120000,20000,- -,- -,10000,170000,214480,791810,427020,909870,2982444
100,Free Cash Flow,-530000,-1470000,-3900000,-5330000,-3130000,-1370000,-380000,-330000,-450000,-1570000,-1219120,-1938020,-1665730,-1681770,-1855580,-1513626
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1621906/000121390017003160/0001213900-17-003160-index.html,https://www.sec.gov/Archives/edgar/data/1621906/000121390018003919/0001213900-18-003919-index.html,https://www.sec.gov/Archives/edgar/data/1621906/000121390019005519/0001213900-19-005519-index.html,https://www.sec.gov/Archives/edgar/data/1621906/000121390020009198/0001213900-20-009198-index.htm,https://www.sec.gov/Archives/edgar/data/1621906/000121390021021730/0001213900-21-021730-index.htm
102,false,,,,,,,,,,,,,,,,
