,https://roic.ai/company/LBRT,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,134051000,228972000,392766000,1136000,1126000,1795000,1860000
64,Retained Earnings,- -,- -,- -,119274000,143105000,23288000,-155954000
65,Other Comprehensive Income/Loss,-77057000,-117779000,-198453000,-307277000,-455687000,- -,-306000
66,Other Total Stockholders Equity,77057000,117779000,198453000,619936000,866283000,1125554000,1367642000
67,Total Stockholders Equity,134051000,228972000,392766000,433069000,554827000,1150637000,1213242000
68,Total Liabilities And Stockholders Equity,296971000,451845000,852103000,808756000,1056764000,1730536000,2023463000
69,Minority Interest,- -,- -,- -,307745000,226665000,159406000,17197000
70,Total Liabilities & Equity,296971000,451845000,852103000,1116501000,1283429000,1889942000,2040660000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1694028/000162828018003509/0001628280-18-003509-index.htm,https://www.sec.gov/Archives/edgar/data/1694028/000169402819000015/0001694028-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1694028/000169402820000019/0001694028-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1694028/000169402821000007/0001694028-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1694028/000169402822000006/0001694028-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-9061000,-60560000,168501000,126349000,39003000,-115583000,-179244000
74,Depreciation and Amortization,36436000,41362000,81473000,125110000,165379000,180084000,- -
75,Deferred Income Tax,- -,- -,- -,20488000,23286000,-25003000,-13960000
76,Stock Based Compensation,- -,- -,- -,5450000,13592000,17139000,19946000
77,Change in Working Capital,-34125000,10592000,89228000,109961000,-19006000,-11492000,46909000
78,Accounts Receivable,5886000,-16478000,-100180000,11978000,-6002000,62686000,-90142000
79,Inventory,3729000,-11687000,-27639000,-4610000,-30476000,2137000,-24612000
80,Accounts Payable,-24557000,38573000,112896000,-26498000,21386000,-15282000,164458000
81,Other Working Capital,31704000,42296000,131524000,241485000,222479000,210987000,3452000
82,Other Non-Cash Items,12869000,-32102000,-144093000,-36100000,38846000,40280000,261816000
83,Cash Provided by Operating Activities,6119000,-40708000,195109000,351258000,261100000,85425000,135467000
84,CAPEX,-38492000,-102428000,-311794000,-258835000,-195173000,-103637000,-198794000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-13106000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-96351000,-310043000,-255492000,-194347000,-100269000,25406000
89,Cash Used for Investing Activites,-38492000,-96351000,-310043000,-255492000,-194347000,-100269000,-186494000
90,Debt Repayment,-58465000,-91225000,-216116000,-92847000,-13893000,-13413000,-265113000
91,Common Stock Issued,- -,155481000,39794000,230174000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-62739000,-108800000,-18398000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-14776000,-4431000,-168000
94,Other Financing Activites,79950000,84287000,358832000,-37302000,-10308000,-11024000,267337000
95,Cash Used/Provided by Financing Activities,21485000,148543000,119771000,-8775000,-57375000,-28868000,2056000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-9000
97,Net Change In Cash,21485000,148543000,4837000,86991000,9378000,-43712000,-48980000
98,Cash at the End of Period,- -,11484000,16321000,103312000,112690000,68978000,19998000
99,Cash at the Beginning of Period,10888000,- -,11484000,16321000,103312000,112690000,68978000
100,Free Cash Flow,-32373000,-143136000,-116685000,92423000,65927000,-18212000,-63327000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1694028/000162828018003509/0001628280-18-003509-index.htm,https://www.sec.gov/Archives/edgar/data/1694028/000169402819000015/0001694028-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1694028/000169402820000019/0001694028-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1694028/000169402821000007/0001694028-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1694028/000169402822000006/0001694028-22-000006-index.htm
102,false,,,,,,,
