,https://roic.ai/company/LWAY,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
14,Depreciation and Amortization,- -,100000,100000,200000,200000,200000,200000,200000,300000,400000,400000,609520,777350,807680,688309,669994,650945,758754,1049913,1092995,1811190,2118282,2336794,2384411,2339378,3251614,3129000,3020000,3112000,3477000,3338000,3239000
15,EBITDA,100000,200000,400000,400000,300000,500000,800000,1200000,1500000,1700000,1500000,2062910,2588864,3279702,4264796,4112220,4734010,5399653,6015112,3983678,10702845,8915731,7417394,11386907,10399916,7727139,7357000,8877000,2550000,437000,4822000,8185000
16,EBITDA ratio,0.0909,0.1333,0.1667,0.1667,0.1000,0.1429,0.1778,0.2264,0.2500,0.2500,0.1899,0.2248,0.2423,0.2686,0.2867,0.2520,0.2352,0.1948,0.1553,0.0896,0.1842,0.1524,0.1060,0.1400,0.1066,0.0650,0.0620,0.0717,0.0214,0.0042,0.0515,0.0802
17,Operating Income,100000,100000,400000,100000,200000,300000,700000,1000000,1100000,1300000,1000000,1162103,1437244,2577646,3478644,2950451,3401362,4230126,-9453051,4190994,8938668,6274632,5076491,8844711,8031312,4235479,4403000,6085000,-526000,-3110000,-1933000,4923000
18,Operating Income ratio,0.0909,0.0667,0.1667,0.0417,0.0667,0.0857,0.1556,0.1887,0.1833,0.1912,0.1266,0.1266,0.1345,0.2111,0.2338,0.1808,0.1690,0.1526,-0.2441,0.0943,0.1538,0.1073,0.0726,0.1087,0.0824,0.0356,0.0371,0.0491,-0.0044,-0.0301,-0.0206,0.0483
19,Total Other Income Expenses (Gains),100000,- -,-100000,100000,- -,- -,-100000,- -,100000,- -,100000,291287,374270,-105624,97843,491775,681703,410773,14418250,-1598930,-489716,171820,-243233,-19837,-174139,-36849,-411000,-448000,-278000,-201000,3168000,-95000
20,Income Before Tax,- -,- -,300000,200000,- -,300000,600000,1000000,1200000,1300000,1100000,1453390,1811514,2472022,3576487,3442226,4083065,4640899,4965199,2592064,8448952,6446452,4833258,8824874,7857173,4198630,3992000,5637000,-804000,-3311000,1235000,4828000
21,Income Before Tax Ratio,- -,- -,0.1250,0.0833,- -,0.0857,0.1333,0.1887,0.2000,0.1912,0.1392,0.1584,0.1696,0.2024,0.2404,0.2109,0.2028,0.1674,0.1282,0.0583,0.1454,0.1102,0.0691,0.1085,0.0806,0.0353,0.0337,0.0455,-0.0068,-0.0320,0.0132,0.0473
22,Income Tax expense (Gain),- -,- -,100000,100000,- -,100000,200000,400000,500000,500000,400000,526290,590587,943338,1354548,1390167,1534592,1745075,1812539,679789,2879250,2823986,1977837,3205076,2866875,2242226,2020000,2158000,-458000,-225000,782000,1596000
23,Net Income,- -,- -,200000,100000,100000,200000,400000,600000,700000,800000,700000,927100,1220927,1528684,2221939,2052059,2548473,2895824,3152660,1912275,5569702,3622466,2855421,5619798,4990298,1956404,1972000,3479000,-346000,-3086000,453000,3232000
24,Net Income ratio,- -,- -,0.0833,0.0417,0.0333,0.0571,0.0889,0.1132,0.1167,0.1176,0.0886,0.1010,0.1143,0.1252,0.1493,0.1257,0.1266,0.1045,0.0814,0.0430,0.0958,0.0619,0.0408,0.0691,0.0512,0.0164,0.0166,0.0281,-0.0029,-0.0299,0.0048,0.0317
25,EPS,- -,0.00,0.01,0.01,0.01,0.01,0.03,0.04,0.05,0.05,0.04,0.05,0.07,0.09,0.13,0.12,0.15,0.17,0.19,0.11,0.33,0.22,0.17,0.34,0.30,0.17,0.12,0.22,-0.02,-0.19,0.03,0.21
26,EPS Diluted,- -,0.00,0.01,0.01,0.01,0.01,0.03,0.04,0.05,0.05,0.04,0.05,0.07,0.09,0.13,0.12,0.15,0.17,0.19,0.11,0.33,0.22,0.17,0.34,0.30,0.17,0.12,0.22,-0.02,-0.19,0.03,0.21
27,Weighted Average Shares Outstanding,14928000,14928000,16000000,13333333,13333333,13333333,15141508,15109540,15104408,15125420,15732020,17273776,17272632,17063044,16873776,16878318,16808992,16829601,16855611,16765080,16798164,16663557,16442948,16373224,16346017,16346017,16331000,16155000,16105000,15872000,15748000,15597000
28,Weighted Average Shares Outstanding Diluted,14928000,14928000,16000000,13333333,13333333,13333333,15141508,15109540,15104408,15125420,15732020,17273776,17272632,17063044,16873776,16878318,16808992,16829601,16855611,16765080,16798164,16663557,16442948,16373224,16346017,16346017,16331000,16160000,16105000,16319000,15804000,15766000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814586/000095013496001134/0000950134-96-001134-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814586/000095013707005032/0000950137-07-005032-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261308000846/0001072613-08-000846-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261309000654/0001072613-09-000654-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261310000413/0001072613-10-000413-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261311000355/0001072613-11-000355-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261312000279/0001072613-12-000279-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261313000192/0001072613-13-000192-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261314000203/0001072613-14-000203-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261315000376/0001072613-15-000376-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261316000724/0001072613-16-000724-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316817000864/0001683168-17-000864-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316818000821/0001683168-18-000821-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316819001051/0001683168-19-001051-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316820001179/0001683168-20-001179-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316821001046/0001683168-21-001046-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,600000,400000,600000,500000,500000,700000,1000000,600000,600000,4600000,1437101,936949,2731656,4597819,5773285,4354081,1547812,595885,277248,630407,3229939,1115150,2286226,3306608,3260244,5646000,8812000,4978000,2998000,3836000,7926000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,4850357,5754986,4171594,6302606,6741987,7478697,8491363,6989474,5262168,5044130,1079232,1695044,2319888,2531753,2929105,2729000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,600000,600000,400000,600000,500000,500000,700000,1000000,600000,600000,6200000,6287458,6691935,6903250,10900425,12515272,11832778,10039175,7585359,5539416,5674537,4309171,2810194,4606114,5838361,6189349,8375000,8812000,4978000,2998000,3836000,7926000
34,Net Receivables,100000,100000,200000,300000,400000,600000,600000,600000,800000,900000,1000000,1181660,1369228,1495472,1965908,2096173,2574050,4281538,4493653,5162595,7308716,7804704,8215796,8817390,11563058,11488675,10098000,9903000,11023000,9024000,7373000,8033000
35,Inventory,100000,100000,100000,100000,100000,100000,300000,400000,600000,900000,800000,920011,800773,720503,811572,905697,1716999,2522196,3506554,3097542,3296976,3985374,4954475,5939186,6899008,5814219,7664000,8042000,7697000,5817000,6392000,6930000
36,Other Current Assets,- -,- -,100000,100000,- -,300000,400000,300000,300000,300000,100000,166660,594229,693538,334000,265877,163478,44217,333213,942875,341911,736785,718320,331825,450394,660262,712000,1447000,983000,1077000,1598000,1163000
37,Total Current Assets,800000,800000,800000,1100000,1000000,1500000,2000000,2300000,2300000,2700000,8100000,8555789,9456165,9812763,14011905,15783019,16287305,16887126,15918779,14742428,16622140,16836034,16698785,19694515,24750821,24152505,26849000,28204000,24681000,18916000,19199000,24052000
38,PP&E,1100000,1100000,1200000,2000000,1900000,1900000,1700000,2900000,3900000,4100000,4500000,5019615,5020865,4472349,3732731,3420138,7751446,8580716,9678948,11062714,14282182,15152713,15198822,14986776,20824448,21892395,21375000,21832000,24645000,24573000,23012000,21393000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3952425,5414858,5414858,13806091,14068091,14068091,14068091,14068091,14068091,10368000,10368000,10368000,9124000,9124000,9124000
40,Intangible Assets,- -,- -,200000,200000,200000,200000,100000,100000,- -,- -,- -,- -,- -,- -,- -,484810,426006,3578928,3255662,2936216,6259430,6001893,5218060,4463244,3750441,3059764,6044000,5347000,4675000,4044000,3852000,3700000
41,Intangible Assets,- -,- -,200000,200000,200000,200000,100000,100000,- -,- -,- -,- -,- -,- -,- -,484810,426006,7531353,8670520,8351074,20065521,20069984,19286151,18531335,17818532,17127855,16412000,15715000,15043000,13168000,12976000,12824000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,300000,- -,- -,100000,-100000,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,500000,500000,500000,- -,289550,294000,280000,251683,282000,125000,150000,150000,1800000,1800000
45,Total Non-Current Assets,1100000,1400000,1400000,2200000,2200000,2000000,1800000,3000000,3900000,4200000,4600000,5019615,5020865,4472349,3732731,3904948,8177452,16112069,18849468,19913788,34847703,35222697,34774523,33812111,38922980,39271933,38069000,37672000,39838000,37891000,37788000,36017000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1900000,2200000,2200000,3300000,3200000,3500000,3800000,5300000,6200000,6900000,12700000,13575404,14477030,14285112,17744636,19687967,24464757,32999195,34768247,34656216,51469843,52058731,51473308,53506626,63673801,63424438,64918000,65876000,64519000,56807000,56987000,60069000
48,Accounts Payable,- -,100000,100000,200000,200000,400000,200000,200000,400000,500000,500000,517625,543401,639398,795321,641651,426253,1463014,1594330,2260272,2764000,4183481,4386239,4256725,6723179,5586755,7138000,5718000,6848000,4570000,5282000,5592000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,100000,700000,100000,100000,705855,90249,31128,28289,8784,532454,1131336,1136126,928444,4842315,4192820,2132756,542981,875002,872285,840000,840000,3166000,- -,285000,179000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,913164,783920,1223041,1288000,1048000,2782000,504000,552000,994000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1764000
52,Other Current Liabilities,100000,300000,200000,400000,200000,200000,400000,300000,400000,200000,200000,307024,740426,581435,183600,231755,355011,480101,414039,458282,957320,509459,553725,1409988,1284060,2066076,2845000,2823000,3187000,2883000,3956000,906000
53,Total Current Liabilities,100000,400000,300000,600000,400000,600000,600000,600000,1500000,800000,800000,1530504,1374076,1251961,1007210,882190,1313718,3074451,3144495,3646998,8563635,8885760,7072720,6209694,8882241,8525116,10823000,9381000,13201000,7453000,9523000,8441000
54,Long-Term Debt,300000,300000,300000,800000,800000,800000,700000,1500000,- -,1300000,1200000,- -,1116410,500377,472509,463541,2903349,5746718,4096797,3108014,6890214,6122225,5539836,4955945,8999012,8124515,7119000,6279000,3113000,5995000,2745000,2768000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,100000,- -,- -,- -,100000,200000,200000,375558,436265,452856,471953,424039,348923,449619,1712795,1607155,3444664,3401728,3503595,3028518,2843426,2075095,1719000,1854000,840000,390000,922000,1764000
57,Other Non-Current Liabilities,100000,100000,- -,100000,100000,100000,- -,100000,700000,- -,100000,529322,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775000,564000,546000,242000
58,Total Non-Current Liabilities,400000,400000,300000,900000,1000000,900000,700000,1600000,800000,1500000,1500000,904880,1552675,953233,944462,887580,3252272,6196337,5809592,4715169,10334878,9523953,9043431,7984463,11842438,10199610,8838000,8133000,4728000,6949000,4213000,4774000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,773000,344000
61,Total Liabilities,500000,800000,600000,1500000,1400000,1500000,1300000,2200000,2300000,2300000,2300000,2435384,2926751,2205194,1951672,1769770,4565990,9270788,8954087,8362167,18898513,18409713,16116151,14194157,20724679,18724726,19661000,17514000,17929000,14402000,13736000,13215000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,6509267,6509267,6509267,6509267,6509267,6509267,- -,- -,- -,- -,- -,- -,6509267,6509267,6509267,6509000,6509000,6509000,6509000,6509000,6509000
64,Retained Earnings,100000,100000,300000,400000,500000,700000,1200000,1800000,2500000,3200000,3900000,4850866,6071793,7600477,9822416,11874475,14422948,17318772,20471432,22383707,27953409,31575875,34431296,38904777,42587214,44543618,46516000,49995000,49649000,46563000,46963000,50195000
65,Other Comprehensive Income/Loss,-100000,-200000,-300000,-400000,-500000,-700000,-900000,-1100000,-1300000,-1700000,-2100000,-2701362,-3478712,-1349870,141237,119180,-99514,153770,-209043,-498909,-10359,-43094,-8948,53591,7807,-198007,-71000,- -,-25219000,-26707000,-29284000,- -
66,Other Total Stockholders Equity,1400000,1500000,1600000,1800000,1800000,2000000,2200000,2400000,2700000,3100000,2100000,2481249,2447931,-679956,-679956,-584725,-933934,13278988,12938729,12284058,15718002,14566969,14970437,-6155166,-6155166,-6155166,-7697000,-8142000,15651000,16040000,19063000,-9850000
67,Total Stockholders Equity,1400000,1400000,1600000,1800000,1800000,2000000,2500000,3100000,3900000,4600000,10400000,11140020,11550279,12079918,15792964,17918197,19898767,23728407,25814160,26294049,32571330,33649018,35357157,39312469,42949122,44699712,45257000,48362000,46590000,42405000,43251000,46854000
68,Total Liabilities And Stockholders Equity,1900000,2200000,2200000,3300000,3200000,3500000,3800000,5300000,6200000,6900000,12700000,13575404,14477030,14285112,17744636,19687967,24464757,32999195,34768247,34656216,51469843,52058731,51473308,53506626,63673801,63424438,64918000,65876000,64519000,56807000,56987000,60069000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1900000,2200000,2200000,3300000,3200000,3500000,3800000,5300000,6200000,6900000,12700000,13575404,14477030,14285112,17744636,19687967,24464757,32999195,34768247,34656216,51469843,52058731,51473308,53506626,63673801,63424438,64918000,65876000,64519000,56807000,56987000,60069000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814586/000095013496001134/0000950134-96-001134-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814586/000095013707005032/0000950137-07-005032-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261308000846/0001072613-08-000846-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261309000654/0001072613-09-000654-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261310000413/0001072613-10-000413-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261311000355/0001072613-11-000355-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261312000279/0001072613-12-000279-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261313000192/0001072613-13-000192-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261314000203/0001072613-14-000203-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261315000376/0001072613-15-000376-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000107261316000724/0001072613-16-000724-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316817000864/0001683168-17-000864-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316818000821/0001683168-18-000821-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316819001051/0001683168-19-001051-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316820001179/0001683168-20-001179-index.htm,https://www.sec.gov/Archives/edgar/data/814586/000168316821001046/0001683168-21-001046-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,200000,100000,100000,200000,400000,600000,700000,800000,700000,927100,1220927,1528684,2221939,2052059,2548473,2895824,3152660,1912275,5569702,3622466,2855421,5619798,4990298,1956404,1972000,3479000,-346000,-3086000,453000,3232000
74,Depreciation and Amortization,- -,100000,100000,200000,200000,200000,200000,200000,300000,400000,400000,609520,777350,807680,688309,669994,650945,758754,1049913,1092995,1811190,2118282,2336794,2384411,2339378,3251614,3129000,3020000,3112000,3477000,3338000,3239000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,149870,47952,-64581,9084,45560,-100236,33031,-223717,-509386,389754,-96918,68217,-434896,-238804,-719778,-585000,-531000,-352000,-451000,533000,841000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154245,- -,- -,- -,- -,- -,326000,596000,802000,838000,393000
77,Change in Working Capital,- -,-300000,100000,- -,100000,300000,500000,300000,-900000,1100000,5400000,-274715,1056804,478713,4443893,1896134,72758,-1160912,-1038391,-1678854,-3036925,-108231,1675791,3858756,2383759,-241191,398611,2797000,-7343000,-17000,-1787000,5935000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-626754,-612915,-811292,-1494790,-1213253,-1741759,54915,537000,292000,780000,2379000,-423000,-1304000
79,Inventory,- -,- -,- -,- -,- -,- -,-200000,-100000,-200000,-200000,- -,-76052,119238,80270,-91069,-94125,-811302,-585563,-984358,409012,173419,-682398,-969101,-984711,-959822,1084789,-1849000,-579000,-29000,1322000,-523000,-538000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,665942,298800,1419479,202758,-129514,2466454,-1136424,1551000,-2673000,1130000,-2278000,710000,311000
81,Other Working Capital,700000,400000,500000,500000,600000,900000,1400000,1700000,800000,1900000,7300000,7025285,8082089,8560802,13004695,14900829,14973587,13812675,12774284,11095430,8058505,7950274,9626065,13484821,15868580,15627389,16026000,18823000,11480000,11463000,9676000,15611000
82,Other Non-Cash Items,- -,200000,-100000,-100000,-200000,-200000,-700000,-400000,800000,-1500000,-5600000,176915,-1306309,94831,-5505704,-2463578,-1579449,-369194,-593328,3916630,2869340,-73901,-2894202,-4800385,-3633503,845128,1830389,-3987000,8141000,1692000,436000,-7255000
83,Cash Provided by Operating Activities,- -,- -,300000,200000,200000,500000,400000,700000,900000,900000,1000000,1588690,1796724,2845327,1857521,2200169,1592491,2157503,2347137,4733660,7603061,5615943,4042021,6627684,5841128,5092177,6745000,5104000,3808000,2417000,3811000,6385000
84,CAPEX,- -,- -,-500000,-300000,-100000,-100000,- -,-1400000,-1300000,-600000,-800000,-1095942,-712798,-259164,-415064,-330411,-4916811,-680174,-1824879,-2157315,-1766280,-2229274,-1439133,-1428717,-8479886,-3684368,-1995000,-3237000,-5341000,-2824000,-1178000,-1895000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-511800,- -,-2551679,- -,- -,-11042546,-270000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-200000,- -,- -,-300000,-1800000,-8807854,-9246972,-3316411,-4283532,-6265671,-6460561,-7509692,-6244697,-5782452,-6156682,-2161552,-2434340,-1602927,-3518781,-3430122,-2124000,-559000,-25000,-500000,-15000,- -
87,Sales/Maturities of Investments,- -,- -,300000,- -,- -,- -,100000,100000,- -,200000,600000,5201892,7687102,4024827,3025285,6096652,5810391,7285071,7168246,5323423,6928321,5669158,1810816,1475730,3425013,2788570,1986000,3264000,- -,500000,1509000,- -
88,Other Investing Activites,- -,-300000,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,357145,-431795,1712660,- -,- -,- -,- -,- -,- -,402005,-50000,- -,710681,64593,353000,172000,50000,104000,522000,5000
89,Cash Used for Investing Activites,- -,-300000,-200000,-300000,-100000,-300000,-100000,-1300000,-1300000,-700000,-2000000,-4701904,-1915523,17457,39349,-1011230,-5566981,-3456474,-901330,-2616344,-12037187,1410337,-2112657,-1555914,-7862973,-4261327,-1780000,-360000,-5316000,-2720000,838000,-1890000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1196465,-4003588,-3008694,-4113555,-1831626,-624912,-877214,-1037000,-840000,-840000,-6279000,-3273000,- -
91,Common Stock Issued,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,5100000,- -,- -,- -,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-287033,-392923,- -,- -,-401554,-648634,-752603,-1239488,-905607,-2666288,-1181428,-580708,- -,- -,-1542000,-738000,-1486000,-1379000,-538000,-405000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1146317,-1307861,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,300000,-300000,300000,-300000,-200000,-200000,900000,-100000,-100000,-100000,-90608,-94320,-675154,-30707,-28473,2956840,-858664,-1645131,- -,9696480,1248234,1250830,-342040,4975000,- -,- -,- -,- -,5981000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,300000,-300000,400000,-300000,-200000,-200000,900000,-100000,-100000,5000000,-90608,-381353,-1068077,-30707,-13473,2555286,-1507298,-2397734,-2435953,4787285,-4426748,-4044153,-3900691,3042227,-877214,-2579000,-1578000,-2326000,-1677000,-3811000,-405000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,300000,-300000,400000,-300000,-200000,-200000,900000,-100000,-100000,4000000,-3203822,-500152,1794707,1866163,1175466,-1419204,-2806269,-951927,-318637,353159,2599532,-2114789,1171076,1020382,-46364,2386000,3166000,-3834000,-1980000,838000,4090000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,1437101,936949,2731656,4597819,5773285,4354081,1547812,595885,277248,630407,3229939,1115150,2286226,3306608,3260244,5646000,8812000,4978000,2998000,3836000,7926000
