,https://roic.ai/company/POSH,2018,2019,2020,2021
76,Stock Based Compensation,2606000,9687000,7959000,48239000
77,Change in Working Capital,22796000,30604000,50568000,21291000
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-3155000,-5776000,10161000,-10722000
81,Other Working Capital,66511000,-539000,-303000,- -
82,Other Non-Cash Items,322000,-398000,6058000,54278000
83,Cash Provided by Operating Activities,12051000,-6743000,84324000,28572000
84,CAPEX,-1636000,-4190000,-1465000,-1900000
85,Acquisitions Net,- -,- -,- -,-6576000
86,Purchases of Investments,-63124000,-92655000,-67929000,- -
87,Sales/Maturities of Investments,- -,91585000,107265000,26000000
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-64760000,-5260000,37871000,17524000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,293692000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,303000,889000,50248000,2770000
95,Cash Used/Provided by Financing Activities,303000,889000,50248000,296462000
96,Effect of Forex Changes on Cash,- -,-34000,73000,78000
97,Net Change In Cash,-52406000,-11148000,172516000,342636000
98,Cash at the End of Period,74466000,63318000,235834000,581538000
99,Cash at the Beginning of Period,126872000,74466000,63318000,238902000
100,Free Cash Flow,10415000,-10933000,82859000,26672000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1825480/000156459021014879/0001564590-21-014879-index.htm,https://www.sec.gov/Archives/edgar/data/1825480/000095017022005057/0000950170-22-005057-index.htm
102,false,,,,
