,https://roic.ai/company/AKU,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,8291,1468,123561,-1526534,2792652,-5751070,-30391000
23,Net Income,- -,-2733382,-1986369,-8503994,4999801,6451412,-20397384,-34814000
24,Net Income ratio,- -,-0.0780,-0.0428,-0.0806,0.0323,0.0261,-0.0812,-0.0827
25,EPS,- -,-0.05,-0.04,-0.27,0.09,0.10,-0.29,-0.56
26,EPS Diluted,- -,-0.05,-0.04,-0.27,0.08,0.09,-0.29,-0.56
27,Weighted Average Shares Outstanding,- -,51468474,51468474,31784608,58198966,66528051,70101618,76836032
28,Weighted Average Shares Outstanding Diluted,- -,51468474,51468474,31784608,59306094,68594989,70101618,76836032
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1776197/000119312522077287/0001193125-22-077287-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,3011994,7248063,12145481,19326412,23388916,44395988,48419000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3011994,7248063,12145481,19326412,23388916,44395988,48419000
34,Net Receivables,- -,5387535,5770549,12968010,29810501,82867225,91126923,121525000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,48010,218243,381144,1049285,3927949,3942268,15221000
37,Total Current Assets,- -,8447539,13236855,25494635,50186198,110184090,139465179,185165000
38,PP&E,- -,15734438,17942484,42002927,55567588,199624371,206991468,453687000
39,Goodwill,- -,13774882,17956368,100777451,130539869,342221551,360603613,840353000
40,Intangible Assets,- -,175054,201070,2264041,3668596,-212916361,6748073,414146000
41,Intangible Assets,- -,13949936,18157438,103041492,134208465,- -,367351686,1254499000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,44978,209335,815450,353575773,4876208,25475000
45,Total Non-Current Assets,- -,29684374,36144900,145253754,190591503,553200144,579219362,1733661000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,38131913,49381755,170748389,240777701,663384234,718684541,1918826000
48,Accounts Payable,- -,4499528,5207628,9946550,14895780,21707080,20400949,34326000
49,Short-Term Debt,- -,1300448,1522729,3545853,3718350,14646497,13016160,14789000
50,Tax Payable,- -,8213,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,7529962,- -,- -
52,Other Current Liabilities,- -,683990,2551175,4631988,1969697,4555145,18520746,115067000
53,Total Current Liabilities,- -,6483966,9281532,18124391,20583827,48438684,51937855,164182000
54,Long-Term Debt,- -,26957495,32292164,72218811,110463306,338314337,389580046,1197596000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,826566,- -
57,Other Non-Current Liabilities,- -,560344,334387,- -,3325832,- -,136608524,235900000
58,Total Non-Current Liabilities,- -,27517839,32626551,72218811,113789138,338314337,527015136,1433496000
59,Other Liabilities,- -,- -,- -,- -,- -,811663678,- -,- -
60,Capital Lease Obligations,- -,1517464,877004,2590998,4177015,137099780,147872898,- -
61,Total Liabilities,- -,34001805,41908083,90343202,134372965,521788025,578952991,1597678000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6570554,11004683,- -,123746423,151997555,160965034,228595000
64,Retained Earnings,- -,-2733382,-4719751,-13223745,-26640173,-20188761,-26759151,-123424000
65,Other Comprehensive Income/Loss,- -,- -,713560,- -,-20710601,734379,-50118449,18000
66,Other Total Stockholders Equity,- -,292936,475180,- -,27541887,6149186,50118449,178490000
67,Total Stockholders Equity,- -,4130108,7473672,74064604,103937536,138692359,134205883,283679000
68,Total Liabilities And Stockholders Equity,- -,38131913,49381755,164407806,238310501,660480384,713158874,1881357000
69,Minority Interest,- -,- -,- -,6340583,2467200,2903850,5525667,37469000
70,Total Liabilities & Equity,- -,38131913,49381755,170748389,240777701,663384234,718684541,1918826000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1776197/000119312522077287/0001193125-22-077287-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-2733382,-1986369,-8503994,4999801,6451412,-20397384,-34814000
74,Depreciation and Amortization,- -,3263447,3213062,6480341,9852034,28239882,20459767,44895000
75,Deferred Income Tax,- -,- -,- -,- -,-1755083,- -,-5430254,-30432000
76,Stock Based Compensation,- -,- -,713560,3242224,5702395,- -,2083914,2792000
77,Change in Working Capital,- -,-4280129,-1154020,22232127,32143035,25781918,-66544324,20619000
78,Accounts Receivable,- -,-6248875,-1686381,-3422908,-15523343,-25243156,-8259697,12308000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,4134000
81,Other Working Capital,- -,3955323,2801303,29602371,61745406,87527324,20983000,1002000
82,Other Non-Cash Items,- -,2746030,2619991,-17677916,-44523482,-60473212,96518834,13990000
83,Cash Provided by Operating Activities,- -,-1004034,3406224,5772782,6418700,- -,26690553,17050000
84,CAPEX,- -,-1154049,-1671131,-5183928,-9739344,-12447634,-13420375,-17867000
85,Acquisitions Net,- -,- -,-870373,-76307639,-53091902,-218659981,-3198634,-758114000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-463789,-3190000
89,Cash Used for Investing Activites,- -,-1154049,-2541504,-81491567,-62831246,-231107615,-17082798,-779171000
90,Debt Repayment,- -,- -,-119349,-1538510,-76043474,230544544,-373248971,-10339000
91,Common Stock Issued,- -,7750012,5593898,11176600,35698637,- -,- -,10505000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-2579935,-2103200,70978113,103938314,-15233598,384648288,765978000
95,Cash Used/Provided by Financing Activities,- -,5170077,3371349,80616203,63593477,215310946,11399317,766144000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,4236069,4897418,7180931,4062504,21007072,4023000
98,Cash at the End of Period,- -,3011994,7248063,12145481,19326412,- -,44395988,48419000
99,Cash at the Beginning of Period,- -,- -,3011994,7248063,12145481,- -,23388916,44396000
100,Free Cash Flow,- -,-2158083,1735093,588854,-3320644,- -,13270178,-817000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1776197/000119312522077287/0001193125-22-077287-index.htm
102,false,,,,,,,,
