,https://roic.ai/company/TMST,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1598428/000159842815000012/0001598428-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842816000075/0001598428-16-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842817000026/0001598428-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842818000027/0001598428-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842819000018/0001598428-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842820000017/0001598428-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000156459021008896/0001564590-21-008896-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000095017022001977/0000950170-22-001977-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,34500000,42400000,25600000,24500000,21600000,27100000,102000000,259600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,34500000,42400000,25600000,24500000,21600000,27100000,102000000,259600000
34,Net Receivables,- -,137700000,149400000,191100000,80900000,91600000,149800000,163400000,77500000,63000000,100500000
35,Inventory,- -,251600000,227000000,293800000,173900000,164200000,224000000,374500000,281900000,178000000,210900000
36,Other Current Assets,- -,6300000,6700000,31900000,20600000,9000000,11900000,9600000,15200000,14000000,11300000
37,Total Current Assets,- -,395600000,383100000,551300000,317800000,290400000,410200000,569100000,401700000,357000000,582300000
38,PP&E,- -,550100000,682600000,771900000,769300000,741900000,706700000,674400000,640700000,569000000,524700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,12200000,11200000,30300000,30600000,25000000,19900000,17800000,14300000,9000000,6700000
41,Intangible Assets,- -,12200000,11200000,30300000,30600000,25000000,19900000,17800000,14300000,9000000,6700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,100000,- -,75100000,32000000,- -,300000,800000,900000,- -,- -
44,Other Non-Current Assets,- -,2700000,1900000,-64500000,-7200000,12600000,19500000,13200000,27600000,- -,45200000
45,Total Non-Current Assets,- -,565100000,695700000,812800000,824700000,779500000,746400000,706200000,683500000,578000000,576600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,960700000,1078800000,1364100000,1142500000,1069900000,1156600000,1275300000,1085200000,935000000,1158900000
48,Accounts Payable,- -,86100000,86400000,120200000,49500000,87000000,135300000,160600000,69300000,89000000,141900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,6200000,46400000,50600000
50,Tax Payable,- -,- -,- -,300000,400000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,20000000,26000000,- -,- -,- -,- -,1000000,- -
52,Other Current Liabilities,- -,67400000,68500000,85300000,28700000,43700000,71500000,60200000,36800000,44600000,58300000
53,Total Current Liabilities,- -,153500000,154900000,225500000,104200000,130700000,206800000,220800000,112300000,181000000,250800000
54,Long-Term Debt,- -,30200000,30200000,185200000,200200000,136600000,165300000,189100000,168600000,13000000,8800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,70700000,86100000,75100000,26900000,- -,300000,800000,900000,- -,2200000
57,Other Non-Current Liabilities,- -,6500000,6800000,130200000,129200000,205200000,223500000,251700000,240300000,11000000,232500000
58,Total Non-Current Liabilities,- -,107400000,123100000,390500000,356300000,341800000,389100000,441600000,409800000,24000000,243500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,329000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,14400000,21000000,14500000
61,Total Liabilities,- -,260900000,278000000,616000000,460500000,472500000,595900000,662400000,522100000,486000000,494300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,29400000,-92600000,-193900000,-238000000,-191500000,-301500000,- -,-188200000
65,Other Comprehensive Income/Loss,- -,-600000,-400000,-297300000,-263800000,-9400000,-7600000,-8900000,44700000,40400000,20700000
66,Other Total Stockholders Equity,- -,700400000,801200000,1016000000,1038400000,800700000,806300000,813300000,819900000,466600000,- -
67,Total Stockholders Equity,- -,699800000,800800000,748100000,686400000,597400000,560700000,535200000,563100000,507500000,664600000
68,Total Liabilities And Stockholders Equity,- -,960700000,1078800000,1364100000,1146900000,1069900000,1156600000,1197600000,1085200000,993500000,1158900000
69,Minority Interest,- -,- -,- -,- -,-4400000,- -,- -,77700000,- -,-58500000,- -
70,Total Liabilities & Equity,- -,960700000,1078800000,1364100000,1142500000,1069900000,1156600000,1275300000,1085200000,935000000,1158900000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1598428/000159842815000012/0001598428-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842816000075/0001598428-16-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842817000026/0001598428-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842818000027/0001598428-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842819000018/0001598428-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842820000017/0001598428-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000156459021008896/0001564590-21-008896-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000095017022001977/0000950170-22-001977-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,167200000,155200000,89500000,46100000,-45000000,-105500000,-43800000,-10000000,-110000000,-61000000,171000000
74,Depreciation and Amortization,42600000,46200000,50000000,58000000,73400000,74900000,74900000,73000000,73500000,70000000,63100000
75,Deferred Income Tax,9300000,7100000,16000000,1400000,-41500000,-36800000,-300000,800000,-16600000,- -,1200000
76,Stock Based Compensation,2800000,2600000,2800000,6000000,7000000,6700000,6500000,7300000,7400000,6600000,7300000
77,Change in Working Capital,-89600000,-13900000,97600000,-112200000,-53900000,43700000,144900000,-58900000,-113400000,111000000,-14100000
78,Accounts Receivable,-37300000,102300000,-8900000,-17700000,86200000,-10700000,-58200000,-13600000,85900000,14200000,-37200000
79,Inventory,-70100000,44900000,29200000,-66800000,119900000,9700000,-59800000,-72800000,92600000,103500000,-41600000
80,Accounts Payable,1200000,-50200000,-9300000,16200000,-70700000,37500000,45700000,24400000,-87700000,23100000,53500000
81,Other Working Capital,242100000,228200000,325800000,213600000,159700000,203400000,348300000,289400000,176000000,287000000,1500000
82,Other Non-Cash Items,3300000,99400000,-80800000,94600000,167100000,91400000,-174100000,6300000,229400000,46900000,-31600000
83,Cash Provided by Operating Activities,135600000,296600000,175100000,93900000,107100000,74400000,8100000,18500000,70300000,173500000,196900000
84,CAPEX,-91300000,-167200000,-182800000,-129600000,-78200000,-42700000,-33000000,-40000000,-38000000,-16900000,-12200000
85,Acquisitions Net,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-90600000,-167000000,-183600000,-129600000,-77800000,-42700000,-33000000,-39000000,-38000000,-6000000,-11000000
89,Cash Used for Investing Activites,-90400000,-167000000,-183600000,-129600000,-77800000,-42700000,-33000000,-39000000,-38000000,-6000000,-4800000
90,Debt Repayment,- -,-8500000,- -,-30200000,-50000000,-130000000,-5000000,-135200000,-65000000,-90000000,-38900000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-34700000,-17300000,- -,-1400000,-700000,-1000000,-600000,-500000
93,Dividends Paid,- -,- -,- -,-12700000,-18700000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-45200000,-121100000,8500000,147800000,64600000,81500000,30200000,153500000,39200000,-1200000,4100000
95,Cash Used/Provided by Financing Activities,-45200000,-129600000,8500000,70200000,-21400000,-48500000,23800000,17600000,-26800000,-91800000,-35300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-45200000,-129600000,8500000,70200000,7900000,-16800000,-1100000,-2900000,5500000,75700000,156800000
98,Cash at the End of Period,- -,- -,- -,34500000,42400000,25600000,24500000,21600000,27100000,102800000,259600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,34500000,42400000,25600000,24500000,21600000,27100000,102800000
100,Free Cash Flow,44300000,129400000,-7700000,-35700000,28900000,31700000,-24900000,-21500000,32300000,156600000,184700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1598428/000159842815000012/0001598428-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842816000075/0001598428-16-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842817000026/0001598428-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842818000027/0001598428-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842819000018/0001598428-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000159842820000017/0001598428-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000156459021008896/0001564590-21-008896-index.htm,https://www.sec.gov/Archives/edgar/data/1598428/000095017022001977/0000950170-22-001977-index.htm
102,false,,,,,,,,,,,
