,https://roic.ai/company/CVV,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766792/000100944809000030/0001009448-09-000030-index.html,- -,https://www.sec.gov/Archives/edgar/data/766792/000100944811000009/0001009448-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774912002795/0001437749-12-002795-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774913003792/0001437749-13-003792-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774914005556/0001437749-14-005556-index.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774915006481/cvv20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774916028683/0001437749-16-028683-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774917005623/0001437749-17-005623-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774918006052/0001437749-18-006052-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774919006233/0001437749-19-006233-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774920006524/0001437749-20-006524-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774921007832/0001437749-21-007832-index.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774922007843/0001437749-22-007843-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,67212,239476,127489,91714,600621,2361150,323537,321490,171463,265454,257341,5110447,5721369,3119731,6249090,18136527,13721324,11247560,11966863,13073331,21677186,14210909,11439361,8664253,7699335,16651371
32,Short-Term Investments,- -,- -,1018340,297000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,67212,239476,1145829,388714,600621,2361150,323537,321490,171463,265454,257341,5110447,5721369,3119731,6249090,18136527,13721324,11247560,11966863,13073331,21677186,14210909,11439361,8664253,7699335,16651371
34,Net Receivables,616018,394065,347126,1509985,3485999,1212237,1852794,1819744,3485619,2488732,3093732,3616553,2642670,2130196,2909173,3663579,7245228,4461412,8961712,7726269,3204040,10455641,5423017,3058489,2257608,1446354
35,Inventory,39759,135807,422280,713762,454898,829040,2023487,1425851,1823453,2067255,2704506,3015635,3292316,4418138,4629862,3207073,2742905,4497349,4842059,2986430,3286539,2965623,1861873,1709713,1123839,1225015
36,Other Current Assets,1351115,2198600,1274005,69689,32155,378291,977878,649981,110743,49597,369430,721264,4201364,3300089,2027439,3751137,381591,1689561,3082716,765065,663892,167425,723204,733337,709175,3747760
37,Total Current Assets,2074104,2967948,3189240,2682150,4573673,4780718,5177696,4217066,5591278,4871038,6425009,12463899,15857719,12968154,15815564,28758316,24091048,21895882,28853350,24551095,28831657,27799598,19447455,14165792,11789957,23070500
38,PP&E,827203,820916,832171,2204644,2258512,2060502,5630375,5400032,5153017,5090536,4778807,5055727,8028889,7591363,7554317,7948957,16945727,15620282,15414559,14827229,14438982,28839458,30402558,32102335,28843563,12261321
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,136393,122977,109558,96141,105775,106566,89822,66213,58310,49967,41614,44116,55871,60335,253624,662162,495552,441177,288657,182838
41,Intangible Assets,- -,- -,- -,- -,- -,- -,136393,122977,109558,96141,105775,106566,89822,66213,58310,49967,41614,44116,55871,60335,253624,662162,495552,441177,288657,182838
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,140082,- -,306623,268623,344074,440362,300743,241988,899904,266077,772516,711293,780288,390080,568744,710983,750133,1606830,2011979,1609186,2104414,- -,- -,- -
44,Other Non-Current Assets,565720,97065,151713,526035,148130,439067,138974,144458,398587,610304,708114,1114637,541404,327968,157661,1401658,878128,870376,482559,86215,68450,67847,64583,13748,13748,9570
45,Total Non-Current Assets,1392923,917981,1123966,2730679,2713265,2768192,6249816,6107829,5961905,6038969,6492600,6543007,9432631,8696837,8550576,9790662,18434213,17245757,16703122,16580609,16773035,31178653,33067107,32557260,29145968,12453729
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3467027,3885929,4313206,5412829,7286938,7548910,11427512,10324895,11553183,10910007,12917609,19006906,25290350,21664991,24366140,38548978,42525261,39141639,45556472,41131704,45604692,58978250,52514562,46723052,40935925,35524229
48,Accounts Payable,120162,96312,67156,171138,607777,153332,938056,520525,725706,639619,640771,517934,1340830,873626,640829,782053,888058,468072,1682838,308004,743132,1174968,713194,535394,817933,1161381
49,Short-Term Debt,135695,- -,304004,16936,18135,365790,527124,177381,1063394,317204,435762,222193,348521,368041,372387,623953,935822,720000,720000,580000,300000,647324,857590,674593,690667,1765508
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,114140,212250,47444,28745,151514,100373,1089966,811309,457417,1817199,307683,5339972,758266,996423,2275236,786657,- -
52,Other Current Liabilities,214677,159218,197870,351638,832452,378231,483089,662079,924221,677375,985167,1361984,4291069,1011785,3596792,3314491,1355389,1806370,8222052,3445880,1942818,2838373,1503309,1902858,1409039,3409365
53,Total Current Liabilities,470534,255530,569030,539712,1458364,897353,1948269,1359985,2713321,1748338,2273950,2149555,6009165,2404966,4710381,5810463,3990578,3451859,12442089,4641567,8325922,5418931,4070516,5388081,3704296,6336254
54,Long-Term Debt,- -,- -,17137,978552,959570,864100,3513783,3336400,3140628,2923424,2776801,2678421,4135632,3768824,3396446,2547842,7387019,4565508,3845508,3265508,2965508,12705683,12051720,11377126,13106057,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,666948,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,17137,978552,959570,864100,3513783,3336400,3140628,2923424,3443749,2678421,4135632,3768824,3396446,2547842,7387019,4565508,3845508,3265508,2965508,12905683,12051720,11377126,13106057,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,470534,255530,586167,1518264,2417934,1761453,5462052,4696385,5853949,4671762,5717699,4827976,10144797,6173790,8106827,8358305,11377597,8017367,16287597,7907075,11291430,18324614,16122236,16765207,16810353,6336254
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,29188,29188,29188,29188,30008,30323,30391,30391,30391,31278,32505,47185,47495,47618,48193,59589,60470,60917,61620,61981,63466,64587,65358,66237,66786,67234
64,Retained Earnings,183245,817151,901356,1061897,1990576,2864718,3032920,2695970,2766694,3157605,3761931,4539017,5170798,5349822,5881594,9660717,10096303,9535980,7062450,10267446,10118322,15379733,10178712,3172054,-2902898,1843587
65,Other Comprehensive Income/Loss,- -,- -,- -,-1068964,-1292382,-1066321,-1188162,-1470176,-1765074,-2051951,-2051951,-2584288,-2934891,- -,-3763948,-4224284,-4394600,-4012202,-4715577,-5517021,-5861476,-6683111,-6973552,-7951396,- -,- -
66,Other Total Stockholders Equity,2784060,2784060,2796495,3872444,4140802,3958737,4090311,4372325,4667223,5101313,5457425,12177016,12862151,- -,14093474,24694651,25385491,25539577,26860382,28412223,29992950,31892427,33121808,34670950,26961684,27277154
67,Total Stockholders Equity,2996493,3630399,3727039,3894565,4869004,5787457,5965460,5628510,5699234,6238245,7199910,14178930,15145553,15491201,16259313,30190673,31147664,31124272,29268875,33224629,34313262,40653636,36392326,29957845,24125572,29187975
68,Total Liabilities And Stockholders Equity,3467027,3885929,4313206,5412829,7286938,7548910,11427512,10324895,11553183,10910007,12917609,19006906,25290350,21664991,24366140,38548978,42525261,39141639,45556472,41131704,45604692,58978250,52514562,46723052,40935925,35524229
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3467027,3885929,4313206,5412829,7286938,7548910,11427512,10324895,11553183,10910007,12917609,19006906,25290350,21664991,24366140,38548978,42525261,39141639,45556472,41131704,45604692,58978250,52514562,46723052,40935925,35524229
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766792/000100944809000030/0001009448-09-000030-index.html,- -,https://www.sec.gov/Archives/edgar/data/766792/000100944811000009/0001009448-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774912002795/0001437749-12-002795-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774913003792/0001437749-13-003792-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774914005556/0001437749-14-005556-index.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774915006481/cvv20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774916028683/0001437749-16-028683-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774917005623/0001437749-17-005623-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774918006052/0001437749-18-006052-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774919006233/0001437749-19-006233-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774920006524/0001437749-20-006524-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774921007832/0001437749-21-007832-index.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774922007843/0001437749-22-007843-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1135137,633906,84205,160541,928679,874142,168202,-336950,70724,390911,604326,777086,631781,179024,531772,3779123,435586,-560323,-2473530,3204996,-149124,5261411,-5201021,-6327658,-6074952,4746485
74,Depreciation and Amortization,313492,165418,148732,232748,269450,265671,294721,351579,356884,350143,358050,436171,522925,580238,588987,597040,515215,646422,797928,826529,813657,867277,1141161,1042829,1389145,742287
75,Deferred Income Tax,-67736,-129598,57252,-208686,42145,38000,-75451,- -,139619,58755,272428,-296517,-506439,-263140,76936,433179,-178307,-1396407,-1483789,1633254,-435495,831148,-495228,1425414,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313842,166624,172490,290598,234858,461195,515933,750758,775757,932743,939711,572177,242679,315918
77,Change in Working Capital,120838,1108848,-92208,-477772,972871,768056,-653938,-372346,20876,244743,1028359,6163285,-465790,714634,541995,11842670,-2847383,-1656447,-2032762,3498267,596207,1874932,-7003728,-6599228,-692050,8648585
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-947067,541609,-741300,- -,-858082,1556610,-3521600,3402625,2500124,-1452507,-2030603,1519683,1357765,-398626
79,Inventory,120838,-96048,-286473,-291482,258864,-24142,-1194447,597636,-397602,-243802,-552354,-311129,-276681,-883563,-211724,760390,464168,-1754444,-344709,1855628,-290109,345916,967931,152160,585874,-101176
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,822896,-467205,-232797,141224,106004,-419986,1214766,-1374835,435129,431836,-461774,-177801,282539,343448
81,Other Working Capital,1603570,2712418,2620210,2142438,3115309,3883365,3229427,2857081,2877957,3122700,4151059,10314344,9848554,10563188,11105183,22947853,20100470,18444023,16411261,19909528,20505735,22380667,15376939,8777711,8085661,16734246
82,Other Non-Cash Items,-971531,-1341026,-166821,512057,-1749919,-150330,-775564,950197,-1380483,350694,-2192622,-6875642,1466169,-3400498,1895092,-12754839,1657870,1438220,6221467,-8039991,7251796,-12147008,11125642,10457180,4002430,-18725875
83,Cash Provided by Operating Activities,530200,437548,31160,218888,463226,1795539,-1042030,592480,-792380,1395246,70541,204383,1962488,-2023118,3807272,4187771,-182161,-1067340,1545247,1873813,8852798,-2379497,506537,570714,-1132748,-4272600
84,CAPEX,-134362,-121701,-683442,-1574135,-277286,-126781,-1980912,-67403,-47886,-485961,-224903,-575558,-3381417,-232083,-373731,-204935,-11796740,-2071557,-617761,-248305,-112493,-14890184,-2537652,-2688231,-1577175,-235595
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-419813,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,645125,330500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-134362,-129589,36558,- -,- -,145275,2500,- -,- -,- -,-13762,-411546,-2956105,-231233,-373731,-1564935,-9670636,1555175,-208144,-47345,89057,-899801,-2534388,-2688231,-1577175,22839882
89,Cash Used for Investing Activites,-134362,-129589,-963442,-929010,53214,18494,-1978412,-67403,-47886,-485961,-238665,-987104,-2956105,-231233,-373731,-1564935,-9670636,1555175,-208144,-47345,-410943,-15320500,-2534388,-2688231,-1577175,22839882
90,Debt Repayment,-569468,-135695,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1061461,-347287,-368032,-2697038,-848953,-3037334,-720000,-720000,-300000,-300000,-853963,-657591,-670965,-9615246
91,Common Stock Issued,- -,- -,- -,- -,10250,44311,9801,- -,- -,148100,188075,5947777,- -,- -,- -,9861639,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,820295,674347,-17783,-97815,973028,-527124,690239,-963394,-28064,-311950,2666000,- -,63850,2100000,6286547,75735,102200,- -,462000,10533720,110266,- -,2415970,- -
95,Cash Used/Provided by Financing Activities,-569468,-135695,820295,674347,-7533,-53504,982829,-527124,690239,-815294,160011,5635827,1604539,-347287,-304182,9264601,5437594,-2961599,-617800,-720000,162000,10233720,-743697,-657591,1745005,-9615246
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-173630,172264,-111987,-35775,508907,1760529,-2037613,-2047,-150027,93991,-8113,4853106,610922,-2601638,3129359,11887437,-4415203,-2473764,719303,1106468,8603855,-7466277,-2771548,-2775108,-964918,8952036
98,Cash at the End of Period,67212,239476,127489,91714,600621,2361150,323537,321490,171463,265454,257341,5110447,5721369,3119731,6249090,18136527,13721324,11247560,11966863,13073331,21677186,14210909,11439361,8664253,7699335,16651371
99,Cash at the Beginning of Period,240842,67212,239476,127489,91714,600621,2361150,323537,321490,171463,265454,257341,5110447,5721369,3119731,6249090,18136527,13721324,11247560,11966863,13073331,21677186,14210909,11439361,8664253,7699335
100,Free Cash Flow,395838,315847,-652282,-1355247,185940,1668758,-3022942,525077,-840266,909285,-154362,-371175,-1418929,-2255201,3433541,3982836,-11978901,-3138897,927486,1625508,8740305,-17269681,-2031115,-2117517,-2709923,-4508195
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766792/000100944809000030/0001009448-09-000030-index.html,- -,https://www.sec.gov/Archives/edgar/data/766792/000100944811000009/0001009448-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774912002795/0001437749-12-002795-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774913003792/0001437749-13-003792-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774914005556/0001437749-14-005556-index.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774915006481/cvv20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774916028683/0001437749-16-028683-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774917005623/0001437749-17-005623-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774918006052/0001437749-18-006052-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774919006233/0001437749-19-006233-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774920006524/0001437749-20-006524-index.html,https://www.sec.gov/Archives/edgar/data/766792/000143774921007832/0001437749-21-007832-index.htm,https://www.sec.gov/Archives/edgar/data/766792/000143774922007843/0001437749-22-007843-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
