,https://roic.ai/company/ATVI,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,1900000,38100000,37335000,25288000,17639000,73378000,32847000,49985000,125550000,279007000,406954000,587649000,840864000,944960000,954849000,3002000000,3245000000,3508000000,3525000000,4375000000,4431000000,4858000000,1831000000,3245000000,4713000000,4225000000,5794000000,8647000000,10423000000
34,Net Receivables,- -,6800000,1900000,5566000,19909000,36367000,69812000,117522000,108108000,73802000,76733000,15822000,62577000,109144000,28782000,148694000,1210000000,739000000,640000000,649000000,707000000,515000000,659000000,679000000,732000000,918000000,1035000000,848000000,1052000000,972000000
35,Inventory,- -,900000,2500000,1972000,2975000,4520000,14920000,30931000,40453000,43888000,20736000,19577000,26427000,48018000,61483000,91231000,262000000,241000000,140000000,144000000,209000000,171000000,123000000,128000000,49000000,46000000,43000000,32000000,- -,- -
36,Other Current Assets,- -,800000,2900000,1444000,6335000,9274000,18218000,55001000,65551000,54990000,80397000,84552000,135222000,124438000,80830000,206459000,1021000000,1104000000,1097000000,1062000000,983000000,1124000000,1269000000,749000000,804000000,843000000,803000000,618000000,866000000,1161000000
37,Total Current Assets,- -,10400000,45400000,46317000,54507000,67800000,176328000,236301000,264097000,298230000,456873000,526905000,811875000,1122464000,1116055000,1401233000,5495000000,5329000000,5385000000,5380000000,6274000000,6241000000,6909000000,3387000000,4830000000,6520000000,6106000000,7292000000,10565000000,12556000000
38,PP&E,- -,600000,1000000,1643000,3326000,5090000,10628000,10841000,10815000,15240000,17832000,22265000,25539000,30490000,45368000,46540000,149000000,138000000,169000000,163000000,141000000,138000000,157000000,189000000,258000000,294000000,282000000,253000000,209000000,169000000
39,Goodwill,- -,- -,- -,- -,19580000,18313000,23473000,21647000,- -,- -,35992000,- -,- -,- -,100446000,195374000,7227000000,7154000000,7132000000,7111000000,7106000000,7092000000,7086000000,7095000000,9768000000,9763000000,9762000000,9764000000,9765000000,9799000000
40,Intangible Assets,- -,23200000,22000000,20863000,- -,- -,- -,- -,12347000,10316000,10899000,104962000,92873000,105815000,102432000,95633000,1717000000,1089000000,648000000,595000000,660000000,497000000,500000000,562000000,1912000000,1192000000,800000000,585000000,611000000,658000000
41,Intangible Assets,- -,23200000,22000000,20863000,19580000,18313000,23473000,21647000,12347000,10316000,46891000,104962000,92873000,105815000,202878000,291007000,8944000000,8243000000,7780000000,7706000000,7766000000,7589000000,7586000000,7657000000,11680000000,10955000000,10562000000,10349000000,10376000000,10457000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,23000000,16000000,8000000,9000000,9000000,9000000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,4212000,4665000,2618000,- -,13759000,28795000,10322000,9064000,28041000,53813000,48791000,- -,- -,- -,- -,- -,- -,- -,275000000,283000000,459000000,403000000,1293000000,1318000000,1377000000
44,Other Non-Current Assets,- -,400000,300000,60000,200000,255000,2313000,12205000,22478000,22412000,6496000,40362000,29466000,20153000,1409000,6376000,113000000,9000000,49000000,12000000,11000000,35000000,85000000,3734000000,401000000,440000000,482000000,658000000,641000000,497000000
45,Total Non-Current Assets,- -,24200000,23300000,22566000,23106000,27870000,41079000,47311000,45640000,61727000,100014000,177911000,156942000,184499000,303468000,392714000,9206000000,8413000000,8021000000,7897000000,7926000000,7771000000,7837000000,11864000000,12622000000,12148000000,11729000000,12553000000,12544000000,12500000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,34600000,68700000,68883000,77613000,95670000,217407000,283612000,309737000,359957000,556887000,704816000,968817000,1306963000,1419523000,1793947000,14701000000,13742000000,13406000000,13277000000,14200000000,14012000000,14746000000,15251000000,17452000000,18668000000,17835000000,19845000000,23109000000,25056000000
48,Accounts Payable,- -,2500000,1900000,2516000,4592000,7054000,40150000,43853000,38284000,60980000,64410000,45602000,72874000,108984000,88994000,136517000,555000000,302000000,363000000,390000000,343000000,355000000,325000000,284000000,222000000,323000000,253000000,292000000,295000000,285000000
49,Short-Term Debt,- -,300000,- -,- -,- -,- -,781000,5992000,16260000,10231000,168000,147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,923000000,1426000000,1726000000,1472000000,1657000000,1389000000,1797000000,1702000000,1628000000,1929000000,1493000000,1375000000,1689000000,1118000000
52,Other Current Liabilities,- -,2400000,2300000,3153000,9688000,7808000,14860000,45142000,49404000,44039000,59096000,58656000,63205000,98067000,103169000,204652000,842000000,779000000,818000000,694000000,652000000,636000000,592000000,625000000,806000000,1411000000,896000000,1248000000,1116000000,1008000000
53,Total Current Liabilities,- -,5200000,4200000,5669000,14280000,14862000,55791000,94987000,103948000,115250000,123674000,104405000,136079000,207051000,192163000,341169000,2320000000,2507000000,2907000000,2556000000,2652000000,2405000000,2714000000,2611000000,2656000000,3663000000,2642000000,2915000000,3100000000,2411000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,61235000,61143000,73778000,63401000,3122000,2671000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4668000000,4324000000,4079000000,4887000000,4390000000,2671000000,2675000000,3605000000,3608000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,615000000,270000000,112000000,55000000,25000000,20000000,114000000,10000000,44000000,21000000,18000000,505000000,418000000,506000000
57,Other Non-Current Liabilities,- -,400000,500000,510000,334000,- -,88000,7000,2000,- -,- -,- -,- -,- -,1776000,41246000,239000000,209000000,184000000,174000000,206000000,297000000,361000000,483000000,746000000,1132000000,1147000000,945000000,949000000,932000000
58,Total Non-Current Liabilities,- -,400000,500000,510000,334000,- -,61323000,61150000,73780000,63401000,3122000,2671000,- -,- -,1776000,41246000,854000000,479000000,296000000,229000000,231000000,4985000000,4799000000,4572000000,5677000000,5543000000,3836000000,4125000000,4972000000,5046000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,5600000,4700000,6179000,14614000,14862000,117114000,156137000,177728000,178651000,126796000,107076000,136079000,207051000,193939000,382415000,3174000000,2986000000,3203000000,2785000000,2883000000,7390000000,7513000000,7183000000,8333000000,9206000000,6478000000,7040000000,8072000000,7457000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-1300000,-3300000,-4822000,708000,7815000,13680000,26012000,-8361000,12146000,64384000,130564000,208279000,346614000,388513000,427777000,-474000000,-361000000,57000000,948000000,1893000000,2686000000,3374000000,4096000000,4869000000,4916000000,6558000000,7813000000,9691000000,12025000000
65,Other Comprehensive Income/Loss,- -,-300000,-700000,-1342000,-2682000,-4734000,-4734000,-11468000,-19878000,-19788000,-24860000,-3434000,9961000,11618000,13336000,20202000,-43000000,-24000000,-13000000,-72000000,-26000000,68000000,-303000000,-633000000,-629000000,-638000000,-601000000,-619000000,-622000000,-578000000
66,Other Total Stockholders Equity,- -,30600000,68000000,68868000,64973000,77727000,91347000,112931000,160248000,188948000,390567000,496481000,657159000,741298000,821071000,- -,- -,11141000000,10159000000,9616000000,9450000000,3868000000,4162000000,4605000000,4879000000,5184000000,5400000000,5611000000,- -,- -
67,Total Stockholders Equity,- -,29000000,64000000,62704000,62999000,80808000,100293000,127475000,132009000,181306000,430091000,597740000,832738000,1099912000,1225584000,1411532000,11527000000,10756000000,10203000000,10492000000,11317000000,6622000000,7233000000,8068000000,9119000000,9462000000,11357000000,12805000000,15037000000,17599000000
68,Total Liabilities And Stockholders Equity,- -,34600000,68700000,68883000,77613000,95670000,217407000,283612000,309737000,359957000,556887000,704816000,968817000,1306963000,1419523000,1793947000,14701000000,13742000000,13406000000,13277000000,14200000000,14012000000,14746000000,15251000000,17452000000,18668000000,17835000000,19845000000,23109000000,25056000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,34600000,68700000,68883000,77613000,95670000,217407000,283612000,309737000,359957000,556887000,704816000,968817000,1306963000,1419523000,1793947000,14701000000,13742000000,13406000000,13277000000,14200000000,14012000000,14746000000,15251000000,17452000000,18668000000,17835000000,19845000000,23109000000,25056000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718877/000091205700030433/0000912057-00-030433-index.html,https://www.sec.gov/Archives/edgar/data/718877/000091205701521517/0000912057-01-521517-index.html,https://www.sec.gov/Archives/edgar/data/718877/000091205702025821/0000912057-02-025821-index.html,https://www.sec.gov/Archives/edgar/data/718877/000110465903012724/j2068_10k.htm,https://www.sec.gov/Archives/edgar/data/718877/000110465904016641/a04-6777_110k.htm,https://www.sec.gov/Archives/edgar/data/718877/000110465905027535/a05-8078_110k.htm,https://www.sec.gov/Archives/edgar/data/718877/000110465906040913/a06-9724_110k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/718877/000104746910001649/0001047469-10-001649-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746911001413/a2202068z10-k.htm,https://www.sec.gov/Archives/edgar/data/718877/000104746912001775/0001047469-12-001775-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746913001506/0001047469-13-001506-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746914001688/a2218641z10-k.htm,https://www.sec.gov/Archives/edgar/data/718877/000104746915001298/a2223239z10-k.htm,https://www.sec.gov/Archives/edgar/data/718877/000104746916010584/0001047469-16-010584-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746917001072/0001047469-17-001072-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746918001114/0001047469-18-001114-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746919000788/0001047469-19-000788-index.html,https://www.sec.gov/Archives/edgar/data/718877/000071887720000003/0000718877-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/718877/000162828021002828/0001628280-21-002828-index.htm,https://www.sec.gov/Archives/edgar/data/718877/000162828022003992/0001628280-22-003992-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1400000,-2000000,-1520000,5530000,7107000,5827000,15254000,-34088000,20507000,52238000,66180000,77715000,138335000,41899000,85787000,-107000000,113000000,418000000,1085000000,1149000000,1010000000,835000000,892000000,966000000,273000000,1813000000,1503000000,2197000000,2699000000
74,Depreciation and Amortization,- -,1700000,1700000,1942000,2646000,3335000,5212000,33543000,124580000,75193000,68673000,112295000,98696000,145501000,188703000,147133000,561000000,628000000,517000000,435000000,328000000,315000000,346000000,494000000,1150000000,1199000000,998000000,553000000,446000000,440000000
75,Deferred Income Tax,- -,- -,- -,- -,-1500000,3165000,-1563000,3344000,-4311000,-6597000,-23352000,3355000,15147000,878000,-28677000,-44092000,-432000000,-256000000,-278000000,75000000,-10000000,161000000,-44000000,-27000000,-9000000,-181000000,20000000,-352000000,-94000000,7000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000000,131000000,103000000,126000000,108000000,104000000,92000000,147000000,176000000,209000000,166000000,218000000,508000000
77,Change in Working Capital,- -,-600000,36000000,-552000,-421000,12711000,67599000,20777000,18835000,22831000,150219000,89301000,253296000,239617000,8479000,136172000,1751676000,-353000000,-344000000,346000000,798000000,214000000,359000000,-3419000000,1398000000,683000000,607000000,913000000,3088000000,-1279000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235000000,76000000,13000000,-46000000,198000000,-177000000,-40000000,84000000,-165000000,-114000000,182000000,-194000000,71000000
79,Inventory,- -,600000,-1600000,551000,-1003000,-1545000,-6637000,-11506000,-7342000,-5283000,23152000,1159000,-6850000,-21591000,-13465000,-26124000,-20000000,21000000,124000000,-34000000,-62000000,6000000,-2000000,-54000000,32000000,-26000000,-5000000,7000000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,70000000,31000000,-54000000,7000000,-12000000,-25000000,-50000000,85000000,-65000000,31000000,-10000000,-7000000
81,Other Working Capital,- -,5200000,41200000,40648000,40227000,52938000,120537000,141314000,160149000,182980000,333199000,422500000,675796000,915413000,923892000,1060064000,3175000000,2822000000,2478000000,2824000000,3622000000,3836000000,4195000000,776000000,2174000000,2857000000,3464000000,4377000000,7465000000,-537000000
82,Other Non-Cash Items,- -,300000,-38800000,-1090000,-10041000,-32645000,-78463000,-54840000,-27627000,-30369000,-135986000,-180156000,-377451000,-309022000,-124397000,-297838000,-1394676000,895000000,932000000,-1092000000,-1046000000,-544000000,-308000000,3160000000,-1497000000,63000000,-1857000000,-952000000,-3603000000,39000000
83,Cash Provided by Operating Activities,- -,- -,-3100000,-1220000,-3786000,-6327000,-1388000,18078000,77389000,81565000,111792000,90975000,67403000,215309000,86007000,27162000,379000000,1183000000,1376000000,952000000,1345000000,1264000000,1292000000,1192000000,2155000000,2213000000,1790000000,1831000000,2252000000,2414000000
84,CAPEX,- -,-300000,-900000,-1300000,-3045000,-3832000,-200000,-3800000,-4518000,-9780000,-9150000,-11877000,-11976000,-14941000,-30406000,-17935000,-46000000,-69000000,-97000000,-72000000,-73000000,-74000000,-107000000,-111000000,-136000000,-155000000,-131000000,-116000000,-78000000,-80000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-20523000,- -,- -,-21199000,-3480000,-21382000,-6890000,-30545000,1120000000,- -,- -,-3000000,- -,- -,- -,-46000000,-4588000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-408175000,-195587000,-868723000,-242568000,-479533000,- -,-425000000,-800000000,-417000000,-503000000,-26000000,- -,-145000000,- -,-135000000,-209000000,-65000000,-221000000,-248000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287145000,195874000,761150000,201568000,492771000,- -,46000000,580000000,750000000,454000000,402000000,21000000,145000000,- -,80000000,116000000,153000000,121000000,280000000
88,Other Investing Activites,- -,600000,-1500000,1544000,- -,- -,-9000000,-60531000,-74506000,1149000,449000,-995000,- -,- -,-7500000,- -,27000000,-64000000,-92000000,-64000000,-75000000,-68000000,-105000000,-3670000000,3411000000,-142000000,-137000000,-110000000,-78000000,-91000000
89,Cash Used for Investing Activites,- -,300000,-2400000,244000,-3045000,-3832000,-9200000,-64331000,-99547000,-8631000,-8701000,-155101000,-15169000,-143896000,-85796000,-35242000,1101000000,-443000000,-312000000,266000000,-124000000,308000000,-84000000,-3716000000,-1177000000,-197000000,-230000000,-22000000,-178000000,-59000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-375000000,-250000000,-6104000000,-4251000000,-1740000000,- -,-1050000000,- -
91,Common Stock Issued,- -,- -,39400000,191000,237000,2209000,5338000,6069000,22480000,33588000,60880000,268619000,193004000,72654000,45088000,18956000,1753000000,81000000,73000000,54000000,33000000,158000000,175000000,106000000,106000000,178000000,99000000,105000000,170000000,90000000
92,Common Stock Repurchased,- -,- -,-2200000,- -,-5278000,- -,- -,- -,- -,-14971000,-74000,-203809000,-72617000,- -,- -,- -,-128000000,-1109000000,-959000000,-692000000,-315000000,-5830000000,- -,- -,- -,- -,- -,- -,- -,- -
