,https://roic.ai/company/IMCC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,3955,3964,2525,2289,10216,14650,12607,17016,14556,19883,10158,- -,514,- -,- -,601000,930000,5729000
15,EBITDA,-900000,-1100000,-1800000,-900000,-637703,-868200,- -,176554,-420897,79007,-156927,-356901,-1534515,-1307563,-658710,-507734,9459392,-186668,- -,-43956,-15250,-124970,-5894000,-7002000,-9881000
16,EBITDA ratio,-0.8182,-1.8333,-18.0000,-9.0000,-5.7507,-25.1048,- -,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-0.6495,-0.4407,-0.1820
17,Operating Income,1100000,600000,100000,100000,110892,34583,- -,-991237,-424861,-777454,-543054,-367117,-1549165,-1320170,-675726,-522290,-302501,-218960,- -,-44470,-15250,-124970,-10275000,-8245000,-38389000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-1.1324,-0.5189,-0.7070
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,53524,419647,-59112,-267986,-384278,118263,-7004,- -,-941,-9742010,-22134,- -,-1143,-500,- -,2946000,-20227000,20376000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-937713,-5214,-836566,- -,- -,- -,- -,- -,-523231,-10044511,-241094,- -,-45613,-15750,-124970,-7329000,-28472000,-18013000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-0.8077,-1.7918,-0.3317
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-272538,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,262000,505000
23,Net Income,-900000,-1100000,-1800000,-900000,-637703,-868200,-1023462,-666175,-5214,-836566,-611371,-762399,-1414259,-1324125,-669181,-519773,-5374053,-228344,- -,-45613,-15750,-124970,-7292000,-28698000,-17763000
24,Net Income ratio,-0.8182,-1.8333,-18.0000,-9.0000,-5.7507,-25.1048,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-0.8036,-1.8060,-0.3271
25,EPS,-36.00,-44.00,-70.00,-24.00,-16.00,-18.00,-16.00,-8.00,-0.05,-8.00,-4.00,-4.00,-6.00,-4.00,-2.00,-2.00,-12.00,-0.40,- -,-0.09,-0.03,-0.24,-0.24,-0.74,-0.31
26,EPS Diluted,-36.00,-44.00,-70.00,-24.00,-16.00,-18.00,-16.00,-8.00,-0.05,-8.00,-4.00,-4.00,-6.00,-4.00,-2.00,-2.00,-12.00,-0.40,- -,-0.09,-0.03,-0.24,-0.24,-0.74,-0.66
27,Weighted Average Shares Outstanding,25000,25000,25714,37500,38695,61222,72081,87306,98218,115227,146378,196791,279876,340462,408729,423882,432540,487594,- -,516526,516526,539794,31978250,38565000,57300000
28,Weighted Average Shares Outstanding Diluted,25000,25000,25714,37500,38695,61222,72081,87306,98218,115227,146378,196791,279876,340462,408729,423882,432540,487594,- -,516526,516526,539794,31978250,38565000,57300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,721772,245761,357113,1071529,321279,606772,2128809,472671,226336,9839,382,- -,170,170,4026,13926000,8885000,13903000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,225000,189000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3129000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,721772,470761,546113,1071529,321279,606772,2128809,472671,226336,9839,382,- -,170,170,4026,13926000,8885000,17032000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,6441,19149,2747,3230,3813,16466,7231,4056,3030,16716,869,- -,105,105,5116,2060000,5718000,33900000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5474000,8448000,31078000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,18084,5509,8321,8597,21680,10796,13980,65777,7950,3473,2731,- -,- -,- -,- -,2831000,4092000,2301000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,746297,495419,557181,1083356,346772,634034,2150020,542504,237316,30028,3982,- -,275,275,9142,24291000,27143000,84311000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,35428,55578,15664,384575,54327,23037,1817147,2039109,9471349,62134,24748,- -,1,1,1,4415000,6467000,48430000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298000,304000,121303000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,889000,1092000,30885000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1187000,1396000,152188000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620382,186065,- -,- -,- -,- -,- -,- -,- -,- -,912000,2341000,2429000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000,769000,16000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,100191,597327,529461,206344,2448115,5131175,5669623,7107181,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,135619,652905,545125,590919,2502442,5774594,7672835,9146290,9471349,62134,24748,- -,1,1,1,6603000,10973000,203077000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,881916,1148324,1102306,1674275,2849214,6408628,9822855,9688794,9708665,92162,28730,- -,276,276,9143,30894000,38116000,287388000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,58943,130675,172727,227753,460112,- -,- -,- -,1786,104276,77987,- -,140170,145420,245184,992000,2605000,13989000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,30000,29000,- -,5941,6441,- -,159000,167000,11056000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,741000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,50000,- -,110309,- -,- -,51827,108748,68194,67516,116231,214755,- -,270287,280287,220801,1458000,2756000,26182000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,108943,130675,283036,227753,460112,51827,108748,68194,269302,250507,321742,- -,416398,432148,465985,2609000,6269000,51227000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,891000,823000,18212000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,826000,1503000,6591000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775248,- -,- -,- -,- -,- -,- -,- -,- -,459000,16911000,6413000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775248,- -,- -,- -,- -,- -,- -,- -,- -,2176000,19237000,31216000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050000,990000,19374000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,108943,130675,283036,227753,460112,51827,883996,68194,269302,250507,321742,- -,416398,432148,465985,4785000,25506000,82443000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26327850,45000,37040000,237677000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-12865167,-12870381,-13722062,-14357811,-15201780,-16983962,-18332174,-19001355,-19537592,-24914842,-25148759,- -,-16973762,-16989512,-17114482,-4273000,-33001000,-50743000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,93184,324324,349750,885500,-40403,-34030,-22025,-54153,2103857,2103857,2135857,- -,2138409,2138409,- -,309000,1229000,2614000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2138409,28579000,5829000,11688000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,772973,1017649,819270,1446522,2389102,6356801,8938859,8845352,8664115,3336865,3214948,- -,11392497,11376747,11351777,24660000,11097000,201236000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,881916,1148324,1102306,1674275,2849214,6408628,9822855,8913546,8933417,3587372,3536690,- -,11808895,11808895,11817762,29445000,36603000,283679000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775248,775248,-3495210,-3507960,- -,-11808619,-11808619,-11808619,1449000,1513000,3709000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,881916,1148324,1102306,1674275,2849214,6408628,9822855,9688794,9708665,92162,28730,- -,276,276,9143,30894000,38116000,287388000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,-666175,-5214,-836566,-611371,-762399,-1414259,-1324125,-669181,-519773,-5374053,-228344,- -,-45613,-15750,-124970,-7292000,-28698000,-18518000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,3955,3964,2525,2289,10216,14650,12607,17016,14556,19883,10158,- -,514,- -,- -,601000,930000,5729000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-272538,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95000,-66000,278000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1036460,784870,66166,- -,- -,32000,- -,- -,- -,- -,2677000,3382000,7471000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,28898,75173,52923,255247,-82865,-808217,-1204,-46560,71126,63900,91126,- -,17360,15250,28826,-2642000,-1457000,-10818000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1631000,-3534000,-6602000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000,-958000,-13295000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59007,795000,2135000,5573000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,28898,75173,52923,255247,-82865,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,615627,-387836,491020,-32459,401077,- -,- -,- -,1,5071550,12176,- -,1143,500,- -,792000,17990000,-18514000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,-290233,-313913,-290098,-386294,-433971,-1171366,-527852,-632559,-434090,-218720,-82884,- -,-26596,- -,-96144,-5959000,-7919000,-34372000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-102377,-25686,-6361,-78501,-1885631,-2487889,-607237,-68025,-350781,-274580,- -,- -,- -,- -,- -,-1547000,-2710000,-4595000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-477264,- -,- -,- -,- -,- -,- -,- -,- -,-1316000,- -,-12549000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-912000,-1347000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,149475,- -,- -,159002,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-379095,-297312,-288970,-66772,-125496,-2853539,-478460,-1449165,- -,- -,- -,- -,- -,- -,- -,- -,-111000,7796000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-331997,-312998,-295331,13729,-2011127,-2873951,-1084501,-1517190,-350781,-274580,- -,- -,- -,- -,- -,-3775000,-4075000,-9012000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14688,- -,- -,- -,-200000,-30000,- -,- -,- -,- -,-1053000,-182000,-633000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,1335641,150900,- -,- -,1750725,4661025,3145400,22000,825000,50000,80000,- -,- -,- -,100000,15570000,- -,28131000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-13268,- -,- -,- -,- -,-315527,-24087,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,696781,1086981,-55877,- -,13077,471611,-286464,426803,23427,- -,21026,- -,- -,2534000,6922000,21233000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,1322373,150900,696781,1086981,1694848,4330810,3134390,493611,538536,276803,73427,- -,21026,- -,100000,17051000,6740000,48731000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-982000,213000,-329000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,700143,-476011,111352,714416,-750250,285493,1522037,-1656138,-246335,-216497,-9457,- -,-5570,- -,3856,6335000,-5041000,5018000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,721772,245761,357113,1071529,321279,606772,2128809,472671,226336,9839,382,- -,170,170,4026,13926000,8885000,13903000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,21629,721772,245761,357113,1071529,321279,606772,2128809,472671,226336,9839,- -,5740,170,170,7591000,13926000,8885000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,-392610,-339599,-296459,-464795,-2319602,-3659255,-1135089,-700584,-784871,-493300,-82884,- -,-26596,- -,-96144,-7506000,-10629000,-38967000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
