,https://roic.ai/company/GTMAY,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49700180,61512771,180519988,96952440,100514872,50203814,50098000,37907000,23646000,21380000,24719000,24829000,9137000,5100000,7097000,- -
13,Interest Expense (Gain),108111500,117886500,17319500,- -,719075700,- -,489349184,1138462537,1697973962,1949102734,995730032,1019432755,648088620,605825088,1141555416,1243647284,963924177,1166772274,987890000,942817000,755226000,714105000,783459000,1039856000,82744000,141572000,73588000,62400000
14,Depreciation and Amortization,-343808000,-437644000,-372369250,-385363600,-502462800,-266668504,-259951694,-1459726635,1115948010,1121405346,113958666,134470820,178462940,279427236,485077828,673682076,826315853,874014149,805124000,670439000,937090000,747253000,631264000,84615000,85536000,184559000,161191000,117200000
15,EBITDA,-668142500,84755000,6298000,-459534000,-139463100,-1689729852,272491447,-223210472,2576955748,2565738025,456167234,2362612395,1286440150,147186216,2933824656,661749468,806868920,2298585652,1015343000,1061537000,1180096000,1143199000,638064000,2968793000,192085000,422770000,-182686000,-69900000
16,EBITDA ratio,-0.1425,0.0147,0.0011,-0.0624,-0.0157,-0.5424,0.0788,-0.0245,0.2459,0.2444,0.1636,0.7259,0.4802,0.0446,0.5876,0.1640,0.2142,0.6134,0.3045,0.3740,0.4111,0.3654,0.2410,1.2044,0.1261,0.2865,-0.1518,-0.0514
17,Operating Income,275986500,511612000,314112750,353921800,552906900,228497323,299026375,1728239501,1911615513,1167780850,218255112,43447195,-139600940,210681513,273634352,386187344,433862683,83881858,150834000,417296000,430923000,508259000,90728000,3039790000,98257000,212767000,-328788000,-195800000
18,Operating Income ratio,0.0589,0.0887,0.0555,0.0481,0.0624,0.0733,0.0865,0.1900,0.1824,0.1112,0.0783,0.0133,-0.0521,0.0638,0.0548,0.0957,0.1152,0.0224,0.0452,0.1470,0.1501,0.1624,0.0343,1.2332,0.0645,0.1442,-0.2732,-0.1438
19,Total Other Income Expenses (Gains),-708432500,-107099500,47235000,-428092200,-908982900,-425038699,-207402319,-1630185875,-2184477840,-2022247273,-947463966,-950976620,-602663260,-528680862,1040531352,-1623711316,-1396923648,187964972,-923167000,-900548000,-897709000,-762740000,-865907000,-1193479000,-69909000,-116900000,-93702000,-59200000
20,Income Before Tax,-432446000,404512500,361347750,-74170400,-356076000,-196541376,91624056,98053626,-272862327,-854466423,-729208854,-907529425,-742264200,-317999349,1314165704,-1237523972,-963060965,271846830,-772333000,-483252000,-466786000,-254481000,-775179000,1846311000,28348000,95867000,-422490000,-255000000
21,Income Before Tax Ratio,-0.0923,0.0701,0.0639,-0.0101,-0.0402,-0.0631,0.0265,0.0108,-0.0260,-0.0814,-0.2616,-0.2788,-0.2771,-0.0963,0.2632,-0.3067,-0.2557,0.0725,-0.2316,-0.1702,-0.1626,-0.0813,-0.2928,0.7490,0.0186,0.0650,-0.3511,-0.1873
22,Income Tax expense (Gain),5372000,7705000,22830250,11286800,-258155100,-104154820,-85551770,18572072,205724668,465064387,485365518,-654138760,-300262925,-9193692,276413064,14222308,10099580,45999279,8783000,4687000,4682000,698461000,-268615000,516732000,4799000,64575000,-19334000,-21100000
23,Net Income,-437818000,396807500,338517500,-85457200,-97920900,-1318906528,128645727,79481555,-442690892,-969834442,-1138886982,1862847580,760151515,-728872416,1030778348,-1269802200,-993470691,211799950,-786454000,-556406000,-516902000,-1016620000,-508044000,1327590000,19006000,32064000,-398131000,-228400000
24,Net Income ratio,-0.0934,0.0688,0.0599,-0.0116,-0.0111,-0.4234,0.0372,0.0087,-0.0422,-0.0924,-0.4086,0.5724,0.2838,-0.2206,0.2065,-0.3147,-0.2638,0.0565,-0.2358,-0.1960,-0.1801,-0.3249,-0.1919,0.5386,0.0125,0.0217,-0.3309,-0.1678
25,EPS,-39.95,36.21,29.52,-7.66,-8.90,-116.36,214.94,6.82,-38.86,-85.11,-99.95,159.60,66.23,-64.11,91.75,-111.61,-48.71,10.44,-32.45,-28.00,-27.00,-51.00,-21.50,64.00,1.00,0.50,-19.50,-2.86
26,EPS Diluted,-39.95,36.21,29.52,-7.66,-8.90,-116.36,214.94,6.82,-38.86,-85.11,-99.95,159.60,66.23,-64.11,91.75,-111.61,-48.71,10.44,-32.45,-28.00,-27.00,-51.00,-21.50,64.00,1.00,0.50,-19.50,-2.86
27,Weighted Average Shares Outstanding,10957983,10957447,11466667,11157895,11000000,11319527,11337888,11342800,11392600,11392600,11392600,11392600,11392600,11392400,11237800,11378800,20401400,20435200,20436600,20436600,20436600,20436600,20436600,20436600,20436600,20436600,20436600,79867332
28,Weighted Average Shares Outstanding Diluted,10957983,10957447,11466667,11157895,11000000,11319527,11337888,11389600,11392600,11392600,11392600,11392600,11392600,11392600,11377600,11378800,20401400,20435200,20436600,20436600,20436600,20436600,20436600,20436600,20436600,20436600,20436600,79867332
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1354415500,2006382000,3665436000,708649800,543015900,795795802,840934572,796980165,637153223,769504351,514640934,561756415,234316270,160366746,548960692,261915512,1109054778,506688186,496680000,405284000,332873000,1045359000,840338000,461554000,278842000,476714000,105310000,40400000
32,Short-Term Investments,- -,- -,- -,- -,439160400,42948491,48925280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1354415500,2006382000,3665436000,708649800,982176300,838744293,889859852,796980165,637153223,769504351,514640934,561756415,234316270,160366746,548960692,261915512,1109054778,506688186,496680000,405284000,332873000,1045359000,840338000,461554000,278842000,476714000,105310000,40400000
34,Net Receivables,784312000,893009500,949423500,1797826000,2027655000,1334543941,2033859351,2539753540,3057776509,1422499201,854484534,667492430,1104727915,844316430,1104579288,1039366792,720954662,786874474,769741000,733794000,1729157000,1240061000,1097045000,787018000,866581000,929144000,492852000,752800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,264683854,270077912,238301154,53986266,43234895,58908315,69573591,111657452,112234552,118346365,143984427,133990000,126652000,118596000,102455000,106300000,58061000,56621000,60964000,53853000,- -
36,Other Current Assets,46333500,379856500,491244000,365208600,165179700,127019689,419373311,308076290,204509083,1812818899,23217892632,3727032650,423012870,475283376,1816837456,858074888,673539660,584110097,629093000,688541000,625454000,215742000,77646000,11527000,64186000,58781000,70137000,646300000
37,Total Current Assets,2185061000,3279248000,5106103500,2871684400,3175011000,2300307923,3343092513,3909493849,4169516727,4243123605,24641004366,4999516390,1820965370,1549540143,3582034888,2271591744,2621895466,2021657183,2029504000,1954271000,2806080000,2603617000,2121329000,1318160000,1266230000,1525603000,722152000,1439500000
38,PP&E,3932975500,4292455500,3917356000,4292208800,5032540800,1606311396,6273587617,6308156033,7585173742,8174051883,892211616,1760147455,3052944745,3824085687,9460551440,9007391952,9392264487,9994540724,9716653000,9053118000,9052941000,9553079000,9564872000,2623535000,2313437000,2845519000,2886228000,1804100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112537875,- -,- -,136400700,128556930,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,195406500,217281000,204685000,642541400,651816900,39022583,212048,11597785822,- -,13201284094,49410594,95757915,101408230,415840275,449092132,200028192,163036084,158644609,164434000,158109000,132754000,156952000,150671000,141134000,135896000,147160000,153142000,- -
41,Intangible Assets,195406500,217281000,204685000,642541400,651816900,39022583,212048,11597785822,- -,13201284094,49410594,95757915,213946105,415840275,449092132,336428892,291593014,158644609,164434000,158109000,132754000,156952000,150671000,141134000,135896000,147160000,153142000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,233122069,248574492,168044886,78402390,41906190,51142635,55326632,46709880,- -,- -,- -,- -,48715000,- -,- -,5989000,5988000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,2095652095,2171449895,2292727187,1633997910,265444506,886946940,1218032235,1261605474,1338128656,1272733016,832284347,940910801,941944000,948413000,810324000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,492209500,627187000,371582000,2769297000,4291704900,7008172016,13767444579,1644819794,14053921551,216635378,105606954,598261400,511952875,110847168,81531812,182351708,129062526,139167311,92733000,65443000,73513000,102460000,86429000,35394000,59533000,45493000,269025000,556200000
45,Total Non-Current Assets,4620591500,5136923500,4493623000,7704047200,9976062600,8653505995,22136896339,21722211544,24164944548,23474543757,1480718556,3419516100,5038782150,5663521239,11384630672,10845615448,10645204374,11233263444,10915764000,10225083000,10118247000,9812491000,9801972000,2806052000,2514854000,3038172000,3308395000,2360300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6805652500,8416171500,9599726500,10575731600,13151073600,10953813918,25479988853,25631705393,28334461275,27717667362,26121722922,8419032490,6859747520,7213061382,14966665560,13117207192,13267099839,13254920627,12945268000,12179354000,12924327000,12416108000,11923301000,4124212000,3781084000,4563775000,4030547000,3799700000
48,Accounts Payable,544586500,711171500,734504250,1834911200,610274700,461005695,718303300,926820956,1150846710,1473843509,271575018,241544325,220455490,312193380,454484484,365789388,285858820,298981393,302362000,241923000,371583000,279044000,189576000,169072000,262090000,262159000,228959000,436800000
49,Short-Term Debt,747379500,199559500,708525000,522417600,928764900,2071990341,694756323,3028266328,2336467445,6344703877,294808770,377320790,297456225,193753791,289728872,209906612,291913635,239324337,332595000,636552000,918638000,684748000,740370000,502361000,223362000,199767000,187330000,322500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96899208,- -,98017000,24904000,25150000,11032000,1492000,11018000,37637000,38281000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,171232500,226527000,340092000,- -,1803129300,2457429395,1265204266,799645012,1743127207,1986962050,12453568722,518489675,589050765,583755870,740127824,681087620,717834768,749688010,949168000,647270000,725122000,594194000,457020000,376674000,375902000,587102000,526566000,550400000
53,Total Current Liabilities,1463198500,1137258000,1783121250,2357328800,3342168900,4990425431,2678263889,4754732296,5230441362,9805509436,13019952510,1137354790,1106962480,1089703041,1484341180,1256783620,1295607222,1287993740,1584125000,1525745000,2015343000,1557986000,1386966000,1048107000,861354000,1049028000,942855000,1309700000
54,Long-Term Debt,3170823000,4016616500,4656583750,5065354600,5667543000,3562832732,11497170874,8669128372,12538472257,8373262874,5213700594,5570359245,1526423795,3303073497,9359637424,9793295496,10316715213,10237220335,10491189000,10254067000,10069557000,9995502000,9330087000,396257000,392063000,645518000,350912000,351300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,300686400,268125347,21812039,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219572000,78051000,275226000,226803000,248214000,315624000,196100000
57,Other Non-Current Liabilities,143029500,182608500,138556000,57240200,168147000,30073404,62197563,690540912,1159501255,1353875989,817246116,259759665,2160802765,1525521078,1767893608,499560204,361562512,220362164,211143000,198559000,201882000,211242000,164207000,175560000,176606000,198223000,173748000,107800000
58,Total Non-Current Liabilities,3313852500,4199225000,4795139750,5122594800,6136376400,3861031483,11581180475,9359669284,13697973512,9727138863,6030946710,5830118910,3687226560,4828594575,11127531032,10292855700,10678277725,10457582500,10702332000,10452626000,10271439000,10426316000,9572345000,847043000,795472000,1091955000,840284000,655200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21356555450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587359000,355513000,412000000
61,Total Liabilities,4777051000,5336483000,6578261000,7479923600,9478545300,8851456913,14259444364,14114401580,18928414875,19532648299,19050899220,6967473700,4794189040,5918297616,12611872212,11549639320,11973884947,11745576240,12286457000,11978371000,12286782000,11984302000,10959311000,1895150000,1656826000,2140983000,1783139000,1964900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,1006650188,1020867023,1101936856,1258784368,1355879178,1345580748,1286092170,1307900610,1319774094,1619782756,2079453204,1959873520,2212685061,2216733000,2216733000,2216733000,2216733000,2216733000,2216733000,2216733000,2216733000,2216733000,- -
64,Retained Earnings,977704000,1616509000,1769738000,1608369000,1786314600,389573084,388317902,668758291,378690895,-561933683,-1804280760,50463710,671168330,-107579268,1053530772,-261352900,191805706,216547454,216948000,-3021347000,-3121644000,-4056841000,-4259984000,-859159000,-799818000,-565526000,-963602000,- -
65,Other Comprehensive Income/Loss,-379397500,-1577984000,-1661097500,-1844585600,-2500444800,-496745650,-506120261,-2231422589,-3018649237,-198718587,-197209242,15094530,-204349350,-218077860,-244265292,-232332588,-324062116,-555054256,-18300000,-290700000,-3868200000,-517800000,-448900000,-358700000,-75687000,477904000,-366100000,- -
66,Other Total Stockholders Equity,1430295000,3041163500,2912825000,3332024600,4386658500,1202879383,10317479823,11978031254,2834160933,- -,107728200,-85525055,197181470,236345421,-157850100,-113202768,-644252110,-419019463,-1816186000,1231696000,5342375000,2724356000,3389303000,1161361000,735826000,247249000,1318970000,- -
67,Total Stockholders Equity,2028601500,3079688500,3021465500,3095808000,3672528300,2102357005,11220544489,11517303813,1452986959,595226908,-548181054,1266125355,1971901060,1230462387,2271198136,1472564948,1183364999,1455158796,599195000,136382000,569264000,366448000,897152000,2160235000,2077054000,2376360000,2206001000,1834800000
68,Total Liabilities And Stockholders Equity,6805652500,8416171500,9599726500,10575731600,13151073600,10953813918,25479988853,25631705393,20381401833,20127875207,18502718166,8233599055,6766090100,7148760003,14883070348,13022204268,13157249946,13200735036,12885652000,12114753000,12856046000,12350750000,11856463000,4055385000,3733880000,4517343000,3989140000,3799700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,7953059442,7589792155,7619004756,185433435,93657420,64301379,83595212,95002924,109849893,54185592,59616000,64601000,68281000,65358000,66838000,68827000,47204000,46432000,41407000,- -
70,Total Liabilities & Equity,6805652500,8416171500,9599726500,10575731600,13151073600,10953813918,25479988853,25631705393,28334461275,27717667362,26121722922,8419032490,6859747520,7213061382,14966665560,13117207192,13267099839,13254920627,12945268000,12179354000,12924327000,12416108000,11923301000,4124212000,3781084000,4563775000,4030547000,3799700000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-437818000,396807500,338517500,-85457200,-97920900,-1318906528,128645727,79481555,-442690892,-969834442,-1138886982,1862847580,760151515,-728872416,1030778348,-1269802200,-993470691,211799950,-786454000,-556406000,-516902000,-1016620000,-508044000,1327590000,19006000,32064000,-398131000,-228400000
74,Depreciation and Amortization,-343808000,-437644000,-372369250,-385363600,-502462800,-266668504,-259951694,-1459726635,1115948010,1121405346,113958666,134470820,178462940,279427236,485077828,673682076,826315853,874014149,805124000,670439000,937090000,747253000,631264000,84615000,85536000,184559000,161191000,117200000
75,Deferred Income Tax,- -,- -,- -,- -,-264089700,-111874197,-101069835,- -,205724668,465064387,485365518,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,729300000,-368200000,1152600000,- -,-11100000,-31100000,-28200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-20816500,-22344500,82661250,-898106800,-137484900,231174509,137734880,-917762296,-341641546,753758614,550702116,-3162155425,420756715,12995349,-1435397332,761541136,29521850,52500993,143668000,-13919000,-83287000,-505511000,4939000,26950000,-12420000,-119508000,-59579000,-112000000
78,Accounts Receivable,-85952000,84755000,-96831750,-198325200,-189907200,-174717109,39228899,-764747343,-163761033,-141566150,-243065916,110937365,28801060,-45892209,-92412808,28771716,246841637,39274808,24406000,-181989000,-218731000,-266392000,267891000,-142230000,-95940000,-50560000,82104000,- -
79,Inventory,-671500,30049500,110215000,- -,- -,- -,- -,4620280,32280518,39146118,-2898666,8364620,-14940280,- -,-23797880,-6031724,-12565900,-10372114,10256000,-2828000,5050000,16141000,-3845000,-38936000,1440000,-4343000,7111000,- -
80,Accounts Payable,59092000,54705500,80299500,499844000,71215200,-101988476,-137079458,27266930,59096102,1086310370,826308612,486018390,36929695,58887558,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-287864924,-272221075,-213790500,-3601478430,395204950,- -,-1235715236,812058460,287523586,352902460,-11955000,28248000,47659000,-8214000,36971000,42269000,1046000,-25125000,2002000,- -
82,Other Non-Cash Items,1210043000,817500500,755760000,770727200,925797600,1683126758,303354084,3223000230,477786995,-563556378,-31274496,-2612818560,2245791800,422278038,-776636248,1460422996,1322305136,-140684841,754225000,884831000,497718000,657550000,850823000,-2210065000,-37162000,-125999000,115006000,132200000
83,Cash Provided by Operating Activities,407600500,754319500,804569500,-598200400,-76160700,216852038,208713162,924992853,1015127235,806837527,-20135178,-3777655585,3605162970,-14171793,-696177404,1625844008,1184672149,997630251,916563000,984945000,834619000,611972000,610782000,381690000,54960000,-39984000,-212613000,-119200000
84,CAPEX,-495567000,-281232500,-355049750,-673983200,-553896000,-325708489,-161358966,- -,-1111386971,-907679628,-169677468,-1136134065,-1666175865,-1097360820,-5527435920,-961098304,-396127987,-214069285,-351203000,-290766000,-227236000,-101886000,-162072000,-80222000,-86283000,-48281000,-28375000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-188472207,-1003446668,-2080529792,- -,- -,-404134280,418835205,578745090,203148608,-2642968,50090959,-83881858,-54301000,64914000,25469000,829836000,- -,-145345000,50331000,600887000,33985000,- -
86,Purchases of Investments,-271286000,-341331500,-549500500,- -,-429269400,-18702460,-261455307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,94681500,37754500,537691750,- -,272002500,379791423,305214324,23128687,- -,1257510288,- -,- -,- -,- -,- -,- -,50090959,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,110126000,414529000,255856250,-2162228400,384759900,494777966,1725753462,107394232,44664933,111328068,15259644,6185859405,132702935,78277098,28942624,206517856,15426832,53224953,60709000,17166000,78977000,62934000,87720000,7059000,152598000,21333000,7711000,54400000
89,Cash Used for Investing Activites,-562045500,-170280500,-111002250,-2836211600,-326403000,530158441,1419681307,-872923749,-3147251830,461158728,-154417824,4645591060,-1114637725,-440338632,-5295344688,-757223416,-280519237,-244726189,-344795000,-208686000,-122790000,790884000,-74352000,-218508000,116646000,573939000,13321000,54400000
90,Debt Repayment,-361938500,-292790000,-395199500,-727998600,-203754600,-244002296,-1553599320,-547121226,-8074524373,-1084687675,-19768680,-2239765,-4787873965,- -,- -,- -,-740771544,-1518741940,-787500000,-875667000,-920400000,-962400000,-880300000,-172592000,-397458000,-323271000,-214135000,-43300000
91,Common Stock Issued,85280500,184920000,- -,244278600,- -,28824681,5243371,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-113483500,-2311500,-13383250,-1612400,-148365000,- -,- -,- -,- -,- -,- -,- -,- -,-773403,-30689636,- -,-160311,1350463,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-82594500,- -,-188940000,- -,- -,-20840424,-2506023,-52505666,-16394805,-89528000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,118184000,7705000,1535924750,877145600,429269400,-189200400,-47412027,504856575,9966784042,-10575495,-14748768,-795827780,1960382795,379207116,7033112656,-1194961720,644523406,96885286,217494000,7582000,119496000,-201683000,135822000,-409146000,83218000,-6667000,8707000,53100000
95,Cash Used/Provided by Financing Activities,-354552000,-102476500,938402000,391813200,77149800,-425218439,-1598274000,-94770317,1875864865,-1184791170,-34517448,-798067545,-2827491170,378433713,7002423020,-1194961720,-96408449,-1420506191,-570006000,-868085000,-800904000,-1164083000,-744478000,-581738000,-314240000,-329938000,-205428000,9800000
96,Effect of Forex Changes on Cash,-183319500,-28508500,-17319500,-2418600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-664456068,66113452,54456346,-77825657,-12691000,430000,16664000,63540000,65393000,-22594000,-607000,-6145000,33316000,500000
97,Net Change In Cash,-354552000,-102476500,1615437000,-3045017400,-326403000,321792040,30120469,-42701213,-256259731,83205085,-209070450,69867930,-336965925,-76076712,346444860,-260227676,862200809,-745427787,-10929000,-91396000,-72411000,302313000,-142655000,-441150000,-143241000,197872000,-371404000,-54400000
98,Cash at the End of Period,- -,- -,3665436000,708649800,543015900,795795802,840934572,796980165,637153223,769504351,514640934,561756415,234316270,160366746,548960692,261915512,1109054778,506688186,496680000,405284000,332873000,1045359000,902704000,461554000,278842000,476714000,105310000,88600000
99,Cash at the Beginning of Period,2046060500,1554098500,2049999000,3753667200,869418900,474003762,810814103,839681378,893412954,686299266,723711384,491888485,571282195,236443458,202515832,522143188,246853969,1252115973,507609000,496680000,405284000,743046000,1045359000,902704000,422083000,278842000,476714000,143000000
100,Free Cash Flow,-87966500,473087000,449519750,-1272183600,-630056700,-108856450,47354196,924992853,-96259737,-100842101,-189812646,-4913789650,1938987105,-1111532613,-6223613324,664745704,788544162,783560966,565360000,694179000,607383000,510086000,448710000,301468000,-31323000,-88265000,-240988000,-119200000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.2001,0.13,0.1268,0.1239,0.101,0.1052,0.1037,0.1093,0.0964,0.089,0.0898,0.0941,0.0926,0.0916,0.0727,0.0765,0.08088,0.07162,0.07782,0.07668,0.06778,0.05817,0.04822,0.05087,0.05088,0.0528,0.05024,0.04877
