,https://roic.ai/company/UFAB,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,- -,8469000,- -,8426937,9899418,9908698,9750538,9844828,10320000
29,SEC Link,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/1617669/000161766916000044/0001617669-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766918000012/0001617669-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766919000010/0001617669-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766920000005/0001617669-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766921000022/0001617669-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1617669/000161766922000021/0001617669-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,891826,756044,- -,726900,1430937,1409590,650000,760000,742000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,891826,756044,- -,726900,1430937,1409590,650000,760000,742000
34,Net Receivables,18262792,18747468,- -,20535660,27849549,31814260,25750000,27786000,27207000
35,Inventory,8439529,10488051,- -,14585610,16330084,16285510,13047000,11951000,13770000
36,Other Current Assets,1488644,2902031,- -,4591750,3962012,2511480,3111000,5643000,3270000
37,Total Current Assets,29082791,32893594,- -,40439920,49572582,52020840,42558000,46140000,44989000
38,PP&E,14814878,17920073,- -,18761180,22975401,25077750,23415000,32798000,32343000
39,Goodwill,14384134,15183417,- -,19213960,28871179,28871180,22111000,22111000,16996000
40,Intangible Assets,18153382,16748466,- -,20139210,19635782,15568380,11625000,7605000,5161000
41,Intangible Assets,32537516,31931883,- -,39353170,48506961,44439560,33736000,29716000,22157000
42,Investments,1054120,1054120,- -,1054120,1054120,1054120,1054000,1054000,1054000
43,Tax Assets,- -,- -,- -,5774450,342552,2295110,679000,893000,2379000
44,Other Non-Current Assets,469963,351036,- -,-5653710,353719,-1600080,226000,579000,755000
45,Total Non-Current Assets,48876477,51257112,- -,59289210,73232753,71266460,59110000,65040000,58688000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,77959268,84150706,- -,99729130,122805335,123287300,101668000,111180000,103677000
48,Accounts Payable,7882571,10177820,- -,11430660,11708175,11465220,9324000,10892000,10056000
49,Short-Term Debt,2022600,2018133,- -,2519069,3799998,3350000,2847000,47358000,50237000
50,Tax Payable,- -,90169,- -,- -,348910,40634,- -,204000,303000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4090574,4379523,- -,3442861,4216958,4321030,3204000,5547000,3118000
53,Total Current Liabilities,13995745,16575476,- -,17392590,19725131,19136250,15375000,63797000,63411000
54,Long-Term Debt,38040739,37953477,- -,28502090,49765371,52572640,44638000,2999000,8648000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7237825,6497330,- -,5774452,2432754,2295105,1324000,- -,- -
57,Other Non-Current Liabilities,4739355,6532488,- -,46868,- -,395145,871000,10519000,491000
58,Total Non-Current Liabilities,50017919,50983295,- -,34323410,52198125,55262890,46833000,13518000,9139000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,10460000
61,Total Liabilities,64013664,67558771,- -,51716000,71923256,74399140,62208000,77315000,72550000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4325,4325,- -,9590,9758,9780,10000,10000,12000
64,Retained Earnings,252154,2864154,- -,3651340,5159753,2996530,-6561000,-12271000,-19234000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2967450,-6865281,-9227450,-11997000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,47319644,52577849,55109300,58008000,46126000,- -
67,Total Stockholders Equity,13945604,16591935,- -,48013124,50882079,48888160,39460000,33865000,31127000
68,Total Liabilities And Stockholders Equity,77959268,84150706,- -,99729124,122805335,123287300,101668000,111180000,103677000
69,Minority Interest,- -,- -,- -,6,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,77959268,84150706,- -,99729130,122805335,123287300,101668000,111180000,103677000
71,SEC Link,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1617669/000161766916000044/0001617669-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766918000012/0001617669-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766919000010/0001617669-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766920000005/0001617669-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766921000022/0001617669-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1617669/000161766922000021/0001617669-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,4464840,- -,5028940,6486691,3698600,-9068000,-5710000,-6963000
74,Depreciation and Amortization,- -,3524669,- -,3903429,6319975,6630142,6863000,7085000,5599000
75,Deferred Income Tax,- -,-1173395,- -,-496427,-1552502,-291278,-1132000,-1539000,-1486000
76,Stock Based Compensation,- -,- -,- -,- -,- -,131302,130000,115000,388000
77,Change in Working Capital,- -,-524833,- -,6729212,3089011,3037139,5660000,-3043000,304000
78,Accounts Receivable,- -,-1820427,- -,-694902,-443826,-3640825,5888000,202000,597000
79,Inventory,- -,-1798050,- -,-2981751,401524,44577,2584000,1096000,-1819000
80,Accounts Payable,- -,1893740,- -,-158202,-1705663,1008447,-1104000,1236000,-25000
81,Other Working Capital,- -,16318118,- -,23047330,29847451,32884590,- -,2117000,-935000
82,Other Non-Cash Items,- -,836843,- -,-10223394,-6534311,-3775600,9568000,1722000,-1494000
83,Cash Provided by Operating Activities,- -,7128124,- -,4941760,7808864,9430305,12021000,-1370000,-3652000
84,CAPEX,- -,-3885050,- -,-3565578,-4140135,-5393817,-2759000,-2425000,-3429000
85,Acquisitions Net,- -,-2316911,- -,-11819991,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,191004,- -,-53554,51847,904237,119000,-1536000,-3329000
89,Cash Used for Investing Activites,- -,-6010957,- -,-15439123,-4088288,-4489580,-2640000,-1536000,-3329000
90,Debt Repayment,- -,-2022598,- -,-15151028,-3412523,-2962477,-10951000,-32737000,-47066000
91,Common Stock Issued,- -,- -,- -,25673750,- -,- -,- -,- -,4044000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-2877717,-5850544,-5861822,-490000,- -,- -
94,Other Financing Activites,- -,769649,- -,2823212,6267893,3862230,1300000,35753000,49985000
95,Cash Used/Provided by Financing Activities,- -,-1252949,- -,10468217,-2995174,-4962069,-10141000,3016000,6963000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-135782,- -,-29146,725402,-21344,-760000,110000,-18000
98,Cash at the End of Period,- -,756044,- -,726898,1430937,1409593,650000,760000,742000
99,Cash at the Beginning of Period,- -,891826,- -,756044,705535,1430937,1410000,650000,760000
100,Free Cash Flow,- -,3243074,- -,1376182,3668729,4036488,9262000,-3795000,-7081000
101,SEC Link,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/1617669/000161766916000044/0001617669-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766918000012/0001617669-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766919000010/0001617669-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766920000005/0001617669-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1617669/000161766921000022/0001617669-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1617669/000161766922000021/0001617669-22-000021-index.htm
102,false,,,,,,,,,
