,https://roic.ai/company/BGI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,2164279,1108174,- -,11893770,17116276,23516136,11623885,-22928107,-8507912,3495960,10418088,10993547,4121962,6714269,20130004,11111389,-17643243,-13616000,-6544000,-2821000
18,Operating Income ratio,0.0179,0.0050,- -,0.0411,0.0535,0.0693,0.0359,-0.0670,-0.0327,0.0133,0.0345,0.0369,0.0133,0.0176,0.0543,0.0290,-0.1194,-0.0901,-0.0386,-0.0197
19,Total Other Income Expenses (Gains),-6031912,6045786,- -,-10482051,-10410594,-11625981,-10967192,-12585331,-11342864,-11001049,-10176642,-9433796,-10514375,-17657918,-13006361,-11576808,-4024034,-4689000,-5683000,-3017000
20,Income Before Tax,-3867633,7153960,- -,1411720,6705682,11890155,656693,-35513438,-19850776,-7505089,241446,1559751,-6392413,-10943650,7123644,-465419,-21667277,-18305000,-12227000,-5838000
21,Income Before Tax Ratio,-0.0320,0.0321,- -,0.0049,0.0210,0.0350,0.0020,-0.1038,-0.0763,-0.0285,0.0008,0.0052,-0.0206,-0.0286,0.0192,-0.0012,-0.1467,-0.1212,-0.0722,-0.0408
22,Income Tax expense (Gain),- -,1454570,- -,- -,46632,-3248538,-10081994,41484746,-2039,23326,22947,20349,19897,- -,64902,-7037302,- -,- -,- -,- -
23,Net Income,-3867633,17755735,-2903041,1411720,6659050,15138693,10738687,-76998183,-19848737,-7528415,218498,1539402,-6412309,-10943650,7058742,6571882,15108206,-18686000,-12779000,-5838000
24,Net Income ratio,-0.0320,0.0796,-0.0102,0.0049,0.0208,0.0446,0.0331,-0.2251,-0.0763,-0.0286,0.0007,0.0052,-0.0206,-0.0286,0.0190,0.0172,0.1023,-0.1237,-0.0754,-0.0408
25,EPS,-0.61,3.01,-0.46,0.22,0.77,1.35,0.96,-6.79,-1.74,-0.66,0.02,0.11,-0.39,-0.61,0.39,0.36,0.84,-1.04,-0.71,-0.32
26,EPS Diluted,-0.61,1.88,-0.46,0.21,0.66,1.28,0.92,-6.79,-1.74,-0.66,0.02,0.11,-0.39,-0.61,0.39,0.36,0.83,-1.04,-0.71,-0.32
27,Weighted Average Shares Outstanding,6313000,6313000,6313000,6316000,8701000,11213000,11263000,11339000,11390000,11390000,11392000,13538000,16617000,17937000,17961000,17961000,17961000,17961000,17968000,18005000
28,Weighted Average Shares Outstanding Diluted,6313000,9503000,6313000,9656000,10295000,11788000,11720000,11339000,11390000,11390000,11438000,13544000,16617000,17937000,17961000,18418000,18393000,17961000,17968000,18005000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2200000,2100000,2100000,3433114,3200000,2500000,3500000,3300000,3119839,3900000,2600000,3129946,3166744,2626344,1006008,1179000,565000,1807000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,2200000,2100000,2100000,3433114,3200000,2500000,3500000,3300000,3119839,3900000,2600000,3129946,3166744,2626344,1006008,1179000,565000,1807000
34,Net Receivables,- -,- -,10900000,11900000,14500000,15273664,12200000,13800000,9800000,8000000,7083741,6800000,8100000,10224136,13905843,18320911,6220722,3537000,6019000,7308000
35,Inventory,- -,- -,177300000,166900000,171800000,183173222,186000000,193200000,147700000,139100000,143146442,139400000,160000000,180329262,186220489,178425219,84965738,91541000,101899000,97789000
36,Other Current Assets,- -,- -,4100000,3700000,4100000,7057725,10100000,2900000,3300000,2300000,2351602,2500000,2600000,2965212,2422343,2960041,4938352,2142000,2007000,2043000
37,Total Current Assets,- -,- -,194500000,184600000,192500000,208937725,211500000,212400000,164300000,152700000,155701625,152600000,173300000,196648556,205715419,202332515,97130820,98399000,110490000,108947000
38,PP&E,- -,- -,38400000,36700000,38100000,40334470,40500000,38000000,28800000,25800000,25736927,27800000,34200000,37920704,39745069,31059490,19457674,29727000,90682000,82166000
39,Goodwill,- -,- -,20300000,18800000,35200000,33190226,13400000,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,300000,300000,- -,- -,- -,- -,1100000,1000000,970772,1000000,1200000,1218235,1069992,932190,- -,4403000,4942000,- -
41,Intangible Assets,- -,- -,20600000,19100000,35200000,33190226,13400000,1300000,1100000,1000000,970772,1000000,1200000,1218235,1069992,932190,3883270,4403000,4942000,4894000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1500000,2900000,2300000,8840037,33000000,4300000,2700000,1200000,2333644,1600000,2000000,3613519,666043,7421043,- -,1266000,4538000,5673000
45,Total Non-Current Assets,- -,- -,60500000,58700000,75600000,82364733,86900000,43600000,32600000,28000000,29041343,30400000,37400000,42752458,41481104,39412723,23340944,35396000,100162000,92733000
46,Other Assets,108175687,251204676,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,108175687,251204676,255000000,243300000,268100000,291302458,298400000,256000000,196900000,180700000,184742968,183000000,210700000,239401014,247196523,241745238,120471765,133795000,210652000,201680000
48,Accounts Payable,- -,- -,28000000,27500000,45700000,32709174,38700000,34700000,44700000,47300000,44490882,42900000,40800000,59437090,63132230,63033607,26418374,33264000,48183000,37975000
49,Short-Term Debt,- -,- -,92700000,95072742,104249333,127901939,126356868,113218733,70717817,64405560,66970286,72342730,86748012,87594838,89407697,97676734,40357854,48014000,63922000,62645000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,4595000,- -,- -,- -,- -,- -,- -,- -,- -,5303000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,28000000,19327258,14850667,13752066,4348132,6181267,8582183,9494440,12961251,9357270,8851988,14926836,14761158,7302396,7499218,9657000,4661000,11209000
53,Total Current Liabilities,- -,- -,148700000,141900000,164800000,174363179,174000000,154100000,124000000,121200000,124422419,124600000,136400000,161958764,167301085,173315737,74275446,90935000,116766000,111829000
54,Long-Term Debt,- -,- -,44300000,40900000,19800000,18707931,25200000,54300000,50200000,45100000,45859740,38800000,55500000,69133812,63025501,41239275,4851827,16111000,16217000,89775000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,6300000,5400000,4800000,4216408,4200000,4200000,3800000,3300000,2859437,3000000,3700000,4558083,6461833,9902830,8817747,12966000,74259000,1498000
58,Total Non-Current Liabilities,- -,- -,50600000,46300000,24600000,22924339,29400000,58500000,54000000,48400000,48719177,41800000,59200000,73691895,69487334,51142105,13669575,29077000,90476000,91273000
59,Other Liabilities,96127813,208159092,- -,- -,- -,45848678,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16596906,- -,- -,- -,- -,- -,- -,- -,- -,73011000
61,Total Liabilities,96127813,208159092,199300000,188200000,189400000,197287518,203400000,212600000,178000000,169600000,173141596,166400000,195600000,235650659,236788419,224457842,87945021,120012000,207242000,203102000
62,Preferred Stock,- -,3001064086,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,41400000,44300000,70600000,- -,62200000,75600000,62500000,59700000,- -,65600000,76800000,92464929,94030951,94030951,89883427,93348000,93368000,95116000
64,Retained Earnings,- -,- -,-19700000,-16800000,-9400000,7125787,17000000,-55100000,-65600000,-70200000,-71203570,-71100000,-83700000,-111975280,-106524999,-99867271,-80354113,-98473000,-108862000,-114700000
65,Other Comprehensive Income/Loss,- -,- -,600000,879452,-1263727,-1039394,-257325,3459798,5712718,6102623,6253646,5867634,4157334,1777456,955357,992184,1872545,-212000,-227000,-97000
66,Other Total Stockholders Equity,12047875,- -,33400000,26600000,18500000,- -,16400000,19900000,16000000,15600000,- -,16100000,18000000,22260707,21902152,22123716,21124885,19332000,19358000,18259000
67,Total Stockholders Equity,12047875,43045584,55700000,55100000,78700000,94014939,95000000,43400000,18900000,11100000,11601372,16600000,15100000,3750356,10408104,17287396,32526744,13783000,3410000,-1422000
68,Total Liabilities And Stockholders Equity,108175687,251204676,255000000,243300000,268100000,291302458,298400000,256000000,196900000,180700000,184742968,183000000,210700000,239401015,247196523,241745238,120471765,133795000,210652000,201680000
69,Minority Interest,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,108175687,251204676,255000000,243300000,268100000,291302458,298400000,256000000,196900000,180700000,184742968,183000000,210700000,239401014,247196523,241745238,120471765,133795000,210652000,201680000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1179821/000119312510157418/d20f.htm,https://www.sec.gov/Archives/edgar/data/1179821/000119312511184958/d20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1179821/000119312513282552/d448086d20f.htm,https://www.sec.gov/Archives/edgar/data/1179821/000119312514280412/d732195d20f.htm,https://www.sec.gov/Archives/edgar/data/1179821/000119312515237397/0001193125-15-237397-index.html,https://www.sec.gov/Archives/edgar/data/1179821/000119312516637910/d256018d20f.htm,https://www.sec.gov/Archives/edgar/data/1179821/000119312517211253/0001193125-17-211253-index.html,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,17755735,-2903041,1500000,6659050,15138693,10738687,-76998183,-21300000,-7900000,218498,1500000,-6100000,-11467612,7346738,6657728,15108206,-18686000,-12779000,-5838000
74,Depreciation and Amortization,- -,5380000,6250000,6630000,7410000,9118054,8060000,7930000,6470000,5890000,4980568,4780000,5820000,7959044,3832787,3578799,3291804,3859000,4845000,5458000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-3363898,-10110000,36940000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,40000,-29000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-33820000,-680000,-1820000,2220000,-32373477,3380000,8460000,44110000,11190000,-1649215,-922827,-20750000,12347079,1241569,-49987,-4029199,9364000,368000,-1437000
78,Accounts Receivable,- -,- -,- -,-800000,-3000000,- -,1788000,-532000,2188000,1563000,937847,401000,-1753000,-1515000,-3189000,-3915000,- -,1407000,-2482000,- -
79,Inventory,- -,- -,- -,10400000,-4900000,-12769198,-4450000,11312000,24692000,5457000,-3349312,5225000,-14470000,-750000,-6671000,5244000,130432,-6714000,-10358000,4110000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,12560027,3184949,-3427134,-2250599,-3468682,13995244,3559226,1117540,773555,5562000,18735000,-10636000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,36677000,46956000,39230000,32093000,- -,27563000,33304000,26112000,27620000,21478000,- -,7464000,- -,- -
82,Other Non-Cash Items,- -,-4825735,-7466959,1820000,470950,-776373,-568687,23667183,2620000,1310000,1022653,822827,900000,5243589,-6065990,-375578,-52178130,742000,3206000,94000
83,Cash Provided by Operating Activities,- -,-15510000,-4800000,8130000,16760000,-12257000,11540000,-30000,31900000,10490000,4572505,6180000,-20130000,14082100,6355104,9810962,-37807319,-4721000,-4360000,-1723000
84,CAPEX,- -,-6220000,-5090000,-4780000,-7800000,-8102886,-9402000,-4939000,-1725000,-2567000,-4500670,-6254000,-6595000,-6277000,-6476000,-5060000,-8751886,-11580000,-6432000,-2992000
85,Acquisitions Net,- -,- -,- -,-1296798,-265802,- -,-7230833,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,350000,260000,-223202,-74198,185730,-377168,-681000,-65000,917000,-60860,-26000,-615000,-2125763,3178209,-1792272,134296309,-2031000,- -,-16000
89,Cash Used for Investing Activites,- -,-5870000,-4830000,-6300000,-8140000,-7917157,-17010000,-5620000,-1790000,-1650000,-4561530,-6280000,-7210000,-8402763,-3297791,-6852272,127724323,-13611000,-6432000,-2992000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1252000,-2007000,-1724000,-2743000,-3719463,-2406000,-1024000,-2003000,-2263000,-1610000,-11236558,-3121000,- -,-4870000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,15570000,- -,-70000,- -,- -,- -,- -,- -,- -,- -,3600000,5200000,154106,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,7570000,9820000,-1730000,-8550000,21496182,6742000,6627000,-27146000,-6267000,3525907,-354000,21754000,-3540831,-576802,-1885037,-79829801,21627000,10178000,10827000
95,Cash Used/Provided by Financing Activities,- -,23140000,9820000,-1800000,-8550000,21496182,5490000,4620000,-28870000,-9010000,-193556,840000,25930000,-5389725,-2839802,-3495037,-91066359,18506000,10178000,5957000
96,Effect of Forex Changes on Cash,- -,60000,40000,110000,20000,-9229,180000,-250000,260000,100000,-31927,-40000,-170000,-252415,-233723,-4053,-355138,- -,- -,- -
97,Net Change In Cash,- -,1810000,240000,140000,90000,1312797,200000,-1280000,1500000,-60000,-214508,700000,-1580000,37198,-16212,-540400,-1504493,174000,-614000,1242000
98,Cash at the End of Period,- -,2989000,240000,2340000,2190000,3433114,3600000,1920000,4000000,3440000,3119839,3800000,2320000,2637198,3113734,2626344,1006008,1179000,565000,1807000
99,Cash at the Beginning of Period,- -,1179000,- -,2200000,2100000,2120317,3400000,3200000,2500000,3500000,3334347,3100000,3900000,2600000,3129946,3166744,2510501,1005000,1179000,565000
100,Free Cash Flow,- -,-21730000,-9890000,3350000,8960000,-20359886,1780000,-5650000,30110000,7850000,71835,-160000,-27340000,5679337,-102676,3896284,-46559205,-18332000,-10792000,-4715000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1179821/000119312510157418/d20f.htm,https://www.sec.gov/Archives/edgar/data/1179821/000119312511184958/d20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1179821/000119312513282552/d448086d20f.htm,https://www.sec.gov/Archives/edgar/data/1179821/000119312514280412/d732195d20f.htm,https://www.sec.gov/Archives/edgar/data/1179821/000119312515237397/0001193125-15-237397-index.html,https://www.sec.gov/Archives/edgar/data/1179821/000119312516637910/d256018d20f.htm,https://www.sec.gov/Archives/edgar/data/1179821/000119312517211253/0001193125-17-211253-index.html,- -,- -,- -,- -
102,Forex Rate,0.6267,0.6808,0.7635,0.8268,0.8559,0.8671,0.9746,0.7926,0.9849,1.0308,1.002,0.983,0.9049,0.7881,0.7688,0.7509,0.7754,0.7492,0.711,0.7961
