,https://roic.ai/company/RWLK,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,7427,252167,150667,484601,527124,808595,1472499,5763317,15764980,47935652
28,Weighted Average Shares Outstanding Diluted,7427,252167,150667,484601,527124,808595,1472499,5763317,15764980,47935652
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1607962/000160796216000007/0001607962-16-000007-index.html,https://www.sec.gov/Archives/edgar/data/1607962/000160796217000006/0001607962-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000160796218000007/0001607962-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000121390019001871/0001213900-19-001871-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000121390020004363/0001213900-20-004363-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000117891321000678/0001178913-21-000678-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000117891322000800/0001178913-22-000800-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,769000,8860000,43496000,17869000,23678000,14567000,9546000,16253000,20350000,88337000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,769000,8860000,43496000,17869000,23678000,14567000,9546000,16253000,20350000,88337000
34,Net Receivables,234000,304000,1955000,2146000,1254000,1103000,758000,794000,684000,585000
35,Inventory,560000,973000,777000,2534000,3264000,3643000,2240000,3123000,3542000,2989000
36,Other Current Assets,180000,469000,756000,1227000,1291000,1625000,693000,903000,672000,610000
37,Total Current Assets,1743000,10606000,46984000,23776000,29487000,20938000,13237000,21073000,25248000,92521000
38,PP&E,261000,356000,414000,753000,487000,840000,626000,2238000,1786000,1165000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,575000,771000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,90000,97000,267000,470000,1018000,1085000,1099000,1061000,1033000,1064000
45,Total Non-Current Assets,351000,453000,681000,1798000,2276000,1925000,1725000,3299000,2819000,2229000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2094000,11059000,47665000,25574000,31763000,22863000,14962000,24372000,28067000,94750000
48,Accounts Payable,935000,945000,1390000,2474000,3424000,1811000,2328000,2698000,2268000,1384000
49,Short-Term Debt,- -,- -,- -,- -,7495000,6441000,1722000,5438000,5438000,641000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,198000,77000,199000,54000,123000,237000,323000,441000,- -
52,Other Current Liabilities,1171000,760000,2107000,1670000,1425000,1352000,1095000,1709000,-3479000,2013000
53,Total Current Liabilities,2106000,1903000,3574000,4343000,12398000,9727000,5382000,10168000,4668000,4038000
54,Long-Term Debt,- -,- -,- -,- -,10518000,8911000,6965000,1527000,923000,418000
55,Deferred Revenue,49000,123000,172000,171000,284000,262000,431000,521000,667000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2203000,3402000,66000,140000,303000,256000,239000,1376000,35000,911000
58,Total Non-Current Liabilities,2252000,3525000,238000,311000,11105000,9429000,7635000,3424000,1625000,1329000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1952000,1583000,1059000
61,Total Liabilities,4358000,5428000,3812000,4654000,23503000,19156000,13017000,13592000,6293000,5367000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,32000,33000,45000,84000,193000,504000,1827000,- -
64,Retained Earnings,-14729000,-26906000,-48574000,-73989000,-106492000,-131220000,-152918000,-168469000,-181445000,- -
65,Other Comprehensive Income/Loss,-132000,-224000,-335000,-773000,-1446000,-2088000,-2551000,-2872000,-3157000,- -
66,Other Total Stockholders Equity,12597000,32761000,92730000,95649000,116153000,136931000,157221000,181617000,204549000,- -
67,Total Stockholders Equity,-2264000,5631000,43853000,20920000,8260000,3707000,1945000,10780000,21774000,89383000
68,Total Liabilities And Stockholders Equity,2094000,11059000,47665000,25574000,31763000,22863000,14962000,24372000,28067000,94750000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2094000,11059000,47665000,25574000,31763000,22863000,14962000,24372000,28067000,94750000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1607962/000160796216000007/0001607962-16-000007-index.html,https://www.sec.gov/Archives/edgar/data/1607962/000160796217000006/0001607962-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000160796218000007/0001607962-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000121390019001871/0001213900-19-001871-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000121390020004363/0001213900-20-004363-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000117891321000678/0001178913-21-000678-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000117891322000800/0001178913-22-000800-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-6658000,-12177000,-21668000,-25415000,-32503000,-24717000,-21675000,-15551000,-12976000,-12736000
74,Depreciation and Amortization,61000,92000,111000,438000,696000,642000,463000,321000,285000,- -
75,Deferred Income Tax,-42000,16000,-60000,-61000,-5000,73000,-107000,-57000,-44000,- -
76,Stock Based Compensation,113000,215000,5179000,2345000,3398000,3654000,2766000,1108000,749000,- -
77,Change in Working Capital,301000,9066000,34707000,-23977000,-2344000,-5878000,-3356000,3050000,9675000,- -
78,Accounts Receivable,-234000,-70000,-1651000,-191000,892000,151000,322000,-36000,110000,- -
79,Inventory,-265000,-413000,196000,-2525000,-911000,-582000,1403000,-1221000,-469000,- -
80,Accounts Payable,440000,10000,445000,1084000,950000,-1613000,492000,370000,-506000,- -
81,Other Working Capital,-363000,8703000,43410000,19433000,17089000,11211000,7855000,10905000,20580000,- -
82,Other Non-Cash Items,838000,-6012000,-33588000,21490000,3221000,3728000,7135000,-3686000,-10278000,1267000
83,Cash Provided by Operating Activities,-5387000,-8800000,-15319000,-25180000,-27537000,-22498000,-14774000,-14815000,-12589000,-11469000
84,CAPEX,-148000,-187000,-169000,-584000,-452000,-21000,-13000,-22000,-73000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-38000,7000,-1667000,1667000,15000,- -,- -,- -,- -,-47000
89,Cash Used for Investing Activites,-186000,-180000,-1836000,1083000,-437000,-21000,-13000,-22000,-73000,-47000
90,Debt Repayment,- -,- -,- -,- -,-922000,-3102000,-3866000,-1722000,-6965000,- -
91,Common Stock Issued,- -,- -,36265000,- -,15188000,16472000,13577000,21775000,19074000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5783000,17071000,13859000,137000,19517000,38000,- -,1429000,4615000,79512000
95,Cash Used/Provided by Financing Activities,5783000,17071000,50124000,137000,33783000,13408000,9711000,21482000,16724000,79512000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,210000,8091000,32969000,-23960000,5809000,-9111000,-5076000,6645000,4062000,67996000
98,Cash at the End of Period,769000,8860000,41829000,17869000,23678000,14567000,10347000,16992000,21054000,89050000
99,Cash at the Beginning of Period,559000,769000,8860000,41829000,17869000,23678000,15423000,10347000,16992000,21054000
100,Free Cash Flow,-5535000,-8987000,-15488000,-25764000,-27989000,-22519000,-14787000,-14837000,-12662000,-11469000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1607962/000160796216000007/0001607962-16-000007-index.html,https://www.sec.gov/Archives/edgar/data/1607962/000160796217000006/0001607962-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000160796218000007/0001607962-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000121390019001871/0001213900-19-001871-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000121390020004363/0001213900-20-004363-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000117891321000678/0001178913-21-000678-index.htm,https://www.sec.gov/Archives/edgar/data/1607962/000117891322000800/0001178913-22-000800-index.htm
102,false,,,,,,,,,,
