,https://roic.ai/company/VRNA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1657312/000165731218000006/0001657312-18-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1657312/000165731220000019/0001657312-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1657312/000165731221000004/0001657312-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1657312/000165731222000010/0001657312-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,44738,-1191199,-2413485,-2007703,-2585580,-2921657,-2670476,-4067651,-4163303,-4293877,-10987967,-6191725,- -,-25252512,-41879950,-65146000,-55569000
74,Depreciation and Amortization,- -,3918,25781,27824,35574,32411,37262,49083,61991,82434,78692,76030,7000,124353,398000,623000,629000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,583844,214179,57112,21021,64823,281021,108814,308115,299131,591035,710540,- -,3681098,- -,22177000,25425000
77,Change in Working Capital,15486,2919580,-1954662,922211,1156412,-1848117,940969,-2254082,-966456,16105133,-11135487,35070271,37841667,-520372,-36912958,-2113000,13444000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-161000,- -,-484000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1398000,9866000
81,Other Working Capital,1684562,4604142,2649479,3571690,4728102,2879985,3820954,1566872,600416,16705549,5570062,40640333,78482000,77961628,41048670,- -,- -
82,Other Non-Cash Items,-56783,-3003826,1738500,-976394,-1248581,2110495,-1032572,2082551,1371722,-17703753,12041895,-36559590,-59360667,-1013736,40213907,-617000,-17183000
83,Cash Provided by Operating Activities,3441,-687682,-2389688,-1976950,-2621154,-2562045,-2443796,-4081285,-3387933,-5510931,-9411833,-6894474,-21512000,-22981169,-38181000,-45076000,-33254000
84,CAPEX,- -,-29388,-33713,-32217,-40425,-75627,-43473,-120468,-177465,-343292,-211959,-157751,- -,-340067,- -,-82000,-12000
85,Acquisitions Net,- -,-31347,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2546972,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75753731,-7940000,- -,- -
87,Sales/Maturities of Investments,- -,- -,2578086,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81674449,- -,9792000,- -
88,Other Investing Activites,46459,105797,220129,202088,16170,12347,4658,-12539,-169756,-298061,-134297,-34502,-49469000,796873,57550584,- -,- -
89,Cash Used for Investing Activites,46459,-2501910,2764502,169871,-24255,-63279,-38815,-87835,-173108,-305659,-137008,-50975,-49469000,6701096,49560759,9710000,-12000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-426000,- -,- -
91,Common Stock Issued,1727579,4002665,- -,3568761,3339101,1265588,3321016,1620035,2972219,20394426,- -,55213281,- -,- -,- -,200156000,733000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-87756,-654376,- -,- -,-87318,83344,-26394,19512,- -,- -,- -,-4376207,63246000,- -,-132557,-7813000,-6850000
95,Cash Used/Provided by Financing Activities,1639824,3348289,- -,3568761,3251783,1348932,3294622,1639547,2972219,20394426,- -,50837073,63246000,- -,-558557,192343000,-6117000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,847068,- -,1485890,-528400,581000,-223000
97,Net Change In Cash,- -,158696,374814,1761682,606374,-1276392,812011,-2529573,-588821,14577836,-9548841,44738693,-8342000,-14794183,3150000,157558000,-39606000
98,Cash at the End of Period,1691445,2082639,2482895,3595121,4576104,3091431,3921873,1552771,995648,15517618,5221391,49087104,31443000,25104050,22934000,187986000,148380000
99,Cash at the Beginning of Period,- -,1923943,2108081,1833438,3969730,4367823,3109862,4082344,1584470,939782,14770232,4348411,39785000,39898234,19784000,30428000,187986000
100,Free Cash Flow,3441,-717071,-2423401,-2009167,-2661579,-2637671,-2487269,-4201753,-3565397,-5854223,-9623791,-7052225,-21512000,-23321236,-38181000,-45158000,-33266000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1657312/000165731218000006/0001657312-18-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1657312/000165731220000019/0001657312-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1657312/000165731221000004/0001657312-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1657312/000165731222000010/0001657312-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,
