,https://roic.ai/company/ZIM,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-64054000,73693000,38026000,- -,-2155622000
89,Cash Used for Investing Activites,-93548000,51111000,38026000,- -,-3343051000
90,Debt Repayment,-134386000,-199973000,-283610000,-321102000,-1191313000
91,Common Stock Issued,- -,- -,- -,- -,205394000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-536388000
94,Other Financing Activites,-5382000,-42704000,-127790000,-139296000,-130719000
95,Cash Used/Provided by Financing Activities,-139768000,-242677000,-411400000,-460398000,-1653026000
96,Effect of Forex Changes on Cash,2678000,-5040000,-761000,2391000,-1969000
97,Net Change In Cash,288000,28403000,-3505000,387628000,972886000
98,Cash at the End of Period,157888000,186291000,- -,- -,1543300000
99,Cash at the Beginning of Period,157600000,157888000,- -,- -,570414000
100,Free Cash Flow,201432000,202427000,- -,- -,4965902000
101,SEC Link,- -,- -,- -,- -,- -
102,false,,,,,
