,https://roic.ai/company/OMTK,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.7583,-0.6622,-0.2849,-0.7402,-1.5944,-1.2701,-0.5624,-0.6880,-0.9559,-0.3307,-0.7254,-0.5334,-0.1727
19,Total Other Income Expenses (Gains),51805,-6827,-143,35458,64794,59113,2318,-595,-8689,-42454,-19995,-21698,207701
20,Income Before Tax,-953571,-1154642,-440755,-1370653,-1613388,-1828027,-1006307,-900592,-1035497,-467606,-719622,-488912,18209
21,Income Before Tax Ratio,-0.7193,-0.6662,-0.2850,-0.7215,-1.5329,-1.2303,-0.5611,-0.6885,-0.9640,-0.3637,-0.7462,-0.5581,0.0166
22,Income Tax expense (Gain),404124,800,800,800,800,800,800,800,800,800,800,800,800
23,Net Income,-1357695,-1155442,-441555,-1371453,-1614188,-1828827,-1007107,-901392,-1036297,-468406,-720422,-489712,17409
24,Net Income ratio,-1.0241,-0.6666,-0.2855,-0.7219,-1.5336,-1.2309,-0.5615,-0.6891,-0.9647,-0.3643,-0.7470,-0.5590,0.0159
25,EPS,-0.08,-0.07,-0.03,-0.07,-0.08,-0.09,-0.05,-0.04,-0.05,-0.02,-0.04,-0.02,0.00
26,EPS Diluted,-0.08,-0.07,-0.03,-0.07,-0.08,-0.09,-0.05,-0.04,-0.05,-0.02,-0.04,-0.02,0.00
27,Weighted Average Shares Outstanding,16008846,15592640,16503731,19092975,19750787,19816240,19980971,20142284,20281082,20349024,20574038,21461492,21461492
28,Weighted Average Shares Outstanding Diluted,16008846,15592640,16503731,19092975,19750787,19816240,19980971,20142284,20281082,20349024,20574038,21461492,21461492
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404804/000144586613000205/0001445866-13-000205-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586614001423/0001445866-14-001423-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000144586615000348/0001445866-15-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000144586616001805/0001445866-16-001805-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586617000370/0001445866-17-000370-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586618000309/0001445866-18-000309-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586619000341/0001445866-19-000341-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586620000452/0001445866-20-000452-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000109690621000663/0001096906-21-000663-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000109690622000786/0001096906-22-000786-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,78991,34944,31196,3524521,1120809,591561,105846,17782,23279,17060,20236,60729,59674
32,Short-Term Investments,- -,- -,- -,- -,917248,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,78991,34944,31196,3524521,2038057,591561,105846,17782,23279,17060,20236,60729,59674
34,Net Receivables,84562,28117,30221,147002,71630,71151,48092,35164,11424,32880,37395,40021,9555
35,Inventory,1083399,1055047,1020117,1133595,2225868,2333781,2107463,1869900,1554656,1359678,1022365,821866,717044
36,Other Current Assets,128359,73412,44455,7440,21474,4200,25795,58013,17385,5811,2501,38610,17451
37,Total Current Assets,1375311,1191520,1125989,4812558,4357029,3000693,2287196,1980859,1606744,1415429,1082497,961226,803724
38,PP&E,11727,- -,13249,- -,- -,- -,- -,- -,- -,- -,- -,1266,608070
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,158503,76518,8256,5218,2872,1345,281,- -,- -,- -,- -,- -,- -
41,Intangible Assets,158503,76518,8256,5218,2872,1345,281,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,1201671,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2500,- -,- -,14560,118460,102995,73431,46119,21533,32801,32234,14280,13514
45,Total Non-Current Assets,172730,76518,21505,1221449,121332,104340,73712,46119,21533,32801,32234,15546,621584
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1548041,1268038,1147494,6034007,4478361,3105033,2360908,2026978,1628277,1448230,1114731,976772,1425308
48,Accounts Payable,16105,4068,2568,317106,91744,84385,145207,325255,114321,507534,543097,590366,124472
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,30000,115000,42000,84551,152239
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,345844,230349,87114,242410,224834,238681,351381,170870
52,Other Current Liabilities,661371,866711,696016,448826,413013,105696,196754,333161,764873,506103,706830,595158,1068956
53,Total Current Liabilities,677476,870779,698584,765932,504757,535925,572310,745530,1151604,1353471,1530608,1621456,1516537
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229449,517789
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,- -,198674
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,229449,716463
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,677476,870779,698584,765932,504757,535925,572310,745530,1151604,1353471,1545608,1850905,716463
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2330476,2374799,- -,- -,- -,- -,- -,- -,- -,8427210,8527210,8578210,8607086
64,Retained Earnings,-4826705,-5982147,-6423702,-7795155,-9409343,-16842305,-17849412,-18750804,-19787101,-20255507,-20975929,-21465641,-21448232
65,Other Comprehensive Income/Loss,-54606,-66333,- -,-5554,-25412,-56616,-86180,-113492,-138078,-145668,-146235,- -,- -
66,Other Total Stockholders Equity,3421400,4070940,- -,13068784,13408359,19468029,19724190,20145744,20401852,12068724,12164077,12013298,12033454
67,Total Stockholders Equity,870565,397259,448910,5268075,3973604,2569108,1788598,1281448,476673,94759,-430877,-874133,-807692
68,Total Liabilities And Stockholders Equity,1548041,1268038,1147494,6034007,4478361,3105033,2360908,2026978,1628277,1448230,1114731,976772,-91229
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1516537
70,Total Liabilities & Equity,1548041,1268038,1147494,6034007,4478361,3105033,2360908,2026978,1628277,1448230,1114731,976772,1425308
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404804/000144586613000205/0001445866-13-000205-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586614001423/0001445866-14-001423-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000144586615000348/0001445866-15-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000144586616001805/0001445866-16-001805-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586617000370/0001445866-17-000370-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586618000309/0001445866-18-000309-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586619000341/0001445866-19-000341-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586620000452/0001445866-20-000452-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000109690621000663/0001096906-21-000663-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000109690622000786/0001096906-22-000786-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-1357695,-1155442,-441555,-1371453,-1614188,-1828827,-1007107,-901392,-1036297,-468406,-720422,-489712,- -
74,Depreciation and Amortization,96853,93711,70484,6369,22206,32731,30628,27593,24586,7590,567,543,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,25625,- -,- -,- -,- -,- -,- -,- -,- -,- -,53654,- -
77,Change in Working Capital,131214,-377094,106664,3619221,-194354,-1387504,-749882,-479557,-780189,-393182,-510069,-212119,-52583
78,Accounts Receivable,-51960,56445,-2104,-121781,82285,-17798,25222,2676,23740,-8684,-4066,-2626,- -
79,Inventory,123298,-142978,34930,-113478,-1092273,-107913,226318,237563,315244,97541,94467,131082,- -
80,Accounts Payable,- -,- -,-1500,-2568,- -,- -,- -,- -,95948,35981,35562,-118056,- -
81,Other Working Capital,697835,320741,427405,4046626,3852272,2464768,1714886,1235329,455140,61958,-448111,-660230,-712813
82,Other Non-Cash Items,1069465,1453311,-8370,-3396468,-480081,1637405,1333425,1165292,1767397,750493,1146100,400127,52583
83,Cash Provided by Operating Activities,-60163,40111,-272777,-1142331,-2266417,-1546195,-392936,-188064,-24503,-103505,-83824,-247507,- -
84,CAPEX,-1475,- -,-15471,-4643,-123758,-1459,- -,- -,- -,-2714,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-1228223,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,250000,900000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1475,- -,-15471,-1232866,126242,898541,- -,- -,- -,-2714,- -,- -,- -
90,Debt Repayment,-15842,-84158,- -,-40000,- -,- -,- -,- -,- -,- -,-60000,-42000,- -
91,Common Stock Issued,- -,- -,150000,5536762,- -,- -,- -,100000,- -,- -,75000,31000,260324000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,110000,- -,134500,40000,5250,88600,- -,- -,30000,100000,72000,299000,- -
95,Cash Used/Provided by Financing Activities,94158,-84158,284500,5536762,5250,88600,- -,100000,30000,100000,87000,288000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,32520,-44047,-3748,3161565,-2134925,-559054,-392936,-88064,5497,-6219,3176,40493,- -
98,Cash at the End of Period,78991,34944,31196,3192761,1057836,498782,105846,17782,23279,17060,20236,60729,- -
99,Cash at the Beginning of Period,46471,78991,34944,31196,3192761,1057836,498782,105846,17782,23279,17060,20236,60729
100,Free Cash Flow,-61638,40111,-288248,-1146974,-2390175,-1547654,-392936,-188064,-24503,-106219,-83824,-247507,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404804/000144586613000205/0001445866-13-000205-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586614001423/0001445866-14-001423-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000144586615000348/0001445866-15-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000144586616001805/0001445866-16-001805-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586617000370/0001445866-17-000370-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586618000309/0001445866-18-000309-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586619000341/0001445866-19-000341-index.html,https://www.sec.gov/Archives/edgar/data/1404804/000144586620000452/0001445866-20-000452-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000109690621000663/0001096906-21-000663-index.htm,https://www.sec.gov/Archives/edgar/data/1404804/000109690622000786/0001096906-22-000786-index.htm
102,false,,,,,,,,,,,,,
