,https://roic.ai/company/ZUO,2016,2017,2018,2019,2020,2021,2022
49,Short-Term Debt,- -,1869000,3983000,2963000,10187000,14027000,13122000
50,Tax Payable,- -,3766000,3140000,4718000,4803000,4377000,- -
51,Deferred Revenue,- -,42554000,66058000,90565000,111411000,127701000,152740000
52,Other Current Liabilities,- -,16798000,42197000,36813000,41924000,44020000,46650000
53,Total Current Liabilities,- -,63511000,114810000,131853000,165620000,187997000,219297000
54,Long-Term Debt,- -,- -,12052000,10494000,6094000,55256000,45633000
55,Deferred Revenue,- -,482000,346000,406000,1007000,1529000,771000
56,Deferred Tax Liabilities,- -,- -,- -,- -,1569000,1929000,3243000
57,Other Non-Current Liabilities,- -,1495000,1492000,3678000,63278000,2883000,1701000
58,Total Non-Current Liabilities,- -,1977000,13890000,14578000,71948000,61597000,51348000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,2827000,1390000,- -,68062000,63220000,- -
61,Total Liabilities,- -,65488000,128700000,146431000,237568000,249594000,270645000
62,Preferred Stock,- -,6000,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,9000,11000,12000,12000,13000
64,Retained Earnings,- -,-211530000,-258685000,-336275000,-390848000,-464022000,-563447000
65,Other Comprehensive Income/Loss,- -,-489000,471000,481000,188000,796000,-108000
66,Other Total Stockholders Equity,- -,266990000,284871000,488776000,555307000,635127000,734149000
67,Total Stockholders Equity,- -,54980000,26666000,152993000,164659000,171913000,170607000
68,Total Liabilities And Stockholders Equity,- -,120468000,155366000,299424000,402227000,421507000,441252000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,120468000,155366000,299424000,402227000,421507000,441252000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1423774/000142377419000026/0001423774-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1423774/000142377420000036/0001423774-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1423774/000142377421000020/0001423774-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1423774/000142377422000067/0001423774-22-000067-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-48207000,-39098000,-47155000,-77590000,-83394000,-73174000,-99425000
74,Depreciation and Amortization,3857000,4551000,6550000,8793000,11866000,15308000,16760000
75,Deferred Income Tax,-864000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,3661000,4383000,8990000,25357000,45046000,59283000,72070000
77,Change in Working Capital,1773000,31369000,-47199000,120603000,-11903000,4579000,3295000
78,Accounts Receivable,-8535000,-7562000,-20983000,-12443000,-14504000,-13671000,-6322000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1060000,-428000,-3774000,-1103000,417000,106000,4457000
81,Other Working Capital,8294000,39663000,-7536000,113067000,101164000,105743000,109038000
82,Other Non-Cash Items,2421000,-26180000,53994000,-100744000,34795000,5290000,25986000
83,Cash Provided by Operating Activities,-37359000,-24975000,-24820000,-23581000,-3590000,11286000,18686000
84,CAPEX,-3169000,-3776000,-4698000,-13412000,-21424000,-13144000,-8776000
85,Acquisitions Net,-2532000,- -,-11420000,-247000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-107464000,-184633000,-97363000,-109510000
87,Sales/Maturities of Investments,- -,91000,- -,- -,176297000,122391000,99192000
88,Other Investing Activites,-486000,- -,126000,- -,- -,988000,-1005000
89,Cash Used for Investing Activites,-6187000,-3685000,-15992000,-121123000,-29760000,12872000,-20099000
90,Debt Repayment,-1966000,-1982000,-2081000,-4457000,-2960000,-4440000,-4444000
91,Common Stock Issued,- -,- -,- -,164703000,- -,- -,18499000
92,Common Stock Repurchased,- -,-67000,- -,-18000,-119000,- -,18499000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9009000,1621000,17496000,1134000,21059000,19421000,-11071000
95,Cash Used/Provided by Financing Activities,7043000,-428000,15415000,161362000,17980000,14981000,21483000
96,Effect of Forex Changes on Cash,-191000,-470000,960000,3000,-379000,696000,-673000
97,Net Change In Cash,-36694000,-29558000,-24437000,16661000,-15749000,39835000,19397000
98,Cash at the End of Period,103353000,77882000,48208000,70024000,54275000,94110000,113507000
99,Cash at the Beginning of Period,140047000,107440000,72645000,53363000,70024000,54275000,94110000
100,Free Cash Flow,-40528000,-28751000,-29518000,-36993000,-25014000,-1858000,9910000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1423774/000142377419000026/0001423774-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1423774/000142377420000036/0001423774-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1423774/000142377421000020/0001423774-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1423774/000142377422000067/0001423774-22-000067-index.htm
102,false,,,,,,,
