,https://roic.ai/company/ACAN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1508348/000150441213000487/0001504412-13-000487-index.html,https://www.sec.gov/Archives/edgar/data/1508348/000112785515000070/0001127855-15-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000112785516000506/0001127855-16-000506-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774917000589/0001437749-17-000589-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774917020073/0001437749-17-020073-index.html,https://www.sec.gov/Archives/edgar/data/1508348/000143774919000885/0001437749-19-000885-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774920000611/0001437749-20-000611-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774920025713/0001437749-20-025713-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774921027906/0001437749-21-027906-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,- -,- -,2500,-1301374,-1729344,-2210764,-2771894,-4432716,-4903668,-709343,-862893
74,Depreciation and Amortization,- -,- -,- -,- -,394,2217,14956,14957,13803,1152,446854,518141
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,172252,366534,140249,260438,432787,488793,381970,- -
77,Change in Working Capital,- -,- -,- -,- -,2460000,-963110,-2912290,-320590,4973540,-2611350,-858358,737641
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11564,-113053,-134237
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,25515,- -,- -,- -,-483181,15710,10879,-53635
81,Other Working Capital,- -,- -,- -,- -,2460000,1496890,-1415400,-1735990,3237550,626200,-232158,505483
82,Other Non-Cash Items,- -,- -,- -,- -,-1846650,1531169,4426986,1069141,-3390735,4836479,7719834,-668042
83,Cash Provided by Operating Activities,- -,- -,- -,2500,-515378,-792534,-540863,-1747948,-2403321,-2188594,6980957,-275153
84,CAPEX,- -,- -,- -,- -,-258666,-41500,- -,-500720,-702702,-5889794,- -,-93400
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,413695,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1000000,-1262770,-632510,179744,-10000,28001,29251,34763
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1258666,-849075,-632510,-320976,-712702,-5861793,-357236,-58637
90,Debt Repayment,- -,- -,- -,- -,- -,-207000,- -,-247904,-460677,-271000,- -,-453000
91,Common Stock Issued,- -,- -,- -,- -,1123000,- -,- -,2176274,1222412,1211000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,825000,1876006,972044,142157,6369610,4385500,-1260000,1300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1948000,1669006,972044,2070527,7131345,5325500,-1260000,847000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,27397,-201329,1603,4015322,-2724887,-1098903,513210
98,Cash at the End of Period,- -,- -,- -,2500,173956,201353,24,1627,4016949,1292062,193159,706369
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,173956,201353,24,1627,4016949,1292062,193159
100,Free Cash Flow,- -,- -,- -,2500,-774044,-834034,-540863,-2248668,-3106023,-8078388,6980957,-368553
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1508348/000150441213000487/0001504412-13-000487-index.html,https://www.sec.gov/Archives/edgar/data/1508348/000112785515000070/0001127855-15-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000112785516000506/0001127855-16-000506-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774917000589/0001437749-17-000589-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774917020073/0001437749-17-020073-index.html,https://www.sec.gov/Archives/edgar/data/1508348/000143774919000885/0001437749-19-000885-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774920000611/0001437749-20-000611-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774920025713/0001437749-20-025713-index.htm,https://www.sec.gov/Archives/edgar/data/1508348/000143774921027906/0001437749-21-027906-index.htm
102,false,,,,,,,,,,,,
