,https://roic.ai/company/AVXL,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,683797,465722,750727
81,Other Working Capital,25605,-26020,-15511,-462504,-2293032,-3691514,-2964313,-1144838,-2875747,-1559211,5910106,12808083,6255760,24201599,20439114,20289699,- -,443831
82,Other Non-Cash Items,- -,82178,-17405,1701736,4707524,3290500,2691283,411374,8035608,602861,600964,-651827,6988679,-17638235,3116484,1486404,- -,- -
83,Cash Provided by Operating Activities,-11890,-61072,-32428,-325250,-2474053,-2794655,-4593588,-3801479,-1692940,-777573,-2659379,-4227006,-9236823,-9017231,-12582406,-18527117,-21287046,-30383674
84,CAPEX,- -,- -,- -,- -,-1082,-1239,-3310,- -,- -,- -,-3015,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1082,-1239,-3310,- -,- -,- -,-3015,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88144,-34759,- -,- -,- -,- -,- -
91,Common Stock Issued,40000,24000,- -,- -,1131467,1638031,3095573,- -,996250,801285,368170,12343988,3167420,27270674,8173920,17832109,28754198,153218762
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,9939,43726,313000,1350000,1502500,1415000,3671512,573350,310000,9211288,- -,- -,- -,-101133,-50000,-403764,23639
95,Cash Used/Provided by Financing Activities,40000,33939,43726,313000,2481467,3140531,4510573,3671512,1569600,1111285,9579458,12255844,3132661,27270674,8072787,17782109,28350434,153242401
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-27133,11298,-12250,6332,344637,-86325,-129967,-123340,333712,6917064,8028838,-6104162,18253443,-4509619,-745008,7063388,122858727
98,Cash at the End of Period,28110,977,12275,25,6357,350994,264669,134702,11362,345074,7262138,15290976,9186814,27440257,22930638,22185630,29249018,152107745
99,Cash at the Beginning of Period,- -,28110,977,12275,25,6357,350994,264669,134702,11362,345074,7262138,15290976,9186814,27440257,22930638,22185630,29249018
100,Free Cash Flow,-11890,-61072,-32428,-325250,-2475135,-2795894,-4596898,-3801479,-1692940,-777573,-2662394,-4227006,-9236823,-9017231,-12582406,-18527117,-21287046,-30383674
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1314052/000108503706002536/0001085037-06-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299308000148/0001062993-08-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299309000091/0001062993-09-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299309004536/0001062993-09-004536-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299310004359/0001062993-10-004359-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299311005004/0001062993-11-005004-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299312005603/0001062993-12-005603-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299313006497/0001062993-13-006497-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000106299314007294/0001062993-14-007294-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577415003756/0001615774-15-003756-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577416008914/0001615774-16-008914-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577417007272/0001615774-17-007272-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000161577418014328/0001615774-18-014328-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000173112219000784/0001731122-19-000784-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000173112220001338/0001731122-20-001338-index.htm,https://www.sec.gov/Archives/edgar/data/1314052/000173112221002062/0001731122-21-002062-index.htm
102,false,,,,,,,,,,,,,,,,,,
