,https://roic.ai/company/MAIN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,1.2308,1.1572,0.7257,0.6666,0.8410,1.3351,1.2496,1.0889,1.0226,0.9993,1.0190,0.9979,0.9839,1.0164,1.0452,1.2176,1.0024
17,Operating Income,- -,4904560,6521699,10315136,9221829,19260652,39277104,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5732000
18,Operating Income ratio,- -,0.3061,0.5228,0.5964,0.5763,0.5276,0.5930,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0136
19,Total Other Income Expenses (Gains),- -,10918437,-714284,-2563598,444559,21650333,31116988,- -,- -,- -,- -,- -,- -,- -,- -,- -,369357000
20,Income Before Tax,7890063,15822997,5807415,7751538,9666388,40910985,70394092,115264000,96820000,107035000,95750000,137672000,195093000,174365000,130811000,15842000,363625000
21,Income Before Tax Ratio,0.9756,0.9876,0.4655,0.4482,0.6041,1.1206,1.0627,0.9593,0.8458,0.8188,0.7630,0.8020,0.8289,0.8135,0.7551,0.2715,0.8628
22,Income Tax expense (Gain),- -,- -,3262539,-3182401,-2289841,940634,6287662,10820000,-35000,6287000,-8687000,-1227000,24471000,6152000,1242000,-13541000,32863000
23,Net Income,7890063,15822997,2544876,10933939,11956229,38743864,62967192,104390000,96855000,100748000,104437000,138899000,170622000,168213000,129569000,29383000,330762000
24,Net Income ratio,0.9756,0.9876,0.2040,0.6322,0.7472,1.0612,0.9506,0.8688,0.8461,0.7707,0.8323,0.8091,0.7250,0.7848,0.7480,0.5035,0.7848
25,EPS,0.93,1.86,0.30,1.22,1.19,2.38,2.76,3.53,2.65,2.31,2.13,2.67,3.01,2.80,2.06,0.45,-0.01
26,EPS Diluted,0.93,1.86,0.30,1.22,1.19,2.38,2.76,3.53,2.65,2.31,2.13,2.67,3.01,2.80,2.06,0.45,-0.01
27,Weighted Average Shares Outstanding,8526726,8526726,8587701,8967383,10042639,16292846,22850299,29540114,36617850,43522397,49071492,52025002,56691913,60176843,62960591,65705963,69021826
28,Weighted Average Shares Outstanding Diluted,8526726,8526726,8587701,8971064,10042639,16292846,22850299,29540114,36617850,43522397,49071492,52025002,56691913,60176843,62960591,65705963,69021826
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396440/000095013409005248/0000950134-09-005248-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746910002020/0001047469-10-002020-index.html,- -,https://www.sec.gov/Archives/edgar/data/1454725/000107878212000243/0001078782-12-000243-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746913002445/0001047469-13-002445-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746914001547/0001047469-14-001547-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000104746915001365/0001047469-15-001365-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000104746916010488/0001047469-16-010488-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746917000935/0001047469-17-000935-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746918000997/0001047469-18-000997-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746919000819/0001047469-19-000819-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746920001108/0001047469-20-001108-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837021001943/0001558370-21-001943-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837022002131/0001558370-22-002131-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13768719,41889324,35374826,30619998,22334340,42650081,63517000,34701000,60432000,20331000,24480000,51528000,54181000,55246000,31919000,32629000
32,Short-Term Investments,- -,- -,24063261,4389795,18070887,68752858,120455599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,13768719,65952585,39764621,48690885,91087198,163105680,63517000,34701000,60432000,20331000,24480000,51528000,54181000,55246000,31919000,32629000
34,Net Receivables,- -,- -,- -,- -,- -,4523792,6538683,14580000,16054000,46406000,37638000,37123000,38725000,40875000,50458000,49761000,91613000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,630058,1574888,2222603,4226008,1958593,- -,- -,- -,- -,- -,- -,- -,- -,-50458000,-49761000,- -
37,Total Current Assets,- -,14398777,67527473,41987224,52916893,97569583,169644363,- -,- -,- -,- -,- -,- -,- -,55246000,31919000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,73711001,129713675,131396610,159992948,417563932,684335052,952966000,1299489000,1572397000,1803689000,1996906000,2171305000,2453909000,2602324000,2684866000,3561831000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1333654,-22393126,-2754557,-16459379,-66209213,-116287584,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,75044655,107320549,128642053,143533569,351354719,568047468,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,1036225000,1360175000,1693785000,1878928000,2080279000,2265395000,2553426000,2656303000,2737445000,3690290000
47,Total Assets,- -,89443432,174848022,170629277,196450462,448924302,737691831,1036225000,1360175000,1693785000,1878928000,2080279000,2265395000,2553426000,2711549000,2769364000,3690290000
48,Accounts Payable,- -,1070901,610470,2165028,721183,1173295,2169245,38004000,46770000,37985000,27636000,30540000,77303000,64205000,44998000,43380000,75665000
49,Short-Term Debt,- -,- -,- -,- -,- -,39000000,107000000,- -,- -,- -,- -,- -,- -,- -,- -,107000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1062672,1108193,1069148,3209994,15447541,11696000,5930000,9214000,- -,- -,10553000,17026000,16149000,-129521000,- -
53,Total Current Liabilities,- -,1070901,1673142,3273221,1790331,43383289,124616786,49700000,52700000,47199000,27636000,30540000,87856000,81231000,61147000,20859000,- -
54,Long-Term Debt,- -,45100000,55000000,55000000,65000000,155557975,201886928,- -,- -,- -,- -,- -,- -,- -,- -,- -,1796056000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,3025672,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,343500000,514900000,706604000,780398000,840331000,797171000,996146000,1114012000,- -,- -
58,Total Non-Current Liabilities,- -,45100000,58025672,55000000,65000000,155557975,201886928,343500000,514900000,706604000,780398000,840331000,797171000,996146000,1114012000,- -,1796056000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,687049000,1029842000,- -,- -,1688589000,- -,- -,- -,1233738000,3697500000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,46170901,59698814,58273221,66790331,198941264,326503714,393249000,567642000,753803000,808034000,878798000,885027000,1077377000,1175159000,1254597000,1901444000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,89597,92412,108425,187975,267144,346000,398000,451000,504000,543000,586000,613000,643000,677000,707000
64,Retained Earnings,- -,4266043,6067131,3658495,-8652154,-20541897,-20445129,35869000,22778000,23665000,7181000,19033000,7921000,65491000,23312000,-101850000,51793000
65,Other Comprehensive Income/Loss,- -,- -,11000000,8000000,6000000,21000000,45000000,98000000,97000000,86000000,59000000,57000000,69000000,65000000,23000000,- -,- -
66,Other Total Stockholders Equity,- -,39006488,97992480,100605149,132203860,244888567,380888694,508761000,672357000,829866000,1004209000,1124905000,1302861000,1344945000,1489435000,1615940000,- -
67,Total Stockholders Equity,- -,43272531,115149208,112356056,129660131,245534645,405710709,642976000,792533000,939982000,1070894000,1201481000,1380368000,1476049000,1536390000,1514767000,1788846000
68,Total Liabilities And Stockholders Equity,- -,89443432,174848022,170629277,196450462,444475909,732214423,1036225000,1360175000,1693785000,1878928000,2080279000,2265395000,2553426000,2711549000,2769364000,3690290000
69,Minority Interest,- -,- -,- -,- -,- -,4448393,5477408,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,89443432,174848022,170629277,196450462,448924302,737691831,1036225000,1360175000,1693785000,1878928000,2080279000,2265395000,2553426000,2711549000,2769364000,3690290000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1396440/000095013409005248/0000950134-09-005248-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746910002020/0001047469-10-002020-index.html,- -,https://www.sec.gov/Archives/edgar/data/1454725/000107878212000243/0001078782-12-000243-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746913002445/0001047469-13-002445-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746914001547/0001047469-14-001547-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000104746915001365/0001047469-15-001365-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000104746916010488/0001047469-16-010488-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746917000935/0001047469-17-000935-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746918000997/0001047469-18-000997-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746919000819/0001047469-19-000819-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746920001108/0001047469-20-001108-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837021001943/0001558370-21-001943-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837022002131/0001558370-22-002131-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,7890063,15822997,2544876,10933939,11956229,38743864,62967192,104390000,96855000,100748000,104437000,138899000,170622000,168213000,129569000,29383000,330762000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5622000,- -
75,Deferred Income Tax,- -,- -,- -,-4147353,-1594719,674980,5734913,- -,- -,- -,- -,- -,- -,- -,- -,-14131000,- -
76,Stock Based Compensation,- -,- -,- -,511452,1068397,1488709,2047039,- -,- -,- -,- -,- -,- -,- -,- -,10828000,- -
77,Change in Working Capital,878093,13327876,- -,52526455,-27140328,12412559,3059732,-9158717,-94727577,-3000000,5501000,19563000,-2904000,-57316000,6625000,75330000,28023000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4599000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,76543,394510,828098,-935595,343024,995950,- -,- -,- -,- -,- -,- -,- -,- -,-2846000,- -
81,Other Working Capital,- -,13327876,13327876,65854331,38714003,51126562,54186294,45027577,-49700000,-52700000,-47199000,-27636000,-30540000,-87856000,-81231000,-5901000,- -
82,Other Non-Cash Items,-5794991,-24907010,2860041,-48911802,23755028,-36715802,-36652858,-46362283,-242833423,-288666000,-241330000,-201192000,-94816000,-219963000,-170028000,-161116000,-874158000
83,Cash Provided by Operating Activities,2973165,4243863,5404917,10912691,8044607,16604310,37156018,48869000,-240706000,-190918000,-131392000,-42730000,72902000,-109066000,-33834000,-54084000,-515373000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-19727500,-28088005,-53542284,-51917271,-110597274,-258253069,-392359272,-654155000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,11555579,17221269,15548758,48393350,84634877,79744973,171897529,469627000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,489920,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-8171921,-10866736,-37993526,-3523921,-25962397,-176018176,-220461743,-184528000,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,-50000,-522587,-391188,-390815,-38771296,-154286601,-302000000,-419908000,-510059000,-461085000,-338000000,-752200000,-489655000,-849000000,-472000000,-1089000000
91,Common Stock Issued,- -,- -,60183997,- -,16190908,85897200,127773713,169946000,131453000,139697000,132049000,112039000,150986000,78394000,89269000,84381000,98889000
92,Common Stock Repurchased,- -,- -,-1642573,-331006,-1617106,- -,- -,-1096000,- -,- -,- -,- -,-4351000,- -,- -,- -,- -
93,Dividends Paid,-2882936,-6174297,-1009704,-13181074,-11167882,-16278123,-28330598,-39922000,-83180000,-95935000,-110673000,-127522000,-148421000,-156048000,-164278000,-144462000,-160537000
94,Other Financing Activites,33546227,355089,3700081,- -,10147857,120280427,258464952,329598000,583525000,682946000,531000000,400362000,708132000,679028000,958908000,562838000,1666731000
95,Cash Used/Provided by Financing Activities,30663291,-5869208,60709214,-13903268,13162962,151128208,203621466,156526000,211890000,216649000,91291000,46879000,-45854000,111719000,34899000,30757000,516083000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,25464535,-12492081,28120605,-6514498,-4754828,-8285658,20315741,20867000,-28816000,25731000,-40101000,4149000,27048000,2653000,1065000,-23327000,710000
98,Cash at the End of Period,26260800,13768719,41889324,35374826,30619998,22334340,42650081,63517000,34701000,60432000,20331000,24480000,51528000,54181000,55246000,31919000,32629000
99,Cash at the Beginning of Period,796265,26260800,13768719,41889324,35374826,30619998,22334340,42650000,63517000,34701000,60432000,20331000,24480000,51528000,54181000,55246000,31919000
100,Free Cash Flow,2973165,4243863,5404917,10912691,8044607,16604310,37156018,48869000,-240706000,-190918000,-131392000,-42730000,72902000,-109066000,-33834000,-54084000,-515373000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396440/000095013409005248/0000950134-09-005248-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746910002020/0001047469-10-002020-index.html,- -,https://www.sec.gov/Archives/edgar/data/1454725/000107878212000243/0001078782-12-000243-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746913002445/0001047469-13-002445-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746914001547/0001047469-14-001547-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000104746915001365/0001047469-15-001365-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000104746916010488/0001047469-16-010488-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746917000935/0001047469-17-000935-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746918000997/0001047469-18-000997-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746919000819/0001047469-19-000819-index.html,https://www.sec.gov/Archives/edgar/data/1396440/000104746920001108/0001047469-20-001108-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837021001943/0001558370-21-001943-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837022002131/0001558370-22-002131-index.htm
102,false,,,,,,,,,,,,,,,,,
