,https://roic.ai/company/MYMD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,-3158471,3927,-1244774,-3047638,1531465,3760171,4572,4572,4282,1213591,66813,336996,196211,810258,370124,- -,1500000
45,Total Non-Current Assets,492006,1009136,3035642,4339603,3986953,6251205,4280413,3937441,2706240,3591139,1790841,1898163,1561991,1137125,574121,- -,12147548
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8233356,3003849,7055058,11273344,8328534,7716891,6883185,6416937,6075622,16650872,8271909,5085107,10886874,7807253,10884935,36842761,24812933
48,Accounts Payable,4512347,1816053,1694499,905542,- -,- -,- -,608836,623157,364079,538449,1105312,988772,686578,657293,569999,- -
49,Short-Term Debt,51609,3294417,5334459,90408,- -,- -,- -,- -,307500,- -,- -,- -,- -,- -,- -,- -,53240
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,972222,638889,305556,- -,59750,59750,- -,- -,- -,- -
52,Other Current Liabilities,118701,174734,124477,- -,1150171,1271023,714783,532210,383842,1174351,1130282,532368,724515,1286922,872472,1693296,986626
53,Total Current Liabilities,4682657,5285204,7153435,995951,1150171,1271023,714783,2113268,1953388,1843986,1668731,1697430,1773037,1973500,1529765,2263295,1039866
54,Long-Term Debt,428355,386770,345324,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95911
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29982
58,Total Non-Current Liabilities,428355,386770,345324,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125893
59,Other Liabilities,- -,773540,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5111011,5671974,7498760,995951,1150171,1271023,714783,2113268,1953388,1843986,1668731,1697430,1773037,1973500,1529765,2263295,1165759
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,58791253,62593931,66543209,77799345,- -,- -,- -,83273376,85843360,99691096,100785408,100891786,110647169,121554547,128920414,171598681,102064218
64,Retained Earnings,-55668908,-65262055,-66986911,-67521951,-72149745,-73069628,-76653906,-79194707,-81721126,-84864086,-94175999,-97479537,-103284863,-115694881,-119583130,-137163739,-78561568
65,Other Comprehensive Income/Loss,-1114754,-1201540,-1250797,-1318213,-1404915,-1548463,-1697817,-1810921,-1906746,-1997572,-2060861,-2149165,-2227951,-2069242,-2103298,17886,- -
66,Other Total Stockholders Equity,1114754,1201540,1250797,1318213,80733023,81063959,84520125,2035921,1906746,1977448,2054630,2124593,3979482,2043329,2121184,126638,144524
67,Total Stockholders Equity,3122345,-2668125,-443702,10277394,7178363,6445868,6168402,4303669,4122234,14806886,6603178,3387677,9113837,5833753,9355170,34579466,23647174
68,Total Liabilities And Stockholders Equity,8233356,3003849,7055058,11273344,8328534,7716891,6883185,6416937,6075622,16650872,8271909,5085107,10886874,7807253,10884935,36842761,24812933
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8233356,3003849,7055058,11273344,8328534,7716891,6883185,6416937,6075622,16650872,8271909,5085107,10886874,7807253,10884935,36842761,24812933
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321834/000114420414018497/0001144204-14-018497-index.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315215000954/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315216008364/0001493152-16-008364-index.html,https://www.sec.gov/Archives/edgar/data/1321834/000149315217003722/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315218004626/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315219004590/0001493152-19-004590-index.html,https://www.sec.gov/Archives/edgar/data/1321834/000149315220004650/0001493152-20-004650-index.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315221005129/0001493152-21-005129-index.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315222008546/0001493152-22-008546-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-4507186,-9594647,-1724614,-535159,-4628017,-919883,-3584278,-2449051,-1526773,-3127167,-9311913,-3303538,-5805326,-10849034,-3888249,-17580609,-29889045
74,Depreciation and Amortization,- -,- -,- -,545894,920490,484029,525332,537882,354397,349398,299995,286162,249894,234486,74064,29452,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,111908,1853107,1185517,1506613,11015,27766,- -,- -,746400,397012,51653,284606,47178,400174,4154964,- -
77,Change in Working Capital,-3394152,-6349184,156471,9071810,-2746380,-2996747,1693326,-1521761,1049766,9799753,-6403410,-3322823,6062332,-2855218,4084421,25798417,-22953947
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-155548,-1216566,-1899886,513583,-138652,-1432823,631510,128120,42881,- -
79,Inventory,-600385,111908,409571,288724,-268267,-8271,-52,-334178,-37251,123049,-226538,-187200,165118,83316,14285,1262,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1231811,116739,538017,827601,- -,75607,- -,-443735,- -,- -
81,Other Working Capital,3058693,-3290491,-3134020,5937790,3191410,194663,1887989,366228,1415994,11215747,4812337,1489514,7551846,4696628,8781049,34579466,11625519
82,Other Non-Cash Items,2287999,10527087,-104271,-9798521,3563403,1692486,-923908,2391989,-2607392,-11652313,9885973,2115398,-5871918,4905218,-3744693,-24327165,33326517
83,Cash Provided by Operating Activities,-5613339,-5304837,180693,469540,-1383891,-1729100,-2261762,-1040941,-2730002,-3883929,-5132343,-4173148,-5080412,-8517370,-3074283,-11924941,-19516475
84,CAPEX,-87735,-671449,-1895269,-648899,-300022,-519575,-247729,-194910,-123132,-24988,-112951,-123301,-54507,-68214,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12551106,-60940,-35944,-7709341,-6589623,-6704837,-9871843,-13403
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3284494,5310491,4003034,2749147,6313330,2857960,2314374,-39597
88,Other Investing Activites,- -,- -,- -,- -,-230000,-263290,-190550,-183225,191286,4669,-58039,- -,- -,- -,-93750,-1200000,19903625
89,Cash Used for Investing Activites,-87735,-671449,-1895269,-648899,-300022,-519575,-247729,-194910,68154,-9286931,5078561,3843789,-5014701,-344507,-3940627,-8757469,19850625
90,Debt Repayment,-3552420,-1639356,-38146,-1293423,- -,- -,- -,- -,- -,-307500,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,10322,- -,273047,4603537,21505,20320,3017746,676068,1599960,13101336,- -,- -,5803897,1950000,2147778,29184244,1189840
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15793,- -,- -,- -,- -,- -,- -,-3024
94,Other Financing Activites,12234774,4484177,2744526,-125405,- -,2632,261300,- -,532500,745024,- -,- -,4656948,7155200,4817915,9483583,-1113283
95,Cash Used/Provided by Financing Activities,8692676,2844822,2979427,3184709,21505,22952,3279046,676068,2132460,13523067,- -,- -,10460845,9105200,6965693,38667827,73533
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2991602,-3131464,1264851,3005350,-1662408,-2225723,769555,-559783,-529388,352207,-53782,-329359,365732,243323,-49217,17985417,-18061988
98,Cash at the End of Period,3120624,-3253188,-4027446,4220031,2648973,423250,1192805,633022,103634,455841,402059,72700,438432,681755,632538,18617955,555967
99,Cash at the Beginning of Period,129023,-121725,-5292297,1214681,4311381,2648973,423250,1192805,633022,103634,455841,402059,72700,438432,681755,632538,18617955
100,Free Cash Flow,-5701074,-5976285,-1714576,-179359,-1683913,-2248675,-2509491,-1235851,-2853134,-3908917,-5245294,-4296449,-5134919,-8585584,-3074283,-11924941,-19516475
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321834/000114420414018497/0001144204-14-018497-index.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315215000954/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315216008364/0001493152-16-008364-index.html,https://www.sec.gov/Archives/edgar/data/1321834/000149315217003722/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315218004626/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315219004590/0001493152-19-004590-index.html,https://www.sec.gov/Archives/edgar/data/1321834/000149315220004650/0001493152-20-004650-index.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315221005129/0001493152-21-005129-index.htm,https://www.sec.gov/Archives/edgar/data/1321834/000149315222008546/0001493152-22-008546-index.htm
102,false,,,,,,,,,,,,,,,,,
