,https://roic.ai/company/AVEO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,63344951,35606527,53093871,145453000,234395000,190681000,128919000,59128000,40376000,26315000,50183000,27935000,50600000,65508000,104736000
38,PP&E,3726931,3752440,4197475,4532000,5471000,12867000,14140000,11295000,23000,- -,- -,- -,- -,1246000,454000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,54312000,- -,- -,- -,- -,- -,- -,- -,- -,- -,16784000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,582339,728387,2553006,1063000,872000,3921000,3287000,239000,143000,970000,15000,- -,- -,158000,-16633000
45,Total Non-Current Assets,4309270,4480827,6750481,5595000,60655000,16788000,17427000,11534000,166000,970000,15000,- -,- -,1404000,605000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,67654221,40087354,59844352,151048000,295050000,207469000,146346000,70662000,40542000,27285000,50198000,27935000,50600000,66912000,105341000
48,Accounts Payable,2417460,3854301,7490425,9247000,8904000,10628000,4238000,3245000,1425000,2186000,2436000,3499000,1466000,3380000,2712000
49,Short-Term Debt,6442917,5037442,7466973,5766000,8551000,6809000,10383000,11722000,2053000,2124000,- -,3254000,9569000,1425000,11000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,8951621,7233191,11957984,16693000,1616000,1294000,1294000,537000,814000,510000,395000,1658000,1974000,1974000,578000
52,Other Current Liabilities,2991304,3408524,7389133,10387000,15538000,20399000,15493000,24851000,8106000,5529000,29293000,9706000,8109000,10166000,15430000
53,Total Current Liabilities,20803302,19533458,34304515,42093000,34609000,39130000,31408000,40355000,12398000,10349000,32124000,18117000,21118000,16945000,18731000
54,Long-Term Debt,8634872,16017808,12277786,17636000,15619000,19228000,8822000,8930000,7418000,11879000,18477000,15779000,6197000,12716000,- -
55,Deferred Revenue,10937038,6048079,23320483,16509000,20043000,18391000,17098000,231000,2881000,1697000,1302000,3802000,2552000,578000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,125737144,127175840,2068820,3040000,1238000,11782000,19080000,540000,618000,5283000,39058000,17464000,5887000,1379000,40740000
58,Total Non-Current Liabilities,145309054,149241727,37667089,37185000,36900000,49401000,45000000,9701000,10917000,18859000,58837000,37045000,14636000,14673000,40740000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705000,- -
61,Total Liabilities,166112356,168775185,71971604,79278000,71509000,88531000,76408000,50056000,23315000,29208000,90961000,55162000,35754000,31618000,59471000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5734,6346,20620,36000,43000,44000,52000,52000,58000,76000,118000,126000,161000,27000,34000
64,Retained Earnings,-101158130,-133631254,-177724642,-236514000,-205866000,-320260000,-427289000,-480028000,-495029000,-521916000,-586969000,-595009000,-585621000,-621205000,-674547000
65,Other Comprehensive Income/Loss,115218,17568,-138,-20000,-167000,-19000,-2000,- -,-3000,6000,-4000,1000,- -,- -,-3000
66,Other Total Stockholders Equity,2579043,4919509,165576908,308268000,429531000,439173000,497177000,500582000,512201000,519911000,546092000,567655000,600306000,656472000,720386000
67,Total Stockholders Equity,-98458135,-128687831,-12127252,71770000,223541000,118938000,69938000,20606000,17227000,-1923000,-40763000,-27227000,14846000,35294000,45870000
68,Total Liabilities And Stockholders Equity,67654221,40087354,59844352,151048000,295050000,207469000,146346000,70662000,40542000,27285000,50198000,27935000,50600000,66912000,105341000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,67654221,40087354,59844352,151048000,295050000,207469000,146346000,70662000,40542000,27285000,50198000,27935000,50600000,66912000,105341000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1325879/000119312511062950/0001193125-11-062950-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312512141748/0001193125-12-141748-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312513101343/0001193125-13-101343-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312514097636/0001193125-14-097636-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312515079651/0001193125-15-079651-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459016014772/0001564590-16-014772-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459017005015/0001564590-17-005015-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459018005386/0001564590-18-005386-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459019007804/0001564590-19-007804-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459020011145/0001564590-20-011145-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459021013607/0001564590-21-013607-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000162828022006093/0001628280-22-006093-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-24981820,-32473124,-44093388,-58789000,30648000,-114394000,-107029000,-52739000,-15001000,-26887000,-65025000,-5329000,9388000,-35584000,-53342000
74,Depreciation and Amortization,1334239,1320754,1288886,1350000,1654000,2510000,3775000,6219000,9567000,30000,- -,- -,- -,21000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,788317,2305615,2386982,4085000,5903000,8007000,3940000,2808000,1132000,999000,1089000,2546000,2358000,2355000,- -
77,Change in Working Capital,14738994,-26468580,2716287,84570644,96426000,-48235000,-54040000,-78738000,9205000,-12012000,2093000,-8241000,19664000,19081000,37442000
78,Accounts Receivable,-621056,-1459753,1594012,96000,-6819000,-13439000,19665000,-1357000,-2300000,3614000,625000,-2624000,1395000,433000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1284965,1436841,3636124,1756000,-343000,1724000,-6390000,-993000,-1820000,760000,250000,1063000,-2033000,1914000,- -
81,Other Working Capital,42541649,16073069,18789356,103360000,199786000,151551000,97511000,18773000,27978000,15966000,18059000,9818000,29482000,48563000,86005000
82,Other Non-Cash Items,-484210,20013949,27727761,-83041644,-108180000,46383000,68952000,68202000,-23133000,6804000,42679000,-14002000,-34329000,-23856000,-41357000
83,Cash Provided by Operating Activities,-8604480,-35301386,-9973472,-51825000,26451000,-105729000,-84402000,-54248000,-18230000,-31066000,-19164000,-25026000,-2919000,-37983000,-57257000
84,CAPEX,-375400,-1356502,-1733921,-1686000,-2628000,-9948000,-3668000,-12942000,-22000,-7000,- -,- -,- -,-363000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-73019015,-28644995,-35926719,-167706000,-376270000,-194584000,-175391000,-42306000,-19085000,-29421000,-34852000,-6733000,-17917000,-36133000,- -
87,Sales/Maturities of Investments,33500000,58152331,41075000,78886000,234795000,339779000,191129000,109767000,11550000,28664000,24450000,25312000,- -,54200000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,191000,1241000,- -,- -,- -,- -,- -,-16866000
89,Cash Used for Investing Activites,-39894415,28150834,3414360,-90506000,-144103000,135247000,12070000,54710000,-6316000,-764000,-10402000,18579000,-17917000,17704000,-16866000
90,Debt Repayment,-4619766,-13947678,-1986004,-3278000,- -,-2172000,-7104000,-7785000,-11612000,- -,- -,- -,-3834000,-6497000,- -
91,Common Stock Issued,- -,- -,- -,136923000,112130000,- -,54102000,191000,10486000,15407000,24519000,16465000,30328000,53678000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,57454064,20828942,33020786,9187000,3237000,5308000,- -,8612000,- -,4885000,4900000,-540000,-300000,5074000,82904000
95,Cash Used/Provided by Financing Activities,52834298,6881264,31034782,142832000,115367000,3136000,46998000,1018000,-1126000,20292000,29419000,15925000,26194000,52255000,82904000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-26000,26000,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4335403,-269288,24475670,501000,-2285000,32628000,-25308000,1480000,-25672000,-11538000,-147000,9478000,5358000,31976000,8781000
98,Cash at the End of Period,21083100,20813812,45289482,45791000,43506000,76134000,50826000,52306000,26634000,15096000,14949000,24427000,29785000,61761000,- -
99,Cash at the Beginning of Period,16747697,21083100,20813812,45290000,45791000,43506000,76134000,50826000,52306000,26634000,15096000,14949000,24427000,29785000,61761000
100,Free Cash Flow,-8979880,-36657888,-11707393,-53511000,23823000,-115677000,-88070000,-67190000,-18252000,-31073000,-19164000,-25026000,-2919000,-38346000,-57257000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1325879/000119312511062950/0001193125-11-062950-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312512141748/0001193125-12-141748-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312513101343/0001193125-13-101343-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312514097636/0001193125-14-097636-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000119312515079651/0001193125-15-079651-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459016014772/0001564590-16-014772-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459017005015/0001564590-17-005015-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459018005386/0001564590-18-005386-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459019007804/0001564590-19-007804-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459020011145/0001564590-20-011145-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000156459021013607/0001564590-21-013607-index.htm,https://www.sec.gov/Archives/edgar/data/1325879/000162828022006093/0001628280-22-006093-index.htm
102,false,,,,,,,,,,,,,,,
