,https://roic.ai/company/TNK,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,3600000,3600000,3600000,3600000,3600000,1800000,1800000,25246000,25246000,41959000,174047000,171019000,173972000,127132000,135220000,103019000,76921000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,4706000,3572000,2028000,1777000,4564000,2961000,637000,2676000,4394000,557000,- -,- -,- -,- -
52,Other Current Liabilities,48293000,48028000,3800000,10194000,12428000,12672000,11623000,28690000,39693000,41207000,96212000,66129000,54325000,59483000,73507000,7986000,12752000
53,Total Current Liabilities,53321000,53950000,8200000,22400000,21600000,24500000,22100000,61800000,70200000,85740000,289652000,255948000,236714000,197761000,279705000,197119000,157088000
54,Long-Term Debt,221647000,35100000,145500000,325200000,301600000,452200000,347100000,710500000,719400000,661340000,990558000,761997000,927238000,983563000,905537000,232103000,577108000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,7800000,20900000,10500000,17100000,23400000,31200000,23300000,15814000,11805000,13683000,26795000,32829000,54314000,332121000,46141000
58,Total Non-Current Liabilities,221647000,35100000,153300000,346100000,312100000,469300000,370500000,741700000,742700000,677154000,1002363000,775680000,954033000,1016392000,959851000,564224000,623249000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148908000,375289000,434348000,364043000,308738000
61,Total Liabilities,274968000,89050000,161500000,368500000,333700000,493800000,392600000,803500000,812900000,762894000,1292015000,1031628000,1190747000,1214153000,1239556000,761343000,780337000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,180900000,181200000,246800000,481300000,588400000,672600000,673200000,802650000,1094874000,1103304000,1294998000,1295929000,33600000,- -,- -
64,Retained Earnings,- -,- -,-33000000,-58900000,-40500000,-38600000,-99100000,-370400000,-388500000,-346927000,-217413000,-182680000,-288397000,-348996000,-307635000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,912000,- -,-135700000,-203800000,-247000000,-203600000,-251400000,-323300000,-391000000,24232000,-537400000,-605700000,-680800000,- -,- -
66,Other Total Stockholders Equity,42446000,209575000,-18000,6000,135671000,203789000,247071000,203583000,251372000,323300000,391000000,-24232000,537400000,605700000,1944755000,1078902000,- -
67,Total Stockholders Equity,42446000,209575000,148794000,122306000,206271000,442689000,489371000,302183000,284672000,455723000,877461000,920624000,1006601000,946933000,989920000,1078902000,838412000
68,Total Liabilities And Stockholders Equity,317414000,298625000,310294000,490806000,539971000,936489000,881971000,1105683000,1097572000,1218617000,2169476000,1952252000,2197348000,2161086000,2229476000,1840245000,1618749000
69,Minority Interest,- -,- -,6000,-6000,29000,11000,-71000,17000,-72000,22555000,- -,12116000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,317414000,298625000,310300000,490800000,540000000,936500000,881900000,1105700000,1097500000,1241172000,2169476000,1964368000,2197348000,2161086000,2229476000,1840245000,1618749000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419945/000095012309011932/c86310e20vf.htm,https://www.sec.gov/Archives/edgar/data/1419945/000095012310030166/0000950123-10-030166-index.html,https://www.sec.gov/Archives/edgar/data/1419945/000095012311034985/c15241e20vf.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312512162738/d253798d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312513186733/d488481d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312514173022/d685445d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312515152402/d849724d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312516558999/d131491d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828017004307/tnk201620-fdoc.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828018004935/tnk201720-fdoc.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828019004116/tnk201820-fdoc.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828020004971/tnk201920-fdoc.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,43891000,40153000,42500000,51800000,38900000,16300000,-9100000,-370200000,-8100000,60538000,183626000,67823000,-58023000,-52548000,41362000,87317000,-242372000
74,Depreciation and Amortization,13137000,15614000,15667000,22943000,28660000,45455000,43185000,72365000,47833000,50152000,73760000,104149000,100481000,118514000,124002000,117212000,106084000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18489000,7113000,-3109000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-11485000,6313000,3324000,-4365000,23471000,-3238000,2202000,-19794000,-6586000,-51679000,-25880000,44496000,5741000,-54952000,-30432000,89920000,-50116000
78,Accounts Receivable,- -,- -,- -,-6623000,475000,- -,-947000,-8058000,-10814000,-33538000,-40987000,36009000,30546000,-57019000,-114793000,140290000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28628000,13634000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-877000,2337000,2092000,-3856000,32876000,-21265000,-13996000,9778000,83244000,-50040000,- -
81,Other Working Capital,- -,- -,- -,-1094000,- -,786000,244000,2455000,-1744000,-324000,-6549000,1718000,-4497000,-497000,7091000,-10941000,- -
82,Other Non-Cash Items,-3715000,90000,502000,7195000,-16934000,-126000,18818000,345171000,-26945000,-45408000,-64717000,-6492000,31441000,-18277000,-35760000,46381000,80071000
83,Cash Provided by Operating Activities,41828000,62170000,61993000,77573000,74097000,58391000,55105000,27542000,6202000,13603000,166789000,209976000,79640000,-7263000,117661000,347943000,-109442000
84,CAPEX,-81328000,-1022000,-945000,-3269000,-3831000,-6253000,-2315000,-2518000,-1904000,-5763000,-848229000,-9226000,-4732000,-5827000,-11628000,-16025000,-21447000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-3344000,-3890000,-39589000,-44820000,15000000,30831000,746000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-115575000,- -,- -,-13010000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,25566000,2022000,- -,13004000,153116000,-225149000,21824000,47949000,589000,20008000,90542000,38143000
89,Cash Used for Investing Activites,-81328000,-1022000,-945000,-3269000,-3831000,-96262000,-2315000,-5862000,-5800000,109827000,-881969000,36824000,78780000,-4492000,8380000,74517000,38143000
90,Debt Repayment,-143212000,-340551000,-327204000,-126700000,-115911000,-342369000,-120128000,-98894000,-50246000,-187367000,-236253000,-1141969000,-556892000,-318040000,-410438000,-1195818000,-387087000
91,Common Stock Issued,- -,- -,209648000,- -,79729000,211978000,112054000,69000000,- -,111190000,242264000,7558000,13521000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-27422000,-2707000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-69625000,-50350000,-55244000,-51358000,-32231000,-10030000,-10165000,-15139000,-46847000,-20679000,-8052000,- -,- -,- -
94,Other Financing Activites,182712000,279403000,118769000,116587000,- -,225524000,10051000,48220000,59179000,100063000,657928000,906149000,382912000,322644000,320680000,779714000,411168000
95,Cash Used/Provided by Financing Activities,39500000,-61148000,-26209000,-82445000,-86532000,39889000,-49381000,-13905000,-1097000,13721000,648800000,-275109000,-181138000,-3448000,-89758000,-416104000,24081000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,39500000,-61148000,-26209000,-8141000,-16266000,2018000,3409000,7775000,-695000,137151000,-66380000,-28309000,-22718000,-15203000,36283000,6356000,-47218000
98,Cash at the End of Period,- -,- -,34839000,26698000,10432000,12450000,15859000,26341000,25646000,162797000,96417000,68108000,71439000,60507000,96790000,103146000,55928000
99,Cash at the Beginning of Period,- -,- -,- -,34839000,26698000,10432000,12450000,18566000,26341000,25646000,162797000,96417000,94157000,75710000,60507000,96790000,103146000
100,Free Cash Flow,-39500000,61148000,61048000,74304000,70266000,52138000,52790000,25024000,4298000,7840000,-681440000,200750000,74908000,-13090000,106033000,331918000,-130889000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419945/000095012309011932/c86310e20vf.htm,https://www.sec.gov/Archives/edgar/data/1419945/000095012310030166/0000950123-10-030166-index.html,https://www.sec.gov/Archives/edgar/data/1419945/000095012311034985/c15241e20vf.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312512162738/d253798d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312513186733/d488481d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312514173022/d685445d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312515152402/d849724d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000119312516558999/d131491d20f.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828017004307/tnk201620-fdoc.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828018004935/tnk201720-fdoc.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828019004116/tnk201820-fdoc.htm,https://www.sec.gov/Archives/edgar/data/1419945/000162828020004971/tnk201920-fdoc.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,
