,https://roic.ai/company/LX,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,3817082000,8720135000,14729584000,12470575000,19236294000,20345165000,21026194000
48,Accounts Payable,32285000,326000000,647304000,1170635000,1235883000,800744000,15705000
49,Short-Term Debt,3159154000,7038524000,10693978000,5084051000,5778983000,6558575000,4901122000
50,Tax Payable,35845000,78734000,228660000,114887000,270163000,632006000,- -
51,Deferred Revenue,13683000,34600000,100448000,163690000,84703000,769586000,419843000
52,Other Current Liabilities,387007000,586137000,1419410000,1600337000,2703050000,3890768000,4850450000
53,Total Current Liabilities,3592129000,7985261000,12861140000,8018713000,9802619000,12019673000,10187120000
54,Long-Term Debt,31080000,22776000,166918000,157887000,2524490000,2773708000,2579541000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,187183000,309646000,21046000,54335000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,137389000
58,Total Non-Current Liabilities,31080000,22776000,166918000,345070000,2834136000,2794754000,2771265000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,73608000,73244000,- -
61,Total Liabilities,3623209000,8008037000,13028058000,8363783000,12636755000,14814427000,12958385000
62,Preferred Stock,607323000,- -,- -,- -,- -,- -,- -
63,Common Stock,1259000,202000,210000,226000,231000,234000,237000
64,Retained Earnings,-429846000,-630664000,-450551000,1591896000,3734397000,2113956000,4195791000
65,Other Comprehensive Income/Loss,15137000,18945000,40910000,185954000,345025000,652542000,912595000
66,Other Total Stockholders Equity,- -,1323615000,2110957000,2328716000,2519886000,2724006000,2918993000
67,Total Stockholders Equity,193873000,712098000,1701526000,4106792000,6599539000,5490738000,8027616000
68,Total Liabilities And Stockholders Equity,3817082000,8720135000,14729584000,12470575000,19236294000,20305165000,20986001000
69,Minority Interest,- -,- -,- -,- -,- -,40000000,40193000
70,Total Liabilities & Equity,3817082000,8720135000,14729584000,12470575000,19236294000,20345165000,21026194000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1708259/000110465919025320/a19-1147_120f.htm,https://www.sec.gov/Archives/edgar/data/1708259/000110465920053901/lx-20191231x20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-310194000,-117939000,240352000,1977306000,2294552000,594980000,- -
74,Depreciation and Amortization,1388000,4586000,18859000,30398000,87840000,107293000,- -
75,Deferred Income Tax,-89459000,47054000,3564000,58176000,59923000,-503520000,- -
76,Stock Based Compensation,14488000,23999000,75736000,122636000,177262000,198825000,- -
77,Change in Working Capital,-1171416000,110940000,672058000,-11109000,-4173883000,-5447494000,- -
78,Accounts Receivable,-1312503000,-253660000,231840000,219450000,36076000,287660000,- -
79,Inventory,-33265000,-65097000,4287000,47791000,-48578000,60005000,- -
80,Accounts Payable,30641000,41942000,125474000,-62329000,65989000,-158876000,- -
81,Other Working Capital,- -,- -,-33263000,4071000,-297900000,-1862597000,- -
82,Other Non-Cash Items,70087000,311199000,651756000,617303000,775802000,4838897000,- -
83,Cash Provided by Operating Activities,-1485106000,379839000,1662325000,2794710000,-778504000,-211019000,- -
84,CAPEX,-10418000,-32147000,-37844000,-54226000,-49865000,-86573000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-11132000,-13333000,-2832000,-120000000,-387705000,-7164471000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,9000000,39698000,- -
88,Other Investing Activites,-1566095000,-4456790000,-5383208000,3778216000,-355009000,5074917000,- -
89,Cash Used for Investing Activites,-1587645000,-4502270000,-5423884000,3603990000,-783579000,-2136429000,- -
90,Debt Repayment,-2919983000,-11597929000,-14674546000,-21425760000,-10059224000,-21365157000,- -
91,Common Stock Issued,- -,- -,651250000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-87923000,-50000000,-171240000,-339528000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5951847000,16145799000,18484904000,15979059000,13457573000,22598168000,- -
95,Cash Used/Provided by Financing Activities,3031864000,4459947000,4411608000,-5617941000,3058821000,1233011000,- -
96,Effect of Forex Changes on Cash,14674000,6718000,-3179000,-18911000,-8246000,-31283000,- -
97,Net Change In Cash,-26213000,344234000,646870000,761848000,1488492000,-1145720000,- -
98,Cash at the End of Period,135371000,479605000,1126475000,2497134000,3985626000,2839906000,- -
99,Cash at the Beginning of Period,161584000,135371000,479605000,1735286000,2497134000,3985626000,- -
100,Free Cash Flow,-1495524000,347692000,1624481000,2740484000,-828369000,-297592000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1708259/000110465919025320/a19-1147_120f.htm,https://www.sec.gov/Archives/edgar/data/1708259/000110465920053901/lx-20191231x20f.htm,- -,undefined
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
