,https://roic.ai/company/WOLF,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2600000,3500000,4300000,5100000,9600000,10300000,16000000,30073000,35690000,157632000,59498000,69556000,84318000,102052000,117332000,153786000,174540000,209188000,267067000,366723000,423293000,481830000,499747000,480632000,463223000,478582000,402200000,410100000,373900000
11,COGS and Expenses,5900000,8300000,11400000,17500000,25200000,33900000,42400000,71812000,125390000,249708000,190150000,228010000,269196000,324111000,377465000,481255000,529889000,665368000,818909000,1121919000,1286015000,1510676000,1657296000,1610185000,1501651000,1564620000,1091200000,1065700000,734900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7882000,11932000,9086000,4472000,3696000,1827000,- -,16400000,10100000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34900000,45400000
14,Depreciation and Amortization,1000000,1000000,1500000,1800000,3500000,4400000,5500000,11928000,27223000,40161000,44905000,58788000,71921000,75376000,83911000,98127000,96564000,90424000,108605000,142709000,153301000,162971000,172286000,159145000,150508000,153937000,143600000,123900000,120900000
15,EBITDA,1600000,600000,1200000,2100000,7200000,13300000,23100000,58734000,77409000,-90253000,92069000,142381000,197921000,184453000,142163000,140803000,135906000,295896000,286832000,190356000,260858000,310541000,89384000,135639000,145844000,-163553000,-218800000,-32700000,-356500000
16,EBITDA ratio,0.2540,0.0800,0.1081,0.1235,0.2483,0.3129,0.3844,0.5410,0.4368,-0.5807,0.4006,0.4640,0.5087,0.4361,0.3607,0.2854,0.2396,0.3412,0.2904,0.1634,0.1882,0.1885,0.0548,0.0839,0.0990,-0.1095,-0.2026,-0.0362,-0.6783
17,Operating Income,400000,-800000,-300000,-500000,3800000,8600000,17700000,36750000,34436000,-94274000,39672000,78860000,119868000,98841000,16656000,12041000,30590000,197778000,168706000,39258000,96494000,134275000,-72513000,-10471000,-18672000,-329087000,-15900000,-209400000,-313900000
18,Operating Income ratio,0.0635,-0.1067,-0.0270,-0.0294,0.1310,0.2024,0.2945,0.3385,0.1943,-0.6065,0.1726,0.2570,0.3081,0.2337,0.0423,0.0244,0.0539,0.2280,0.1708,0.0337,0.0696,0.0815,-0.0444,-0.0065,-0.0127,-0.2203,-0.0147,-0.2317,-0.5972
19,Total Other Income Expenses (Gains),300000,500000,500000,900000,-100000,300000,-100000,10056000,15750000,-36140000,7492000,4733000,6132000,13522000,34455000,29008000,9077000,7694000,9521000,8389000,11063000,13295000,-10389000,-13035000,14008000,11642000,-29300000,19000000,-26300000
20,Income Before Tax,- -,- -,- -,- -,3700000,8900000,17600000,46806000,50186000,-130414000,47164000,83593000,126000000,112363000,51111000,41049000,39667000,205472000,178227000,47647000,107557000,147570000,-82902000,-23506000,-4664000,-317445000,-45200000,-190400000,-340200000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1276,0.2094,0.2928,0.4311,0.2832,-0.8390,0.2052,0.2724,0.3239,0.2657,0.1297,0.0832,0.0699,0.2369,0.1805,0.0409,0.0776,0.0896,-0.0508,-0.0145,-0.0032,-0.2125,-0.0419,-0.2106,-0.6473
22,Income Tax expense (Gain),- -,- -,- -,- -,200000,2600000,4900000,16286000,22343000,-28691000,12263000,25633000,34857000,32404000,918000,9237000,9017000,53182000,31727000,3235000,20632000,23379000,-18851000,-1970000,93454000,-37522000,12700000,200000,1100000
23,Net Income,600000,-400000,- -,300000,3500000,6300000,12700000,30520000,27843000,-101723000,34901000,57960000,91143000,76673000,57334000,33439000,30325000,152290000,146500000,44412000,86925000,124191000,-64051000,-21536000,-98118000,-279968000,-375100000,-191700000,-523900000
24,Net Income ratio,0.0952,-0.0533,- -,0.0176,0.1207,0.1482,0.2113,0.2811,0.1571,-0.6544,0.1519,0.1889,0.2343,0.1813,0.1455,0.0678,0.0535,0.1756,0.1483,0.0381,0.0627,0.0754,-0.0392,-0.0133,-0.0666,-0.1874,-0.3473,-0.2121,-0.9968
25,EPS,0.02,-0.01,- -,0.01,0.07,0.12,0.23,0.47,0.39,-1.40,0.48,0.78,1.22,1.01,0.73,0.39,0.34,1.41,1.34,0.38,0.73,1.03,-0.61,-0.21,-1.00,-2.76,-3.52,-1.78,-4.66
26,EPS Diluted,0.02,-0.01,- -,0.01,0.07,0.12,0.23,0.43,0.37,-1.40,0.46,0.77,1.18,0.98,0.72,0.38,0.34,1.41,1.33,0.38,0.73,1.01,-0.61,-0.21,-1.00,-2.81,-3.52,-1.78,-4.66
27,Weighted Average Shares Outstanding,30000000,40000000,41604000,50459856,52504000,53972000,54030000,65930000,72243000,72718000,73196000,74008000,74995000,76270000,78560000,86366000,88050000,100706000,109607000,115906000,119623000,120114000,105507000,100829000,97674000,101488000,106570000,107935000,112346000
28,Weighted Average Shares Outstanding Diluted,30000000,40000000,41604000,50459856,52504000,53972000,56864000,70434000,75735000,72718000,75303000,75745000,77172000,78207000,79496000,88077000,89081000,104698000,110035000,115906000,119623000,122914000,113022000,101783000,98487000,101488000,106570000,107935000,112346000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895419/000089541921000070/0000895419-21-000070-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64795000,81472000,70925000,88768000,93881000,261633000,290154000,397431000,390598000,178885000,190069000,286824000,139710000,166154000,132597000,118924000,500500000,448800000,379000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75242000,76691000,102543000,167450000,148774000,50795000,127499000,668974000,695199000,565628000,833846000,875642000,573481000,439151000,478341000,268161000,550900000,802900000,775600000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140037000,158163000,173468000,256218000,242655000,312428000,417653000,1066405000,1085797000,744513000,1023915000,1162466000,713191000,605305000,610938000,387085000,1051400000,1251700000,1154600000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45551000,49518000,47197000,72379000,87615000,120201000,104561000,117535000,125265000,152258000,192507000,225160000,186157000,171915000,156432000,156309000,129100000,120600000,102300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17674000,19428000,31249000,29994000,71068000,80161000,78841000,112241000,176482000,188849000,197001000,284780000,280576000,303542000,284385000,296015000,187400000,179100000,166600000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6093000,7784000,29516000,17907000,32794000,20078000,28381000,58982000,69351000,78661000,102343000,101485000,128326000,75945000,48875000,50681000,44900000,41400000,55200000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209355000,234893000,281430000,376498000,434132000,532868000,629436000,1355163000,1456895000,1164281000,1515766000,1773891000,1308250000,1156707000,1100630000,890090000,1412800000,1592800000,1478700000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251346000,273342000,341396000,342238000,372345000,348013000,320110000,419726000,555929000,582461000,542833000,605713000,635072000,599723000,581263000,661319000,625200000,831100000,1292300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141777000,244003000,304791000,313019000,326178000,616345000,616345000,616345000,616345000,618828000,618828000,620330000,530000000,530000000,359200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7146000,19831000,28891000,30286000,96138000,126037000,113328000,106109000,102860000,376075000,357525000,336423000,317154000,302810000,274315000,390054000,197900000,179600000,140500000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7146000,19831000,28891000,30286000,237915000,370040000,418119000,419128000,429038000,992420000,973870000,952768000,933499000,921638000,893143000,1010384000,727900000,709600000,499700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29557000,- -,- -,- -,- -,- -,57595000,40179000,50366000,57501000,39500000,55900000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20934000,- -,- -,- -,1227000,- -,- -,- -,- -,- -,- -,- -,- -,38564000,11763000,6451000,5600000,6300000,1000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74913000,99934000,125691000,151178000,70611000,62486000,7345000,5159000,4860000,8336000,19941000,11997000,19984000,9249000,12702000,11800000,5900000,35300000,175100000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354339000,393107000,495978000,523702000,682098000,780539000,775131000,844013000,989827000,1583217000,1536644000,1570478000,1646150000,1609353000,1549237000,1747455000,1404100000,1638200000,1968100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563694000,628000000,777408000,900200000,1116230000,1313407000,1404567000,2199176000,2446722000,2747498000,3052410000,3344369000,2954400000,2766060000,2649867000,2637545000,2816900000,3231000000,3446800000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14916000,25102000,23465000,23214000,32940000,37402000,38770000,63826000,76593000,78873000,121441000,202294000,163128000,132286000,133185000,151307000,90700000,106900000,44200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,5200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8139000,14375000,15493000,3834000,22751000,34683000,15970000,12720000,11148000,8053000,3000000,3200000,400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5533000,8437000,67000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45800000,38300000,22900000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7843000,11443000,12504000,14176000,21509000,87273000,89911000,56265000,63723000,70304000,85970000,104361000,91658000,90713000,78838000,96986000,131700000,142400000,376500000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28292000,44982000,36036000,37390000,54449000,124675000,128681000,120091000,140316000,149177000,207411000,306655000,254786000,222999000,212023000,248293000,268200000,291200000,448800000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,160000000,145000000,292000000,469100000,795200000,833900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3886000,28454000,33310000,44550000,38048000,42752000,39398000,21902000,15735000,25504000,12173000,12174000,943000,49860000,3056000,2000000,1800000,2500000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,- -,- -,1887000,1232000,4944000,8386000,11639000,22940000,22695000,12843000,35395000,21084000,14294000,20179000,22115000,36400000,53600000,45100000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,3886000,28454000,35197000,45782000,42992000,51138000,51037000,44842000,38430000,38347000,47568000,233258000,175237000,215039000,317171000,507500000,850600000,881500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,15200000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28322000,48868000,64490000,72587000,100231000,167667000,179819000,171128000,185158000,187607000,245758000,354223000,488044000,398236000,427062000,565464000,775700000,1141800000,1330300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000,91000,94000,96000,106000,110000,112000,135000,136000,144000,148000,149000,131000,125000,121000,127000,100000,100000,100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9179000,67139000,158282000,234955000,292287000,325692000,356017000,508307000,654807000,687238000,772496000,788581000,174873000,-613000,-202742000,-482710000,-847500000,-1039200000,-1563100000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-218000,5627000,6200000,11758000,9826000,8923000,11236000,12171000,13091000,11007000,8244000,11405000,5798000,8728000,5909000,596000,9500000,16000000,2700000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,526319000,506275000,548342000,580804000,713780000,811015000,857383000,1507435000,1593530000,1861502000,2025764000,2190011000,2285554000,2359584000,2419517000,2549123000,2874100000,3106200000,3676800000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,535372000,579132000,712918000,827613000,1015999000,1145740000,1224748000,2028048000,2261564000,2559891000,2806652000,2990146000,2466356000,2367824000,2222805000,2067136000,2036200000,2083100000,2116500000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563694000,628000000,777408000,900200000,1116230000,1313407000,1404567000,2199176000,2446722000,2747498000,3052410000,3344369000,2954400000,2766060000,2649867000,2632600000,2811900000,3224900000,3446800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4945000,5000000,6100000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563694000,628000000,777408000,900200000,1116230000,1313407000,1404567000,2199176000,2446722000,2747498000,3052410000,3344369000,2954400000,2766060000,2649867000,2637545000,2816900000,3231000000,3446800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895419/000089541921000070/0000895419-21-000070-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,600000,-400000,- -,300000,3500000,6300000,12700000,30520000,27843000,-101723000,34901000,57960000,91143000,76673000,57334000,33439000,30325000,152290000,146500000,44412000,86925000,124191000,-64051000,-21536000,-98118000,-279968000,-375100000,-191700000,-523900000
74,Depreciation and Amortization,1000000,1000000,1500000,1800000,3500000,4400000,5500000,11928000,27223000,40161000,44905000,58788000,71921000,75376000,83911000,98127000,96564000,90424000,108605000,142709000,153301000,162971000,172286000,159145000,150508000,153937000,143600000,123900000,120900000
75,Deferred Income Tax,- -,- -,- -,- -,-200000,400000,3500000,-11617000,13514000,-31200000,5709000,20448000,11233000,2202000,-9825000,825000,-10762000,-11046000,-16308000,-6425000,- -,- -,-20950000,-15839000,74918000,-40038000,-400000,-900000,900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21112000,24067000,38240000,46393000,53899000,61686000,64299000,58728000,47725000,43203000,78000000,53300000,53200000
77,Change in Working Capital,-800000,-800000,-2100000,-4000000,-1800000,-500000,-7100000,7115000,-22970000,-8011000,-4633000,10592000,-28295000,-20849000,-14369000,-25755000,31745000,2175000,-33164000,3657000,-10477000,-26353000,-46034000,-16811000,43104000,34916000,38800000,-18000000,-271700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6209000,-15293000,-963000,-9365000,-40430000,-32651000,37853000,21800000,16955000,-4764000,22300000,14900000,-23500000
79,Inventory,-200000,- -,-1000000,-1500000,-700000,1400000,-1400000,-5334000,-2035000,-2764000,292000,-1107000,-12473000,1872000,-14627000,-9253000,820000,-33129000,-63450000,26904000,-8406000,-87012000,3528000,-23269000,17918000,10998000,-43300000,9900000,-44600000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18442000,-10105000,41800000,66297000,-44796000,-12090000,-4818000,14296000,6400000,-16300000,21700000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2846000,- -,- -,- -,- -,- -,- -,21600000,-100000,1029900000
82,Other Non-Cash Items,-100000,-100000,- -,300000,900000,1500000,5300000,25025000,29158000,139903000,8767000,4600000,29577000,18128000,-6119000,-3829000,8935000,-7341000,7507000,11534000,1586000,-3187000,75704000,39629000,-2237000,255308000,317400000,4400000,495100000
83,Cash Provided by Operating Activities,700000,-300000,-600000,-1600000,5900000,12100000,19900000,62971000,74768000,39130000,89649000,152388000,175579000,151530000,110932000,102807000,177919000,250569000,251380000,242280000,285234000,319308000,181254000,203316000,215900000,167358000,202300000,-29000000,-125500000
84,CAPEX,-2000000,-1800000,-3500000,-14700000,-8000000,-15300000,-40600000,-78047000,-106194000,-41635000,-77643000,-77280000,-141820000,-81382000,-89003000,-70568000,-63943000,-177897000,-249837000,-112219000,-98326000,-198740000,-225651000,-134461000,-99333000,-195803000,-153000000,-244300000,-576400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1946000,- -,- -,-10684000,- -,-327000,-123139000,- -,- -,-65823000,-13159000,-454605000,- -,- -,- -,-12513000,- -,-429162000,219000000,- -,43700000
86,Purchases of Investments,-9900000,-13500000,-2200000,- -,- -,- -,-4500000,-208383000,-7971000,-132568000,-118934000,-128683000,-181754000,-212170000,-167608000,-413735000,-217059000,-660823000,-382520000,-345457000,-724467000,-625820000,-430368000,-220823000,-200405000,-200688000,-517200000,-833400000,-475000000
87,Sales/Maturities of Investments,5000000,11200000,5500000,2100000,1800000,- -,- -,17748000,147461000,66965000,88174000,110072000,132446000,131592000,281486000,524091000,170376000,140928000,342077000,463888000,442185000,582178000,639597000,354598000,153096000,401152000,223800000,588200000,546400000
88,Other Investing Activites,-100000,-200000,-600000,-300000,-300000,100000,-200000,-5868000,-27937000,-9648000,-2895000,-5775000,-9015000,1163000,550000,1465000,-72877000,-9045000,-12547000,-16952000,-20557000,-20066000,-19206000,-9147000,-11013000,-9501000,-10300000,-4600000,6800000
89,Cash Used for Investing Activites,-7000000,-4300000,-800000,-12900000,-6500000,-15200000,-45300000,-274550000,3413000,-116886000,-111298000,-112350000,-200143000,-161124000,-97714000,41253000,-174843000,-763387000,-303234000,-448141000,-380307000,-242265000,-16137000,-7903000,-145250000,-423887000,-227100000,-486900000,-448600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-495000000,-693000000,-483000000,-523000000,-387000000,-145100000,-30400000
91,Common Stock Issued,14700000,100000,200000,20900000,1000000,2900000,62000000,272924000,13206000,7235000,12700000,11376000,54378000,27437000,10451000,62243000,26681000,598077000,34405000,5012000,96229000,100006000,36929000,21682000,17716000,97521000,158000000,76400000,539700000
92,Common Stock Repurchased,- -,- -,- -,- -,-100000,-1300000,-3200000,- -,-30668000,-20297000,- -,-34737000,-35261000,- -,-18742000,-51321000,-2744000,- -,- -,-11981000,-1667000,-99699000,-549677000,-149553000,-104017000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-800000,- -,- -,- -,- -,8700000,-8700000,-47000,- -,- -,- -,- -,- -,- -,230000,5467000,714000,21722000,10141000,277000,11390000,19235000,696395000,653012000,465223000,668150000,635500000,533000000,-5200000
95,Cash Used/Provided by Financing Activities,13900000,100000,200000,20900000,900000,10300000,50100000,272877000,-17462000,-13062000,12700000,-23361000,19117000,27437000,-8061000,16389000,24651000,619799000,44546000,-6692000,105952000,19542000,-311353000,-167859000,-104078000,242671000,406500000,464300000,504100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44000,7303000,794000,296000,475000,840000,305000,170000,-878000,-1110000,-129000,185000,-100000,-100000,200000
97,Net Change In Cash,13900000,100000,200000,20900000,900000,10300000,50100000,61298000,60719000,-90818000,-8949000,16677000,-5447000,17843000,5113000,167752000,28521000,107277000,-6833000,-211713000,11184000,96755000,-147114000,26444000,-33557000,-13673000,381600000,-51700000,-69800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,103843000,164562000,73744000,64795000,81472000,70925000,88768000,93881000,261633000,290154000,397431000,390598000,178885000,190069000,286824000,139710000,166154000,132597000,118924000,500500000,448800000,379000000
99,Cash at the Beginning of Period,1800000,9400000,4900000,3700000,10200000,10400000,17700000,42545000,103843000,164562000,73744000,64795000,76372000,70925000,88768000,93881000,261633000,290154000,397431000,390598000,178885000,190069000,286824000,139710000,166154000,132597000,118900000,500500000,448800000
100,Free Cash Flow,-1300000,-2100000,-4100000,-16300000,-2100000,-3200000,-20700000,-15076000,-31426000,-2505000,12006000,75108000,33759000,70148000,21929000,32239000,113976000,72672000,1543000,130061000,186908000,120568000,-44397000,68855000,116567000,-28445000,49300000,-273300000,-701900000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895419/000089541921000070/0000895419-21-000070-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
