,https://roic.ai/company/TCS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.0792,-0.0484,-0.0002,0.0110,0.0290,0.0065,0.0182,0.0227,0.0242,0.0158,0.0589
25,EPS,-2.49,-2.37,-1.96,-2.87,0.47,0.11,0.31,0.40,0.45,0.30,1.20
26,EPS Diluted,-2.49,-2.37,-1.96,-2.87,0.47,0.11,0.31,0.40,0.45,0.30,1.17
27,Weighted Average Shares Outstanding,46048958,46048481,46048958,17955757,47971243,47985717,47996746,48061527,48139929,48819783,48537883
28,Weighted Average Shares Outstanding Diluted,46048958,46048481,46048958,17955757,48520865,47985717,48016010,48147725,48400407,48964564,49712637
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1411688/000104746914005201/0001047469-14-005201-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746915004547/0001047469-15-004547-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746916013070/0001047469-16-013070-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746917003752/0001047469-17-003752-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746918004174/0001047469-18-004174-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000155837019005364/0001558370-19-005364-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000155837020007573/0001558370-20-007573-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000155837021007972/0001558370-21-007972-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,51163000,25351000,18000000,24994000,13609000,10736000,8399000,7364000,67755000,17687000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,51163000,25351000,18000000,24994000,13609000,10736000,8399000,7364000,67755000,17687000
34,Net Receivables,- -,20772000,25536000,32400000,26017000,37538000,27492000,25543000,26571000,29445000,29042000
35,Inventory,- -,70626000,82443000,85600000,83724000,86435000,103120000,97362000,108650000,124207000,130619000
36,Other Current Assets,- -,16735000,23892000,28400000,22207000,8849000,21337000,22890000,21783000,20759000,25976000
37,Total Current Assets,- -,159296000,157222000,164400000,156942000,146431000,162685000,154194000,164368000,242166000,203324000
38,PP&E,- -,122563000,141177000,161400000,169053000,176117000,165498000,158389000,152588000,494710000,439031000
39,Goodwill,- -,202815000,202815000,202800000,202815000,202815000,202815000,202815000,202815000,202815000,202815000
40,Intangible Assets,- -,255876000,241940000,242300000,229433000,228368000,226685000,229401000,225150000,222769000,227669000
41,Intangible Assets,- -,458691000,444755000,445100000,432248000,431183000,429500000,432216000,427965000,425584000,430484000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,85400000,1739000,80720000,80679000,2404000,51702000,50178000,2305000
44,Other Non-Current Assets,- -,6128000,9666000,-73200000,9075000,-76332000,-76528000,2166000,-47879000,-45824000,3325000
45,Total Non-Current Assets,- -,587382000,595598000,618700000,612115000,611688000,599149000,595175000,584376000,924648000,875145000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,746678000,752820000,783100000,769057000,758119000,761834000,749369000,748744000,1166814000,1078469000
48,Accounts Payable,- -,47207000,54334000,49300000,48904000,40274000,44762000,43692000,58734000,53647000,68546000
49,Short-Term Debt,- -,18665000,22505000,23560000,12073000,10478000,10212000,12876000,17409000,78478000,53013000
50,Tax Payable,- -,821000,2650000,11423000,10691000,9655000,13824000,17426000,15100000,12509000,22463000
51,Deferred Revenue,- -,- -,- -,11338000,11385000,16034000,7708000,11080000,10744000,- -,19503000
52,Other Current Liabilities,- -,39559000,54980000,50902000,46774000,49217000,50370000,58889000,54388000,66046000,73851000
53,Total Current Liabilities,- -,105431000,131819000,135100000,119136000,116003000,113052000,126537000,141275000,198171000,214913000
54,Long-Term Debt,- -,292561000,276348000,327700000,326775000,316135000,312026000,277394000,254960000,317485000,448840000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,95145000,87770000,85767000,82965000,80720000,80679000,54839000,51702000,50178000,48923000
57,Other Non-Current Liabilities,- -,20552000,23508000,37433000,38319000,38193000,34287000,41892000,36114000,329272000,12124000
58,Total Non-Current Liabilities,- -,408258000,387626000,450900000,448059000,435048000,426992000,374125000,342776000,696935000,509887000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3920000,4384000,4767000,5105000,4882000,379760000,335869000
61,Total Liabilities,- -,513689000,519445000,586000000,567195000,551051000,540044000,500662000,484051000,895106000,724800000
62,Preferred Stock,- -,4000,4000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5000,5000,500000,480000,480000,480000,481000,481000,483000,488000
64,Retained Earnings,- -,-223700000,-223830000,-658300000,-635598000,-630456000,-615149000,-595721000,-573634000,-559147000,-500864000
65,Other Comprehensive Income/Loss,- -,2299000,2713000,1683000,-18342000,-19835000,-22643000,-17316000,-26132000,-36295000,-19003000
66,Other Total Stockholders Equity,- -,454381000,454483000,853303000,855322000,856879000,859102000,861263000,863978000,866667000,- -
67,Total Stockholders Equity,- -,232989000,233375000,197186000,201862000,207068000,221790000,248707000,264693000,271708000,353669000
68,Total Liabilities And Stockholders Equity,- -,746678000,752820000,783186000,769057000,758119000,761834000,749369000,748744000,1166814000,1078469000
69,Minority Interest,- -,- -,- -,-86000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,746678000,752820000,783100000,769057000,758119000,761834000,749369000,748744000,1166814000,1078469000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1411688/000104746914005201/0001047469-14-005201-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746915004547/0001047469-15-004547-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746916013070/0001047469-16-013070-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746917003752/0001047469-17-003752-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746918004174/0001047469-18-004174-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000155837019005364/0001558370-19-005364-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000155837020007573/0001558370-20-007573-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000155837021007972/0001558370-21-007972-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-45053000,-30671000,-130000,8200000,22673000,5142000,14953000,19428000,21680000,14487000,58283000
74,Depreciation and Amortization,24354000,27451000,29550000,30353000,31011000,34230000,37124000,37922000,36305000,38638000,34731000
75,Deferred Income Tax,1556000,-3396000,-7906000,-5791000,1423000,859000,-96000,-25545000,-1563000,148000,-4740000
76,Stock Based Compensation,- -,- -,- -,15137000,1289000,1556000,1989000,2026000,2846000,3110000,7823000
77,Change in Working Capital,13511000,51586000,-28462000,3897000,8506000,-7378000,19205000,-21976000,-4564000,20902000,39250000
78,Accounts Receivable,169000,-751000,-4501000,-6565000,4137000,-5338000,-5861000,3192000,-1395000,-1002000,-1497000
79,Inventory,-6101000,-6491000,-10802000,-3553000,-2668000,-1929000,-19598000,8406000,-14688000,-17293000,-2403000
80,Accounts Payable,6402000,5757000,20444000,6947000,5562000,5840000,10965000,6249000,13622000,- -,- -
81,Other Working Capital,2279000,53865000,25403000,29300000,37806000,30428000,49633000,27657000,23093000,43995000,7228000
82,Other Non-Cash Items,54396000,-2767000,52134000,-1034000,-277000,7898000,-28536000,50321000,192000,-46537000,2940000
83,Cash Provided by Operating Activities,48764000,42203000,45186000,50762000,64625000,42307000,44639000,62176000,54896000,30748000,138287000
84,CAPEX,-18175000,-40953000,-48559000,-48565000,-48740000,-46431000,-28515000,-27646000,-33670000,-33619000,-17176000
85,Acquisitions Net,- -,-274000,- -,- -,3846000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,479000,- -,- -,- -,- -,- -
88,Other Investing Activites,18000,24000,314000,739000,950000,202000,7000,96000,899000,17000,65000
89,Cash Used for Investing Activites,-18157000,-41203000,-48245000,-47826000,-43944000,-45750000,-28508000,-27550000,-32771000,-33602000,-17111000
90,Debt Repayment,-7066000,-102799000,-289727000,-140625000,-122065000,-96181000,-86712000,-408889000,-406196000,-113836000,-422181000
91,Common Stock Issued,- -,- -,20000,237013000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-177000,-16000,-201000,-53000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-295826000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,102982000,267266000,189517000,109538000,88665000,72731000,371201000,384189000,178230000,250118000
95,Cash Used/Provided by Financing Activities,-7243000,167000,-22642000,-9974000,-12527000,-7516000,-13981000,-37688000,-22007000,64394000,-172063000
96,Effect of Forex Changes on Cash,230000,240000,-111000,-267000,-1206000,-426000,-223000,725000,-1153000,-1149000,819000
97,Net Change In Cash,23594000,1407000,-25812000,-7305000,6948000,-11385000,1927000,-2337000,-1035000,60391000,-50068000
98,Cash at the End of Period,49756000,51163000,25351000,18046000,24994000,13609000,10736000,8399000,7364000,67755000,17687000
99,Cash at the Beginning of Period,26162000,49756000,51163000,25351000,18046000,24994000,8809000,10736000,8399000,7364000,67755000
100,Free Cash Flow,30589000,1250000,-3373000,2197000,15885000,-4124000,16124000,34530000,21226000,-2871000,121111000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1411688/000104746914005201/0001047469-14-005201-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746915004547/0001047469-15-004547-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746916013070/0001047469-16-013070-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746917003752/0001047469-17-003752-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000104746918004174/0001047469-18-004174-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000155837019005364/0001558370-19-005364-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000155837020007573/0001558370-20-007573-index.htm,https://www.sec.gov/Archives/edgar/data/1411688/000155837021007972/0001558370-21-007972-index.htm
102,false,,,,,,,,,,,
