,https://roic.ai/company/MNTV,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,11949000,7755000,11960000,14760000,17958000,50419000
45,Total Non-Current Assets,534080000,531034000,509143000,642969000,613301000,582602000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,576221000,578089000,679348000,804259000,877817000,939924000
48,Accounts Payable,1618000,3380000,2804000,2677000,3348000,7204000
49,Short-Term Debt,1180000,2032000,1900000,10281000,10218000,28761000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,76420000,84818000,101236000,139990000,169872000,1165000
52,Other Current Liabilities,38777000,25083000,29762000,40108000,47347000,258817000
53,Total Current Liabilities,117995000,115313000,135702000,193056000,230785000,295947000
54,Long-Term Debt,400059000,409674000,307524000,296284000,286203000,334105000
55,Deferred Revenue,- -,- -,- -,- -,760000,1165000
56,Deferred Tax Liabilities,20557000,4168000,4246000,4870000,5153000,5701000
57,Other Non-Current Liabilities,4589000,8891000,12493000,8065000,8560000,-51468000
58,Total Non-Current Liabilities,425205000,422733000,324263000,309219000,300676000,289503000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,81939000,93385000,92009000,91049000,82805000,- -
61,Total Liabilities,543200000,538046000,459965000,502275000,531461000,585450000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,1005000,1014000,1000,1000,1000,2000
64,Retained Earnings,-153561000,-177571000,-332268000,-402716000,-494297000,-617546000
65,Other Comprehensive Income/Loss,87000,19000,-287000,-444000,5208000,414000
66,Other Total Stockholders Equity,185490000,216581000,551937000,705143000,835444000,971604000
67,Total Stockholders Equity,33021000,40043000,219383000,301984000,346356000,354474000
68,Total Liabilities And Stockholders Equity,576221000,578089000,679348000,804259000,877817000,939924000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,576221000,578089000,679348000,804259000,877817000,939924000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739936/000156459021006682/0001564590-21-006682-index.htm,https://www.sec.gov/Archives/edgar/data/1739936/000095017022001217/0000950170-22-001217-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-76350000,-24010000,-154740000,-73859000,-91581000,-123249000
74,Depreciation and Amortization,36698000,41419000,47166000,44832000,47822000,42857000
75,Deferred Income Tax,4420000,-16848000,-508000,-3676000,814000,-331000
76,Stock Based Compensation,32957000,34986000,131770000,60245000,79167000,98564000
77,Change in Working Capital,17473000,7596000,102761000,-66269000,65497000,27644000
78,Accounts Receivable,27000,675000,-1958000,-7239000,-7643000,-9817000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,8682000,-2061000,3564000,8318000,1148000,17453000
81,Other Working Capital,-75854000,-68258000,34503000,-31766000,33731000,61375000
82,Other Non-Cash Items,20644000,1883000,-81077000,93379000,-46089000,12282000
83,Cash Provided by Operating Activities,35842000,45026000,45372000,54652000,55630000,57767000
84,CAPEX,-46253000,-47807000,-22033000,-14484000,-10002000,-9178000
85,Acquisitions Net,-650000,15453000,999000,-114603000,- -,- -
86,Purchases of Investments,-650000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,15453000,999000,1001000,1095000,170000
88,Other Investing Activites,-15184000,-30772000,-13051000,-12034000,-9220000,-8443000
89,Cash Used for Investing Activites,-46903000,-32354000,-21034000,-128086000,-8907000,-9008000
90,Debt Repayment,-3090000,-298883000,-104050000,-2200000,-2200000,-2200000
91,Common Stock Issued,- -,- -,232509000,- -,- -,- -
92,Common Stock Repurchased,- -,-144000,-16000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3704000,298413000,-32968000,53022000,48869000,35406000
95,Cash Used/Provided by Financing Activities,614000,-614000,95475000,50822000,46669000,33206000
96,Effect of Forex Changes on Cash,- -,- -,-787000,-76000,-461000,-458000
97,Net Change In Cash,-10447000,12058000,119026000,-22688000,92931000,81507000
98,Cash at the End of Period,23287000,35345000,154371000,131683000,224614000,306121000
99,Cash at the Beginning of Period,33734000,23287000,35345000,154371000,131683000,224614000
100,Free Cash Flow,-10411000,-2781000,23339000,40168000,45628000,48589000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739936/000156459021006682/0001564590-21-006682-index.htm,https://www.sec.gov/Archives/edgar/data/1739936/000095017022001217/0000950170-22-001217-index.htm
102,false,,,,,,
