,https://roic.ai/company/FBRT,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,- -,- -,5979000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,14377000,13546000,48472000
42,Investments,- -,49049000,- -,26412000,386316000,171136000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,132000,846000,39009000,29057000,92558000
45,Total Non-Current Assets,- -,49049000,132000,27258000,445681000,213739000,141030000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1248125000,1583661000,2606078000,3540620000,3189761000,9474701000
48,Accounts Payable,- -,1170000,4510000,4497000,10925000,5125000,12705000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,10552000,11882000,12088000,16659000,27323000,50576000
53,Total Current Liabilities,- -,11722000,16392000,16585000,27584000,32448000,63281000
54,Long-Term Debt,- -,536114000,917538000,1664621000,2091031000,1962384000,3392285000
55,Deferred Revenue,- -,- -,- -,- -,150000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,66639000,39392000,191644000,605050000,396485000,4307734000
58,Total Non-Current Liabilities,- -,602753000,956930000,1856265000,2696231000,2358869000,7700019000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6136000,- -,- -
61,Total Liabilities,- -,614475000,973322000,1872850000,2723815000,2391317000,7763300000
62,Preferred Stock,- -,- -,- -,- -,- -,209254000,969173000
63,Common Stock,- -,319000,320000,395000,441000,446000,441000
64,Retained Earnings,- -,-70669000,-94082000,-94266000,-85968000,-106471000,-167179000
65,Other Comprehensive Income/Loss,- -,-500000,- -,-459000,-978000,-8256000,-62000
66,Other Total Stockholders Equity,- -,704500000,704101000,827558000,903310000,703471000,903264000
67,Total Stockholders Equity,- -,633650000,610339000,733228000,816805000,798444000,1705637000
68,Total Liabilities And Stockholders Equity,- -,1248125000,1583661000,2606078000,3540620000,3189761000,9468937000
69,Minority Interest,- -,- -,- -,- -,- -,- -,5764000
70,Total Liabilities & Equity,- -,1248125000,1583661000,2606078000,3540620000,3189761000,9474701000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1562528/000156252821000007/0001562528-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1562528/000156252822000007/0001562528-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,24933000,29990000,33779000,52825000,83924000,54746000,25702000
74,Depreciation and Amortization,- -,- -,- -,- -,507000,2233000,2107000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,30000,44000,97000,157000,156000,193000,211000
77,Change in Working Capital,-38000,1187354000,379783000,995098000,505120000,-123781000,102557000
78,Accounts Receivable,-1426000,940000,-2197000,-3060000,-765000,7423000,-4675000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1707000,360000,3341000,-13000,6428000,-5837000,3640000
81,Other Working Capital,- -,1187354000,1567137000,2562235000,3067355000,2943574000,- -
82,Other Non-Cash Items,508000,-1182364000,-405305000,-1040982000,-544338000,181943000,15920000
83,Cash Provided by Operating Activities,25433000,35024000,8354000,7098000,45369000,115334000,146497000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,174083000
86,Purchases of Investments,-85463000,- -,-592000,-40314000,-371089000,-149393000,- -
87,Sales/Maturities of Investments,3010000,81300000,49888000,12456000,9369000,346201000,2061083000
88,Other Investing Activites,-667395000,58111000,-382054000,-827955000,-607521000,43879000,-1166419000
89,Cash Used for Investing Activites,-749848000,139411000,-332758000,-855813000,-969241000,240687000,1068747000
90,Debt Repayment,-966932000,-1450396000,-1524949000,-2529779000,-2506122000,-3724602000,-18144514000
91,Common Stock Issued,385203000,- -,- -,124335000,75545000,10672000,- -
92,Common Stock Repurchased,-2555000,-18965000,-20546000,-15085000,-13813000,-10259000,-11417000
93,Dividends Paid,-26949000,-40251000,-38828000,-36952000,-60613000,-49790000,-67955000
94,Other Financing Activites,1350069000,1438073000,1874390000,3418907000,3333578000,3400977000,17084700000
95,Cash Used/Provided by Financing Activities,738836000,-71539000,290067000,961426000,828575000,-373002000,-1139186000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,14421000,102896000,-34337000,112711000,-95297000,-16981000,76058000
98,Cash at the End of Period,14807000,123069000,83711000,204419000,109122000,92141000,168199000
99,Cash at the Beginning of Period,386000,20173000,118048000,91708000,204419000,109122000,92141000
100,Free Cash Flow,25433000,35024000,8354000,7098000,45369000,115334000,146497000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1562528/000156252821000007/0001562528-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1562528/000156252822000007/0001562528-22-000007-index.htm
102,false,,,,,,,
