,https://roic.ai/company/ALKS,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3300000,36600000,29200000,26300000,30300000,37243613,39472881,79252237,98854081,85937312,116478806,112082621,117126433,119888000,129451000,183714000,196406000,148486000,171877000,180086000,350680000,167610000,258058000,369243000,435089000,483637000,591576000,639807000,578279000,599125000
11,COGS and Expenses,9700000,51800000,26400000,24100000,27900000,37243613,39472881,79252237,98854081,85937312,116478806,122992793,136162876,136722000,152940000,228923000,237083000,191882000,221315000,232271000,478300000,493700000,705933000,852636000,954359000,1051274000,1193402000,1346426000,1151183000,1203038000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,4667000,2728000,1516000,841000,1972000,3330000,3752000,4649000,9238000,13976000,6960000,2408000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13756000,5974000,3298000,28111000,48994000,13430000,13247000,14889000,12008000,15437000,13601000,8659000,11219000
14,Depreciation and Amortization,600000,1500000,2800000,2200000,2400000,2566624,2651007,21624715,6430934,7697662,10501303,9322344,10914392,10618000,10879000,11991000,12138000,10265000,25026000,8652000,93684000,73751000,98087000,85596000,94256000,98523000,103660000,80413000,81854000,78652000
15,EBITDA,-7500000,-38600000,-14500000,-9700000,-11300000,-16231194,-7120124,-19431655,-61616404,-9171653,-50853666,-97575403,-91470169,-63298000,14697000,22534000,184968000,155033000,-13701000,-34541000,7395000,158245000,97488000,-125162000,-105242000,-54196000,-7870000,-103042000,-6024000,50565000
16,EBITDA ratio,-4.4118,-4.0632,-1.8590,-0.7886,-0.8071,-0.8186,-0.2273,-0.4445,-2.6883,-0.1637,-0.9400,-2.0644,-2.3421,-0.8315,0.0882,0.0939,0.7684,0.4743,-0.0769,-0.1851,0.0190,0.2750,0.1575,-0.1992,-0.1411,-0.0600,-0.0072,-0.0880,-0.0058,0.0431
17,Operating Income,-8000000,-42300000,-18600000,-11800000,-13900000,-17416666,-8146233,-38757904,-75933724,-29907447,-62377293,-82223192,-96900706,-72123000,13661000,11042000,-2789000,134957000,-43034000,-45631000,-88281000,81813000,-87144000,-224301000,-208665000,-147900000,-99128000,-175479000,-112427000,-29287000
18,Operating Income ratio,-4.7059,-4.4526,-2.3846,-0.9593,-0.9929,-0.8784,-0.2600,-0.8866,-3.3129,-0.5338,-1.1530,-1.7396,-2.4812,-0.9474,0.0820,0.0460,-0.0116,0.4129,-0.2414,-0.2445,-0.2264,0.1422,-0.1408,-0.3570,-0.2798,-0.1637,-0.0906,-0.1499,-0.1082,-0.0250
19,Total Other Income Expenses (Gains),- -,2300000,1600000,500000,1100000,- -,- -,-3221253,- -,13038132,1022324,-24674555,-2188219,-8931000,-751000,-499000,175619000,-3945000,-1667000,-860000,-26119000,-46413000,73115000,296000,-5722000,4626000,-27839000,-21577000,15890000,-10019000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16869315,-61354969,-106897747,- -,- -,- -,10543000,172830000,131012000,-44701000,-46491000,-114400000,35400000,-14029000,-224005000,-214387000,-143274000,-126967000,-197056000,-96537000,-39306000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.3011,-1.1341,-2.2616,- -,- -,- -,0.0439,0.7180,0.4008,-0.2507,-0.2491,-0.2933,0.0615,-0.0227,-0.3565,-0.2875,-0.1586,-0.1160,-0.1683,-0.0929,-0.0335
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1098000,5851000,507000,-5075000,-951000,-700000,10500000,16032000,3158000,-5943000,-6782000,12344000,-436000,14324000,8863000
23,Net Income,-8100000,-40100000,-17300000,-11900000,-13700000,-18797818,-9771131,-41056370,-68047338,-16869315,-61354969,-106897747,-102384561,-73916000,3818000,9445000,166979000,130505000,-39626000,-45540000,-113700000,25000000,-30061000,-227163000,-208444000,-157945000,-139311000,-196620000,-110861000,-48169000
24,Net Income ratio,-4.7647,-4.2211,-2.2179,-0.9675,-0.9786,-0.9481,-0.3119,-0.9392,-2.9689,-0.3011,-1.1341,-2.2616,-2.6216,-0.9710,0.0229,0.0394,0.6937,0.3993,-0.2223,-0.2440,-0.2915,0.0434,-0.0486,-0.3615,-0.2795,-0.1748,-0.1273,-0.1679,-0.1067,-0.0410
25,EPS,-0.49,-1.89,-0.65,-0.44,-0.47,-0.52,-0.23,-0.99,-1.52,-0.43,-0.96,-1.66,-1.25,-0.82,0.04,0.10,1.66,1.37,-0.42,-0.48,-0.99,0.19,-0.21,-1.52,-1.38,-1.03,-0.90,-1.25,-0.70,-0.30
26,EPS Diluted,-0.49,-1.89,-0.65,-0.44,-0.47,-0.52,-0.23,-0.99,-1.52,-0.43,-0.96,-1.66,-1.25,-0.82,0.04,0.09,1.62,1.36,-0.42,-0.48,-0.99,0.18,-0.21,-1.52,-1.38,-1.03,-0.90,-1.25,-0.70,-0.30
27,Weighted Average Shares Outstanding,16530612,21216931,26615385,27045455,29549168,36576668,41668170,49115000,51014956,55746462,63668596,64367987,82082880,90094000,91022000,99242000,100742000,95161000,94839000,95610000,114702000,131713000,145274000,149206000,151484000,153415000,155112000,157051000,158803000,158803000
28,Weighted Average Shares Outstanding Diluted,16530612,21216931,26615385,27045455,29549168,36576668,41668170,49115000,51014956,59856383,63668596,64367987,82082880,90094000,97377000,103351000,102923000,96252000,94839000,95610000,114702000,137100000,145274000,149206000,151484000,153415000,155112000,157051000,158803000,158803000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520262/000104746912006168/a2209642z10-k.htm,https://www.sec.gov/Archives/edgar/data/1520262/000104746913006422/0001047469-13-006422-index.html,- -,https://www.sec.gov/Archives/edgar/data/1520262/000155837016003498/0001558370-16-003498-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000152026217000007/0001520262-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000152026218000016/0001520262-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000156459019003060/0001564590-19-003060-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000156459020004489/0001564590-20-004489-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000156459021005593/0001564590-21-005593-index.htm,https://www.sec.gov/Archives/edgar/data/1520262/000156459022005304/0001564590-22-005304-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3100000,300000,2700000,1100000,400000,2799012,3495265,9115432,6100643,5923282,16023074,72478675,9898648,47485000,33578000,80500000,101241000,86893000,79324000,38394000,83600000,97000000,224064000,181109000,186378000,191296000,266762000,203771000,272961000,337544000
32,Short-Term Investments,- -,- -,- -,- -,- -,82497939,190556898,154303220,331266720,249004850,136323768,63615497,134037415,155082000,264389000,271082000,240064000,236768000,202053000,162928000,106800000,124400000,407102000,353669000,310856000,242208000,272533000,331208000,362066000,198767000
33,Cash and Short-Term Investments,3100000,300000,2700000,1100000,400000,85296951,194052163,163418652,337367363,254928132,152346842,136094172,143936063,202567000,297967000,351582000,341305000,323661000,281377000,201322000,190400000,221400000,631166000,534778000,497234000,433504000,539295000,534979000,635027000,536311000
34,Net Receivables,- -,- -,- -,4700000,- -,- -,- -,- -,- -,- -,19039706,7300923,11526280,18815000,39802000,56049000,47249000,24588000,25316000,22969000,96400000,124600000,151551000,155487000,191102000,233590000,300453000,265472000,289544000,326556000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2576082,2604851,3766000,7341000,18190000,18884000,20297000,20653000,20425000,39800000,43500000,51357000,38411000,62998000,93275000,90196000,101803000,125738000,150335000
36,Other Current Assets,43300000,33500000,26100000,21100000,33900000,4571089,8555368,5745047,8474083,16678373,5249797,2166238,2155941,2580000,2782000,7054000,5720000,7500000,10936000,8244000,12600000,19100000,42719000,26286000,39344000,48475000,53308000,59716000,60662000,48967000
37,Total Current Assets,46400000,33800000,28800000,26900000,34300000,89868040,202607531,169163699,345841446,271606505,176636345,148137415,160223135,227728000,347892000,432875000,413158000,376046000,338282000,252960000,339200000,408600000,876793000,754962000,790678000,808844000,983252000,961970000,1110971000,1062169000
38,PP&E,1100000,4300000,5100000,4500000,8400000,8447779,13497728,33364746,32869483,36319398,61835831,91474067,95742790,95188000,112917000,123595000,112539000,106461000,96905000,95020000,302995000,288435000,265740000,254819000,264785000,284736000,309987000,362168000,481721000,456681000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92700000,92700000,94212000,92873000,92873000,92873000,92873000,92873000,92873000,92873000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,617800000,576000000,479412000,379186000,318227000,256168000,191001000,150643000,111191000,74043000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,710500000,668700000,573624000,472059000,411100000,349041000,283874000,243516000,204064000,166916000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80821000,68816000,93408000,55691000,82827000,170480000,264071000,121931000,157212000,80744000,79391000,24780000,229430000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34500000,37600000,- -,470000,- -,- -,- -,- -,86228000,81833000
44,Other Non-Current Assets,8200000,15900000,12400000,5300000,3100000,6381199,4152838,10923824,35250176,83371312,111878101,16087688,14063579,15958000,16354000,12151000,130614000,3158000,11597000,11060000,-7686000,-15862000,34635000,109363000,137929000,197394000,167150000,158358000,41966000,27455000
45,Total Non-Current Assets,9300000,20200000,17500000,9800000,11500000,14828978,17650566,44288570,68119659,119690710,173713932,107561755,109806369,111146000,129271000,135746000,243153000,190440000,177318000,199488000,1096000000,1061700000,1044479000,1100782000,935745000,988383000,841755000,843433000,838759000,962315000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,55700000,54000000,46300000,36700000,45800000,104697018,220258097,213452269,413961105,391297215,350350277,255699170,270029504,338874000,477163000,568621000,656311000,566486000,515600000,452448000,1435200000,1470300000,1921272000,1855744000,1726423000,1797227000,1825007000,1805403000,1949730000,2024484000
48,Accounts Payable,1200000,3100000,2300000,2600000,3500000,4653081,7067972,6642005,8207394,9414327,20764375,14252083,18209061,6686000,36141000,12097000,7042000,8046000,8197000,9269000,18400000,18300000,32335000,37401000,46275000,55526000,39767000,54261000,46034000,55721000
49,Short-Term Debt,100000,800000,2400000,2700000,2900000,3547542,4104533,10700000,5625000,10966626,14025000,7800000,4731596,1389000,1890000,1579000,47000,25667000,51043000,- -,3100000,6750000,6750000,65737000,3000000,3000000,2843000,11309000,18575000,19240000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,899000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,7415980,9587933,- -,8523326,7083516,12253338,17173618,- -,83538000,11650000,5927000,6840000,2220000,3123000,6910000,2270000,2574000,1735000,1938000,1956000,3169000,6766000,7512000,6339000
52,Other Current Liabilities,- -,- -,2800000,1500000,- -,- -,- -,1570201,8655062,2158087,1013521,19738994,1402111,15593000,4091000,36734000,29004000,28437000,29684000,35665000,60790000,58580000,88923000,131334000,160780000,230640000,293995000,318776000,366137000,389986000
53,Total Current Liabilities,1300000,3900000,7500000,6800000,6400000,8200623,18588485,28500139,22487456,31062366,42886412,54044415,41516386,23668000,125660000,62060000,42020000,68990000,91144000,48057000,89200000,85900000,130582000,236207000,211993000,291122000,339774000,391112000,438258000,471286000
54,Long-Term Debt,200000,2100000,6600000,8400000,9900000,10914127,12933333,28416625,222791625,211825000,207800000,166586429,122245641,276485000,279518000,156898000,160324000,50221000,- -,- -,441400000,362300000,351220000,284207000,280666000,278436000,276465000,274295000,391582000,396966000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5238000,5105000,4837000,7578000,8866000,11801000,7975000,7122000,5657000,9525000,22068000,16397000,11491000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34512000,37603000,18918000,470000,- -,- -,9525000,22068000,- -,- -
57,Other Non-Current Liabilities,- -,300000,300000,300000,6000000,6430832,7049212,306614,715029,- -,- -,40114032,30337528,34609000,38769000,146202000,148653000,7149000,6735000,7536000,8710000,23231000,11914000,12610000,17161000,19204000,18433000,10418000,36511000,32157000
58,Total Non-Current Liabilities,200000,2400000,6900000,8700000,15900000,17344959,19982545,28723239,223506654,211825000,207800000,206700461,152583169,311094000,318287000,303100000,308977000,62608000,11840000,12373000,492200000,432000000,393853000,305262000,304949000,303297000,313948000,328849000,444490000,440614000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337528,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13808000,135196000,120402000
61,Total Liabilities,1500000,6300000,14400000,15500000,22300000,25545582,38571030,57223378,245994110,242887366,250686412,260744876,194099555,334762000,443947000,365160000,350997000,131598000,102984000,60430000,581400000,517900000,524435000,541469000,516942000,594419000,653722000,719961000,882748000,911900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,207188,210723,249825,543366,635069,646080,650755,896879,904000,921000,1019000,1034000,1044000,1051000,1059000,1300000,1300000,1482000,1518000,1539000,1557000,1579000,1602000,1620000,1658000
64,Retained Earnings,-18000000,-58100000,-75400000,-87300000,-101000000,-119844423,-129615554,-180937294,-258373435,-282510081,-343865050,-450762797,-553147358,-627063000,-623245000,-623546000,-456567000,-326062000,-365688000,-411228000,-524900000,-499900000,-512335000,-739498000,-947942000,-1044365000,-1185368000,-1381988000,-1492849000,-1541018000
65,Other Comprehensive Income/Loss,-1300000,-1000000,-2100000,-3400000,-5100000,-7289446,-9578571,-14292146,-20554182,-27200590,-34530467,-2037385,734819,-221000,690000,753000,-1526000,-6484000,-3392000,-3013000,-2713000,-2518000,-3136000,-3795000,-3274000,-3792000,-3280000,-1816000,-1349000,-3723000
66,Other Total Stockholders Equity,73500000,106800000,109400000,111900000,129600000,206078117,320670469,351208506,446351246,457485451,477413302,447103721,627445609,630492000,654850000,825235000,762373000,766390000,780645000,805200000,1380165000,1453492000,1910826000,2056050000,2159158000,2249408000,2358354000,2467644000,2559560000,2655667000
67,Total Stockholders Equity,54200000,47700000,31900000,21200000,23500000,79151436,181687067,156228891,167966995,148409849,99663865,-5045706,75929949,4112000,33216000,203461000,305314000,434888000,412616000,392018000,853852000,952374000,1396837000,1314275000,1209481000,1202808000,1171285000,1085442000,1066982000,1112584000
68,Total Liabilities And Stockholders Equity,55700000,54000000,46300000,36700000,45800000,104697018,220258097,213452269,413961105,391297215,350350277,255699170,270029504,338874000,477163000,568621000,656311000,566486000,515600000,452448000,1435252000,1470274000,1921272000,1855744000,1726423000,1797227000,1825007000,1805403000,1949730000,2024484000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52000,26000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,55700000,54000000,46300000,36700000,45800000,104697018,220258097,213452269,413961105,391297215,350350277,255699170,270029504,338874000,477163000,568621000,656311000,566486000,515600000,452448000,1435200000,1470300000,1921272000,1855744000,1726423000,1797227000,1825007000,1805403000,1949730000,2024484000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520262/000104746912006168/a2209642z10-k.htm,https://www.sec.gov/Archives/edgar/data/1520262/000104746913006422/0001047469-13-006422-index.html,- -,https://www.sec.gov/Archives/edgar/data/1520262/000155837016003498/0001558370-16-003498-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000152026217000007/0001520262-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000152026218000016/0001520262-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000156459019003060/0001564590-19-003060-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000156459020004489/0001564590-20-004489-index.html,https://www.sec.gov/Archives/edgar/data/1520262/000156459021005593/0001564590-21-005593-index.htm,https://www.sec.gov/Archives/edgar/data/1520262/000156459022005304/0001564590-22-005304-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8100000,-40100000,-17300000,-11900000,-13700000,-18797818,-9771131,-41056370,-68047338,-16869315,-61354969,-106897747,-102384561,-73916000,3818000,9445000,166979000,130505000,-39626000,-45540000,-113700000,25000000,-30061000,-227163000,-208444000,-157945000,-139311000,-196620000,-110861000,-48169000
74,Depreciation and Amortization,600000,1500000,2800000,2200000,2400000,2566624,2651007,21624715,6430934,7697662,10501303,9322344,10914392,10618000,10879000,11991000,12138000,10265000,25026000,8652000,93684000,73751000,98087000,85596000,94256000,98523000,103660000,80413000,81854000,78652000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14556000,-2113000,-19192000,-37580000,-9689000,7234000,10623000,-319000,9985000,5081000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14810000,13921000,19832000,28826000,34716000,59579000,97341000,94396000,83917000,105357000,100977000,90164000,87622000
77,Change in Working Capital,-38500000,-15200000,-8600000,-1200000,7800000,53767417,102351629,-43355486,182690430,-82809851,-106794206,-39656933,24613749,85353251,18172000,148583000,323000,-64082000,-59918000,-42235000,45097000,72700000,423511000,-227456000,59930000,-60963000,125756000,-72620000,101855000,-25548000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58632000,35136000,-18050000,-38011000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3071000,-3777000,-12142000,-1450000,-5140000,-4037000,5211000,-4879000,-6577000,-31237000,19618000,-26381000,-30191000,-2665000,-13077000,-22933000,-24769000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,45100000,29900000,21300000,20100000,27900000,81667417,184019046,140663560,323353990,240544139,133749933,94093000,118706749,204060000,222232000,370815000,371138000,307056000,247138000,204903000,250000000,322700000,746211000,518755000,578685000,517722000,643478000,570858000,672713000,-6080000
82,Other Non-Cash Items,800000,47800000,10800000,1800000,-2000000,-54711242,-96368192,48537799,-154103985,73993265,114966406,88484833,-31392804,-96310251,83661000,-86292000,-137016000,-56908000,48350000,53385000,-41833000,-77503000,-520785000,268902000,-94251000,48424000,-106804000,160246000,-90155000,4077000
83,Cash Provided by Operating Activities,-45200000,-6000000,-12300000,-9100000,-5500000,-17175019,-1136687,-14249342,-33029959,-17988239,-42681466,-48747503,-98249224,-74255000,116530000,83727000,42424000,34590000,-12247000,-5906000,-2482000,126551000,11139000,-40360000,-63802000,19190000,99281000,72077000,82842000,101715000
84,CAPEX,-800000,-2500000,-1900000,-600000,-5600000,-2243476,-7994273,-24064521,-5756987,-10019024,-33384402,-46271574,-15101170,-17817000,-28660000,-36305000,-21890000,-5502000,-15787000,-9401000,-16988000,-22217000,-33651000,-52877000,-43657000,-51300000,-69431000,-90942000,-42219000,-29020000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,- -,-494774000,- -,27190000,- -,-15000000,- -,- -,1125000,6637000,7937000
86,Purchases of Investments,-6600000,-2000000,- -,- -,-11700000,-54562227,-108058959,-5013341,-188621871,-211525724,-195442462,-142544263,-220061979,-178925000,-661671000,-329234000,-639582000,-609741000,-465387000,-370876000,-228460000,-303945000,-642455000,-508683000,-375099000,-431712000,-397727000,-277518000,-229543000,-340418000
87,Sales/Maturities of Investments,- -,10500000,7300000,5000000,3000000,- -,1943565,36253678,- -,243257780,370839758,214675793,153598592,157682000,552161000,322989000,723437000,652886000,516935000,385511000,323028000,258937000,341154000,467573000,560805000,464494000,444456000,224602000,253001000,295010000
88,Other Investing Activites,-1500000,-4400000,2900000,1000000,2400000,10500,1063495,-2632650,-131823,-521456,-99938615,5941232,685744,282000,298000,12473000,- -,7717000,248000,395000,35000,-923000,44365000,50501000,194000,162000,507000,900000,643000,-713000
89,Cash Used for Investing Activites,-8900000,1600000,8300000,5400000,-11900000,-56795203,-113046172,4543166,-194510681,21191576,42074279,31801188,-80878813,-38778000,-137872000,-30077000,61965000,45360000,28009000,5629000,-417159000,-68148000,-263397000,-43486000,127243000,-18356000,-22195000,-141833000,-11481000,-66204000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83441000,-23486000,-45397000,-775000,-449944000,-6750000,-6750000,-65813000,-3000000,-2132000,-2843000,-2843000,-2250000
91,Common Stock Issued,57200000,200000,300000,- -,15000000,74652687,112294869,7021042,247502007,9614172,5719359,31899756,3409670,3030000,8559000,7547000,11159000,7059000,2593000,4744000,17188000,- -,248406000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24883,- -,- -,- -,- -,- -,-12492000,-93350000,-17996000,-2684000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-7454300,-9224343,-7267331,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1300000,6000000,2100000,1800000,1661946,2576634,15595352,-13732740,-5625000,5016666,41469048,113192110,147589000,-1124000,-1783000,-1457000,80000,246000,- -,448435000,404901000,67104000,47641000,7641000,7084000,512000,9608000,672000,31322000
95,Cash Used/Provided by Financing Activities,57200000,1500000,6300000,2100000,16800000,76314633,114871503,15162094,224544924,-3303042,10736025,73368804,116601780,150619000,7435000,-6728000,-83648000,-94298000,-23331000,-40653000,464848000,-45043000,308760000,40891000,-58172000,4084000,-1620000,6765000,-2171000,29072000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,9451,7609,-40436,-19073,-77656,-29046,33112,-53770,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,57200000,1500000,2400000,2100000,16800000,2353862,696253,5415482,-3014789,-177361,10099792,56455601,-62580027,37586000,-13907000,46922000,20741000,-14348000,-7569000,-40930000,45207000,13360000,56502000,-42955000,5269000,4918000,75466000,-62991000,69190000,64583000
98,Cash at the End of Period,- -,- -,2700000,- -,- -,2799012,3495265,9115432,6100643,5923282,16023074,72478675,9898648,47485000,33578000,80500000,101241000,86893000,79324000,38394000,83601000,96961000,224064000,181109000,186378000,191296000,266762000,203771000,272961000,337544000
99,Cash at the Beginning of Period,- -,3100000,300000,2700000,1100000,445150,2799012,3699950,9115432,6100643,5923282,16023074,72478675,9899000,47485000,33578000,80500000,101241000,86893000,79324000,38394000,83601000,167562000,224064000,181109000,186378000,191296000,266762000,203771000,272961000
100,Free Cash Flow,-46000000,-8500000,-14200000,-9700000,-11100000,-19418495,-9130960,-38313863,-38786946,-28007263,-76065868,-95019077,-113350394,-92072000,87870000,47422000,20534000,29088000,-28034000,-15307000,-19470000,104334000,-22512000,-93237000,-107459000,-32110000,29850000,-18865000,40623000,72695000
