,https://roic.ai/company/ERJ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,656822000,1265820000,1207288000,1910571000,1763190000,1307366000,1391400000,1592400000,1393100000,1350200000,1801200000,1683700000,1713000000,2165500000,1241500000,1270800000,1280900000,855200000,1883100000,1818300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1185745000,810100000,953800000,- -,- -,578200000,939900000,710600000,622600000,1775500000,2365600000,1743400000,409800000,817500000,750800000
33,Cash and Short-Term Investments,- -,- -,- -,656822000,1265820000,1207288000,1910571000,1763190000,2493111000,2201500000,2546200000,1393100000,1350200000,2379400000,2623600000,2423600000,2788100000,3017000000,3636400000,3024300000,1265000000,2700600000,2569100000
34,Net Receivables,- -,- -,- -,804799000,458511000,636726000,604614000,395510000,371358000,449600000,396900000,360200000,520700000,564900000,592300000,808700000,1014300000,897400000,981700000,991000000,615300000,792000000,895400000
35,Inventory,- -,- -,- -,864800000,1158061000,1408608000,1664141000,2159270000,2481065000,2829000000,2333900000,2193400000,2283400000,2111000000,2216700000,2312800000,2233800000,2455900000,2119800000,2475600000,1304400000,2421700000,1955200000
36,Other Current Assets,- -,- -,- -,186702000,451613000,622887000,631218000,552300000,304207000,436400000,362800000,1036100000,1015100000,310600000,335200000,265600000,375400000,411400000,313800000,580100000,5386700000,233000000,456100000
37,Total Current Assets,- -,- -,- -,2513123000,3334005000,3875509000,4810544000,4870270000,5649741000,5916500000,5639800000,4982800000,5169400000,5365900000,5767800000,5810700000,6411600000,6781700000,7051700000,7071000000,8571400000,6147300000,5875800000
38,PP&E,- -,- -,- -,436715000,402663000,381265000,506910000,638975000,565979000,737900000,756800000,1201000000,1450400000,1738500000,1993300000,2025800000,2027400000,2154200000,2104900000,1964700000,1006700000,2018300000,1747800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,14500000,- -,- -,39400000,38300000,38300000,16400000,21000000,12000000,10400000,10000000,21700000,21400000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,21362000,- -,- -,- -,716300000,808300000,919500000,1070800000,1222600000,1389000000,1643600000,1870400000,1888400000,884100000,2053900000,2192000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,21362000,- -,14500000,14500000,716300000,808300000,958900000,1109100000,1260900000,1405400000,1664600000,1882400000,1898800000,894100000,2075600000,2213400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,68700000,25300000,52100000,2800000,51300000,45400000,46200000,750800000,172100000,256900000,189800000,23000000,56900000,70000000
43,Tax Assets,- -,- -,- -,72827000,95984000,262403000,136672000,158064000,175925000,173200000,289000000,139100000,65900000,12900000,8500000,8100000,4500000,3400000,2800000,21600000,700000,104600000,97600000
44,Other Non-Current Assets,- -,- -,- -,1262799000,2123346000,1563222000,1814619000,1932612000,1674209000,1733100000,1726100000,1299700000,1361500000,1362900000,1218400000,1259300000,1069800000,888600000,637500000,147400000,76600000,144900000,150400000
45,Total Non-Current Assets,- -,- -,- -,1772341000,2621993000,2206890000,2458201000,2751013000,2416113000,2727400000,2811700000,3408200000,3688900000,4124500000,4374700000,4600300000,5257900000,4882900000,4884500000,4222300000,2001100000,4400300000,4279200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,4285464000,5955998000,6082399000,7268745000,7621283000,8065854000,8643900000,8451500000,8391000000,8858300000,9490400000,10142500000,10411000000,11669500000,11664600000,11936200000,11293300000,10572500000,10547600000,10155000000
48,Accounts Payable,- -,- -,- -,323115000,404065000,556492000,66379000,993947000,912546000,2229600000,595800000,1529600000,829900000,758900000,1013600000,980600000,1034900000,952100000,824700000,892100000,358000000,502300000,510000000
49,Short-Term Debt,- -,- -,- -,321347000,882942000,867123000,798002000,892319000,1051046000,672500000,728400000,184400000,564600000,348200000,91400000,100000000,229500000,533200000,406500000,503300000,23900000,391100000,585700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,13600000,- -,11200000,129000000,151900000,134200000,188900000,69500000,86800000,116400000,97500000,112600000,112000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,768500000,132600000,856100000,1035700000,1049500000,836000000,1063800000,1027900000,963300000,1047400000,651100000,1033500000,1207100000
52,Other Current Liabilities,- -,- -,- -,997471000,1146656000,892486000,1793370000,1109494000,1375800000,643200000,675000000,542100000,591100000,649600000,738200000,636300000,752200000,667700000,588100000,585800000,5353000000,501800000,526000000
53,Total Current Liabilities,- -,- -,- -,1641933000,2433663000,2316101000,2657751000,2995760000,3339392000,3545300000,2767700000,2388700000,2841700000,2792400000,2892700000,2552900000,3080400000,3180900000,2782600000,3028600000,6386000000,2428700000,2828800000
54,Long-Term Debt,- -,- -,- -,1186051000,1919814000,1481203000,1579301000,1292632000,1204073000,1676900000,1841000000,1748300000,1556100000,2118500000,2503100000,2808100000,3685800000,3600600000,4156100000,3485800000,89700000,4082200000,3505000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,398100000,88900000,214000000,208600000,232200000,321500000,281600000,253700000,201600000,271400000,50400000,319700000,346400000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,157817000,154506000,189487000,5547000,95500000,146400000,464700000,23000000,26500000,209200000,270400000,417300000,263300000,251300000,254000000,272300000,474700000,505800000
57,Other Non-Current Liabilities,- -,- -,- -,359074000,420685000,751967000,795785000,714513000,1198693000,1046900000,869700000,568900000,1105700000,994100000,673100000,593300000,360700000,424900000,362600000,313400000,159500000,303200000,194000000
58,Total Non-Current Liabilities,- -,- -,- -,1545125000,2340499000,2390987000,2529592000,2196632000,2408313000,2819300000,3255200000,2870800000,2898800000,3347700000,3617600000,3993300000,4745400000,4542500000,4971600000,4324600000,571900000,5179800000,4551200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,4895000,2772000,1464000,- -,- -,12021000,19400000,14200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,38600000,64700000,63800000
61,Total Liabilities,- -,- -,- -,3187058000,4774162000,4707088000,5187343000,5192392000,5747705000,6364600000,6022900000,5259500000,5740500000,6140100000,6510300000,6546200000,7825800000,7723400000,7754200000,7353200000,6957900000,7608500000,7380000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,891092000,895053000,996339000,1537720000,2237415000,1438007000,1438000000,1438000000,1438000000,1438000000,1438000000,1438000000,1438000000,1438000000,1438000000,1438000000,1551600000,1551600000,1551600000,1551600000
64,Retained Earnings,- -,- -,- -,123399000,180741000,234849000,428371000,120582000,797267000,943000000,1060000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,67336000,85078000,114327000,60883000,-498103000,14950000,12100000,24100000,10900000,2600000,1953500000,2171300000,2353800000,2306800000,2423100000,2645100000,2288100000,1955200000,1263200000,1107100000
66,Other Total Stockholders Equity,- -,- -,- -,8353000,8353000,8353000,- -,498103000,-784000,-183800000,-183800000,1579500000,1566700000,-133200000,-76000000,-27000000,-3000000,-12300000,-14500000,6000000,10900000,11700000,9200000
67,Total Stockholders Equity,- -,- -,- -,1090180000,1169225000,1353868000,2026974000,2357997000,2249440000,2209300000,2338300000,3028400000,3007300000,3258300000,3533300000,3764800000,3741800000,3848800000,4068600000,3845700000,3517700000,2826500000,2667900000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,4277238000,5943387000,6060956000,7214317000,7550389000,7997145000,8573900000,8361200000,8287900000,8747800000,9398400000,10043600000,10311000000,11567600000,11572200000,11822800000,11198900000,10475600000,10435000000,10047900000
69,Minority Interest,- -,- -,- -,8226000,12611000,21443000,54428000,70894000,68709000,70000000,90300000,103100000,110500000,92000000,98900000,100000000,101900000,92400000,113400000,94400000,96900000,112600000,107100000
70,Total Liabilities & Equity,- -,- -,- -,4285464000,5955998000,6082399000,7268745000,7621283000,8065854000,8643900000,8451500000,8391000000,8858300000,9490400000,10142500000,10411000000,11669500000,11664600000,11936200000,11293300000,10572500000,10547600000,10155000000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,229115000,259213000,328440000,222592000,136044000,380206000,303424000,290844000,489305000,388700000,248500000,330200000,111600000,347800000,342000000,334700000,69200000,166100000,246800000,-178200000,-322300000,-731900000,-43500000
74,Depreciation and Amortization,70874000,109935000,46417000,55602000,58878000,59685000,121618000,154543000,58798000,70500000,86700000,219200000,238800000,278800000,290600000,286300000,316800000,368400000,342700000,272000000,209700000,292100000,208600000
75,Deferred Income Tax,- -,- -,41333000,- -,- -,4511000,-8348000,27662000,-30798000,29500000,-9200000,28700000,85000000,75400000,192600000,79100000,136200000,-146500000,-15300000,-21200000,33200000,104700000,38400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,9700000,7900000,6800000,5300000,2300000,1400000,500000,100000,- -,- -,- -
77,Change in Working Capital,-254893000,630368000,-738835000,166856000,49993000,-454012000,275419000,102231000,-509107000,-33600000,-302000000,209500000,16300000,-85500000,-307300000,-276400000,310000000,-495300000,111600000,933300000,882800000,-1109000000,446900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157300000,118400000,-1700000,-126300000,9600000,-40000000,-149100000,-73200000,156000000,-82900000,-16000000,205300000,42600000,13900000
79,Inventory,-332864000,- -,-434571000,135416000,-234434000,-348770000,28335000,-325572000,-433985000,-357100000,465800000,118500000,-97900000,76900000,-157200000,-108800000,137200000,-136900000,404900000,-281900000,147300000,-34600000,474400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,179900000,-487500000,110200000,83800000,-72700000,258400000,-27800000,72100000,-93800000,-127300000,70100000,-44600000,-314000000,4700000
81,Other Working Capital,- -,630368000,- -,- -,- -,- -,-149895000,- -,91880000,235900000,17300000,-28600000,72100000,-5000000,245700000,67900000,421300000,86900000,-37100000,228200000,219300000,-152500000,242000000
82,Other Non-Cash Items,177921000,41421000,10999000,62633000,-5281000,12911000,-20416000,25883000,43836000,-133300000,111000000,82800000,18800000,70400000,39900000,53300000,28000000,85400000,71000000,101600000,90400000,153900000,-135100000
83,Cash Provided by Operating Activities,223017000,1040937000,-311646000,507683000,239634000,3301000,671697000,601163000,52034000,321800000,135000000,873800000,480200000,694800000,564600000,482300000,862500000,-20500000,757300000,1107600000,893800000,-1290200000,515300000
84,CAPEX,-48427000,-109707000,-143828000,-127746000,-64765000,-50075000,-101646000,-222827000,-208947000,-235100000,-103800000,-328300000,-551700000,-580400000,-754200000,-699100000,-769100000,-897500000,-708200000,-444300000,-567700000,-223700000,-268200000
85,Acquisitions Net,- -,- -,- -,- -,- -,-15417000,- -,- -,- -,- -,- -,- -,-51400000,-3700000,-14800000,-500000,-1300000,-2600000,-600000,-2400000,-2500000,-5900000,-4600000
86,Purchases of Investments,- -,- -,- -,- -,-10297000,- -,-50000,-521000,- -,- -,-401000000,- -,-3000000,-17100000,- -,- -,-702800000,-74300000,-408400000,-76500000,- -,- -,- -
87,Sales/Maturities of Investments,- -,2502000,- -,12388000,- -,6225000,47102000,6145000,- -,410700000,- -,10700000,3800000,- -,4800000,28100000,- -,- -,- -,- -,977800000,113100000,135900000
88,Other Investing Activites,-26928000,-57247000,-112412000,-85432000,2395000,-158514000,-128012000,-206682000,-46968000,-6700000,-1500000,-149400000,-217100000,-251100000,-316400000,-415400000,-371800000,-510200000,-450300000,-290200000,-283200000,-110200000,-161200000
89,Cash Used for Investing Activites,-75355000,-164452000,-256240000,-200790000,-72667000,-217781000,-182606000,-423885000,-255915000,168900000,-506300000,-288300000,-602000000,-599900000,-764000000,-671500000,-1417400000,-979600000,-1097000000,-523100000,407700000,-105300000,-131600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1775000000,-1483000000,-1583400000,-2082700000,-1225300000,-650200000,-386100000,-419200000,-523700000,-540200000,-596300000,-657700000,-1070800000,-488500000
91,Common Stock Issued,- -,240346000,1761000,1194000,3960000,3250000,- -,- -,3601000,- -,- -,- -,- -,14500000,23300000,20100000,7200000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-5308000,- -,- -,- -,- -,- -,- -,- -,-784000,-183000000,- -,- -,- -,- -,- -,- -,- -,-17100000,-15000000,- -,- -,- -,-2500000
93,Dividends Paid,-39295000,-126162000,-179491000,-134421000,-67483000,-185537000,12390000,- -,-163475000,-242700000,- -,-161600000,-183400000,-59500000,-71400000,-99300000,-60900000,-28200000,-54000000,-40600000,-2000000,- -,- -
94,Other Financing Activites,27171000,-107176000,305687000,-266146000,467314000,287507000,-84722000,-502323000,297653000,1886200000,1455900000,942800000,2362500000,1675200000,890800000,798600000,1696900000,577900000,978800000,133500000,402700000,2079500000,60400000
95,Cash Used/Provided by Financing Activities,-17432000,7008000,127957000,-399373000,403791000,105220000,-72332000,-502323000,136995000,-314500000,-27100000,-802200000,96400000,404900000,192500000,333300000,1224000000,8900000,369600000,-503400000,-257000000,1008700000,-430600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,38240000,50728000,- -,- -,164856000,-92200000,170100000,17400000,-17500000,-49000000,-106400000,-114800000,-216600000,67200000,-600000,-71000000,-17700000,-37800000,2400000
97,Net Change In Cash,130229000,883493000,-439929000,-92480000,608998000,-58532000,416760000,-325045000,97970000,84000000,-228300000,-199300000,-42900000,451000000,-113300000,29300000,452500000,-924000000,29300000,10100000,1026800000,-424600000,-44500000
98,Cash at the End of Period,304719000,1192556000,749302000,656822000,1265820000,1207288000,1910571000,1763191000,1307366000,1391400000,1592400000,1393100000,1350200000,1801200000,1683700000,1713000000,2165500000,1241500000,1270800000,1280900000,2307700000,1883100000,1838600000
99,Cash at the Beginning of Period,174490000,309063000,1189231000,749302000,656822000,1265820000,1493811000,2088236000,1209396000,1307400000,1820700000,1592400000,1393100000,1350200000,1797000000,1683700000,1713000000,2165500000,1241500000,1270800000,1280900000,2307700000,1883100000
100,Free Cash Flow,174590000,931230000,-455474000,379937000,174869000,-46774000,570051000,378336000,-156913000,86700000,31200000,545500000,-71500000,114400000,-189600000,-216800000,93400000,-918000000,49100000,663300000,326100000,-1513900000,247100000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
