,https://roic.ai/company/DMTK,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,2244,4498,30853,1609000,1573000,2880000
49,Short-Term Debt,- -,- -,- -,- -,- -,109000,1453000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1390000,905000,1380000
52,Other Current Liabilities,- -,125918,168037,11095,2723000,2838000,6468000
53,Total Current Liabilities,- -,128162,172535,41948,5722000,5425000,12181000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,6148000
55,Deferred Revenue,- -,- -,- -,- -,- -,639000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,5031250,- -,226000,282000
58,Total Non-Current Liabilities,- -,- -,- -,5031250,- -,865000,6430000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,335000,- -
61,Total Liabilities,- -,128162,172535,5073198,5722000,6290000,18611000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,25000,25000,140966783,1000,2000,3000
64,Retained Earnings,- -,-2733,-2793,853614,-91111000,-126360000,-206364000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1000,-124000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,189849000,436183000
67,Total Stockholders Equity,- -,22267,22207,141820397,12489000,63490000,229698000
68,Total Liabilities And Stockholders Equity,- -,150429,194742,146893595,18211000,69780000,248309000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,150429,194742,146893595,18211000,69780000,248309000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651944/000156459021011293/0001564590-21-011293-index.htm,https://www.sec.gov/Archives/edgar/data/1651944/000156459022009635/0001564590-22-009635-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,- -,-60,856407,-19689000,-35249000,-78335000
74,Depreciation and Amortization,- -,- -,- -,- -,89000,486000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,1304000,4969000,- -
77,Change in Working Capital,- -,- -,2254,649032,12904509,50029000,159186000
78,Accounts Receivable,- -,- -,- -,- -,-100000,-800000,- -
79,Inventory,- -,- -,- -,- -,5000,-69000,- -
80,Accounts Payable,- -,- -,2254,- -,1337000,827000,- -
81,Other Working Capital,- -,- -,-147535,501497,11428000,61457000,220643000
82,Other Non-Cash Items,- -,- -,- -,-1878830,-12399509,-48919000,-80851000
83,Cash Provided by Operating Activities,- -,- -,2194,-373391,-17791000,-28684000,- -
84,CAPEX,- -,- -,- -,- -,-210000,-1834000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-145187500,- -,-41706000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2200000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-145187500,-210000,-41340000,- -
90,Debt Repayment,- -,- -,- -,- -,-516000,-9000,- -
91,Common Stock Issued,- -,- -,- -,146487500,19802000,42993000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,6365,-501667,9336000,35914000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,6365,145985833,28622000,78898000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,8559,424942,10621000,8874000,- -
98,Cash at the End of Period,- -,- -,25000,449942,15374000,24248000,- -
99,Cash at the Beginning of Period,- -,- -,16441,25000,4753000,15374000,24248000
100,Free Cash Flow,- -,- -,2194,-373391,-18001000,-30518000,- -
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651944/000156459021011293/0001564590-21-011293-index.htm,https://www.sec.gov/Archives/edgar/data/1651944/000156459022009635/0001564590-22-009635-index.htm
102,false,,,,,,,
