,https://roic.ai/company/HTA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,35617000,48808000,72678000,104045000,114575000,119904000,137188000,151614000,175285000,239044000,271441000,280969000,283039000,283300000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,130000,816000,1313000,3221000,17408000,5648000,4383000,5724000,7071000,6870000,9755000,10127000,8916000,7262000
77,Change in Working Capital,-15000,- -,92115000,-179338000,21765000,-70400000,82493000,-24807000,13506000,16064000,55861000,10198000,-78370000,60940000
78,Accounts Receivable,-4261000,-5167000,-7102000,2424000,- -,- -,- -,- -,- -,- -,- -,- -,-11042000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-176000,3631000,-4776000,- -,2684000,- -,- -,- -,- -,- -,- -,- -,- -,9430000
81,Other Working Capital,116524000,116524000,208639000,29301000,51066000,-19334000,63159000,38352000,51858000,67922000,123783000,133981000,55611000,116551000
82,Other Non-Cash Items,13393000,-3546000,-99700000,178338000,-12539000,68411000,-100936000,25633000,-38079000,-18351000,-213124000,8946000,121759000,-65670000
83,Cash Provided by Operating Activities,20677000,21001000,58503000,111807000,116785000,147824000,168499000,191095000,203695000,307543000,337396000,340394000,387962000,385616000
84,CAPEX,-508116000,-411328000,-611985000,-77419000,-22909000,-340307000,-228417000,-244705000,-565399000,-2328132000,253476000,-576484000,-74743000,-97155000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68839000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-22837000,-52587000,-29752000,-4573000,-283545000,-34393000,-31285000,-24559000,-40916000,-58125000,-77167000,-90805000,-79836000,-399855000
89,Cash Used for Investing Activites,-526475000,-454855000,-626849000,-65958000,-283545000,-374700000,-259702000,-269264000,-606315000,-2455096000,176309000,-667289000,-319260000,-399855000
90,Debt Repayment,-59633000,-11671000,-123117000,-199083000,-416601000,-331963000,-505236000,-366856000,-969935000,-735024000,-386021000,-1307361000,-1843922000,- -
91,Common Stock Issued,528816000,622652000,594677000,214641000,- -,240657000,152014000,44324000,418891000,1746956000,72814000,323393000,50020000,251250000
92,Common Stock Repurchased,-1077000,-16266000,-51856000,-37680000,-182602000,-522000,-1056000,-1667000,-2642000,-3413000,-70319000,-12178000,-5192000,-3414000
93,Dividends Paid,- -,- -,- -,- -,-93273000,-129360000,-137158000,-146372000,-159174000,-207087000,-252651000,-256117000,-275816000,-281820000
94,Other Financing Activites,160556000,-70191000,-41089000,16494000,805701000,450189000,574971000,551397000,1113641000,1439636000,137442000,1483244000,2087357000,-13473000
95,Cash Used/Provided by Financing Activities,628662000,524524000,378615000,-5628000,113225000,229001000,83535000,80826000,400781000,2241068000,-498735000,230981000,12447000,-47457000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,122864000,90670000,-189731000,40221000,-53535000,2125000,-7668000,2657000,-1839000,93515000,14970000,-95914000,81149000,-61696000
98,Cash at the End of Period,128331000,219001000,29270000,69491000,15956000,18081000,10413000,13070000,11231000,118560000,133530000,37616000,118765000,57069000
99,Cash at the Beginning of Period,5467000,128331000,219001000,29270000,69491000,15956000,18081000,10413000,13070000,25045000,118560000,133530000,37616000,118765000
100,Free Cash Flow,-487439000,-390327000,-553482000,34388000,93876000,122442000,139462000,161825000,160701000,242710000,259526000,248850000,313219000,288461000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1360604/000136060414000013/0001360604-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060415000010/0001360604-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060416000072/0001360604-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060417000022/0001360604-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060418000018/0001360604-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060419000023/0001360604-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060420000025/0001360604-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060421000018/0001360604-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1360604/000136060422000014/0001360604-22-000014-index.htm
102,false,,,,,,,,,,,,,,
