,https://roic.ai/company/BNL,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1966000,4033000,9891000,3594000,4023000,-49613000
53,Total Current Liabilities,- -,121362000,297378000,173260000,238271000,78959000,90425000
54,Long-Term Debt,- -,764577000,904744000,1304725000,1783874000,1541178000,1689318000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,67578000,92433000,89892000,116693000,159265000,97767000
58,Total Non-Current Liabilities,- -,832155000,997177000,1394617000,1900567000,1700443000,1787085000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,47871000,81744000,85947000,92222000,79653000,- -
61,Total Liabilities,- -,953517000,1294555000,1567877000,2138838000,1779402000,1877510000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,15000,19000,22000,26000,36000,41000
64,Retained Earnings,- -,-89960000,-120280000,-155150000,-208261000,-259673000,-318476000
65,Other Comprehensive Income/Loss,- -,2092000,5122000,14806000,-20086000,-66255000,-28441000
66,Other Total Stockholders Equity,- -,999641000,1301964000,1557421000,1895935000,2624997000,2924168000
67,Total Stockholders Equity,- -,911788000,1186825000,1417099000,1667614000,2299105000,2577292000
68,Total Liabilities And Stockholders Equity,- -,1865305000,2481380000,2984976000,3806452000,4078507000,4454802000
69,Minority Interest,- -,86749000,97376000,111821000,111406000,179976000,163846000
70,Total Liabilities & Equity,- -,1952054000,2578756000,3096797000,3917858000,4258483000,4618648000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1424182/000156459018005758/0001564590-18-005758-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459019007675/0001564590-19-007675-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459020007050/0001564590-20-007050-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459021008838/0001564590-21-008838-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000119312522049969/0001193125-22-049969-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,19287000,36354000,54799000,69375000,79394000,51181000,102426000
74,Depreciation and Amortization,28819000,45839000,62759000,83690000,105408000,131568000,128888000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,1989000,4669000
77,Change in Working Capital,195000,- -,-173030000,146375000,-46540000,275260000,6467000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,887000,1060000,1501000,-777000,8286000,6652000,2891000
81,Other Working Capital,-54540000,-54540000,-227570000,-81195000,-127735000,147525000,- -
82,Other Non-Cash Items,-9685000,-15004000,153412000,-171429000,9096000,-280970000,2487000
83,Cash Provided by Operating Activities,38616000,67189000,97940000,128011000,147358000,179028000,244937000
84,CAPEX,-473884000,-465715000,-605053000,-523806000,-826656000,-10806000,-1598000
85,Acquisitions Net,- -,- -,- -,- -,- -,-30861000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,18500000,- -,- -,- -
88,Other Investing Activites,-6585000,-4858000,-6058000,-5153000,-5051000,-29375000,-582304000
89,Cash Used for Investing Activites,-480469000,-470573000,-611111000,-510459000,-831707000,-60236000,-582304000
90,Debt Repayment,-414212000,-217887000,-709080000,-510222000,-694840000,-783966000,-587474000
91,Common Stock Issued,299657000,246453000,272827000,215902000,329750000,588457000,280356000
92,Common Stock Repurchased,-3054000,-8154000,-9439000,-10204000,-54599000,-126000,- -
93,Dividends Paid,-23805000,-35731000,-44540000,-51845000,-61961000,-71532000,-154459000
94,Other Financing Activites,606189000,414669000,991123000,747707000,1167321000,238792000,715985000
95,Cash Used/Provided by Financing Activities,464775000,399350000,500891000,391338000,685671000,-28375000,254408000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,22922000,-4034000,-12280000,8890000,1322000,90417000,-82959000
98,Cash at the End of Period,27050000,23103000,9355000,18989000,20311000,110728000,27769000
99,Cash at the Beginning of Period,4128000,27137000,21635000,10099000,18989000,20311000,110728000
100,Free Cash Flow,28056000,65251000,91334000,123051000,142307000,168222000,243339000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1424182/000156459018005758/0001564590-18-005758-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459019007675/0001564590-19-007675-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459020007050/0001564590-20-007050-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459021008838/0001564590-21-008838-index.htm,https://www.sec.gov/Archives/edgar/data/1424182/000119312522049969/0001193125-22-049969-index.htm
102,false,,,,,,,
