,https://roic.ai/company/SFM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,573000,1788000,- -,- -,- -,- -,- -,- -,- -,- -,7746000
50,Tax Payable,- -,- -,- -,5723000,6345000,- -,7038000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,18146000,35580000,- -,1400000,- -,- -,54356000,- -,58073000
52,Other Current Liabilities,- -,36122000,52337000,46254000,72383000,- -,94542000,180680000,189735000,239617000,- -,290976000
53,Total Current Liabilities,- -,90640000,136846000,175600000,220840000,- -,230422000,299714000,310000000,416812000,- -,496132000
54,Long-Term Debt,- -,294191000,424756000,421600000,370173000,- -,275500000,348000000,453000000,549419000,- -,250000000
55,Deferred Revenue,- -,- -,- -,10762000,14176000,- -,19686000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,18146000,18600000,- -,1400000,27066000,50399000,- -,- -,58073000
57,Other Non-Current Liabilities,- -,109362000,154879000,32492000,59895000,- -,76364000,256129000,273019000,1174800000,- -,1120906000
58,Total Non-Current Liabilities,- -,403553000,579635000,483000000,462844000,- -,372950000,631195000,776418000,1724219000,- -,1428979000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,75409000,107639000,119572000,150698000,- -,130472000,134727000,127070000,1197253000,- -,1216692000
61,Total Liabilities,- -,494193000,716481000,658600000,683684000,- -,603372000,930909000,1086418000,2141031000,- -,1925111000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,110000,126000,100000,152000,- -,153000,132000,124000,117000,- -,118000
64,Retained Earnings,- -,-28351000,-8851000,34500000,142189000,- -,245446000,30558000,-69202000,-84449000,- -,203001000
65,Other Comprehensive Income/Loss,- -,-49034000,-84034000,-127400000,-182653000,- -,-237539000,-1000000,1000000,-5000000,- -,-8474000
66,Other Total Stockholders Equity,- -,344728000,479514000,606571000,725701000,- -,814932000,621004000,657274000,671284000,- -,686648000
67,Total Stockholders Equity,- -,267453000,386755000,513771000,685389000,- -,822992000,650694000,589196000,581952000,- -,881293000
68,Total Liabilities And Stockholders Equity,- -,761646000,1103236000,1172371000,1369073000,- -,1426364000,1581603000,1675614000,2722983000,- -,2806404000
69,Minority Interest,- -,- -,- -,29000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,761646000,1103236000,1172400000,1369073000,- -,1426364000,1581603000,1675614000,2722983000,- -,2806404000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1575515/000119312514073116/d660433d10k.htm,https://www.sec.gov/Archives/edgar/data/1575515/000119312515065978/d854295d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1575515/000156459016013299/0001564590-16-013299-index.html,https://www.sec.gov/Archives/edgar/data/1575515/000156459018002782/0001564590-18-002782-index.html,https://www.sec.gov/Archives/edgar/data/1575515/000156459019003562/0001564590-19-003562-index.html,https://www.sec.gov/Archives/edgar/data/1575515/000156459020005552/0001564590-20-005552-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1575515/000156459021008832/0001564590-21-008832-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,4861000,-27445000,19500000,51300000,107692000,- -,128991000,158440000,158536000,149629000,- -,287450000
74,Depreciation and Amortization,14163000,54645000,35773000,47217000,60362000,- -,69169000,96744000,110749000,204646000,- -,225783000
75,Deferred Income Tax,2314000,-19753000,13853000,25176000,16432000,- -,15581000,7803000,23333000,-216000,- -,3717000
76,Stock Based Compensation,111000,3774000,4653000,5780000,5355000,- -,8018000,14221000,14512000,8949000,- -,14339000
77,Change in Working Capital,762000,- -,53451000,-10275000,57289000,- -,1504000,-5078000,24048000,-52814000,- -,-1199000
78,Accounts Receivable,-491000,1559000,-2861000,-1521000,-4424000,- -,-5622000,-4920000,-7666000,36062000,- -,25977000
79,Inventory,-7155000,1837000,-1442000,-19875000,-24537000,- -,-22641000,-25079000,-34824000,-11612000,- -,21754000
80,Accounts Payable,3143000,15175000,-4673000,31996000,-4721000,- -,19387000,39244000,4366000,28699000,- -,20184000
81,Other Working Capital,12824000,12824000,66275000,56000000,113289000,- -,114793000,-207000,23841000,-28973000,- -,-30172000
82,Other Non-Cash Items,11000,41163000,-42799000,41390000,-65912000,- -,16635000,37437000,-36799000,45016000,- -,-36055000
83,Cash Provided by Operating Activities,22222000,52384000,84431000,160588000,181218000,- -,239898000,309567000,294379000,355210000,- -,494035000
84,CAPEX,-17071000,-27594000,-46485000,-87463000,-127065000,- -,-131020000,-198624000,-177083000,-183232000,- -,-121968000
85,Acquisitions Net,- -,-232911000,-129875000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-361000,- -,9657000,1172000,394000,- -,-2999000,30000,1000,- -,- -,- -
89,Cash Used for Investing Activites,-17059000,-260505000,-166703000,-86291000,-126671000,- -,-128312000,-198594000,-177082000,-183232000,- -,-121968000
90,Debt Repayment,- -,-26801000,-8391000,-825130000,-60591000,- -,-365392000,-64192000,-132517000,-181095000,- -,-288754000
91,Common Stock Issued,- -,206000000,5549000,348536000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-148000,-113000,- -,- -,-25735000,-203392000,-258307000,-176310000,- -,- -
93,Dividends Paid,- -,- -,- -,-295921000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-6477000,38546000,137931000,708772000,58905000,- -,285097000,163625000,256296000,269964000,- -,1343000
95,Cash Used/Provided by Financing Activities,-6477000,217745000,134941000,-63856000,-1686000,- -,-106030000,-103959000,-134528000,-87441000,- -,-287411000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1314000,9624000,52669000,10441000,52861000,- -,5556000,7014000,-17231000,84537000,- -,84656000
98,Cash at the End of Period,4918000,14542000,67211000,77652000,130513000,- -,136069000,19479000,2248000,86785000,- -,171441000
99,Cash at the Beginning of Period,6232000,4918000,14542000,67211000,77652000,- -,130513000,12465000,19479000,2248000,- -,86785000
100,Free Cash Flow,5151000,24790000,37946000,73125000,54153000,- -,108878000,110943000,117296000,171978000,- -,372067000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1575515/000119312514073116/d660433d10k.htm,https://www.sec.gov/Archives/edgar/data/1575515/000119312515065978/d854295d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1575515/000156459016013299/0001564590-16-013299-index.html,https://www.sec.gov/Archives/edgar/data/1575515/000156459018002782/0001564590-18-002782-index.html,https://www.sec.gov/Archives/edgar/data/1575515/000156459019003562/0001564590-19-003562-index.html,https://www.sec.gov/Archives/edgar/data/1575515/000156459020005552/0001564590-20-005552-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1575515/000156459021008832/0001564590-21-008832-index.htm
102,false,,,,,,,,,,,,
