,https://roic.ai/company/COE,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1659494/000110465917025888/a17-4667_120f.htm,- -,https://www.sec.gov/Archives/edgar/data/1659494/000110465919023096/a19-1124_120f.htm,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-17796000,-101702000,-327086000,-514778000,-580811000,-416694000,-104420000,146962000,- -
74,Depreciation and Amortization,177000,1412000,7431000,16579000,29007000,32970000,26625000,18944000,- -
75,Deferred Income Tax,- -,- -,- -,-310000,-327000,73000,-153000,-9931000,- -
76,Stock Based Compensation,- -,1590000,- -,48242000,35069000,27886000,16732000,26734000,- -
77,Change in Working Capital,19575000,83239000,215635000,477046000,571425000,376425000,460946000,534210000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,308000,-1627000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,13775000,61937000,188090000,414633000,514096000,474326000,501800000,534455000,- -
82,Other Non-Cash Items,- -,- -,- -,1946000,711000,9121000,-1797000,2324000,- -
83,Cash Provided by Operating Activities,1956000,-15461000,-104020000,28725000,55074000,29781000,397933000,719243000,- -
84,CAPEX,-386000,-7814000,-25806000,-40157000,-44327000,-21567000,-11134000,-29124000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-192078000,-900748000,-326721000,-414659000,-1441018000,-1489582000,- -
87,Sales/Maturities of Investments,- -,- -,25000000,688792000,381833000,431328000,1039144000,784250000,- -
88,Other Investing Activites,-9000,-342000,-498000,-3063000,-8935000,-3962000,-1432000,-6982000,- -
89,Cash Used for Investing Activites,-386000,-7814000,-192884000,-252113000,10785000,-4898000,-412910000,-734271000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-19060000,-52859000,-16367000,- -
91,Common Stock Issued,- -,- -,- -,424459000,- -,- -,- -,39942000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-6011000,-23116000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,59273000,169724000,125574000,35000,260000,87467000,4334000,10330000,- -
95,Cash Used/Provided by Financing Activities,59273000,169724000,125574000,424494000,260000,68407000,-54536000,10789000,- -
96,Effect of Forex Changes on Cash,-565000,1823000,8429000,26894000,-20953000,-186000,-679000,-12065000,- -
97,Net Change In Cash,60278000,148272000,-162901000,228000000,45166000,93104000,-70192000,-16304000,- -
98,Cash at the End of Period,61502000,209774000,46873000,274873000,320039000,413143000,342951000,326647000,- -
99,Cash at the Beginning of Period,1224000,61502000,209774000,46873000,274873000,320039000,413143000,342951000,- -
100,Free Cash Flow,1570000,-23275000,-129826000,-11432000,10747000,8214000,386799000,690119000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1659494/000110465917025888/a17-4667_120f.htm,- -,https://www.sec.gov/Archives/edgar/data/1659494/000110465919023096/a19-1124_120f.htm,- -,- -,undefined
102,Forex Rate,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
