,https://roic.ai/company/FTS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,843750000,- -,938793000,952380000,1150746000,1366633000,1489817000,1806877000,1998766000,3581460000,4003498000,5038302000,9209000000,10028000000,11034000000,11699000000,12442000000,13857000000,16612000000,24665000000,26947000000,45738000000,45615000000,49790000000,50830000000,52869000000,54931000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,916409000,- -,1017396000,1037192000,1243608000,1478596000,1624752000,1986999000,2210581000,3837996000,4316191000,5447441000,10273000000,11178000000,12160000000,12903000000,13562000000,14950000000,17908000000,26628000000,28804000000,47904000000,47822000000,53051000000,53404000000,55481000000,57659000000
48,Accounts Payable,54362000,- -,80844000,81119000,94431000,130750000,122776000,145236000,153566000,270055000,265223000,333755000,793000000,874000000,852000000,953000000,914000000,498000000,463000000,612000000,574000000,554000000,696000000,679000000,754000000,707000000,774000000
49,Short-Term Debt,48712000,- -,61494000,28360000,103230000,46327000,150526000,181569000,142649000,228920000,91260000,182455000,911000000,650000000,415000000,358000000,159000000,260000000,947000000,1043000000,921000000,1482000000,961000000,1238000000,1226000000,1386000000,1875000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,30000000,33000000,24000000,9000000,96000000,108000000,168000000,178000000,206000000,223000000,224000000,269000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287000000,204000000,267000000,226000000,214000000,222000000
52,Other Current Liabilities,50294000,- -,29820000,31301000,31908000,31024000,11000,7662000,1062000,38654000,66815000,49044000,100000000,173000000,327000000,206000000,247000000,550000000,674000000,1029000000,1143000000,1621000000,1643000000,2068000000,1970000000,1841000000,1931000000
53,Total Current Liabilities,153368000,- -,172158000,140780000,229569000,208101000,273313000,334467000,297277000,537629000,423298000,565254000,1804000000,1697000000,1594000000,1517000000,1320000000,1308000000,2084000000,2684000000,2638000000,3944000000,3504000000,4252000000,4176000000,4148000000,4802000000
54,Long-Term Debt,385343000,- -,435627000,479485000,537828000,728350000,796092000,942300000,1031358000,1878639000,2124674000,2558463000,4623000000,4884000000,5276000000,5609000000,5679000000,6258000000,6891000000,10544000000,11327000000,21336000000,21168000000,23549000000,21990000000,23477000000,24072000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,- -,26000000,38000000,69000000,67000000,57000000,70000000,132000000,99000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,24360000,41851000,34771000,44718000,57737000,55000000,61000000,576000000,623000000,685000000,718000000,1078000000,1837000000,2050000000,3263000000,2298000000,2686000000,2969000000,3344000000,3627000000
57,Other Non-Current Liabilities,64010000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1051000000,1095000000,1201000000,1250000000,1479000000,2425000000,2398000000,2842000000,4036000000,4051000000,4086000000,4096000000,4143000000
58,Total Non-Current Liabilities,449353000,- -,435627000,479485000,537828000,728350000,796092000,966660000,1073209000,1913410000,2169392000,2616200000,4678000000,4945000000,6903000000,7327000000,7565000000,8232000000,9448000000,14832000000,15813000000,27510000000,27569000000,30343000000,29115000000,31049000000,31941000000
59,Other Liabilities,- -,- -,945892000,1028790000,1177620000,1555203000,1662467000,1994784000,2212086000,3856648000,4489825000,5650288000,10309000000,10888000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,424000000,703000000,513000000,536000000,461000000,642000000,513000000,364000000,365000000
61,Total Liabilities,602721000,- -,682423000,690085000,869361000,1034954000,1139688000,1362591000,1436154000,2480867000,2743731000,3599342000,7435000000,7640000000,8497000000,8844000000,8885000000,9540000000,11532000000,17516000000,18451000000,31454000000,31073000000,34595000000,33291000000,35197000000,36743000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,122992000,319530000,319492000,441958000,122000000,347000000,347000000,592000000,592000000,1108000000,1229000000,1820000000,1820000000,1623000000,1623000000,1623000000,1623000000,1623000000,1623000000
63,Common Stock,123846000,- -,326543000,338677000,344866000,412140000,448929000,584453000,614665000,1000112000,1213413000,1275636000,2601000000,3046000000,- -,- -,- -,3121000000,3783000000,5667000000,5867000000,10762000000,11582000000,11889000000,13645000000,13819000000,14237000000
64,Retained Earnings,- -,- -,185480000,189585000,191714000,201683000,227109000,257776000,294986000,337013000,411742000,486297000,551000000,634000000,763000000,804000000,905000000,952000000,1044000000,1060000000,1388000000,1455000000,1727000000,2082000000,2916000000,3210000000,3458000000
65,Other Comprehensive Income/Loss,- -,- -,-451648000,-468475000,-549009000,-579787000,-622104000,6228000,-10843000,-13947000,-14812000,-44333000,-82000000,-47000000,-83000000,-94000000,-74000000,-96000000,-72000000,129000000,791000000,745000000,61000000,928000000,336000000,34000000,-40000000
66,Other Total Stockholders Equity,189842000,- -,274598000,287320000,386676000,409606000,431130000,-264004000,-284143000,-323066000,-396930000,-441964000,-469000000,-587000000,- -,- -,- -,15000000,17000000,15000000,14000000,12000000,10000000,11000000,11000000,11000000,10000000
67,Total Stockholders Equity,313688000,- -,334973000,347107000,374247000,443642000,485064000,584453000,737657000,1319642000,1532905000,1717594000,2723000000,3393000000,3540000000,3897000000,4469000000,5100000000,6001000000,8691000000,9880000000,14597000000,15003000000,16533000000,18531000000,18697000000,19288000000
68,Total Liabilities And Stockholders Equity,916409000,- -,1017396000,1037192000,1243608000,1478596000,1624752000,1947044000,2173811000,3800509000,4276636000,5316936000,10158000000,11033000000,12037000000,12741000000,13354000000,14640000000,17533000000,26207000000,28331000000,46051000000,46076000000,51128000000,51822000000,53894000000,56031000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,39955000,36770000,37487000,39555000,130505000,115000000,145000000,123000000,162000000,208000000,310000000,375000000,421000000,473000000,1853000000,1746000000,1923000000,1582000000,1587000000,1628000000
70,Total Liabilities & Equity,916409000,- -,1017396000,1037192000,1243608000,1478596000,1624752000,1986999000,2210581000,3837996000,4316191000,5447441000,10273000000,11178000000,12160000000,12903000000,13562000000,14950000000,17908000000,26628000000,28804000000,47904000000,47822000000,53051000000,53404000000,55481000000,57659000000
71,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1666175/000166617517000006/0001666175-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1666175/000166617518000005/0001666175-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1666175/000166617519000011/0001666175-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1666175/000166617520000006/0001666175-20-000006-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,35040000,- -,30006000,27414000,29183000,36759000,53442000,63252000,73630000,90855000,137097000,148772000,199000000,259000000,280000000,313000000,347000000,362000000,410000000,379000000,805000000,660000000,1028000000,1166000000,1722000000,1274000000,1294000000
74,Depreciation and Amortization,37998000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000000,408000000,422000000,470000000,541000000,688000000,873000000,983000000,1179000000,1243000000,1350000000,1428000000,1505000000
75,Deferred Income Tax,-1486000,- -,-17000,-1398000,636000,-1582000,12207000,3248000,5127000,9006000,12322000,10257000,- -,14000000,5000000,-3000000,4000000,17000000,-6000000,23000000,164000000,98000000,544000000,136000000,247000000,226000000,147000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,6610000,- -,-8859000,5920000,15225000,20394000,-25737000,5185000,16527000,50348000,-9208000,-73103000,-106000000,18000000,-41000000,-2000000,98000000,116000000,-31000000,-204000000,-48000000,5000000,-29000000,-89000000,-274000000,-429000000,-144000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,-44000000,53000000,14000000,43000000,-74000000,-204000000,1000000,-84000000,-88000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,3000000,7000000,-11000000,15000000,17000000,-6000000,-8000000,-13000000,-49000000,-56000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,-96000000,-123000000,-82000000,25000000,119000000,99000000,-8000000,-100000000,164000000
81,Other Working Capital,- -,- -,-8859000,5920000,15225000,20394000,-25737000,5185000,16527000,50348000,-9208000,-73103000,-106000000,18000000,- -,- -,9000000,38000000,14000000,-80000000,-89000000,-17000000,68000000,13000000,-106000000,5000000,- -
82,Other Non-Cash Items,-17461000,- -,43354000,41844000,39635000,44882000,54203000,62737000,65350000,121110000,163214000,177211000,280000000,372000000,33000000,16000000,33000000,11000000,-15000000,96000000,-121000000,138000000,34000000,148000000,-382000000,202000000,105000000
83,Cash Provided by Operating Activities,60701000,- -,64484000,73780000,84679000,100453000,94115000,134422000,160634000,271319000,303425000,263137000,373000000,663000000,637000000,732000000,904000000,976000000,899000000,982000000,1673000000,1884000000,2756000000,2604000000,2663000000,2701000000,2907000000
84,CAPEX,-41822000,- -,-49681000,-63644000,-66708000,-157652000,-149455000,-228830000,-207740000,-278669000,-508629000,-499990000,-803000000,-904000000,-1024000000,-1073000000,-1174000000,-1130000000,-1175000000,-1725000000,-2243000000,-2061000000,-3024000000,-3218000000,-3720000000,-4039000000,-3386000000
85,Acquisitions Net,- -,- -,- -,- -,-59082000,-4705000,-102087000,-103130000,-10955000,-752735000,-3258000,-168931000,-1303000000,-22000000,-77000000,- -,-25000000,-21000000,-1055000000,-2648000000,-38000000,-4841000000,- -,- -,995000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-81515000,-901000,-12276000,-71029000,-8000,-193000,-1893000,- -,- -,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-103078000,- -,-4320000,-5229000,3321000,-288000,7217000,-4488000,-18282000,-11022000,45136000,36732000,73000000,72000000,25000000,36000000,16000000,-1059000000,-1109000000,-1551000000,-1330000000,-2050000000,-3025000000,-3252000000,-3763000000,-4132000000,-299000000
89,Cash Used for Investing Activites,-103078000,- -,-54001000,-68873000,-122469000,-244160000,-239726000,-348724000,-308006000,-1042434000,-466944000,-634082000,-2033000000,-854000000,-1052000000,-991000000,-1125000000,-1080000000,-2164000000,-4199000000,-1368000000,-6891000000,-3025000000,-3252000000,-2768000000,-4132000000,-3488000000
90,Debt Repayment,-29726000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-172000000,-385000000,-234000000,-88000000,-173000000,-743000000,-1224000000,-336000000,-3356000000,-6086000000,-7966000000,-6550000000,-5383000000
91,Common Stock Issued,9953000,- -,9139000,8029000,4852000,55350000,7146000,102083000,131292000,534769000,135253000,136341000,1267000000,531000000,46000000,80000000,345000000,24000000,596000000,51000000,40000000,45000000,561000000,34000000,1442000000,58000000,60000000
92,Common Stock Repurchased,- -,- -,-50000000,- -,- -,- -,- -,-50000000,- -,- -,-38000,- -,- -,- -,- -,- -,- -,- -,-125000000,- -,- -,-200000000,- -,- -,- -,- -,- -
93,Dividends Paid,-22048000,- -,-22453000,-23309000,-23788000,-25737000,-28016000,-33175000,-36420000,-48828000,-62368000,-76624000,-134000000,-176000000,-161000000,-230000000,-189000000,-216000000,-237000000,-256000000,-309000000,-388000000,-484000000,-525000000,-561000000,-851000000,-671000000
94,Other Financing Activites,101878000,- -,57067000,5511000,61430000,121235000,162315000,207065000,94731000,257716000,87070000,318645000,547000000,-159000000,725000000,818000000,279000000,451000000,1125000000,4309000000,1147000000,5929000000,3618000000,7221000000,7239000000,8670000000,6445000000
95,Cash Used/Provided by Financing Activities,60057000,- -,-6247000,-9769000,42494000,150848000,141445000,225973000,189603000,743657000,159917000,378362000,1680000000,196000000,438000000,283000000,201000000,171000000,1186000000,3361000000,-346000000,5050000000,339000000,644000000,154000000,1327000000,451000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,19000,302000,-3395000,-433000,-185000,88000,-3000000,3000000,-4000000,- -,- -,- -,- -,14000000,53000000,-16000000,-12000000,24000000,-26000000,-17000000,12000000
97,Net Change In Cash,-4368000,- -,4236000,-4862000,4704000,7141000,-4147000,11973000,38836000,-27891000,-3787000,7505000,17000000,8000000,19000000,24000000,-20000000,67000000,-82000000,158000000,12000000,27000000,58000000,5000000,38000000,-121000000,-118000000
98,Cash at the End of Period,5498000,- -,11823000,6961000,11291000,18432000,14285000,26258000,65094000,37203000,33416000,40921000,58000000,66000000,85000000,109000000,89000000,154000000,72000000,230000000,242000000,269000000,327000000,332000000,370000000,249000000,131000000
99,Cash at the Beginning of Period,9866000,- -,7587000,11823000,6587000,11291000,18432000,14285000,26258000,65094000,37203000,33416000,41000000,58000000,66000000,85000000,109000000,87000000,154000000,72000000,230000000,242000000,269000000,327000000,332000000,370000000,249000000
100,Free Cash Flow,18879000,- -,14803000,10136000,17971000,-57199000,-55340000,-94408000,-47106000,-7350000,-205204000,-236853000,-430000000,-241000000,-387000000,-341000000,-270000000,-154000000,-276000000,-743000000,-570000000,-177000000,-268000000,-614000000,-1057000000,-1338000000,-479000000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1666175/000166617517000006/0001666175-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1666175/000166617518000005/0001666175-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1666175/000166617519000011/0001666175-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1666175/000166617520000006/0001666175-20-000006-index.html,- -,- -
102,Forex Rate,0.7329,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
