,https://roic.ai/company/CRM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
77,Change in Working Capital,- -,- -,4405000,6011000,24652000,46104000,50007000,94046000,62267000,31070000,129420000,105011000,247226000,-1264000,139108000,311997000,141569000,364945000,-172000000,-330000000,-1192000000,-1658000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-44798000,-54522000,-102507000,-244947000,-183242000,-424702000,-544610000,-582425000,-628477000,-720019000,-923000000,-1000000000,-1556000000,-1824000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,8512000,-1588000,1246000,12644000,193358000,-29043000,159973000,253986000,49953000,308225000,74000000,15000000,1100000000,507000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-39565000,149232000,-1292000,26581000,96676000,277475000,246828000,347263000,477926000,589664000,748943000,752599000,522000000,535000000,227000000,346000000
82,Other Non-Cash Items,- -,- -,4975000,1066000,5129000,682000,24851000,26429000,29159000,105945000,69012000,111524000,163971000,236205000,284233000,228636000,388385000,495929000,215000000,615000000,-1112000000,137000000
83,Cash Provided by Operating Activities,- -,- -,5213000,21781000,55872000,95893000,111224000,204275000,229557000,270911000,459081000,591507000,736897000,875469000,1173714000,1612585000,2162198000,2737965000,3398000000,4331000000,4801000000,6000000000
84,CAPEX,- -,- -,-2022000,-2916000,-4308000,-23434000,-22123000,-43552000,-61059000,-53901000,-368831000,-171300000,-179707000,-299110000,-416889000,-709852000,-463958000,-534027000,-595000000,-643000000,-710000000,-717000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-15502000,- -,-27907000,-11999000,-403331000,-422699000,-579745000,-2617302000,38071000,-58680000,-3192739000,-25391000,-5115000000,-369000000,-1281000000,-14876000000
86,Purchases of Investments,- -,- -,-27977000,-39900000,-282220000,-193165000,-827562000,-447296000,-470657000,-1317952000,-1702654000,-660601000,-1030982000,-589863000,-874265000,-1505786000,-1100399000,-2219553000,-1430000000,-4625000000,-5902000000,-7392000000
87,Sales/Maturities of Investments,- -,- -,20677000,21851000,136608000,165603000,699368000,388139000,438626000,1005236000,1412262000,764910000,851516000,1074720000,331483000,538075000,2072755000,768469000,1832000000,2657000000,3922000000,8449000000
88,Other Investing Activites,- -,- -,-233000,-179000,721000,3191000,-2777000,- -,-61059000,-53901000,-90887000,-151645000,-175601000,-299110000,-67214000,-36111000,-463958000,-534027000,-595000000,-643000000,-710000000,-717000000
89,Cash Used for Investing Activites,- -,- -,-9555000,-21144000,-149199000,-47805000,-168596000,-102709000,-120997000,-378616000,-1062554000,-489690000,-938918000,-2431555000,-698360000,-1487878000,-2684341000,-2010502000,-5308000000,-2980000000,-3971000000,-14536000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-997000,-134619000,-10355000,-30533000,-31754000,-62091000,-924525000,-382330000,-648157000,-429075000,-1660000000,-676000000,-127000000,-1357000000
91,Common Stock Issued,- -,- -,2131000,1647000,118554000,15735000,29082000,60910000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-342000,-17000,-254000,-28000,-12000,- -,- -,- -,-171964000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-757000,-531000,550000,113000,15957000,31803000,97908000,771772000,196393000,106383000,366299000,1660325000,614044000,514978000,1645855000,650300000,3670000000,840000000,1321000000,9195000000
95,Cash Used/Provided by Financing Activities,- -,- -,1032000,1099000,118850000,15820000,45027000,92713000,96911000,637153000,14074000,75850000,334545000,1598234000,-310481000,132648000,997698000,221225000,2010000000,164000000,1194000000,7838000000
96,Effect of Forex Changes on Cash,- -,- -,310000,18000,-255000,203000,-889000,-1792000,-732000,-1976000,2385000,5325000,7437000,-7758000,-38391000,-7109000,-27369000,-11753000,26000000,-39000000,26000000,-33000000
97,Net Change In Cash,- -,- -,-3000000,1754000,25268000,64111000,-13234000,192487000,204739000,527472000,-587014000,182992000,139961000,34390000,126482000,250246000,448186000,936935000,126000000,1476000000,2050000000,-731000000
98,Cash at the End of Period,- -,- -,8709000,10463000,35731000,99842000,86608000,279095000,483834000,1011306000,424292000,607284000,747245000,781635000,908117000,1158363000,1606549000,2543484000,2669000000,4145000000,6195000000,5464000000
99,Cash at the Beginning of Period,- -,- -,11709000,8709000,10463000,35731000,99842000,86608000,279095000,483834000,1011306000,424292000,607284000,747245000,781635000,908117000,1158363000,1606549000,2543000000,2669000000,4145000000,6195000000
100,Free Cash Flow,- -,- -,3191000,18865000,51564000,72459000,89101000,160723000,168498000,217010000,90250000,420207000,557190000,576359000,756825000,902733000,1698240000,2203938000,2803000000,3688000000,4091000000,5283000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000008/0001108524-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000013/0001108524-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
