,https://roic.ai/company/HEI-A,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.1548,0.2516,0.2729,0.0856,0.0943,0.1031,0.1220,-0.0553,0.0232,0.0679,0.1089,0.1561,0.1617,0.1824,0.1975,0.2329,0.1595,0.1248,0.1253,0.1694,0.1633,0.1631,0.1630,0.1766,0.1632,0.1767,0.1809,0.1796,0.1792,0.1754,0.1893,0.1868,0.1954,0.2004,0.2130,0.2042,0.2075
22,Income Tax expense (Gain),2300000,5600000,5200000,1200000,800000,700000,700000,-600000,100000,700000,1700000,1700000,3300000,6900000,11600000,19509000,11480000,4930000,7872000,10948000,16100000,20900000,27530000,35450000,28000000,36700000,42900000,54500000,56200000,59800000,71400000,80900000,90300000,70600000,78100000,29000000,57300000
23,Net Income,2700000,6300000,7600000,2500000,-4700000,-500000,2400000,-600000,1000000,1900000,2700000,9900000,7000000,10500000,16300000,26317000,15833000,15226000,12222000,20630000,22812000,31888000,39005000,48511000,44626000,54938000,72820000,85147000,102396000,121293000,133364000,156192000,185985000,259233000,327896000,335855000,304220000
24,Net Income ratio,0.0836,0.1332,0.1620,0.0579,-0.1774,-0.0191,0.0945,-0.0276,0.0386,0.0586,0.0668,0.2861,0.1099,0.1101,0.1154,0.1297,0.0925,0.0885,0.0693,0.0956,0.0846,0.0813,0.0768,0.0833,0.0829,0.0890,0.0952,0.0949,0.1015,0.1071,0.1122,0.1135,0.1220,0.1458,0.1595,0.1879,0.1631
25,EPS,0.04,0.08,0.08,0.02,-0.04,-0.00,0.03,-0.01,0.01,0.03,0.16,0.29,0.13,0.15,0.19,0.26,0.15,0.14,0.10,0.18,0.20,0.27,0.32,0.39,0.36,0.44,0.57,0.66,0.79,0.93,1.02,1.19,1.41,1.96,2.45,2.33,2.25
26,EPS Diluted,0.04,0.08,0.08,0.02,-0.04,-0.00,0.03,-0.01,0.01,0.03,0.16,0.29,0.13,0.12,0.16,0.23,0.14,0.13,0.10,0.17,0.18,0.25,0.30,0.37,0.35,0.42,0.56,0.66,0.78,0.92,1.01,1.17,1.37,1.90,2.39,2.29,2.21
27,Weighted Average Shares Outstanding,74526939,83325449,98468142,105810505,120348869,79465517,80192925,63486585,79359112,70955132,16855780,34059585,55459823,72116306,85511541,100258612,104510584,109690590,121882081,114617252,116635251,119612369,122622961,125451750,124954218,125246078,127051007,128635253,129488281,129810546,130351562,130947265,131703125,132543000,133640000,134754000,135326000
28,Weighted Average Shares Outstanding Diluted,74526939,83325449,98468142,105810505,120348869,79465517,80192925,63486585,79359112,75389901,70955132,34059585,55459823,89665175,101795858,114914516,116996295,117934605,121882081,122807493,125519285,126827254,128417243,129906444,128860621,128825492,129703527,130124511,130824218,131744140,132443359,133144531,135587500,136696000,137350000,137302000,137854000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46619/000004661919000095/0000046619-19-000095-index.htm,https://www.sec.gov/Archives/edgar/data/46619/000004661920000078/0000046619-20-000078-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4539000,4321000,214000,5330000,4999000,4947000,12562000,7167000,6543000,17500000,21451000,15499000,20229000,33603000,42955000,52066000,59599000,57001000,406852000,108298000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4539000,4321000,214000,5330000,4999000,4947000,12562000,7167000,6543000,17500000,21451000,15499000,20229000,33603000,42955000,52066000,59599000,57001000,406852000,108298000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28407000,28820000,36798000,47668000,65012000,82399000,88403000,77864000,91815000,106414000,122214000,157022000,149669000,181593000,202227000,222456000,251469000,317458000,210433000,324992000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54514000,51240000,48020000,62758000,97283000,115770000,132910000,137585000,138215000,164967000,189704000,218893000,218042000,243517000,286302000,343628000,401553000,420319000,463205000,478050000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11106000,10103000,8880000,10377000,12727000,14692000,17635000,20961000,22676000,27757000,34542000,50058000,43353000,44899000,52737000,13742000,21187000,18953000,85135000,26045000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98566000,94484000,93912000,126133000,180021000,217808000,251510000,243577000,259249000,316638000,367911000,441472000,431293000,503612000,584221000,631892000,733808000,813731000,1165625000,937385000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40059000,35537000,40558000,46663000,49489000,55554000,59966000,60528000,59003000,67074000,80518000,97737000,93865000,105670000,121611000,129883000,154739000,173345000,168848000,193638000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275116000,310502000,323393000,365243000,385016000,443402000,542114000,688489000,686271000,766639000,865717000,1081306000,1114832000,1268703000,1383167000,1450395000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189482000,188700000,216674000,248229000,22011000,35333000,24983000,41588000,49487000,78157000,154324000,241558000,200810000,272593000,366863000,538081000,506360000,550693000,579041000,582307000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189482000,188700000,216674000,248229000,297127000,345835000,348376000,406831000,434503000,521559000,696438000,930047000,887081000,1039232000,1232580000,1619387000,1621192000,1819396000,1962208000,2032702000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2374000,2492000,1791000,1063000,847000,407000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8225000,14523000,13111000,14599000,8178000,12105000,16690000,21974000,28888000,33424000,45487000,61968000,75912000,87026000,100656000,131269000,143657000,162739000,- -,334682000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237766000,238760000,270343000,309491000,354794000,413494000,425032000,489333000,522394000,624431000,824935000,1091543000,1057921000,1232775000,1455254000,1880539000,1919588000,2155480000,2131056000,2561022000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336332000,333244000,364255000,435624000,534815000,631302000,676542000,732910000,781643000,941069000,1192846000,1533015000,1489214000,1736387000,2039475000,2512431000,2653396000,2969211000,3296681000,3498407000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7640000,7475000,7969000,11129000,22386000,28161000,29657000,26978000,28604000,43547000,50083000,54855000,57157000,64682000,73335000,89724000,107219000,106225000,76237000,85544000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6756000,29000,58000,63000,39000,2187000,220000,237000,148000,335000,626000,697000,418000,357000,411000,451000,859000,906000,15225000,15389000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1320000,979000,3132000,4564000,- -,2067000,3193000,4622000,11650000,2837000,3050000,1647000,964000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11529000,12481000,16498000,32135000,29247000,28262000,23809000,55658000,32738000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14935000,15182000,24015000,38758000,43078000,56990000,51351000,38298000,53080000,79508000,80805000,94205000,82164000,86850000,108540000,130015000,146089000,158198000,94041000,161209000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29331000,22686000,32042000,49950000,65503000,87338000,81228000,65513000,81832000,123390000,131514000,161286000,152220000,168387000,214421000,249437000,282429000,289138000,241161000,294880000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49230000,31984000,18071000,34061000,55022000,53765000,37381000,55194000,14073000,39823000,131194000,376818000,328691000,367241000,457814000,673528000,531611000,561049000,1045000,234983000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6240000,10337000,16262000,22431000,28052000,35296000,39192000,41340000,45308000,58899000,90436000,128482000,111429000,110588000,105962000,59026000,46644000,51496000,- -,40761000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6154000,6142000,5834000,6644000,5679000,10364000,17003000,23268000,30556000,33373000,52777000,143194000,122255000,196900000,213573000,282148000,289704000,372868000,280291000,630844000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61624000,48463000,40167000,63136000,88753000,99425000,93576000,119802000,89937000,132095000,274407000,648494000,562375000,674729000,777349000,1014702000,867959000,985413000,281336000,906588000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1356071000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14180000,13874000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90955000,71149000,72209000,113086000,154256000,186763000,174804000,185315000,171769000,255485000,405921000,809780000,714595000,843116000,991770000,1264139000,1150388000,1274551000,1315896000,1201468000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210000,214000,242000,246000,254000,261000,264000,261000,330000,421000,528000,664000,665000,669000,673000,845000,1330000,1345000,542000,1355000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58007000,69172000,59210000,80799000,110682000,147632000,192872000,234348000,240913000,299497000,375085000,349649000,437757000,548054000,681704000,844247000,1091183000,1397327000,1688045000,1949521000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-2932000,-39714000,-65000,62000,3050000,-4819000,-1381000,-124000,3033000,-3572000,144000,-8289000,-25080000,-25326000,-10556000,-15256000,-16739000,-9149000,-8552000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153847000,155064000,227664000,192523000,206260000,220658000,229443000,224625000,227993000,226120000,244632000,255889000,269351000,286220000,306328000,326544000,320994000,284609000,300739000,320747000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207064000,221518000,247402000,273503000,317258000,371601000,417760000,457853000,469112000,529071000,616673000,606346000,699484000,809863000,963379000,1161080000,1398251000,1666542000,1980177000,2263071000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298019000,292667000,319611000,386589000,471514000,558364000,592564000,643168000,640881000,784556000,1022594000,1416126000,1414079000,1652979000,1955149000,2425219000,2548639000,2941093000,3296073000,3464539000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38313000,40577000,44644000,49035000,63301000,72938000,83978000,89742000,140762000,156513000,170252000,116889000,75135000,83408000,84326000,87212000,104757000,28118000,608000,33868000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336332000,333244000,364255000,435624000,534815000,631302000,676542000,732910000,781643000,941069000,1192846000,1533015000,1489214000,1736387000,2039475000,2512431000,2653396000,2969211000,3296681000,3498407000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46619/000004661919000095/0000046619-19-000095-index.htm,https://www.sec.gov/Archives/edgar/data/46619/000004661920000078/0000046619-20-000078-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-4700000,-500000,2400000,-600000,1000000,1900000,2700000,9900000,7000000,10500000,16300000,26317000,15833000,15226000,12222000,20630000,22812000,31888000,39005000,48511000,44626000,54938000,72820000,85147000,102396000,121293000,133364000,156192000,185985000,259233000,327896000,335855000,304220000
74,Depreciation and Amortization,- -,- -,- -,- -,2400000,1800000,1800000,1900000,1600000,2000000,2600000,2100000,1600000,2800000,6100000,9775000,10588000,4532000,5081000,6779000,7409000,10565000,12167000,15052000,14967000,17597000,18543000,30656000,36790000,47757000,47907000,60277000,64823000,77191000,83497000,88561000,93019000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,500000,- -,-600000,500000,200000,-200000,-1000000,-500000,-300000,- -,-175000,760000,3917000,3520000,4125000,3031000,2557000,2819000,3617000,-2651000,2768000,7732000,-2834000,-5785000,-16745000,-7080000,-9194000,-11096000,-12977000,-6392000,-5998000,-15635000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181000,1353000,2647000,3948000,5117000,6426000,6048000,6434000,7415000,9283000,10334000,10134000,9058000
77,Change in Working Capital,- -,- -,- -,- -,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37000,69272000,2563000,-9928000,14313000,38335000,15952000,39812000,7782000,-647000,15831000,43149000,43789000,-1113000,56152000,34575000,12655000,68924000,73214000,399871000,14303000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15214000,-10684000,-5327000,-5782000,-16585000,6999000,-22572000,-15955000,2846000,-28569000,-28976000,71515000,-27300000
79,Inventory,- -,- -,- -,- -,-1200000,1300000,1900000,-700000,1500000,-600000,-100000,-3300000,-2900000,-4600000,-12200000,-7471000,-6773000,-2996000,3705000,3576000,-10113000,-13148000,-14701000,-16597000,-87000,6359000,-9405000,-7484000,-14877000,126000,-10187000,-14421000,-21204000,-49455000,-30077000,-28315000,-10121000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5619000,125000,7257000,4269000,-23000,2511000,3169000,4074000,6386000,17403000,-3851000,-30327000,6907000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37000,69235000,71798000,61870000,76183000,114518000,130470000,170282000,178064000,177417000,193248000,236397000,280186000,279073000,335225000,369800000,382455000,451379000,524593000,924464000,12781000
82,Other Non-Cash Items,- -,- -,- -,- -,5900000,-300000,3800000,100000,-300000,-200000,2000000,-9300000,-6400000,-3500000,-14400000,-23785000,-10614000,-69662000,4493000,22444000,-11757000,-36437000,-12493000,-33830000,10912000,25708000,7945000,-21481000,-50471000,33071000,-63528000,900000,15103000,-73167000,-51171000,-419298000,39119000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4900000,1500000,8000000,800000,2800000,3900000,7100000,1700000,1700000,9500000,8000000,12132000,16530000,23285000,27879000,44050000,35808000,46908000,57450000,73162000,75817000,101717000,125518000,138585000,131836000,190689000,172863000,249184000,274885000,328487000,437378000,409125000,444084000
84,CAPEX,- -,- -,- -,- -,-1300000,-1100000,-600000,-700000,-1000000,-1200000,-800000,-3200000,-3600000,-51800000,-119100000,-8665000,-6927000,-5853000,-3771000,-5737000,-8273000,-9964000,-12886000,-13455000,-10253000,-8877000,-9446000,-15262000,-18328000,-16410000,-18249000,-30863000,-25998000,-41871000,-28938000,-22940000,-36183000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24799000,-61207000,-4515000,-1554000,-28099000,-41500000,-58117000,-48367000,-29038000,-71066000,-39061000,-94655000,-197285000,-222638000,-8737000,-166784000,-263811000,-418265000,-59775000,-240841000,-163939000,-136500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2900000,- -,- -,-3900000,-2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11500000,-13701000,-15900000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,200000,200000,- -,- -,- -,2900000,- -,- -,- -,- -,7039000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-100000,11900000,-1500000,-9000000,-3900000,-3400000,-2300000,5900000,3400000,300000,- -,48209000,15212000,-1016000,118000,-335000,3877000,520000,59000,166000,-10233000,-9202000,-9245000,-15423000,-18670000,-16450000,-19222000,-33805000,-26550000,-42236000,-26104000,-19204000,-46954000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1400000,10800000,-1900000,-9500000,-4900000,-4600000,-6000000,5600000,-200000,-55400000,-121500000,14745000,-45883000,-11384000,-5207000,-34171000,-45896000,-67561000,-61194000,-42327000,-81299000,-48263000,-103900000,-212708000,-241308000,-25187000,-186006000,-297616000,-444815000,-113511000,-280646000,-199043000,-183454000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73000000,-78000000,-50000000,-100000000,-126000000,-159000000,-132000000,-170000000,-190877000,-204000000,-283000000,-68000000,-505000000
91,Common Stock Issued,- -,- -,- -,- -,- -,200000,100000,100000,- -,- -,600000,1500000,1100000,1000000,59200000,981000,2431000,438000,989000,2222000,1746000,5071000,6875000,2398000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-4900000,-4600000,-2600000,-700000,-200000,-100000,- -,- -,-2000000,-2600000,-105000,- -,-200000,-120000,- -,- -,- -,- -,- -,-8098000,- -,-14298000,-307000,- -,- -,- -,- -,- -,- -,- -,- -,- -
