,https://roic.ai/company/AMRX,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,137388000,417289000,410431000,468082000,639812000
53,Total Current Liabilities,- -,296883000,553850000,550406000,676902000,677243000
54,Long-Term Debt,- -,1355274000,2630598000,2609046000,2771704000,2731730000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2491000,1178000,- -,- -,- -
57,Other Non-Current Liabilities,- -,62823000,270747000,159650000,212495000,-530432000
58,Total Non-Current Liabilities,- -,1420588000,2902523000,2768696000,2984199000,2201298000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,40298000,39349000,135542000,126194000,- -
61,Total Liabilities,- -,1717471000,3456373000,3319102000,3661101000,2878541000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2987000,2992000,2997000,3014000
64,Retained Earnings,- -,- -,-20920000,-377880000,-286821000,-276197000
65,Other Comprehensive Income/Loss,- -,-14232000,-7755000,-68000,-41318000,-24827000
66,Other Total Stockholders Equity,- -,- -,530438000,606966000,628413000,664983000
67,Total Stockholders Equity,- -,-385739000,504750000,232010000,303271000,366973000
68,Total Liabilities And Stockholders Equity,- -,1331732000,3961123000,3551112000,3964372000,3245514000
69,Minority Interest,- -,10157000,391613000,114778000,41661000,694150000
70,Total Liabilities & Equity,- -,1341889000,4352736000,3665890000,4006033000,3939664000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1723128/000172312818000005/0001723128-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000172312819000028/0001723128-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000156459020008179/0001564590-20-008179-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000172312821000013/0001723128-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000172312822000006/0001723128-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,207378000,167648000,-169726000,-361917000,91059000,20170000
74,Depreciation and Amortization,33016000,45936000,137403000,207235000,235387000,233406000
75,Deferred Income Tax,121000,742000,-9439000,371716000,- -,- -
76,Stock Based Compensation,- -,- -,167597000,21679000,20750000,28412000
77,Change in Working Capital,-152152000,475050000,257744000,-72990000,214833000,-399908000
78,Accounts Receivable,-122482000,35255000,89084000,-132726000,16787000,-23621000
79,Inventory,-42587000,-31826000,-42875000,-20393000,-113782000,54660000
80,Accounts Payable,6265000,18105000,-55212000,-10257000,307000,-43932000
81,Other Working Capital,- -,475050000,732794000,659804000,874637000,474729000
82,Other Non-Cash Items,26697000,-455189000,-133349000,-164018000,-183028000,359740000
83,Cash Provided by Operating Activities,115060000,234187000,250230000,1705000,379001000,241820000
84,CAPEX,-124606000,-114271000,-97088000,-97431000,-66186000,-47728000
85,Acquisitions Net,- -,15717000,-324634000,34834000,-251360000,-146543000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1850000,-19500000,11344000,-7233000,-4350000,89000
89,Cash Used for Investing Activites,-124606000,-98554000,-396378000,-19580000,-317546000,-194182000
90,Debt Repayment,-36396000,-13899000,-784336000,-29270000,-37012000,-78086000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-200615000,-375265000,-182998000,- -,- -,- -
94,Other Financing Activites,217516000,294149000,1255009000,-16563000,168819000,-60036000
95,Cash Used/Provided by Financing Activities,-19495000,-95015000,287675000,-45833000,131807000,-138122000
96,Effect of Forex Changes on Cash,1481000,-242000,-670000,-2249000,1037000,102000
97,Net Change In Cash,-27560000,40376000,140857000,-65957000,194299000,-90382000
98,Cash at the End of Period,37546000,77922000,218779000,152822000,347121000,256739000
99,Cash at the Beginning of Period,65106000,37546000,77922000,218779000,152822000,347121000
100,Free Cash Flow,-9546000,119916000,153142000,-95726000,312815000,194092000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1723128/000172312818000005/0001723128-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000172312819000028/0001723128-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000156459020008179/0001564590-20-008179-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000172312821000013/0001723128-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1723128/000172312822000006/0001723128-22-000006-index.htm
102,false,,,,,,
