,https://roic.ai/company/AIRT,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2500000,3300000,2100000,2500000,2700000,3500000,15200000,16200000,33843028,33114231,47766118,51173451,57871778,67728774,68582344,42407207,52594813,66530742,76370886,63476698,73345118,11680048,11058760,10851908,11591033,12456893,12843507,14222996,18917772,23222973,28801919,38376113,39617000,34264000
11,COGS and Expenses,9900000,15300000,16200000,24200000,18300000,24300000,39800000,42600000,63385358,61622734,88992904,94485722,107300319,125893399,127358402,77343903,96728902,124054471,142467320,116705427,136046070,84001629,75642917,79923481,87308591,100331848,98163122,109633570,142186243,151546962,189711322,241748567,229513000,177714000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131851,34333,- -,- -,- -,- -,- -,- -,57628,3000,16000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171028,104728,16101,1400,11649,- -,- -,- -,80743,571651,1724771,3290788,4458000,4352000
14,Depreciation and Amortization,900000,900000,100000,-300000,-200000,-300000,-300000,-500000,484711,371615,569329,648929,921791,826018,666389,748912,557551,633818,683099,665818,472455,437744,415104,365912,278357,532770,752412,856911,- -,- -,- -,7686070,5712000,3107000
15,EBITDA,1400000,-2800000,800000,900000,1600000,2400000,2800000,1900000,3004758,2530819,3460973,1555403,1549366,2770893,2775387,-198050,3657719,4080210,3764120,4568204,5819920,7534117,5987228,3936214,2386230,3262630,3411048,4271837,7419260,-1916888,4196880,13819037,17282000,-3205000
16,EBITDA ratio,0.1217,-0.1772,0.0452,0.0352,0.0796,0.0896,0.0912,0.0576,0.0832,0.0721,0.0678,0.0298,0.0263,0.0394,0.0391,-0.0046,0.0653,0.0583,0.0473,0.0679,0.0742,0.0831,0.0738,0.0472,0.0267,0.0317,0.0338,0.0381,0.0501,-0.0129,0.0216,0.0553,0.0730,-0.0183
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,2257520,1641081,3071002,946566,974360,2517099,2375759,464520,3402032,3468696,3157745,3826647,5053688,6666381,5434072,3438451,2073540,2728028,2632540,3416703,6031663,-3100773,4245523,8064705,7291000,-9175000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0625,0.0468,0.0602,0.0182,0.0166,0.0358,0.0335,0.0108,0.0608,0.0496,0.0397,0.0569,0.0645,0.0735,0.0670,0.0412,0.0232,0.0265,0.0261,0.0305,0.0407,-0.0209,0.0218,0.0323,0.0308,-0.0524
19,Total Other Income Expenses (Gains),-1100000,-3100000,-800000,-200000,-400000,-100000,11500000,12000000,262527,518123,-179358,-40092,-346785,-572224,-266761,179095,124106,-22304,-76724,75739,122749,325264,121951,130451,22684,1832,26096,-1777,121746,-1118413,-1593916,-3362589,-4667000,-2606000
20,Income Before Tax,500000,- -,700000,1200000,1400000,2400000,2400000,2400000,2520047,2159204,2891644,906474,627575,1944875,2108998,643615,3526138,3446392,3081021,3902386,5176437,6991645,5556023,3568902,2096224,2729860,2658636,3414926,6153409,-4219186,2651607,4702116,2624000,-11781000
21,Income Before Tax Ratio,0.0435,- -,0.0395,0.0469,0.0697,0.0896,0.0782,0.0727,0.0698,0.0615,0.0567,0.0174,0.0107,0.0277,0.0297,0.0150,0.0630,0.0492,0.0387,0.0580,0.0660,0.0771,0.0685,0.0428,0.0235,0.0265,0.0264,0.0304,0.0415,-0.0284,0.0136,0.0188,0.0111,-0.0673
22,Income Tax expense (Gain),200000,- -,300000,500000,600000,900000,800000,800000,908000,836000,1185574,383770,265718,655950,830499,277249,1362306,1340832,1026110,1416340,1774000,2613000,1799000,1431000,746000,1060000,1192000,931000,2395452,725000,195000,1502184,-544000,-3387000
23,Net Income,300000,-3700000,400000,700000,1200000,1800000,2300000,1600000,1612047,1323204,1706070,522704,361857,1288925,1278499,-1224211,1737862,2105560,2054911,2486046,3402437,4378645,3757023,2137902,1350224,1669860,1466636,2483926,4943065,-3213539,2277109,1339995,7656000,-7277000
24,Net Income ratio,0.0261,-0.2342,0.0226,0.0273,0.0597,0.0672,0.0749,0.0485,0.0447,0.0377,0.0334,0.0100,0.0061,0.0183,0.0180,-0.0286,0.0310,0.0301,0.0258,0.0369,0.0434,0.0483,0.0463,0.0256,0.0151,0.0162,0.0146,0.0221,0.0334,-0.0216,0.0117,0.0054,0.0323,-0.0416
25,EPS,0.07,-0.77,0.10,0.17,0.27,0.37,0.53,0.37,0.35,0.31,0.43,0.13,0.09,0.31,0.31,-0.30,0.43,0.53,0.51,0.63,0.93,1.21,1.03,0.59,0.37,0.45,0.41,0.70,1.39,-1.01,0.74,0.44,2.74,-2.53
26,EPS Diluted,0.07,-0.77,0.10,0.17,0.27,0.37,0.46,0.32,0.35,0.31,0.41,0.13,0.09,0.31,0.31,-0.30,0.43,0.52,0.51,0.63,0.93,1.21,1.03,0.58,0.37,0.45,0.40,0.69,1.37,-1.01,0.74,0.44,2.73,-2.53
27,Weighted Average Shares Outstanding,4500000,4826087,4000000,4200000,4500000,4909091,4367089,4285714,4529746,4190377,3989647,4046263,4136323,4100142,4075234,4089480,4074670,4015671,4006939,3975181,3652792,3636228,3637144,3646945,3665679,3669429,3621276,3539415,3558790,3187836,3064209,3052123,2791000,2882000
28,Weighted Average Shares Outstanding Diluted,4500000,4826087,4000000,4200000,4500000,4909091,5000000,5000000,4736842,4204798,4181812,4190931,4256097,4171098,4183050,4089480,4091878,4039320,4007668,3975678,3652792,3636228,3668211,3696531,3676813,3681552,3649587,3569892,3595236,3187836,3071527,3059838,2798000,2882000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/353184/000035318496000009/0000353184-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318497000007/0000353184-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318498000006/0000353184-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318499000010/0000353184-99-000010-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318400000013/0000353184-00-000013-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318401500012/0000353184-01-500012-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318402000008/0000353184-02-000008-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/353184/000035318405000018/airt33105_10k.htm,https://www.sec.gov/Archives/edgar/data/353184/000035318406000022/airt10k_33106.htm,https://www.sec.gov/Archives/edgar/data/353184/000035318407000010/0000353184-07-000010-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318408000011/0000353184-08-000011-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318409000010/0000353184-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318410000009/0000353184-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318411000011/0000353184-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318412000010/airt10k_033112.htm,https://www.sec.gov/Archives/edgar/data/353184/000035318413000009/0000353184-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318414000011/0000353184-14-000011-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774915011923/0001437749-15-011923-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774916034573/0001437749-16-034573-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774917017134/airt20170331_10k.htm,https://www.sec.gov/Archives/edgar/data/353184/000143774918012675/0001437749-18-012675-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774919013061/0001437749-19-013061-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318420000035/0000353184-20-000035-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318421000058/0000353184-21-000058-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,200000,100000,100000,600000,1400000,1700000,3400000,2213841,2377898,193918,263362,144513,97799,31770,79715,459449,3497659,2702424,2895499,51858,6852713,9777587,6515067,5814184,9197492,3758888,14165120,5345455,2763365,4803238,12524321,5952000,10996000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1889819,2229708,2556257,2086259,1295678,875836,982028,1057042,849018,812112,807818,860870,2004761,1002221,2254589,51035,- -,- -,1460518,5278752,4944572,2130544,290449,1760052,1677000,1407000
33,Cash and Short-Term Investments,100000,200000,100000,100000,600000,1400000,1700000,3400000,4103660,4607606,2750175,2349621,1440191,973635,1013798,1136757,1308467,4309771,3510242,3756369,2056619,7854934,12032176,6566102,5814184,9197492,5219406,19443872,10290027,4893909,5093687,14284373,7629000,12403000
34,Net Receivables,1500000,2500000,2200000,1300000,1200000,2800000,3000000,3400000,3133670,3310810,6673101,7008987,7960978,11089528,5875754,6239144,5240986,7974598,8905610,7712121,12320724,6662751,6638995,11768799,9658261,12120000,12637054,10546169,13615748,21623482,19385786,24262243,14251000,10894000
35,Inventory,400000,500000,200000,200000,100000,100000,100000,300000,725503,1069206,5325613,6925545,9741675,10783686,9907430,6275288,6460072,6102637,5705591,8085755,7961436,9830956,6843347,11538120,14542890,8181700,12239469,7789649,12274104,19778843,34231005,29967037,60623000,71971000
36,Other Current Assets,1100000,1700000,800000,700000,200000,100000,600000,400000,501325,464808,306902,599430,760032,842596,930230,3116027,1406749,646317,910704,1050067,1079906,916153,764635,834038,1191025,1029128,1055595,890333,2779655,2562844,2960630,2834460,15983000,10506000
37,Total Current Assets,3100000,4900000,3300000,2300000,2100000,4400000,5400000,7500000,8464158,9452430,15055791,16883583,19902876,23689445,17727212,16767216,14416274,19033323,19032147,20604312,23418685,25264794,26279153,30707059,31206360,30528320,31151524,38670023,38959534,48859078,61671108,71348113,98486000,105774000
38,PP&E,10800000,400000,400000,500000,800000,900000,1400000,2000000,1569854,1455616,2264237,2863626,2594206,3254172,3519048,2303253,3270568,3158036,3168543,2292511,1846400,1607840,1317290,1189107,1889658,3472539,3986174,2571500,4577774,5324488,20273171,29982409,41333000,18407000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275408,4417605,4417605,4417605,4227000,4227000
40,Intangible Assets,2500000,2400000,2100000,2000000,1900000,1400000,800000,400000,33834,- -,389495,498119,430778,361631,290862,219862,79695,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1109112,1376699,1312472,1225257,749000,- -
41,Intangible Assets,2500000,2400000,2100000,2000000,1900000,1400000,800000,400000,33834,- -,389495,498119,430778,361631,290862,219862,79695,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1384520,5794304,5730077,5642862,4976000,4227000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1059862,1163000,1231481,1296703,- -,- -,- -,- -,- -,- -,- -,- -,4711343,2463123,6384042,6696376,6023000,4475000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,27838,- -,152000,233625,438554,567282,568186,1096883,288920,389771,194996,170353,422000,638000,372000,365000,- -,- -,- -,- -,- -,204000,- -,547987,- -,- -
44,Other Non-Current Assets,200000,3400000,200000,100000,- -,400000,1000000,300000,124387,210365,427880,372691,570033,660682,797454,940479,458219,364795,296190,251105,1620525,1830703,1635804,1959522,1987349,2053731,2082949,2214859,2521581,2690196,3088488,924390,609000,7867000
45,Total Non-Current Assets,13500000,6200000,2700000,2600000,2700000,2700000,3200000,2700000,1755913,1665981,3233612,3968061,4033571,4843767,5175550,4560477,5157264,5075602,4891210,4010672,3888925,4076543,3325094,3513629,3877007,5526270,6069123,4786359,13195218,16476111,35475778,43794024,52941000,34976000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16600000,11100000,6000000,4900000,4800000,7100000,8600000,10200000,10220071,11118411,18289403,20851644,23936447,28533212,22902762,21327693,19573538,24108925,23923357,24614984,27307610,29341337,29604247,34220688,35083367,36054590,37220647,43456382,52154752,65335189,97146886,115142137,151427000,140750000
48,Accounts Payable,- -,- -,- -,1100000,600000,1200000,700000,1600000,1003081,809245,3975633,4267890,7517640,8879628,3543568,4436291,3540350,6092186,5354713,5304022,5608735,3021074,2623590,6100012,5999598,5741371,6426056,4715709,7003660,11571156,10445100,12552724,10864000,8344000
49,Short-Term Debt,2300000,2700000,1100000,700000,400000,200000,- -,- -,5976,- -,972320,3951355,4053024,699719,691812,113130,94807,191256,186492,144684,121478,462708,13573,8271,- -,- -,- -,- -,1859300,25000,9229690,24735224,43858000,7009000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180278,172359,- -,- -,194840,58000,- -,- -,72000,- -,- -,- -,- -,11312,508615,180739,661690,- -,39000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1520000,- -,- -
52,Other Current Liabilities,3500000,3800000,3300000,800000,900000,1200000,1100000,1500000,1793397,2054962,2541625,1690036,1561085,1861314,2270800,2632598,2452697,2200866,2411262,2430946,2588945,4085698,2059373,1871791,1966839,2120000,2592534,3529451,6854186,8672815,11503016,13986062,13024000,12826000
53,Total Current Liabilities,5800000,6500000,4400000,2600000,1900000,2600000,1800000,3100000,2802454,2864207,7489578,9909281,13131749,11440661,6506180,7182019,6087854,8484308,7952467,7879652,8319158,7569480,4696536,7980074,7966437,7861371,9018590,8245160,15717146,20268971,31177806,52794010,67746000,28179000
54,Long-Term Debt,6800000,4200000,800000,500000,200000,100000,- -,- -,3649,- -,- -,- -,- -,5163829,3378934,2345910,131864,1024052,763460,652906,461384,- -,7071,- -,- -,- -,- -,5000000,4835,18412521,38855260,32917765,43136000,88932000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1653400,- -,2138712,- -,1485466,707388,633693,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,69000,842000,416000,546000,8000,92000,- -,579000,595000
57,Other Non-Current Liabilities,- -,100000,100000,- -,-100000,- -,200000,- -,- -,- -,1087699,1306465,1548817,105007,1917923,50070,1677020,29546,- -,- -,812511,18619,- -,- -,- -,- -,- -,-1,615241,4483303,2778736,6072598,14955000,8330000
58,Total Non-Current Liabilities,6800000,4300000,900000,500000,100000,100000,200000,- -,3649,- -,1087699,1306465,1548817,6922236,5296857,4534692,1808884,2539064,1470848,1286599,1273895,18619,7071,- -,64000,69000,842000,5415999,1166076,22903824,41725996,38990363,58670000,97857000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163200,52659,29546,- -,- -,59996,18619,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8647000,8445000
61,Total Liabilities,12600000,10800000,5300000,3100000,2000000,2600000,2000000,3100000,2806103,2864207,8577277,11215746,14680566,18362897,11803037,11716711,7896738,11023372,9423315,9166251,9593053,7588099,4703607,7980074,8030437,7930371,9860590,13661159,16883222,43172795,72903802,91784373,126416000,126036000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,700000,700000,681358,662858,677241,690491,684416,676288,681080,681580,671706,667823,667823,627499,605876,606121,607831,607821,611571,611571,588756,593131,593131,510696,510901,505657,756000,756000
64,Retained Earnings,-5200000,-8900000,-8500000,-7400000,-6300000,-4500000,-2400000,-1500000,-566435,465052,1905978,2050995,2192574,3206642,4079621,2529556,4127484,5453105,6840383,8658606,11450192,15101787,18058730,19394295,20132948,21191237,21923988,24407915,29350980,18461347,20695981,21191126,23768000,16270000
65,Other Comprehensive Income/Loss,-1700000,-300000,-500000,-400000,-600000,-700000,-900000,-1300000,-1678980,-1943020,-2429031,-2992556,-3867778,-4371232,-5020238,-464052,43331,25268,52479,104558,-41513,- -,-6615661,-6790825,-6901439,-7596030,-7780,-134913,-117898,-212047,-260900,-205086,-537000,-684000
66,Other Total Stockholders Equity,10900000,9500000,9700000,9600000,9700000,9700000,9200000,9200000,8978025,9069314,9557938,9886968,10246669,10658617,11359262,6863898,6834279,6939357,6939357,6058070,5700002,6045330,12849740,13029323,13209850,13917441,4855093,4929090,4947665,4205536,4171869,2866695,19000,-2617000
67,Total Stockholders Equity,4000000,300000,700000,1800000,2800000,4500000,6600000,7100000,7413968,8254204,9712126,9635898,9255881,10170315,11099725,9610982,11676800,13085553,14500042,15448733,17714557,21753238,24900640,26240614,27052930,28124219,27360057,29795223,34773878,22965532,25117851,24358392,24006000,13725000
68,Total Liabilities And Stockholders Equity,16600000,11100000,6000000,4900000,4800000,7100000,8600000,10200000,10220071,11118411,18289403,20851644,23936447,28533212,22902762,21327693,19573538,24108925,23923357,24614984,27307610,29341337,29604247,34220688,35083367,36054590,37220647,43456382,51657100,66138327,98021653,116142765,150422000,139761000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,497652,-803138,-874767,-1000628,1005000,989000
70,Total Liabilities & Equity,16600000,11100000,6000000,4900000,4800000,7100000,8600000,10200000,10220071,11118411,18289403,20851644,23936447,28533212,22902762,21327693,19573538,24108925,23923357,24614984,27307610,29341337,29604247,34220688,35083367,36054590,37220647,43456382,52154752,65335189,97146886,115142137,151427000,140750000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/353184/000035318496000009/0000353184-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318497000007/0000353184-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318498000006/0000353184-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318499000010/0000353184-99-000010-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318400000013/0000353184-00-000013-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318401500012/0000353184-01-500012-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318402000008/0000353184-02-000008-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/353184/000035318405000018/airt33105_10k.htm,https://www.sec.gov/Archives/edgar/data/353184/000035318406000022/airt10k_33106.htm,https://www.sec.gov/Archives/edgar/data/353184/000035318407000010/0000353184-07-000010-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318408000011/0000353184-08-000011-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318409000010/0000353184-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318410000009/0000353184-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318411000011/0000353184-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318412000010/airt10k_033112.htm,https://www.sec.gov/Archives/edgar/data/353184/000035318413000009/0000353184-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318414000011/0000353184-14-000011-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774915011923/0001437749-15-011923-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774916034573/0001437749-16-034573-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774917017134/airt20170331_10k.htm,https://www.sec.gov/Archives/edgar/data/353184/000143774918012675/0001437749-18-012675-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774919013061/0001437749-19-013061-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318420000035/0000353184-20-000035-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318421000058/0000353184-21-000058-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,700000,1200000,1800000,2300000,1600000,1612047,1323204,1706070,522704,361857,1288925,1278499,-1224211,1737862,2105560,2054911,2486046,3402437,4378645,3757023,2137902,1350224,1669860,1466636,2483926,4943065,-3213539,2277109,1339995,7656000,-7277000
74,Depreciation and Amortization,- -,- -,- -,-300000,-200000,-300000,-300000,-500000,484711,371615,569329,648929,921791,826018,666389,748912,557551,633818,683099,665818,472455,437744,415104,365912,278357,532770,752412,856911,- -,- -,- -,7686070,5712000,3107000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,100000,107782,122858,-80000,-233625,-101046,-252395,-283805,-838030,590091,585149,187005,-123251,10280,-105000,461000,5000,405000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800,1469,13000,23198,8958,29333,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,500000,1600000,1800000,800000,1261704,926519,977990,-591911,-203175,5477657,-1027752,-1635835,-1256777,2220595,530665,1644980,2374867,2595787,3887303,1144368,512938,-572974,-534015,8291929,-7182475,5347719,1903195,-11939199,12185897,46855000
78,Accounts Receivable,- -,- -,- -,900000,100000,-1600000,-200000,-300000,232616,-177140,-3359098,-335886,-1198047,-3128550,4921831,-356943,1133076,-2074267,-1407205,1167556,-4483339,6175693,674792,-6041272,2670430,-2692701,1355998,640944,-1530289,-5524446,2732141,-1960509,-2242000,6074000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-200000,-455850,-343703,-2733378,-1599932,-2816130,-1666185,291324,1195955,-784773,131702,88862,-2220781,331940,-1543899,2967945,-4698230,-3173042,4590984,-4023176,4892248,-877993,-7845801,-6757766,9530655,-29614000,-129000
80,Accounts Payable,- -,- -,- -,-1100000,-500000,600000,-500000,800000,-789792,14974,3163849,292257,3249750,1361988,-5336060,892723,-1153568,2751836,-737473,-50691,304713,-2587661,-397484,3476422,-100414,-258227,684685,-1710347,605940,4146921,-1689030,1087414,1512000,-2521000
81,Other Working Capital,- -,- -,- -,-300000,200000,1800000,3600000,4400000,5661704,6588223,7566213,6974302,6771127,12248784,11221032,9585197,8328420,10549015,11079680,12724660,15099527,17695314,21582617,22726985,23239923,22666949,22132934,30424863,23242388,28590107,30493302,18554103,30740000,77595000
82,Other Non-Cash Items,- -,- -,- -,1000000,-200000,-1200000,-2100000,1000000,-1688496,-1481828,-3932144,-1873996,-716766,-8469341,2257142,5266094,576633,-2271850,-2925239,-2210853,-5982915,-455071,-3011757,-8174638,-1795718,2719268,-2262844,-3670048,5424594,-9688274,-4458141,23849494,-50627897,-44504000
83,Cash Provided by Operating Activities,- -,- -,- -,1400000,1300000,1900000,1700000,3000000,1777748,1262368,-758755,-1527899,262661,-1129136,2890473,2316930,2205360,3273272,530441,2462740,277124,6852105,5508673,-4516656,752270,4361924,-554613,7971676,3214517,-7554094,-277837,20936360,-25074000,-1819000
84,CAPEX,- -,- -,- -,-200000,-300000,-300000,-800000,-1000000,-204172,-472019,-1050626,-1251146,-652627,-720545,-720428,-686011,-1260819,-395685,-362570,-197925,-477808,-215247,-127903,-255517,-1001786,-375045,-1283168,-1931781,-1045437,-2346431,-20215594,-20469233,-38692000,-6005000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-715981,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000,-4573700,-4701026,-3639192,-3312000,-536000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1889819,-674194,-1042995,-189250,-100000,- -,-13496,- -,- -,- -,- -,- -,-2179731,-7664923,-1252368,-20978,- -,- -,-1734887,-4527784,-4481030,-2719369,-2843899,-2113921,-626000,-659000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,334305,716446,504503,575143,462617,13496,- -,362500,- -,- -,- -,1015243,8684592,900,2224532,51035,- -,274543,515045,226759,6002601,720452,889838,239000,2452000
