,https://roic.ai/company/UEEC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,250000,630000,350000,250000,150000,50000,- -,- -,- -,- -,- -,- -,101350,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,31941,21803,262123,641568,390398,250000,150000,90000,41020,52470,196960,239820,113250,93470,217100,26799
48,Accounts Payable,21880,2666,37826,25698,241149,342597,- -,- -,- -,- -,- -,- -,- -,- -,512476,416759,- -
49,Short-Term Debt,- -,- -,80000,43865,- -,- -,111709,572004,625224,542776,289560,328328,450828,8121,365785,559952,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,90000,192967,189214,266024,433115,1658291,1267996,584776,1107754,562970,620602,341342,255829,119019,193651,1168693
53,Total Current Liabilities,21880,92666,310793,258777,507173,775712,1770000,1840000,1210000,1650530,852530,948930,792170,263950,997280,1170362,1168693
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456032,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,85000,118800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,85000,118800,- -,- -,- -,- -,- -,- -,- -,- -,- -,456032,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,21880,92666,310793,258777,592173,894512,1770000,1840000,1210000,1650530,852530,948930,792170,263950,997280,1170362,1168693
62,Preferred Stock,- -,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,285,28782,28782,34710,66124,80428,80000,80000,100000,108200,148000,153780,165150,173940,178300,189357,228667
64,Retained Earnings,-26089,-217249,-445514,-722203,-1632210,-4527812,-6120000,-6400000,-7520000,-9668290,-12260150,-12795880,-14123200,-19525560,-26127860,-41839259,-72388442
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,3924,126742,126742,690839,1615481,3943270,4515548,4630610,6298176,7950580,11312085,11890128,13696785,18998920,25045755,40696640,71017881
67,Total Stockholders Equity,-21880,-60725,-288990,3346,49395,-504114,-1524452,-1689390,-1121824,-1609510,-800065,-751972,-261265,-352700,-903805,-953262,-1141894
68,Total Liabilities And Stockholders Equity,- -,31941,21803,262123,641568,390398,245548,150610,88176,41020,52465,196958,530905,-88750,93475,217100,26799
69,Minority Interest,- -,- -,- -,- -,- -,- -,4452,-610,1824,- -,5,2,-291085,202000,-5,- -,- -
70,Total Liabilities & Equity,- -,31941,21803,262123,641568,390398,250000,150000,90000,41020,52470,196960,239820,113250,93470,217100,26799
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096938/000147793213002947/0001477932-13-002947-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793213002955/0001477932-13-002955-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793214001795/0001477932-14-001795-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793215004083/0001477932-15-004083-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793216010265/0001477932-16-010265-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793217002659/0001477932-17-002659-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793218001906/0001477932-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793219001364/0001477932-19-001364-index.html,https://www.sec.gov/Archives/edgar/data/1096938/000147793220003845/0001477932-20-003845-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793221001799/0001477932-21-001799-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793222001949/0001477932-22-001949-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-15501,-191160,-228265,-276689,-910007,-2895602,-1590000,-280000,-1130000,-2144330,-2591860,-535740,-1466790,-5402370,-6602300,-15711400,-30549183
74,Depreciation and Amortization,- -,- -,- -,- -,50000,100000,100000,100000,100000,50000,- -,- -,- -,- -,508183,535766,608710
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,562886,40000,975269,1127347,1711974,- -,- -,- -,3880250,12722805,26861097
77,Change in Working Capital,16227,-38845,-228265,42336,-248951,-239709,-1034686,-70000,670000,-439510,809450,48090,199620,401650,-753110,-150802,-87282
78,Accounts Receivable,- -,- -,- -,- -,- -,3550,- -,- -,- -,- -,-8854,-96773,-362569,-10614,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1778,-10045,-20050,-101566,19051,-44868,195,69649
80,Accounts Payable,-870,-19214,35160,-12128,- -,- -,- -,64837,-136403,156945,44948,178990,44941,-71941,367836,360465,- -
81,Other Working Capital,-21880,-60725,-288990,-246654,-495605,-735314,-1770000,-1840000,-1170000,-1609510,-800060,-751970,-552350,-150700,-903810,-1054612,-1141894
82,Other Non-Cash Items,- -,101859,352392,-298185,946990,2343373,1677481,207819,-734067,1071660,-773601,14298,621270,3727058,1200213,1277769,2338579
83,Cash Provided by Operating Activities,726,-128146,-104138,-532538,-161968,-691938,-284319,-2181,-118798,-334833,-844037,-473352,-645900,-1273662,-1766764,-1325862,-828079
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101350,101350
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101350,- -
90,Debt Repayment,- -,- -,- -,-61135,- -,- -,- -,- -,- -,- -,-34000,- -,-77500,-10000,- -,- -,- -
91,Common Stock Issued,- -,92315,- -,569025,296660,492601,- -,- -,- -,- -,725056,285100,683975,1415200,1255750,1130696,479802
92,Common Stock Repurchased,-726,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,60000,80000,25000,72943,193700,282164,1987,120621,341250,146190,216138,200000,-290207,496365,325968,324000
95,Cash Used/Provided by Financing Activities,-726,152315,80000,532890,369603,686301,282164,1987,120621,341250,837246,501238,806475,1114993,1752115,1456664,803802
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-726,152315,-24138,352,7635,-5637,-2155,-194,1823,6417,-6791,27886,160575,-158669,-14649,29452,-24277
98,Cash at the End of Period,- -,24169,31,383,8018,2381,226,32,1855,8272,1481,29367,189942,31273,16624,46076,21799
99,Cash at the Beginning of Period,- -,- -,24169,31,383,8018,2381,226,32,1855,8272,1481,29367,189942,31273,16624,46076
100,Free Cash Flow,726,-128146,-104138,-532538,-161968,-691938,-284319,-2181,-118798,-334833,-844037,-473352,-645900,-1273662,-1766764,-1427212,-726729
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096938/000147793213002947/0001477932-13-002947-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793213002955/0001477932-13-002955-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793214001795/0001477932-14-001795-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793215004083/0001477932-15-004083-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793216010265/0001477932-16-010265-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793217002659/0001477932-17-002659-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793218001906/0001477932-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793219001364/0001477932-19-001364-index.html,https://www.sec.gov/Archives/edgar/data/1096938/000147793220003845/0001477932-20-003845-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793221001799/0001477932-21-001799-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793222001949/0001477932-22-001949-index.htm
102,false,,,,,,,,,,,,,,,,,
