,https://roic.ai/company/ZYME,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,254000,1916000,2208000,2850000,10741000,17124124,25497850
37,Total Current Assets,- -,17679000,46484000,92335000,204369000,311830000,580294712,367486264
38,PP&E,- -,781000,6721000,7178000,- -,- -,22460668,63457745
39,Goodwill,- -,- -,12016000,12016000,12016000,12016000,15322323,15320640
40,Intangible Assets,- -,144000,20631000,19144000,20010000,23685000,29240694,27369579
41,Intangible Assets,- -,144000,32647000,31160000,32026000,35701000,44563017,42690220
42,Investments,- -,- -,- -,- -,- -,- -,33053422,1129668
43,Tax Assets,- -,- -,5100000,67000,84000,1218000,2197101,3914311
44,Other Non-Current Assets,- -,4545000,3043000,1215000,7884000,19456000,3946620,17472874
45,Total Non-Current Assets,- -,5470000,47511000,39620000,39994000,56375000,106220828,128664818
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,23149000,93995000,131955000,244363000,368205000,686515540,496151083
48,Accounts Payable,- -,2112000,2955000,1664000,2599000,5349000,7962099,6596953
49,Short-Term Debt,- -,6000,8000,10000,15000,1282000,3455684,1670276
50,Tax Payable,- -,18000,230000,158000,299000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,3530000,- -,- -,- -
52,Other Current Liabilities,- -,2733000,13593000,12987000,23842000,75921000,97820074,83346782
53,Total Current Liabilities,- -,4851000,16556000,14661000,29986000,82552000,109237857,91614012
54,Long-Term Debt,- -,- -,4417000,- -,- -,- -,7566799,39554945
55,Deferred Revenue,- -,- -,- -,- -,32941000,32941000,42005046,42000434
56,Deferred Tax Liabilities,- -,16000,5019000,- -,- -,408000,1502138,2005606
57,Other Non-Current Liabilities,- -,43000,59001000,866000,946000,6623000,3487563,3376253
58,Total Non-Current Liabilities,- -,59000,68437000,866000,33887000,39972000,54561546,86937239
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,6000,8000,62000,57000,6927000,11022483,41225222
61,Total Liabilities,- -,4910000,84993000,15527000,63873000,122524000,163799403,178551251
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,83605000,106595000,222991000,320074000,450210000,923495100,944977248
64,Retained Earnings,- -,-63922000,-97790000,-108716000,-145272000,-290709000,-600933177,-870971262
65,Other Comprehensive Income/Loss,- -,-6659000,-6659000,-6659000,-6659000,-6659000,-8491290,-8490358
66,Other Total Stockholders Equity,- -,5215000,6856000,8812000,12347000,92839000,208645505,- -
67,Total Stockholders Equity,- -,18239000,9002000,116428000,180490000,245681000,522716138,317599832
68,Total Liabilities And Stockholders Equity,- -,23149000,93995000,131955000,244363000,368205000,686515540,496151083
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,23149000,93995000,131955000,244363000,368205000,686515540,496151083
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1403752/000119312519065609/0001193125-19-065609-index.html,https://www.sec.gov/Archives/edgar/data/1403752/000119312520058902/0001193125-20-058902-index.html,https://www.sec.gov/Archives/edgar/data/1403752/000140375221000005/0001403752-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1403752/000140375222000005/0001403752-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-12942000,-19170000,-33809000,-10406000,-36556000,-145437000,-180552,-270104062
74,Depreciation and Amortization,412000,494000,1025000,2739000,3630000,7331000,13107370,12218517
75,Deferred Income Tax,- -,16000,-5505000,15000,-17000,-726000,339193,-1215094
76,Stock Based Compensation,574000,1389000,4291000,3429000,13441000,48996000,37127559,13714115
77,Change in Working Capital,4647000,5826000,17100000,47746000,96709000,54895000,-12940324,501083
78,Accounts Receivable,-279000,-1363000,-592000,2409000,-119000,-1828000,-16713522,-339155
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1744000,2417000,1934000,-358000,3684000,21572000,9714169,21008505
81,Other Working Capital,7002000,12828000,29928000,77674000,174383000,229278000,- -,- -
82,Other Non-Cash Items,293000,-10725000,-18348000,-43304000,-53030000,-46912000,-230516295,-493433
83,Cash Provided by Operating Activities,-7016000,-22170000,-35246000,219000,24177000,-81853000,-193063049,-245378874
84,CAPEX,-281000,-853000,-5464000,-3121000,-3420000,-13878000,-7988877,-16938641
85,Acquisitions Net,- -,-4038000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-11714000,-64395580,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,16991507,201301433
88,Other Investing Activites,-201000,-4537000,-21028000,-28873000,-105626000,- -,-2492938,-1123293
89,Cash Used for Investing Activites,-281000,-9201000,-25453000,-30888000,-109046000,-25592000,-55392950,184362792
90,Debt Repayment,-9000,-4000,-7000,-7823000,-11000,-16000,-52282,-21675
91,Common Stock Issued,46341000,1752000,- -,55791000,90752000,188231000,383708396,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,55000,-232000,64784000,1983000,690000,5446000,10340272,10235861
95,Cash Used/Provided by Financing Activities,46387000,1516000,64777000,49951000,91431000,193661000,393996386,10214185
96,Effect of Forex Changes on Cash,-1244000,-5461000,840000,227000,-303000,30000,-701338,-414382
97,Net Change In Cash,37846000,-35316000,4918000,19509000,6259000,86246000,144839049,-51216278
98,Cash at the End of Period,46835000,11519000,16437000,35946000,42205000,128451000,308634626,257384462
99,Cash at the Beginning of Period,8989000,46835000,11519000,16437000,35946000,42205000,163795577,308600741
100,Free Cash Flow,-7297000,-23023000,-40710000,-2902000,20757000,-95731000,-201051927,-262317515
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1403752/000119312519065609/0001193125-19-065609-index.html,https://www.sec.gov/Archives/edgar/data/1403752/000119312520058902/0001193125-20-058902-index.html,https://www.sec.gov/Archives/edgar/data/1403752/000140375221000005/0001403752-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1403752/000140375222000005/0001403752-22-000005-index.htm
102,Forex Rate,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
