,https://roic.ai/company/CRNX,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,189000,2793000,144490000,-43759000,52004000,161722000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,300000,47000,- -,- -,- -,- -
81,Other Working Capital,11475000,14268000,158758000,114999000,167003000,328725000
82,Other Non-Cash Items,- -,-3514000,-139625000,40619000,-125332188,-250310000
83,Cash Provided by Operating Activities,-5468000,-9479000,-19459000,-46381000,-62027000,-88588000
84,CAPEX,-190000,-304000,-1059000,-492000,-186000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-118399000,-108136000,-227000,- -
87,Sales/Maturities of Investments,- -,- -,- -,150295000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,630000,-56483000
89,Cash Used for Investing Activites,-190000,-304000,-119458000,41667000,217000,-56483000
90,Debt Repayment,-48000,-212000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,106472000,- -,114283000,- -
92,Common Stock Repurchased,-5000,- -,- -,-59000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,12035000,63726000,126000,288000,252679000
95,Cash Used/Provided by Financing Activities,-53000,11823000,170198000,67000,114571000,252679000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-5711000,2040000,31281000,-4647000,52761000,- -
98,Cash at the End of Period,12152000,14192000,45473000,40826000,93587000,- -
99,Cash at the Beginning of Period,17863000,12152000,14192000,45473000,40826000,93587000
100,Free Cash Flow,-5658000,-9783000,-20518000,-46873000,-62213000,-88588000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1658247/000156459019007561/0001564590-19-007561-index.htm,https://www.sec.gov/Archives/edgar/data/1658247/000156459020009365/0001564590-20-009365-index.htm,https://www.sec.gov/Archives/edgar/data/1658247/000156459021016719/0001564590-21-016719-index.htm,https://www.sec.gov/Archives/edgar/data/1658247/000095017022005050/0000950170-22-005050-index.htm
102,false,,,,,,
