,https://roic.ai/company/AMN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.23,-0.14,1.12,0.95,0.55,0.69,1.02,1.05,1.02,-3.75,-1.49,-0.66,0.37,0.69,0.69,1.68,2.15,2.68,2.91,2.40,1.48,6.86
27,Weighted Average Shares Outstanding,22497000,30641000,42534000,36456000,28248000,29130000,32662000,34377000,33375000,32615000,34840000,39913000,41632000,45963000,46504000,47525000,47946000,47807000,47371000,46704000,47424000,47424000
28,Weighted Average Shares Outstanding Diluted,22497000,30641000,46805000,39785000,31369000,32118000,34504000,34880000,33811000,32615000,34840000,45951000,46709000,47787000,48086000,48843000,49267000,49430000,48668000,47593000,47690000,47690000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1142750/000102140803004500/0001021408-03-004500-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312504039054/0001193125-04-039054-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312505047902/0001193125-05-047902-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312506051648/0001193125-06-051648-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312507050982/0001193125-07-050982-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312508043552/0001193125-08-043552-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312509042607/0001193125-09-042607-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312510049037/0001193125-10-049037-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312511062637/0001193125-11-062637-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312512107063/0001193125-12-107063-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000144530513000293/0001445305-13-000293-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275014000003/0001142750-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275015000003/0001142750-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275016000014/0001142750-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275017000003/0001142750-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275018000004/0001142750-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275019000008/0001142750-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275020000013/0001142750-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275021000012/0001142750-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275022000010/0001142750-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,546000,15654000,40135000,4687000,3908000,19110000,4422000,18495000,11316000,27053000,1883000,3962000,5681000,15580000,13073000,9576000,10622000,15147000,13856000,82985000,29213000,180928000
32,Short-Term Investments,- -,16314000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61347000,- -
33,Cash and Short-Term Investments,546000,31968000,40135000,4687000,3908000,19110000,4422000,18495000,11316000,27053000,1883000,3962000,5681000,15580000,13073000,9576000,10622000,15147000,13856000,82985000,90560000,180928000
34,Net Receivables,63401000,110219000,134456000,117392000,108825000,154926000,192716000,184741000,186002000,93398000,148306000,172523000,161314000,168832000,218220000,332490000,391571000,407406000,416813000,431383000,456675000,1028850000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4812000,9753000,14062000,15862000,14672000,54227000,38717000,39715000,32509000,16986000,29072000,35988000,36749000,45687000,51377000,33562000,48435000,51600000,51497000,46131000,-13500000,139290000
37,Total Current Assets,68759000,151940000,188653000,137941000,127405000,228263000,235855000,242951000,229827000,137437000,179261000,212473000,203744000,230099000,282670000,375628000,450628000,474153000,482166000,560499000,533735000,1349068000
38,PP&E,5006000,7713000,9869000,18414000,17833000,20164000,23236000,24600000,24018000,19970000,21777000,16863000,14815000,21158000,32880000,50134000,59954000,73431000,90419000,104832000,193909000,154885000
39,Goodwill,- -,- -,- -,- -,- -,- -,240719000,241266000,252875000,79868000,154176000,123324000,123324000,144642000,154387000,204779000,341754000,340596000,438506000,595551000,864485000,892341000
40,Intangible Assets,124978000,129253000,136729000,140471000,138949000,361996000,116389000,113535000,122845000,115336000,165576000,143575000,136910000,150197000,152517000,174970000,245724000,227096000,326147000,398474000,564911000,514460000
41,Intangible Assets,124978000,129253000,136729000,140471000,138949000,361996000,357108000,354801000,375720000,195204000,319752000,266899000,260234000,294839000,306904000,379749000,587478000,567692000,764653000,994025000,1429396000,1406801000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,22025000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,10565000,19406000,12111000,6071000,508000,- -,- -,- -,- -,- -,243000,1823000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,102000,617000,1412000,1635000,2265000,7964000,5982000,11274000,13252000,14368000,41077000,37573000,38593000,46138000,59462000,74921000,88821000,138681000,155483000,272290000,196467000,221152000
45,Total Non-Current Assets,140651000,156989000,160121000,166591000,159555000,390124000,386326000,390675000,412990000,251567000,382849000,323158000,313642000,362135000,399246000,504804000,736253000,779804000,1010555000,1371147000,1819772000,1782838000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,209410000,308929000,348774000,304532000,286960000,618387000,622181000,633626000,642817000,389004000,562110000,535631000,517386000,592234000,681916000,880432000,1186881000,1253957000,1492721000,1931646000,2353507000,3131906000
48,Accounts Payable,2431000,5625000,12738000,3205000,3242000,19092000,16722000,17467000,24420000,13750000,19326000,18156000,26229000,37288000,30039000,53261000,33392000,31420000,31537000,26985000,28089000,- -
49,Short-Term Debt,8056000,1643000,1225000,13400000,4863000,10250000,23254000,26616000,50075000,5500000,18338000,34640000,- -,10234000,25500000,37500000,3750000,- -,- -,13943000,19720000,11383000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,7610000,6397000,7647000,7184000,5084000,7191000,2155000,2831000,2409000,3177000,5620000,8924000,8384000,12365000,11788000,11004000,15950000
52,Other Current Liabilities,14123000,28194000,37385000,44354000,42046000,91226000,74594000,76826000,59593000,38765000,73038000,85101000,80465000,90361000,119579000,154636000,228724000,225468000,263368000,325389000,364144000,942057000
53,Total Current Liabilities,24610000,35462000,51348000,60959000,50151000,128178000,120967000,128556000,141272000,63099000,117893000,140052000,109525000,140292000,178295000,251017000,274790000,265272000,307270000,378105000,422957000,969390000
54,Long-Term Debt,115389000,- -,- -,125500000,96860000,194750000,160479000,120352000,100236000,100121000,200811000,174198000,158178000,148672000,136875000,180990000,359192000,319843000,440607000,617159000,857961000,855686000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,865000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,65132000,69365000,71092000,58466000,789000,- -,- -,5281000,17764000,32491000,22431000,21420000,27036000,27326000,46618000,67205000,47814000
57,Other Non-Current Liabilities,2341000,1562000,1602000,1976000,3173000,37127000,26824000,37498000,58710000,54151000,89951000,85722000,62291000,67764000,77674000,78134000,82096000,79279000,77663000,153022000,185707000,96989000
58,Total Non-Current Liabilities,117730000,1562000,1602000,127476000,100033000,297009000,256668000,228942000,217412000,155061000,290762000,259920000,225750000,234200000,247040000,281555000,462708000,426158000,546461000,816799000,1110873000,1000489000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105152000,92832000,24747000
61,Total Liabilities,142340000,37024000,52950000,188435000,150184000,425187000,377635000,357498000,358684000,218160000,408655000,399972000,335275000,374492000,425335000,532572000,737498000,691430000,853731000,1194904000,1533830000,1969879000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,288000,423000,430000,430000,432000,437000,452000,454000,457000,458000,392000,405000,457000,460000,466000,477000,481000,484000,488000,493000,496000,- -
64,Retained Earnings,-69953000,-74339000,-21983000,15809000,33155000,47784000,45036000,81036000,105465000,-16712000,-233066000,-259331000,-242195000,-211275000,-178058000,-96167000,9671000,142229000,286059000,400047000,469558000,- -
65,Other Comprehensive Income/Loss,-1762000,-1762000,-7064000,-309000,271000,-254000,142000,-907000,-2076000,-457000,-421000,-373000,-443000,-498000,-356000,-183000,1000,-112000,151000,152000,40000,-295000
66,Other Total Stockholders Equity,138497000,347583000,324441000,100167000,102918000,145233000,198916000,195545000,180287000,187555000,386550000,394958000,424292000,429055000,434529000,443733000,439230000,419926000,352292000,336050000,349583000,- -
67,Total Stockholders Equity,67070000,271905000,295824000,116097000,136776000,193200000,244546000,276128000,284133000,170844000,153455000,135659000,182111000,217742000,256581000,347860000,449383000,562527000,638990000,736742000,819677000,1162027000
68,Total Liabilities And Stockholders Equity,209410000,308929000,348774000,304532000,286960000,618387000,622181000,633626000,642817000,389004000,562110000,535631000,517386000,592234000,681916000,880432000,1186881000,1253957000,1492721000,1931646000,2353507000,3131906000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,209410000,308929000,348774000,304532000,286960000,618387000,622181000,633626000,642817000,389004000,562110000,535631000,517386000,592234000,681916000,880432000,1186881000,1253957000,1492721000,1931646000,2353507000,3131906000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1142750/000102140803004500/0001021408-03-004500-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312504039054/0001193125-04-039054-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312505047902/0001193125-05-047902-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312506051648/0001193125-06-051648-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312507050982/0001193125-07-050982-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312508043552/0001193125-08-043552-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312509042607/0001193125-09-042607-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312510049037/0001193125-10-049037-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312511062637/0001193125-11-062637-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312512107063/0001193125-12-107063-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000144530513000293/0001445305-13-000293-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275014000003/0001142750-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275015000003/0001142750-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275016000014/0001142750-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275017000003/0001142750-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275018000004/0001142750-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275019000008/0001142750-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275020000013/0001142750-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275021000012/0001142750-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275022000010/0001142750-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5198000,-4386000,52356000,37792000,17346000,22234000,35091000,36532000,34357000,-122177000,-51991000,-26265000,17136000,32933000,33217000,81891000,105838000,132558000,141741000,113988000,70665000,327388000
74,Depreciation and Amortization,3303000,7713000,3839000,4819000,5837000,6179000,10325000,11674000,14439000,13812000,15084000,16416000,14151000,13545000,15993000,20953000,29620000,32279000,41237000,58520000,94187000,- -
75,Deferred Income Tax,-9727000,-8649000,7295000,6040000,4086000,19017000,18077000,1140000,-3370000,-51721000,-10711000,-1795000,6951000,3031000,11779000,12677000,-9424000,5607000,-667000,913000,-21628000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,9322000,8709000,8284000,7132000,6224000,6125000,7157000,10284000,11399000,10237000,10815000,16241000,20465000,- -
77,Change in Working Capital,-16983000,72329000,20827000,-60323000,272000,22831000,14803000,-493000,-25840000,-14217000,-12970000,11053000,21798000,-4412000,14568000,20236000,51227000,33043000,-33985000,7498000,-71616000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,10406000,88730000,-15302000,-29016000,1388000,-8448000,-52130000,-98018000,-57158000,-10637000,-10584000,5707000,-8609000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,44149000,116478000,137305000,76982000,77254000,100085000,114888000,114395000,88555000,74338000,61368000,72421000,94219000,89807000,104375000,124611000,175838000,208881000,174896000,182394000,110778000,- -
82,Other Non-Cash Items,27019000,-65328000,-27464000,76817000,11497000,-26171000,-23758000,30783000,34786000,264326000,60393000,12771000,-5748000,7415000,-55036000,-89728000,-56809000,-98462000,67852000,27702000,164753000,-22032000
83,Cash Provided by Operating Activities,-1586000,1679000,56853000,65145000,39038000,44090000,54538000,79636000,63694000,98732000,8089000,19312000,60512000,58637000,27678000,56313000,131851000,115262000,226993000,224862000,256826000,305356000
84,CAPEX,-2358000,-4497000,-4328000,-13013000,-5061000,-3818000,-9714000,-9151000,-8795000,-3789000,-4168000,-4648000,-5472000,-9047000,-19134000,-27010000,-21956000,-26529000,-36386000,-36458000,-39102000,- -
85,Acquisitions Net,-91793000,-12971000,-9534000,- -,- -,-111508000,-35963000,-5478000,-30952000,- -,-3231000,- -,- -,-39500000,-19470000,-86071000,-218342000,-3500000,-223460000,-247906000,-475898000,- -
86,Purchases of Investments,- -,-16314000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13152000,-15096000,-33824000,-26309000,-48311000,- -
87,Sales/Maturities of Investments,- -,- -,16314000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,20301000,25000000,32135000,32800000,- -
88,Other Investing Activites,8000,- -,-1000000,-1000000,- -,- -,- -,- -,-8540000,-25456000,553000,2667000,8433000,647000,10376000,-3004000,-5912000,-8622000,-11847000,-14526000,-9061000,-107402000
89,Cash Used for Investing Activites,-94143000,-33782000,1452000,-14013000,-5061000,-115326000,-45677000,-14629000,-48247000,-29245000,-6846000,-1981000,2961000,-47900000,-28228000,-116085000,-257362000,-33446000,-279337000,-291824000,-538172000,-107402000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-68437000,-163654000,-147398000,-32396000,-255245000,-26681000,-195274000,-32504000,-374320000,-44063000,-75000000,-371000000,-806455000,- -
91,Common Stock Issued,52000000,177340000,2103000,52000,2043000,2316000,26950000,2224000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-35164000,-219264000,-110000,- -,-37534000,-18510000,-28446000,- -,- -,- -,- -,- -,- -,- -,-13261000,-20164000,-67013000,-18705000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,43772000,-130129000,-763000,132743000,-36681000,84204000,-12952000,-34637000,74549000,109844000,120949000,17096000,193561000,25898000,193175000,88704000,513871000,-12966000,179524000,526304000,1017941000,-34895000
95,Cash Used/Provided by Financing Activities,95772000,47211000,-33824000,-86469000,-34748000,86520000,-23536000,-50923000,-22334000,-53810000,-26449000,-15300000,-61684000,-783000,-2099000,56200000,126290000,-77193000,37511000,136599000,211486000,-34895000
96,Effect of Forex Changes on Cash,- -,- -,- -,-111000,-8000,-82000,-13000,-11000,-292000,60000,36000,48000,-70000,-55000,142000,75000,267000,-98000,263000,1000,-112000,-335000
97,Net Change In Cash,43000,15108000,24481000,-35448000,-779000,15202000,-14688000,14073000,-7179000,15737000,-25170000,2079000,1719000,9899000,-2507000,-3497000,1046000,4525000,-14570000,69638000,-69972000,162724000
98,Cash at the End of Period,546000,15654000,40135000,4687000,3908000,19110000,4422000,18495000,11316000,27053000,1883000,3962000,5681000,15580000,13073000,9576000,10622000,15147000,84324000,153962000,83990000,246714000
99,Cash at the Beginning of Period,503000,546000,15654000,40135000,4687000,3908000,19110000,4422000,18495000,11316000,27053000,1883000,3962000,5681000,15580000,13073000,9576000,10622000,98894000,84324000,153962000,83990000
100,Free Cash Flow,-3944000,-2818000,52525000,52132000,33977000,40272000,44824000,70485000,54899000,94943000,3921000,14664000,55040000,49590000,8544000,29303000,109895000,88733000,190607000,188404000,217724000,305356000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1142750/000102140803004500/0001021408-03-004500-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312504039054/0001193125-04-039054-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312505047902/0001193125-05-047902-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312506051648/0001193125-06-051648-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312507050982/0001193125-07-050982-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312508043552/0001193125-08-043552-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312509042607/0001193125-09-042607-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312510049037/0001193125-10-049037-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312511062637/0001193125-11-062637-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000119312512107063/0001193125-12-107063-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000144530513000293/0001445305-13-000293-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275014000003/0001142750-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275015000003/0001142750-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275016000014/0001142750-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275017000003/0001142750-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275018000004/0001142750-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275019000008/0001142750-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275020000013/0001142750-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275021000012/0001142750-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1142750/000114275022000010/0001142750-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
