,https://roic.ai/company/DWSN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,10400000,22200000,23670361,8886216,14969380,14979200,6080282,8023654,11249960,7911908,7881594,17090831,23502704,53360713,77053658,74315075,85523788,108171166,132863692,169537804,141912614,156128831,275367000,182766000,194588000,179183000,162019000,100092000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159000,347000,306000,400000,548000,402000,220000
13,Interest Expense (Gain),200000,600000,803582,65055,- -,261480,- -,142325,18067,16807,8792,60878,364848,780782,604616,929656,1020681,790417,784425,1222454,1091476,599296,609000,260000,158000,408000,435000,83000,-21000
14,Depreciation and Amortization,-400000,-800000,1380071,813718,1425817,1778454,1885313,1644331,1617515,1522815,1314042,1106022,3201236,9540171,12743065,13911124,14621237,15343804,19214069,25502597,24644190,24375933,47072000,44283000,39235000,29959000,21826000,17174000,12863000
15,EBITDA,-800000,1500000,-468788,-135234,2561856,3872760,-187758,76592,486739,-171887,1877999,4099366,10550495,23939764,26085279,26365791,19529348,15491439,37378959,52282008,17266116,12356201,7647000,-1698000,2813000,5162000,6809000,4085000,-16275000
16,EBITDA ratio,-0.0800,0.0655,-0.0215,-0.0145,0.1571,0.2268,-0.0408,0.0119,0.0482,-0.0274,0.2218,0.2041,0.3420,0.3533,0.2886,0.3039,0.2160,0.1430,0.2475,0.2663,0.1283,0.0858,0.0326,-0.0127,0.0179,0.0335,0.0467,0.0474,-0.6590
17,Operating Income,- -,- -,-1848859,-1402706,1338197,2094306,-1479574,-1567739,-1148843,-1649702,586457,2993344,7349259,14399593,13342214,12454667,4908111,147635,18164890,26779411,-7378074,-12193732,-40682000,-49436000,-37440000,-25027000,-16246000,-13992000,-29230000
18,Operating Income ratio,- -,- -,-0.0847,-0.1502,0.0821,0.1227,-0.3216,-0.2428,-0.1137,-0.2634,0.0693,0.1490,0.2382,0.2125,0.1476,0.1435,0.0543,0.0014,0.1203,0.1364,-0.0548,-0.0847,-0.1733,-0.3708,-0.2382,-0.1623,-0.1114,-0.1625,-1.1836
19,Total Other Income Expenses (Gains),- -,- -,-803582,1791405,-202158,-261480,-391000,-142325,- -,-45000,-22500,- -,-364848,-780782,-604616,-929656,-1020681,-790417,-784425,-1222454,-1091476,-425296,648000,3195000,860000,-178000,794000,820000,113000
20,Income Before Tax,- -,- -,-2652441,388699,1136039,1832826,- -,-1710064,- -,- -,- -,- -,6984411,13618811,12737598,11525011,3887430,-642782,17380465,25556957,-8469550,-12619028,-40034000,-46241000,-36580000,-25205000,-15452000,-13172000,-29117000
21,Income Before Tax Ratio,- -,- -,-0.1216,0.0416,0.0697,0.1073,- -,-0.2649,- -,- -,- -,- -,0.2264,0.2010,0.1409,0.1328,0.0430,-0.0059,0.1151,0.1302,-0.0630,-0.0877,-0.1706,-0.3468,-0.2328,-0.1635,-0.1060,-0.1530,-1.1791
22,Income Tax expense (Gain),- -,- -,- -,- -,-170000,1224,- -,202000,- -,- -,- -,- -,783633,5507386,5130165,4626569,2007811,579900,6547250,9885078,-2153509,-3866251,-13755000,-6449000,-5314000,-798000,-239000,24000,-26000
23,Net Income,-600000,- -,-2652441,-1014007,1306039,1831602,-2073071,-1912064,-1148843,-1711509,555165,2932466,6200778,8111425,7607433,6898442,1879619,-1222682,10833215,15671879,-6316041,-8752777,-26279000,-39792000,-31266000,-24407000,-15213000,-13196000,-29091000
24,Net Income ratio,-0.0600,- -,-0.1216,-0.1086,0.0801,0.1073,-0.4506,-0.2962,-0.1137,-0.2733,0.0656,0.1460,0.2010,0.1197,0.0842,0.0795,0.0208,-0.0113,0.0717,0.0798,-0.0469,-0.0608,-0.1120,-0.2984,-0.1990,-0.1583,-0.1044,-0.1533,-1.1780
25,EPS,-0.59,- -,-2.80,-1.16,0.79,1.30,-2.29,-2.19,-1.52,-0.75,0.10,0.91,1.50,1.11,1.03,0.94,0.25,-0.16,1.45,2.07,-0.83,-1.11,-1.21,-1.75,-1.37,-1.07,-0.66,-0.56,-1.23
26,EPS Diluted,-0.59,- -,-2.80,-1.16,0.55,0.77,-2.29,-2.19,-1.52,-0.75,0.08,0.49,0.97,1.09,1.03,0.94,0.25,-0.16,1.43,2.04,-0.83,-1.11,-1.21,-1.75,-1.37,-1.07,-0.66,-0.56,-1.23
27,Weighted Average Shares Outstanding,1012121,1012121,942204,1088267,1043438,1066969,1097742,1130848,1185428,2625185,2731384,2832942,4001547,7347230,7388940,7398418,7406606,7409874,7425522,7529765,7644546,8481458,21722594,22692140,22779377,22912217,23179257,23382433,23570455
28,Weighted Average Shares Outstanding Diluted,1012121,1012121,942204,1088267,2407503,2358516,1097742,1130848,1185428,2625185,3092364,5833127,6418243,7400383,7424880,7429646,7432424,7409874,7541932,7664423,7644546,8481458,21722594,22692140,22779377,22912217,23179257,23382433,23570455
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799165/000110465906020103/a06-2214_110ksb.htm,https://www.sec.gov/Archives/edgar/data/799165/000110465907023188/a07-5662_110ksb.htm,https://www.sec.gov/Archives/edgar/data/799165/000110465908017689/a08-2648_110k.htm,https://www.sec.gov/Archives/edgar/data/799165/000110465909017936/0001104659-09-017936-index.html,https://www.sec.gov/Archives/edgar/data/799165/000110465910014581/0001104659-10-014581-index.html,https://www.sec.gov/Archives/edgar/data/799165/000110465911015399/a11-2132_110k.htm,https://www.sec.gov/Archives/edgar/data/799165/000110465912018471/0001104659-12-018471-index.html,https://www.sec.gov/Archives/edgar/data/799165/000110465913021268/0001104659-13-021268-index.html,https://www.sec.gov/Archives/edgar/data/799165/000110465914020007/a14-2710_110k.htm,https://www.sec.gov/Archives/edgar/data/799165/000119312515101893/0001193125-15-101893-index.htm,https://www.sec.gov/Archives/edgar/data/799165/000104746916011203/0001047469-16-011203-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837017001668/0001558370-17-001668-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837018001795/0001558370-18-001795-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837019001602/0001558370-19-001602-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837020002153/0001558370-20-002153-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837021003090/0001558370-21-003090-index.htm,https://www.sec.gov/Archives/edgar/data/799165/000155837022003931/0001558370-22-003931-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,300000,139991,655280,120535,702999,1898674,259131,1043961,523120,1025221,1829904,9499409,9388769,4503826,24114351,25504149,13072503,15745559,8614244,16130374,14644000,37009000,14624000,22013000,28729000,26271000,40955000,25376000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28750000,21000000,40250000,16583000,10583000,2350000,583000,- -
33,Cash and Short-Term Investments,600000,300000,139991,655280,120535,702999,1898674,259131,1043961,523120,1025221,1829904,9499409,9388769,4503826,24114351,25504149,13072503,15745559,8614244,16130374,43394000,58009000,54874000,38596000,39312000,28621000,41538000,25376000
34,Net Receivables,2300000,3100000,2394237,887406,2501882,1113185,- -,903314,1255954,694895,827948,1886608,8145728,8438053,12688641,5853908,9929283,21745289,19351023,41904701,13055359,37133000,35700000,16031000,33833000,25402000,24422000,7343000,8905000
35,Inventory,2500000,2800000,3516344,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,400000,500000,524518,810517,304629,473391,44479,72085,92953,101965,106322,120720,748159,701705,813032,4239440,1592472,2819615,6708414,1824779,5717609,8521000,6150000,4822000,4677000,12311000,12575000,9709000,8578000
37,Total Current Assets,5800000,6700000,6575090,2353203,2927046,2289575,1943153,1234530,2392868,1319980,1959491,3837232,18393296,18528527,18005499,34207699,37025904,37637407,41804996,52343724,34903342,89048000,99859000,75727000,77106000,77025000,65618000,58590000,42859000
38,PP&E,4400000,6300000,6193018,6522404,7607595,6975748,5063252,3962232,2971422,1619403,794635,5483166,22796640,37648646,42930385,50632563,47583333,49715626,57796831,89385767,63107196,157792000,147567000,110917000,86573000,71540000,60153000,44394000,30784000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201530,201530,201530,1408089,201530,201530,201530,201530,201530,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395000
41,Intangible Assets,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201530,201530,201530,1408089,201530,201530,201530,201530,- -,361000,487000,494000,379000,385000,393000,395000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47791,- -,- -,- -,- -,- -,- -,- -,- -,1154500,- -,535000,224000,293000,57000,- -,- -
44,Other Non-Current Assets,- -,100000,30509,31392,35232,963,202495,395,4824,4824,4824,3395,8212,20817,24642,49129,32399,60834,77870,96817,89470,-1154500,- -,- -,841000,1447000,1394000,- -,-265000
45,Total Non-Current Assets,4400000,7200000,6223527,6553796,7642827,6976711,5265747,3962627,2976246,1624227,799459,5486561,22852643,37870993,43156557,50883222,49023821,49977990,58076231,89684114,63398196,157792000,147928000,111939000,88132000,73659000,61989000,44787000,31179000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10200000,13900000,12798617,8906999,10569873,9266286,7208900,5197157,5369114,2944207,2758950,9323793,41245939,56399520,61162056,85090921,86049725,87615397,99881227,142027838,98301538,246840000,247787000,187666000,165238000,150684000,127607000,103377000,74038000
48,Accounts Payable,1000000,2200000,2703015,1483828,1410668,576305,50932,336876,1067506,199336,120149,741782,3385350,11111499,6271484,4569911,11204415,14747255,9256392,13680538,4097819,5849000,8401000,5617000,5933000,5427000,3952000,1603000,2580000
49,Short-Term Debt,- -,- -,344973,- -,- -,290000,739468,248535,157544,260754,111462,1219784,4229524,4712124,4520640,6028545,7188418,7388115,7138550,12575782,9858147,6018000,8585000,2357000,2712000,6683000,5262000,1203000,1263000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2017644,4569891,- -,391579,21000,39000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3757349,653220,1752000,6146000,3155000,3699000,10501000,3481000,1779000,1344000
52,Other Current Liabilities,2200000,2000000,7740002,2154904,3764265,2293991,60362,319585,955462,995704,401286,1022533,826273,1526524,1724078,6640200,1337437,1808149,5553525,10113962,2585993,6173000,5678000,3868000,5465000,4677000,5562000,2856000,2404000
53,Total Current Liabilities,3200000,4200000,10787990,3638732,5174933,3160296,850762,904996,2180512,1455794,632897,2984099,8441147,17350147,12516202,17238656,19730270,23943519,21948467,40127631,17195179,19792000,28810000,14997000,17809000,27288000,18257000,7441000,7591000
54,Long-Term Debt,3600000,6200000,- -,1025937,- -,- -,2864526,120301,104826,98972,96379,1524803,5450010,2046908,3090191,10851621,5875390,4718492,5328892,14412598,6483112,4209000,2106000,- -,5153000,6097000,96000,44000,3942000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942153,1955047,5973000,7117030,4787623,7257576,7617111,4590739,28621000,5319000,146000,874000,134000,- -,19000,20000
57,Other Non-Current Liabilities,- -,- -,367500,1225024,1664947,978134,- -,- -,56993,29167,86335,244826,749354,1017154,679074,600214,631757,1302963,1626612,1884937,901707,- -,1834000,1639000,150000,150000,6090000,4899000,-7583000
58,Total Non-Current Liabilities,3600000,6200000,367500,2250961,1664947,978134,2864526,120301,161819,128139,182714,1769629,6199364,4006215,5724312,17424835,13624177,10809078,14213080,23914646,11975558,32830000,9259000,1785000,6177000,6381000,6186000,4962000,-3621000
59,Other Liabilities,3500000,6200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,29167,86335,244826,749354,1017154,679074,1456887,1412283,2374226,2962649,3845440,2324975,1216379,- -,- -,- -,- -,7140000,6008000,- -
61,Total Liabilities,6700000,10400000,11155490,5889693,6839880,4138430,3715288,1025297,2342331,1583933,815611,4753728,14640511,21356362,18240514,34663491,33354447,34752597,36161547,64042277,29170737,52622000,38069000,16782000,23986000,33669000,24443000,12403000,3970000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2840808,3082364,2835914,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,623215,633865,657132,661182,685595,708245,753350,1664102,57270,61021,148875,157535,165950,174353,183231,192423,193484,207325,220901,2694000,216000,217000,218000,230000,233000,235000,237000
64,Retained Earnings,-900000,-900000,-3510340,-4524347,-3218308,-1386706,-3459777,-5371841,-6520684,-8232193,-7677028,-4808689,1392089,9503514,17110947,24009389,25889008,24666326,35499541,48073556,41757515,95336000,69057000,29265000,-2021000,-34518000,-49731000,-62927000,- -
65,Other Comprehensive Income/Loss,-2100000,-2500000,-3663431,-2257126,-3258778,-4903212,-6712004,-8309781,-9831017,-11173415,-12313180,-13405979,-15503597,-822208,-601190,-49757056,-133716,748665,107127,821703,-3105178,-344000,-1824000,-1596000,-780000,-1964000,-1572000,-1200000,-1010000
66,Other Total Stockholders Equity,6500000,6900000,8193683,9164914,9549947,10756592,12979798,17145237,18625134,16260972,18793913,19887798,40568061,26204317,26245835,76000744,26756755,27255386,27919528,28882977,30257563,96532000,142269000,142998000,143835000,153268000,154235000,154866000,63250000
67,Total Stockholders Equity,3500000,3500000,1643127,3017306,3729993,5127856,3493612,4171860,3026783,1360274,1943339,4570065,26605428,35043158,42921542,50427430,52695278,52862800,63719680,77985561,69130801,194218000,209718000,170884000,141252000,117016000,103165000,90974000,62477000
68,Total Liabilities And Stockholders Equity,10200000,13900000,12798617,8906999,10569873,9266286,7208900,5197157,5369114,2944207,2758950,9323793,41245939,56399520,61162056,85090921,86049725,87615397,99881227,142027838,98301538,246840000,247787000,187666000,165238000,150685000,127608000,103377000,66447000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,-1000,- -,7591000
70,Total Liabilities & Equity,10200000,13900000,12798617,8906999,10569873,9266286,7208900,5197157,5369114,2944207,2758950,9323793,41245939,56399520,61162056,85090921,86049725,87615397,99881227,142027838,98301538,246840000,247787000,187666000,165238000,150684000,127607000,103377000,74038000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799165/000110465906020103/a06-2214_110ksb.htm,https://www.sec.gov/Archives/edgar/data/799165/000110465907023188/a07-5662_110ksb.htm,https://www.sec.gov/Archives/edgar/data/799165/000110465908017689/a08-2648_110k.htm,https://www.sec.gov/Archives/edgar/data/799165/000110465909017936/0001104659-09-017936-index.html,https://www.sec.gov/Archives/edgar/data/799165/000110465910014581/0001104659-10-014581-index.html,https://www.sec.gov/Archives/edgar/data/799165/000110465911015399/a11-2132_110k.htm,https://www.sec.gov/Archives/edgar/data/799165/000110465912018471/0001104659-12-018471-index.html,https://www.sec.gov/Archives/edgar/data/799165/000110465913021268/0001104659-13-021268-index.html,https://www.sec.gov/Archives/edgar/data/799165/000110465914020007/a14-2710_110k.htm,https://www.sec.gov/Archives/edgar/data/799165/000119312515101893/0001193125-15-101893-index.htm,https://www.sec.gov/Archives/edgar/data/799165/000104746916011203/0001047469-16-011203-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837017001668/0001558370-17-001668-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837018001795/0001558370-18-001795-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837019001602/0001558370-19-001602-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837020002153/0001558370-20-002153-index.html,https://www.sec.gov/Archives/edgar/data/799165/000155837021003090/0001558370-21-003090-index.htm,https://www.sec.gov/Archives/edgar/data/799165/000155837022003931/0001558370-22-003931-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-600000,- -,-2652441,-1014007,1306039,1831602,-2073071,-1912064,-1148843,-1711509,555165,2932466,6200778,8111425,7607433,6898442,1879619,-1222682,10833215,15671879,-6316041,-8752777,-26279000,-39792000,-31266000,-24407000,-15213000,-13196000,-29091000
74,Depreciation and Amortization,-400000,-800000,1380071,813718,1425817,1778454,1885313,1644331,1617515,1522815,1314042,1106022,3201236,9540171,12743065,13911124,14621237,15343804,19214069,25502597,24644190,24375933,47072000,44283000,39235000,29959000,21826000,17174000,12863000
75,Deferred Income Tax,- -,- -,- -,- -,-170000,-32000,- -,202000,- -,- -,- -,- -,- -,1079794,1021969,4017000,717873,146550,2469953,359535,-3308713,-5516623,-14046000,-6053000,763000,-757000,-23000,10000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,508254,- -,601059,972711,995418,1156000,879000,976000,1368000,1206000,703000,- -
77,Change in Working Capital,-600000,-100000,-6712900,2927371,-962358,1377166,1963112,-762857,-117178,-348170,1462408,-473461,9099016,-8773769,4310917,11479746,326591,-3601746,6162641,-7640436,5492070,51547837,1793000,-10319000,-1433000,-9560000,-2376000,3788000,-15881000
78,Accounts Receivable,-1700000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6299590,-2352493,-7377921,-2442223,-16021574,24086780,4479495,15883000,19669000,-16696000,6744000,1118000,16866000,- -
79,Inventory,-200000,200000,-723455,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,700000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1638647,-1115265,1944647,2763004,4328707,-9439503,-1685651,-3128000,-4326000,1176000,-798000,-579000,-2276000,- -
81,Other Working Capital,2600000,2500000,-4212900,-1285529,-2247887,-870721,1092391,329534,212356,-135814,1326594,853133,9952149,1178380,5489297,16969043,17295634,13693888,19856529,12216093,17708163,69256000,71049000,60730000,59297000,49737000,47361000,51149000,35268000
82,Other Non-Cash Items,1500000,2200000,8157432,-737125,826822,-2695732,-1370936,445008,1084273,132764,-2264872,600727,-12761416,18727186,-10843970,-2446230,3152802,-6013897,-4505711,4788428,1485125,-44623401,10916000,19744000,-14978000,16268000,4060000,11162000,32109000
83,Cash Provided by Operating Activities,-100000,1300000,172162,1989957,2426320,2259490,404418,-383582,1435767,-404100,1066743,4165754,5739614,28684807,14839414,33860082,20698122,5160283,34174167,39283062,22969342,18026387,20612000,8742000,-6703000,12871000,9480000,19641000,- -
84,CAPEX,-2900000,-3600000,-1105570,-3195330,-1685162,-376363,-9223,-543311,-250542,-70377,-314959,-2637991,-11491786,-21219238,-13008088,-6322048,-1349972,-8220293,-22011503,-31970418,-1848678,-3813607,-6846000,-8251000,-8675000,-15745000,-4396000,-61000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,12382000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10345000,- -,- -,- -,- -,- -,-26750000,-111000000,-37583000,-49000000,-24842000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,46300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34500000,91750000,61250000,55000000,33075000,- -,- -
88,Other Investing Activites,- -,- -,207617,-3168775,-1471235,-372963,- -,22508,6000,- -,19349,1250,133678,129689,346385,-6078536,-597164,-8055970,-21270845,-30265696,-667498,-4589989,-4345000,-3479000,-6879000,-14596000,-4048000,-512000,264000
89,Cash Used for Investing Activites,-2900000,-3600000,-895080,-3168775,-1471235,-372963,37077,-520803,-244542,-70377,-295610,-2636741,-11358108,-22889549,-12661703,-6078536,-10942164,-8055970,-21270845,-30265696,-667498,-4589989,15787000,-22729000,16788000,-8596000,4185000,-512000,264000
90,Debt Repayment,-100000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8173394,-8376694,-9549380,-10354265,-13419273,-15412123,-11752998,-17883000,-8334000,-3262000,-3879000,-11020000,-2326000,- -
91,Common Stock Issued,- -,- -,559857,- -,- -,- -,- -,- -,3766,- -,- -,26825,40105903,20801,29333,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24038048,- -,-262571,- -,- -,- -,-71,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-685710,-225870,-178043,- -,- -,- -,- -,-289830,-233271,-930,-926,-827,-385,-431,- -,-3099014,-939,-646000,- -,- -,- -,-1000,- -,- -,- -
94,Other Financing Activites,3700000,2200000,31792,1719230,-804120,-1078193,932223,-735158,-410161,-46364,-269032,-461325,-2546585,-5925769,-6828490,3200,9600,- -,181505,377381,416390,- -,4277000,-149000,-158000,6397000,-236000,-2208000,95000
95,Cash Used/Provided by Financing Activities,3600000,1900000,591649,1719230,-1489830,-1304063,754180,-735158,-406395,-46364,-269032,-724330,13287999,-5905898,-7062654,-8171021,-8367479,-9549811,-10172831,-16140906,-14996672,-12398998,-13606000,-8483000,-3420000,2517000,-11256000,-4534000,95000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1319,13852,-57435,-7775,210958,-212658,-428000,85000,724000,-76000,133000,89000,112000
97,Net Change In Cash,- -,- -,-131269,540412,-534745,582464,1195675,-1639543,784830,-520841,502101,804683,7669505,-110640,-4884943,19610525,1389798,-12431646,2673056,-7131315,7516130,-1486374,22365000,-22385000,7389000,6716000,2542000,14684000,- -
98,Cash at the End of Period,- -,- -,139991,655280,120535,702999,1898674,259131,1043961,523120,1025221,1829904,9499409,9388769,4503826,24114351,25504149,13072503,15745559,8614244,16130374,14644000,37009000,14624000,22013000,28729000,31271000,45955000,- -
99,Cash at the Beginning of Period,100000,600000,271260,114868,655280,120535,702999,1898674,259131,1043961,523120,1025221,1829904,9499409,9388769,4503826,24114351,25504149,13072503,15745559,8614244,16130374,14644000,37009000,14624000,22013000,28729000,31271000,45955000
100,Free Cash Flow,-3000000,-2300000,-933408,-1205373,741158,1883127,395195,-926893,1185225,-474477,751784,1527763,-5752172,7465569,1831326,27538034,19348150,-3060010,12162664,7312644,21120664,14212780,13766000,491000,-15378000,-2874000,5084000,19580000,- -
