,https://roic.ai/company/GFL,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,10000,7445000,574797000,27200000,190400000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,7445000,574797000,27200000,190400000
34,Net Receivables,318645000,574729000,713356000,867300000,1134700000
35,Inventory,23938000,42393000,50507000,57400000,82000000
36,Other Current Assets,57869000,56581000,81605000,76300000,88600000
37,Total Current Assets,400462000,681148000,1420265000,1028200000,1495700000
38,PP&E,1009281000,2436346000,2850062000,5074800000,6010600000
39,Goodwill,1443771000,4979301000,5173780000,6500400000,7501100000
40,Intangible Assets,582248000,2940298000,2848024000,3093400000,3330000000
41,Intangible Assets,2026019000,7919599000,8021804000,9593800000,10831100000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,11422000,34536000,31672000,33200000,36300000
45,Total Non-Current Assets,3046722000,10390481000,10903538000,14701800000,16878000000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,3447184000,11071629000,12323803000,15730000000,18373700000
48,Accounts Payable,312561000,606237000,732041000,1014800000,565700000
49,Short-Term Debt,9238000,53660000,97535000,101300000,137800000
50,Tax Payable,500000,3855000,2885000,9100000,25800000
51,Deferred Revenue,- -,- -,- -,- -,198700000
52,Other Current Liabilities,17518000,21476000,35509000,77200000,620200000
53,Total Current Liabilities,339317000,681373000,865085000,1193300000,1522400000
54,Long-Term Debt,2452294000,6235004000,7719532000,7643100000,9468800000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,114391000,759139000,733787000,466000000,723900000
57,Other Non-Current Liabilities,32191000,203503000,237466000,748300000,882500000
58,Total Non-Current Liabilities,2598876000,7197646000,8690785000,8857400000,11075200000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,192022000,191200000,308300000
61,Total Liabilities,2938193000,7879019000,9555870000,10050700000,12597600000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,879536000,3470358000,3524532000,7644800000,8462900000
64,Retained Earnings,-381672000,-318663000,-770316000,-1778300000,-2510500000
65,Other Comprehensive Income/Loss,-9934000,38955000,-2726000,-241500000,-253700000
66,Other Total Stockholders Equity,21061000,- -,- -,54300000,77400000
67,Total Stockholders Equity,508991000,3192610000,2767933000,5679300000,5776100000
68,Total Liabilities And Stockholders Equity,3447184000,11071629000,12323803000,15730000000,18373700000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3447184000,11071629000,12323803000,15730000000,18373700000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-100982000,- -,-451653000,-994900000,-606800000
74,Depreciation and Amortization,239073000,- -,799462000,1237600000,1393000000
75,Deferred Income Tax,-38975000,- -,-157568000,-360900000,-106000000
76,Stock Based Compensation,5094000,- -,14483000,37900000,45700000
77,Change in Working Capital,-30158000,- -,-74864000,5200000,-46100000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,44823000,- -,13280000,- -,114300000
81,Other Working Capital,- -,- -,-14306000,- -,- -
82,Other Non-Cash Items,52315000,- -,121140000,577300000,218100000
83,Cash Provided by Operating Activities,126367000,- -,251000000,502200000,897900000
84,CAPEX,-203141000,- -,-457790000,-428300000,-647200000
85,Acquisitions Net,-240106000,- -,-729890000,-3941200000,-2299700000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,12276000,- -,20806000,16000000,259700000
89,Cash Used for Investing Activites,-430971000,- -,-1166874000,-4353500000,-2687200000
90,Debt Repayment,-587966000,- -,-1638311000,-6322200000,-2151700000
91,Common Stock Issued,- -,- -,- -,5049600000,372500000
92,Common Stock Repurchased,- -,- -,-5761000,- -,- -
93,Dividends Paid,- -,- -,- -,-13100000,-17900000
94,Other Financing Activites,879149000,- -,3123113000,4624000000,3761800000
95,Cash Used/Provided by Financing Activities,291183000,- -,1479041000,3338300000,1964700000
96,Effect of Forex Changes on Cash,-1073000,- -,4185000,-34600000,-12200000
97,Net Change In Cash,-14494000,- -,567352000,-547600000,163200000
98,Cash at the End of Period,10000,- -,574797000,27200000,190400000
99,Cash at the Beginning of Period,14504000,- -,7445000,574800000,27200000
100,Free Cash Flow,-76774000,- -,-206790000,73900000,250700000
101,SEC Link,- -,undefined,- -,- -,- -
102,Forex Rate,0.7948,undefined,0.77,0.7851,0.7913
