,https://roic.ai/company/OCFT,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,365773555,365773555,313095174,355277690,368304310
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,847767000,565027000,1077875000,3055194000,1399370000
32,Short-Term Investments,863266000,2540925000,1690967000,2064176000,2570376000
33,Cash and Short-Term Investments,1711033000,3105952000,2768842000,5119370000,3969746000
34,Net Receivables,352821000,756432000,1098521000,1136129000,1868221000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,1100000,3996238000,3791444000,2684218000,1060427000
37,Total Current Assets,2064954000,7858622000,7658807000,8939717000,6898394000
38,PP&E,160949000,319668000,314505000,224284000,244412000
39,Goodwill,- -,126015000,289161000,289161000,- -
40,Intangible Assets,367078000,632060000,687787000,627902000,- -
41,Intangible Assets,367078000,758075000,976948000,917063000,687194000
42,Investments,42253000,34452000,512277000,222844000,826521000
43,Tax Assets,370040000,348672000,423786000,564562000,683218000
44,Other Non-Current Assets,10266000,63120000,40998000,16788000,868000
45,Total Non-Current Assets,950586000,1523987000,2268514000,1945541000,2442213000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,3015540000,9382609000,9927321000,10885258000,9340607000
48,Accounts Payable,208501000,316496000,1075576000,1547781000,2137099000
49,Short-Term Debt,1538139000,3468552000,3218566000,2283307000,815260000
50,Tax Payable,- -,34487000,- -,- -,- -
51,Deferred Revenue,10363000,58383000,104960000,544400000,1504015000
52,Other Current Liabilities,1104479000,1278959000,540814000,791210000,706038000
53,Total Current Liabilities,2861482000,5122390000,4939916000,5166698000,5162412000
54,Long-Term Debt,- -,- -,- -,- -,- -
55,Deferred Revenue,15843000,7423000,12700000,17683000,19418000
56,Deferred Tax Liabilities,- -,18480000,33291000,20080000,9861000
57,Other Non-Current Liabilities,173099000,403228000,420873000,395514000,313834000
58,Total Non-Current Liabilities,188942000,429131000,466864000,433277000,343113000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,35893000,82452000,- -,- -,- -
61,Total Liabilities,3050424000,5551521000,5406780000,5599975000,5505525000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,60000,66000,73000,78000,78000
64,Retained Earnings,-1147040000,-2342752000,-4003318000,-5356926000,-6638625000
65,Other Comprehensive Income/Loss,1200376000,6151453000,8461637000,10639931000,10512631000
66,Other Total Stockholders Equity,-88280000,-88280000,-88280000,-87714000,-80102000
67,Total Stockholders Equity,-34884000,3720487000,4370112000,5195369000,3793982000
68,Total Liabilities And Stockholders Equity,3015540000,9272008000,9776892000,10795344000,9299507000
69,Minority Interest,- -,110601000,150429000,89914000,41100000
70,Total Liabilities & Equity,3015540000,9382609000,9927321000,10885258000,9340607000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-606956000,-1195712000,-1660566000,-1353608000,-1281699000
74,Depreciation and Amortization,287554000,354027000,459856000,421228000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,376000,7751000,76364000,89652000,- -
77,Change in Working Capital,383119000,67668000,-787546000,129812000,- -
78,Accounts Receivable,-15818000,-218290000,-445568000,-206372000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,515585000,130598000,-350268000,451688000,- -
81,Other Working Capital,26206000,39600000,-4184000,444423000,- -
82,Other Non-Cash Items,-292778000,277029000,94438000,8771000,877365000
83,Cash Provided by Operating Activities,-228685000,-489237000,-1817454000,-704145000,-404334000
84,CAPEX,-17986000,-459806000,-314460000,-265180000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-6150538000,-6102153000,-6196828000,-8983451000,- -
87,Sales/Maturities of Investments,6060116000,4427875000,6693129000,9468352000,- -
88,Other Investing Activites,-20698000,-4046372000,172328000,847880000,388435000
89,Cash Used for Investing Activites,-126841000,-5805478000,570839000,1315725000,388435000
90,Debt Repayment,-550432000,-6177670000,-4546175000,-3278215000,- -
91,Common Stock Issued,431257000,4409771000,2137257000,2722445000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1244310000,7767302000,4163475000,2089608000,-1611781000
95,Cash Used/Provided by Financing Activities,1125135000,5999403000,1754557000,1533838000,-1611781000
96,Effect of Forex Changes on Cash,- -,12572000,4906000,-168099000,-28144000
97,Net Change In Cash,769609000,-282740000,512848000,1977319000,-1655824000
98,Cash at the End of Period,847767000,565027000,1077875000,3055194000,1399370000
99,Cash at the Beginning of Period,78158000,847767000,565027000,1077875000,3055194000
100,Free Cash Flow,-246671000,-949043000,-2131914000,-969325000,-404334000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
