,https://roic.ai/company/AAP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,31829000,28116000,92789000,89113000,201985000,288234000,328758000,408492000,403350000,416429000,- -,414927000,584933000,664642000,657315000,660318000,851710000,825780000,787598000,570212000,604275000,677180000,- -,749907000
18,Operating Income ratio,0.0261,0.0139,0.0406,0.0354,0.0614,0.0825,0.0872,0.0958,0.0874,0.0860,- -,0.0807,0.0987,0.1077,0.1059,0.1017,0.0865,0.0848,0.0823,0.0608,0.0631,0.0697,- -,0.0742
19,Total Other Income Expenses (Gains),-34095000,-41034000,-65628000,-60612000,-78785000,-84523000,-23010000,-29569000,-33450000,-33829000,- -,-34235000,-27878000,-31406000,-33215000,-33918000,-70316000,-72892000,-48763000,-49953000,-49011000,-39434000,- -,-98892000
20,Income Before Tax,-2266000,- -,27161000,28501000,123200000,203711000,305748000,378923000,369900000,382600000,- -,380692000,557055000,633236000,624100000,626400000,781394000,752888000,738835000,520259000,555264000,637746000,- -,651015000
21,Income Before Tax Ratio,-0.0019,- -,0.0119,0.0113,0.0375,0.0583,0.0811,0.0888,0.0801,0.0790,- -,0.0740,0.0940,0.1026,0.1006,0.0965,0.0794,0.0773,0.0772,0.0555,0.0580,0.0657,- -,0.0644
22,Income Tax expense (Gain),- -,- -,10535000,11312000,47800000,78424000,117721000,144198000,138600000,144300000,- -,142654000,211002000,238554000,236400000,234600000,287569000,279490000,279213000,188554000,137072000,150850000,- -,157994000
23,Net Income,-2182000,-25326000,19559000,11442000,65000000,124935000,187988000,234725000,231300000,238300000,- -,238038000,346053000,394682000,387700000,391800000,493825000,473398000,459622000,475505000,423847000,486896000,- -,493021000
24,Net Income ratio,-0.0018,-0.0126,0.0085,0.0045,0.0198,0.0358,0.0499,0.0550,0.0501,0.0492,- -,0.0463,0.0584,0.0640,0.0625,0.0603,0.0502,0.0486,0.0480,0.0507,0.0442,0.0501,- -,0.0488
25,EPS,-0.04,-0.30,0.23,0.13,0.62,1.14,1.69,2.17,2.18,2.30,- -,2.51,4.00,5.21,5.29,5.36,6.75,6.45,6.22,6.44,5.75,6.87,- -,7.17
26,EPS Diluted,-0.04,-0.30,0.23,0.13,0.60,1.11,1.66,2.13,2.16,2.28,- -,2.50,3.95,5.11,5.22,5.32,6.71,6.40,6.20,6.42,5.73,6.84,- -,7.14
27,Weighted Average Shares Outstanding,55818000,84807000,84845196,85911000,105147000,109498500,110845500,108318000,106129000,103826000,- -,94655000,86082000,75620000,73091000,72930000,72932000,73190000,73562000,73846000,73728000,70869000,- -,68748000
28,Weighted Average Shares Outstanding Diluted,55818000,84807000,85789709,87474000,108564000,112114500,113221500,109987000,107124000,104654000,- -,95305000,87155000,77071000,74062000,73414000,73414000,73733000,73856000,74110000,73991000,71165000,- -,69003000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000101706203000555/0001017062-03-000555-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000115844907000040/aap10k.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844908000043/aap10k.htm,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000115844913000069/0001158449-13-000069-index.html,https://www.sec.gov/Archives/edgar/data/1158449/000115844914000058/aap_10kx12282013.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844915000063/0001158449-15-000063-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000115844918000039/0001158449-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/1158449/000115844919000043/0001158449-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1158449/000115844920000035/0001158449-20-000035-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1158449/000115844921000036/0001158449-21-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,36115000,22577000,18009000,18117000,13900000,11487000,56321000,40783000,11100000,14700000,- -,37358000,59209000,57901000,598100000,1112500000,104671000,90782000,135178000,546937000,896527000,418665000,- -,834992000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,36115000,22577000,18009000,18117000,13900000,11487000,56321000,40783000,11100000,14700000,- -,37358000,59209000,57901000,598100000,1112500000,104671000,90782000,135178000,546937000,896527000,418665000,- -,834992000
34,Net Receivables,- -,- -,80578000,93704000,102600000,84799000,101969000,94689000,97000000,85000000,- -,97203000,124227000,140007000,229900000,277600000,579825000,597788000,641252000,606357000,624972000,689469000,- -,749999000
35,Inventory,726172000,749447000,788914000,982000000,1048800000,1113781000,1201450000,1367099000,1463300000,1529500000,- -,1623088000,1863870000,2043158000,2308600000,2556600000,3936955000,4174768000,4325868000,4168492000,4362547000,4432168000,- -,4538199000
36,Other Current Assets,- -,- -,10274000,42027000,20200000,16387000,17687000,45369000,40600000,53600000,- -,49977000,76965000,52754000,47600000,42700000,119589000,77408000,70466000,105106000,198408000,155241000,- -,146811000
37,Total Current Assets,- -,- -,897775000,1135848000,1185500000,1226454000,1377427000,1547940000,1612000000,1682800000,- -,1807626000,2124271000,2293820000,3184200000,3989400000,4741040000,4940746000,5172764000,5426892000,6082454000,5695543000,- -,6270001000
38,PP&E,- -,- -,410960000,711282000,728400000,712702000,786212000,898851000,995000000,1047900000,- -,1071405000,1143170000,1223099000,1291800000,1284000000,1432030000,1434577000,1446340000,1394138000,1368985000,3798538000,- -,3842589000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,33700000,33700000,- -,34603000,34387000,76389000,76400000,199800000,995426000,989484000,990877000,994293000,990237000,992240000,- -,993590000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,67094000,27900000,26800000,- -,27567000,25360000,31380000,28800000,49900000,748125000,687125000,640903000,597674000,550593000,709756000,- -,681127000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,67094000,61600000,60500000,- -,62170000,59747000,107769000,105200000,249700000,1743551000,1676609000,1631780000,1591967000,1540830000,1701996000,- -,1674717000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,10100000,- -,- -,- -,10300000,700000,- -,- -,- -,- -,100200000,92000000,- -,- -,- -,303620000,318353000,334013000,- -,342445000
44,Other Non-Current Assets,- -,- -,47625000,103485000,41200000,43915000,38323000,28264000,3800000,13700000,- -,22864000,27029000,31066000,-67600000,-50300000,45737000,82633000,64149000,-234316000,-269974000,-281565000,- -,-290116000
45,Total Non-Current Assets,- -,- -,458585000,814767000,779700000,756617000,824535000,994209000,1070700000,1122800000,- -,1156439000,1229946000,1361934000,1429600000,1575400000,3221318000,3193819000,3142269000,3055409000,2958194000,5552982000,- -,5569635000
46,Other Assets,1265355000,1348629000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1265355000,1348629000,1356360000,1950615000,1965200000,1983071000,2201962000,2542149000,2682700000,2805600000,- -,2964065000,3354217000,3655754000,4613800000,5564800000,7962358000,8134565000,8315033000,8482301000,9040648000,11248525000,- -,11839636000
48,Accounts Payable,- -,- -,387852000,429041000,470700000,568275000,587948000,748599000,651600000,689000000,- -,791330000,1323761000,1653183000,2029800000,2180600000,3095365000,3203922000,3086177000,2894582000,3172790000,3421987000,- -,3640639000
49,Short-Term Debt,- -,- -,20627000,58463000,10690000,53305000,51884000,82930000,34273000,184159000,- -,157977000,973000,848000,627000,916000,582000,598000,306000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55662000,52480000,73158000,82179000,87473000,96098000,121860000,112930000,119203000,96834000,- -,100487000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303620000,318353000,334013000,- -,- -
52,Other Current Liabilities,- -,- -,167756000,206245000,241210000,232365000,321293000,309935000,427527000,352741000,- -,415687000,523315000,533844000,529173000,583284000,647119000,592957000,589563000,281895000,394807000,721702000,- -,1103276000
53,Total Current Liabilities,- -,- -,576235000,693749000,722600000,853945000,961125000,1141464000,1113400000,1225900000,- -,1364994000,1848049000,2187875000,2559600000,2764800000,3743066000,3797477000,3676046000,3480097000,3885950000,4477702000,- -,4743915000
54,Long-Term Debt,- -,- -,579921000,932022000,724800000,422780000,438300000,406040000,477200000,505100000,- -,455161000,300851000,415136000,604500000,1052700000,1636311000,1213161000,1042949000,1044327000,1045720000,747320000,- -,1032984000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342445000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51117000,- -,-94509000,-86638000,360903000,433925000,454282000,303620000,318353000,- -,- -,342445000
57,Other Non-Current Liabilities,- -,- -,43933000,36273000,49500000,75102000,80222000,74874000,61200000,50800000,- -,68744000,114826000,204829000,333509000,317738000,219166000,229354000,225564000,239061000,239812000,2474422000,- -,1818335000
58,Total Non-Current Liabilities,- -,- -,623854000,968295000,774300000,497882000,518522000,480914000,538400000,555900000,- -,523905000,466794000,619965000,843500000,1283800000,2216380000,1876440000,1722795000,1587008000,1603885000,3221742000,- -,3536209000
59,Other Liabilities,1106264000,1214675000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2017159000,- -,2014499000
61,Total Liabilities,1106264000,1214675000,1200089000,1662044000,1496900000,1351827000,1479647000,1622378000,1651800000,1781800000,- -,1888899000,2314843000,2807840000,3403100000,4048600000,5959446000,5673917000,5398841000,5067105000,5489835000,7699444000,- -,8280124000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,283000,3000,- -,7000,8000,11000,- -,- -,- -,10000,11000,11000,- -,- -,7000,7000,8000,8000,8000,8000,- -,8000
64,Retained Earnings,- -,- -,-216577000,-205294000,-140300000,-15340000,172648000,407373000,613200000,824500000,- -,1039628000,1612927000,1989629000,714900000,1089100000,1565341000,2021077000,2462935000,2920096000,3326155000,3772848000,- -,4196634000
65,Other Comprehensive Income/Loss,- -,- -,-191897000,-239204000,-1568000,-529000,814000,3090000,3472000,-701000,- -,-9349000,-1597000,2804000,2667000,3683000,-12337000,-44059000,-39701000,-24954000,-44193000,-34569000,- -,-26759000
66,Other Total Stockholders Equity,159091000,133954000,564462000,733066000,610268000,647106000,- -,- -,414228000,200001000,- -,44877000,-571967000,-1144530000,493133000,423417000,449901000,483623000,492950000,520046000,268843000,-189206000,- -,-610371000
67,Total Stockholders Equity,159091000,133954000,156271000,288571000,468356000,631244000,722315000,919771000,1030854000,1023795000,- -,1075166000,1039374000,847914000,1210694000,1516205000,2002912000,2460648000,2916192000,3415196000,3550813000,3549081000,- -,3559512000
68,Total Liabilities And Stockholders Equity,1265355000,1348629000,1356360000,1950615000,1965256000,1983071000,2201962000,2542149000,2682654000,2805595000,- -,2964065000,3354217000,3655754000,4613794000,5564805000,7962358000,8134565000,8315033000,8482301000,9040648000,11248525000,- -,11839636000
69,Minority Interest,- -,- -,- -,- -,-56000,- -,- -,- -,46000,5000,- -,- -,- -,- -,6000,-5000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1265355000,1348629000,1356360000,1950615000,1965200000,1983071000,2201962000,2542149000,2682700000,2805600000,- -,2964065000,3354217000,3655754000,4613800000,5564800000,7962358000,8134565000,8315033000,8482301000,9040648000,11248525000,- -,11839636000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000101706203000555/0001017062-03-000555-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000115844907000040/aap10k.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844908000043/aap10k.htm,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000115844913000069/0001158449-13-000069-index.html,https://www.sec.gov/Archives/edgar/data/1158449/000115844914000058/aap_10kx12282013.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844915000063/0001158449-15-000063-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000115844918000039/0001158449-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/1158449/000115844919000043/0001158449-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1158449/000115844920000035/0001158449-20-000035-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1158449/000115844921000036/0001158449-21-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2182000,-25326000,19559000,11442000,65000000,124935000,187988000,234725000,231300000,238300000,- -,238038000,346053000,394682000,387700000,391800000,493825000,473398000,459622000,475505000,423847000,486896000,- -,493021000
74,Depreciation and Amortization,- -,- -,80726000,97555000,110702000,105847000,105959000,120558000,139957000,147500000,- -,146940000,164437000,175949000,189544000,207795000,284693000,269476000,258387000,249260000,238184000,238371000,- -,250081000
75,Deferred Income Tax,- -,- -,683000,-3023000,57875000,53742000,6508000,2790000,-6562000,-20535000,- -,-2702000,40503000,53037000,26893000,-2237000,48468000,-9219000,20213000,-151263000,15956000,23148000,- -,8136000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22311000,19553000,15236000,13191000,21705000,36929000,20452000,35267000,27760000,37438000,- -,45271000
77,Change in Working Capital,- -,- -,321540000,120559000,20801000,-90391000,43793000,-9826000,92124000,-41700000,- -,-14268000,-145369000,-170277000,518655000,600000000,-226626000,145295000,353449000,450077000,249709000,-978663000,- -,308245000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-39467000,13101000,-69481000,-64893000,-87669000,-130426000,-92239000,-66129000,- -,-130657000,-232003000,-179288000,-260298000,-203513000,-227657000,-244096000,-144603000,167548000,-206125000,-63130000,- -,-101449000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325839000,360678000,376631000,113497000,216412000,119164000,-119325000,-197168000,285493000,245785000,- -,216488000
81,Other Working Capital,- -,- -,321540000,442099000,462900000,372509000,416302000,406476000,498600000,456900000,- -,442632000,276222000,105945000,624600000,1224600000,997974000,1143269000,1496718000,1946795000,2196504000,1217841000,- -,1526086000
82,Other Non-Cash Items,46204000,4350000,-318557000,-122997000,-11382000,161788000,-80454000,-23036000,-123215000,86977000,- -,110731000,238224000,355905000,-452747000,-665299000,86926000,-226237000,-611249000,-458041000,-144428000,1059719000,- -,-135066000
83,Cash Provided by Operating Activities,44022000,-20976000,103951000,103536000,242996000,355921000,263794000,325211000,333604000,410542000,- -,478739000,666159000,828849000,685281000,545250000,708991000,689642000,500874000,600805000,811028000,866909000,- -,969688000
84,CAPEX,- -,- -,-70566000,-63695000,-98186000,-101177000,-179766000,-216214000,-258586000,-210600000,- -,-184986000,-199585000,-268129000,-271182000,-195757000,-228446000,-234747000,-259559000,-189758000,-193715000,-471648000,- -,-267806000
85,Acquisitions Net,- -,- -,- -,-389953000,-13176000,- -,- -,-99300000,-12500000,- -,- -,- -,- -,-23133000,-8369000,-186137000,-2060783000,-18889000,-4697000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-230672000,-113824000,5626000,2640000,33357000,15703000,12944000,12734000,12444000,8457000,- -,3377000,235000,1288000,6573000,19787000,992000,270000,2212000,11119000,1888000,-192810000,- -,679000
89,Cash Used for Investing Activites,-230672000,-113824000,-64940000,-451008000,-78005000,-85474000,-166822000,-302780000,-258642000,-202143000,- -,-181609000,-199350000,-289974000,-272978000,-362107000,-2288237000,-253366000,-262044000,-178639000,-191827000,-462939000,- -,-266897000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-276148000,-1351848000,-180959000,-2926000,-1654800000,-1044622000,-965173000,-534400000,- -,-310047000,- -,-1102568000
91,Common Stock Issued,- -,- -,1602000,2381000,106027000,25407000,20470000,28696000,17203000,42547000,- -,35220000,- -,- -,- -,- -,- -,- -,- -,4076000,3200000,3334000,- -,3270000
92,Common Stock Repurchased,- -,- -,- -,-550000,- -,- -,-146370000,-101594000,-137560000,-282910000,- -,-219429000,-622442000,-631149000,-27095000,-80795000,-5154000,-6665000,-18393000,-6498000,-281354000,-498435000,- -,-469691000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-19153000,-25152000,- -,-23181000,-21051000,-18554000,-17596000,-17574000,-17580000,-17649000,-17738000,-17854000,-17819000,-17185000,- -,-56347000
94,Other Financing Activites,207302000,121262000,-45181000,345749000,-275250000,-298252000,73762000,34929000,34893000,60642000,- -,-67036000,412023000,1461368000,353557000,432512000,2253445000,622984000,806613000,539804000,32058000,-59820000,- -,1339339000
95,Cash Used/Provided by Financing Activities,207302000,121262000,-43579000,347580000,-169223000,-272845000,-52138000,-37969000,-104617000,-204873000,- -,-274426000,-507618000,-540183000,127907000,331217000,575911000,-445952000,-194691000,-14872000,-263915000,-882153000,- -,-285997000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4465000,-4213000,257000,4465000,-5696000,321000,- -,-467000
97,Net Change In Cash,207302000,121262000,-4568000,108000,-4232000,-2398000,44834000,-15538000,-29655000,3526000,- -,22704000,-40809000,-1308000,540210000,514360000,-1007800000,-13889000,44396000,411759000,349590000,-477862000,- -,416327000
98,Cash at the End of Period,- -,- -,18009000,18117000,13885000,11487000,56321000,40783000,11128000,14654000,- -,37358000,59209000,57901000,598111000,1112471000,104671000,90782000,135178000,546937000,896527000,418665000,- -,834992000
99,Cash at the Beginning of Period,- -,- -,22577000,18009000,18117000,13885000,11487000,56321000,40783000,11128000,- -,14654000,100018000,59209000,57901000,598111000,1112471000,104671000,90782000,135178000,546937000,896527000,- -,418665000
100,Free Cash Flow,44022000,-20976000,33385000,39841000,144810000,254744000,84028000,108997000,75018000,199942000,- -,293753000,466574000,560720000,414099000,349493000,480545000,454895000,241315000,411047000,617313000,395261000,- -,701882000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000101706203000555/0001017062-03-000555-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000115844907000040/aap10k.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844908000043/aap10k.htm,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000115844913000069/0001158449-13-000069-index.html,https://www.sec.gov/Archives/edgar/data/1158449/000115844914000058/aap_10kx12282013.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844915000063/0001158449-15-000063-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1158449/000115844918000039/0001158449-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/1158449/000115844919000043/0001158449-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1158449/000115844920000035/0001158449-20-000035-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1158449/000115844921000036/0001158449-21-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
