,https://roic.ai/company/GWRE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,33664000,21182000,25313000,2569000,3845000,6395000,1800000,9745000,19892000,23758000,23527000,14685000,7237000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1200000,1373000,774000,4529000,5212000,4760000,4350000,3415000,2112000,774000,19641000,18585000,10201000
58,Total Non-Current Liabilities,34864000,22555000,26087000,7098000,9057000,11155000,6150000,13160000,22004000,329660000,360490000,482886000,476637000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130344000,126998000
61,Total Liabilities,99389000,85200000,108388000,100285000,83841000,106541000,110559000,132243000,185620000,554848000,592762000,708084000,776951000
62,Preferred Stock,36500000,36500000,36500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,5000,6000,7000,7000,7000,8000,8000,8000,8000,8000
64,Retained Earnings,-89449000,-73930000,-38371000,-23171000,-7788000,22970000,32855000,47831000,69055000,133505000,190047000,162956000,-66100000
65,Other Comprehensive Income/Loss,- -,- -,-6048000,-7254000,-2000000,-1000000,-6000000,-7000000,-6000000,-8000000,-8000000,-5246000,-6218000
66,Other Total Stockholders Equity,8300000,12284000,26070000,214382000,238211000,628709000,662526000,743097000,830218000,1298231000,1392146000,1499050000,1617204000
67,Total Stockholders Equity,-44648000,-25145000,18152000,183962000,228429000,650686000,689388000,783935000,893281000,1423744000,1574201000,1656768000,1544894000
68,Total Liabilities And Stockholders Equity,54741000,60055000,126540000,284247000,312270000,757227000,799947000,916178000,1078901000,1978592000,2166963000,2364852000,2321845000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,54741000,60055000,126540000,284247000,312270000,757227000,799947000,916178000,1078901000,1978592000,2166963000,2364852000,2321845000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528396/000119312512401959/0001193125-12-401959-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839613000025/0001528396-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839614000022/0001528396-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839615000019/0001528396-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839616000056/0001528396-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839617000025/0001528396-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839618000037/0001528396-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839619000032/0001528396-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839620000053/0001528396-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839621000095/0001528396-21-000095-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-10966000,15519000,35558000,15200000,15383000,14721000,9885000,14976000,21224000,-19665000,20732000,-27198000,-66507000
74,Depreciation and Amortization,1306000,1376000,2226000,2917000,4821000,6751000,7480000,8842000,18725000,35611000,39953000,42641000,36955000
75,Deferred Income Tax,- -,- -,-28117000,5362000,-3901000,-2718000,295000,-4568000,-1227000,15336000,-13998000,-11859000,-35789000
76,Stock Based Compensation,2789000,3354000,6680000,18258000,38399000,42538000,51375000,66131000,71794000,89614000,91516000,101817000,115009000
77,Change in Working Capital,18945000,8141000,17923000,156737000,-33969000,285735000,136191000,31354000,-72965000,481695000,105383000,15318000,-63049000
78,Accounts Receivable,-6252000,4957000,-6284000,-9325000,-8478000,-9276000,-12999000,-75000,-9750000,-40832000,-15057000,23878000,10820000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-125000,442000,577000,1059000,355000,393000,2266000,603000,1311000,16794000,-5521000,-1209000,3627000
81,Other Working Capital,-13523000,-5382000,12541000,169278000,135309000,421044000,557235000,588589000,515624000,997319000,1102702000,1118020000,1054971000
82,Other Non-Cash Items,-695000,-18856000,-6584000,-181380000,11814000,-271536000,-141549000,-16835000,99609000,-462132000,-127460000,-7653000,124968000
83,Cash Provided by Operating Activities,11379000,9534000,27686000,17094000,32547000,75491000,63677000,99900000,137160000,140459000,116126000,113066000,111587000
84,CAPEX,-1169000,-2238000,-2776000,-5619000,-9228000,-4993000,-6301000,-7111000,-6670000,-12011000,-48857000,-25660000,-28854000
85,Acquisitions Net,- -,- -,- -,- -,-15000000,- -,- -,-40000000,-188000000,-130000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-212035000,-687419000,-491626000,-652017000,-466712000,-859657000,-1209312000,-1282911000,-1035479000
87,Sales/Maturities of Investments,- -,- -,- -,- -,83567000,312149000,520997000,597405000,547630000,464143000,956736000,1302770000,1128524000
88,Other Investing Activites,149000,1198000,-5534000,2323000,3783000,-157000,- -,470000,-374000,-2672000,-3936000,-4283000,-9846000
89,Cash Used for Investing Activites,-1020000,-1040000,-8310000,-3296000,-148913000,-380420000,23070000,-101253000,-113342000,-537584000,-301433000,-5801000,64191000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,66000,785000,931000,143386000,- -,389949000,- -,- -,- -,220948000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-161319000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-10379000,-8621000,-17385000,-17351000,13454000,14630000,352052000,3954000,4955000,1932000
95,Cash Used/Provided by Financing Activities,66000,785000,931000,133007000,-8621000,372564000,-17351000,13454000,14630000,573000000,3954000,4955000,-159387000
96,Effect of Forex Changes on Cash,-539000,547000,1907000,-712000,-964000,699000,-5135000,-881000,1146000,-1911000,-1686000,648000,1550000
97,Net Change In Cash,9886000,9826000,22214000,146093000,-125951000,68334000,64261000,11220000,39594000,173964000,-183039000,112868000,17941000
98,Cash at the End of Period,27585000,37411000,59625000,205718000,79767000,148101000,212362000,223582000,263176000,437140000,254101000,366969000,384910000
99,Cash at the Beginning of Period,17699000,27585000,37411000,59625000,205718000,79767000,148101000,212362000,223582000,263176000,437140000,254101000,366969000
100,Free Cash Flow,10210000,7296000,24910000,11475000,23319000,70498000,57376000,92789000,130490000,128448000,67269000,87406000,82733000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528396/000119312512401959/0001193125-12-401959-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839613000025/0001528396-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839614000022/0001528396-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839615000019/0001528396-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839616000056/0001528396-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839617000025/0001528396-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839618000037/0001528396-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839619000032/0001528396-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839620000053/0001528396-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839621000095/0001528396-21-000095-index.htm
102,false,,,,,,,,,,,,,
