,https://roic.ai/company/FB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,250000000,- -,1500000000,- -,- -,- -,- -,- -,- -,- -,9631000000,12746000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,987000000,163000000,- -,- -,673000000,1039000000,- -,- -
57,Other Non-Current Liabilities,189000000,533000000,796000000,1325000000,1677000000,3101000000,2892000000,6417000000,5517000000,16230000000,6414000000,7227000000
58,Total Non-Current Liabilities,439000000,533000000,2296000000,1325000000,2664000000,3264000000,2892000000,6417000000,6190000000,17269000000,16045000000,19973000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,223000000,677000000,856000000,476000000,233000000,114000000,- -,- -,- -,10324000000,10654000000,13873000000
61,Total Liabilities,828000000,1432000000,3348000000,2425000000,4088000000,5189000000,5767000000,10177000000,13207000000,32322000000,31026000000,41108000000
62,Preferred Stock,615000000,615000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,606000000,1606000000,1659000000,3159000000,6099000000,9787000000,21670000000,33990000000,41981000000,55692000000,77345000000,69761000000
65,Other Comprehensive Income/Loss,-6000000,-6000000,2000000,14000000,-228000000,-455000000,-703000000,-227000000,-760000000,-489000000,927000000,-693000000
66,Other Total Stockholders Equity,1802000000,3743000000,10094000000,12297000000,30225000000,34886000000,38227000000,40584000000,42906000000,45851000000,- -,- -
67,Total Stockholders Equity,2162000000,4899000000,11755000000,15470000000,36096000000,44218000000,59194000000,74347000000,84127000000,101054000000,128290000000,124879000000
68,Total Liabilities And Stockholders Equity,2990000000,6331000000,15103000000,17895000000,40184000000,49407000000,64961000000,84524000000,97334000000,133376000000,159316000000,165987000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2990000000,6331000000,15103000000,17895000000,40184000000,49407000000,64961000000,84524000000,97334000000,133376000000,159316000000,165987000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/0001326801-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/fb-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/fb-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/0001326801-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/0001326801-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/0001326801-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/0001326801-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/0001326801-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/0001326801-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,606000000,1000000000,53000000,1500000000,2940000000,3688000000,10217000000,15934000000,22112000000,18485000000,29146000000,39370000000
74,Depreciation and Amortization,139000000,323000000,649000000,1011000000,1243000000,1945000000,2342000000,3025000000,4315000000,5741000000,6862000000,7967000000
75,Deferred Income Tax,23000000,433000000,-186000000,-37000000,-210000000,-795000000,-457000000,-377000000,286000000,-37000000,-1192000000,609000000
76,Stock Based Compensation,20000000,217000000,1572000000,906000000,1786000000,2960000000,3218000000,3723000000,4152000000,4836000000,6536000000,9164000000
77,Change in Working Capital,-93000000,1848000000,6510000000,1755000000,276000000,7481000000,11799000000,13277000000,-1340000000,7709000000,-2723000000,700000000
78,Accounts Receivable,-209000000,-174000000,-170000000,-378000000,-610000000,-973000000,-1489000000,-1609000000,-1892000000,-1961000000,-1512000000,-3110000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,12000000,6000000,1000000,26000000,31000000,18000000,14000000,43000000,221000000,113000000,-17000000,1436000000
81,Other Working Capital,1857000000,3705000000,10215000000,11970000000,12246000000,19727000000,31526000000,44803000000,43463000000,51172000000,108000000,187000000
82,Other Non-Cash Items,3000000,-2272000000,-6986000000,-913000000,-578000000,-6680000000,-11011000000,-11366000000,-251000000,-420000000,118000000,-127000000
83,Cash Provided by Operating Activities,698000000,1549000000,1612000000,4222000000,5457000000,8599000000,16108000000,24216000000,29274000000,36314000000,38747000000,57683000000
84,CAPEX,-293000000,-606000000,-1235000000,-1362000000,-1831000000,-2523000000,-4491000000,-6733000000,-13915000000,-15102000000,-15115000000,-18567000000
85,Acquisitions Net,-22000000,-24000000,-911000000,-368000000,-4975000000,-313000000,-123000000,-122000000,-137000000,-508000000,-6749000000,-898000000
86,Purchases of Investments,- -,-3028000000,-10309000000,-7434000000,-9104000000,-15938000000,-22341000000,-25682000000,-14656000000,-23910000000,-33930000000,-30407000000
87,Sales/Maturities of Investments,- -,629000000,5433000000,6551000000,10347000000,9238000000,15155000000,12432000000,17130000000,19717000000,25771000000,42586000000
88,Other Investing Activites,-9000000,6000000,-2000000,-11000000,-350000000,102000000,61000000,67000000,-25000000,-61000000,-36000000,-284000000
89,Cash Used for Investing Activites,-324000000,-3023000000,-7024000000,-2624000000,-5913000000,-9434000000,-11739000000,-20038000000,-11603000000,-19864000000,-30059000000,-7570000000
90,Debt Repayment,-90000000,-431000000,-366000000,-1891000000,-243000000,-119000000,-312000000,- -,- -,-552000000,-604000000,-677000000
91,Common Stock Issued,500000000,998000000,6760000000,1478000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1976000000,-12879000000,-4202000000,-6272000000,-44537000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,371000000,631000000,-111000000,-254000000,1814000000,1701000000,2000000,-3259000000,-2693000000,-2545000000,-3416000000,-5514000000
95,Cash Used/Provided by Financing Activities,781000000,1198000000,6283000000,-667000000,1571000000,1582000000,-310000000,-5235000000,-15572000000,-7299000000,-10292000000,-50728000000
96,Effect of Forex Changes on Cash,-3000000,3000000,1000000,8000000,-123000000,-155000000,-63000000,233000000,-179000000,4000000,279000000,-474000000
97,Net Change In Cash,1152000000,-273000000,872000000,939000000,992000000,592000000,3996000000,-824000000,1920000000,9155000000,-1325000000,-1089000000
98,Cash at the End of Period,1785000000,1512000000,2384000000,3323000000,4315000000,4907000000,8903000000,8079000000,10124000000,19279000000,17954000000,16865000000
99,Cash at the Beginning of Period,633000000,1785000000,1512000000,2384000000,3323000000,4315000000,4907000000,8903000000,8204000000,10124000000,19279000000,17954000000
100,Free Cash Flow,405000000,943000000,377000000,2860000000,3626000000,6076000000,11617000000,17483000000,15359000000,21212000000,23632000000,39116000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/0001326801-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/fb-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/fb-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/0001326801-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/0001326801-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/0001326801-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/0001326801-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/0001326801-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/0001326801-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm
102,false,,,,,,,,,,,,
