,https://roic.ai/company/IGEN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-340,-1338,5495,10,-10,10,- -,- -,- -,0
45,Total Non-Current Assets,- -,- -,- -,- -,1770000,300000,260000,390000,771540,523160,512890,508370,505510,505510,1,1
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,60000,10000,- -,- -,1770000,520000,410000,580000,1183940,644130,766380,640560,651580,531990,1,1
48,Accounts Payable,- -,- -,30000,320000,460000,60000,60000,140000,- -,- -,- -,- -,- -,- -,1,- -
49,Short-Term Debt,- -,- -,- -,- -,204954,- -,- -,- -,52592,116238,79998,127634,- -,21121,20523,0
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6379,4481,90000,90000,90000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,54484,56800,239168,- -,- -,207566,0,0
52,Other Current Liabilities,- -,- -,- -,40000,15046,20000,30000,20000,353004,573352,1184124,1719836,1130750,1075683,-20523,1
53,Total Current Liabilities,- -,- -,30000,360000,680000,80000,90000,160000,460080,746390,1503290,1847470,1130750,1304370,1,1
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,80000,80410,- -,- -,- -,- -,- -,- -,0
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73985,- -,- -,54899,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,110000,- -,- -,5,183580,77360,1,- -,0
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,190000,80410,- -,73990,183580,77360,54900,- -,0
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,30000,360000,680000,80000,90000,350000,540490,746390,1577280,2031050,1208110,1359270,1,1
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31927,52907,- -
63,Common Stock,20000,20000,90000,- -,10000,10000,10000,20000,25820,28220,32390,39220,66720,74240,1,1
64,Retained Earnings,- -,-50000,-90000,-420000,-3400000,-4280000,-4720000,-5310000,-6062420,-7675550,-8925630,-10223290,-11049500,-11630660,- -,-19
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-2596,-17624,-11871,-32349,-60910,- -,- -,- -,- -
66,Other Total Stockholders Equity,40000,43650,-32764,64659,4482414,4713051,5033392,5531833,6697673,7611507,8528014,8854488,10099372,10697218,-924018,17
67,Total Stockholders Equity,60000,13650,-32764,-355341,1092414,443051,323392,239237,643449,-47694,-397575,-1390492,-883408,-827275,-871110,-1
68,Total Liabilities And Stockholders Equity,60000,10000,-2764,4659,1772414,523051,413392,589237,1183939,698696,1179705,640558,324702,531995,-871109,1
69,Minority Interest,- -,- -,2764,-4659,-2414,-3051,-3392,-9237,1,-54566,-413325,2,326878,-5,871109,0
70,Total Liabilities & Equity,60000,10000,- -,- -,1770000,520000,410000,580000,1183940,644130,766380,640560,651580,531990,1,1
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393540/000118518512000812/0001185185-12-000812-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518513000857/0001185185-13-000857-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518514000997/0001185185-14-000997-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518515000922/0001185185-15-000922-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518516004256/0001185185-16-004256-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518517000941/0001185185-17-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033418000764/0001640334-18-000764-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033419000626/0001640334-19-000626-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033420001364/0001640334-20-001364-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033421000741/0001640334-21-000741-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033422000629/0001640334-22-000629-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-50000,-50000,-320000,-2980000,-880000,-440000,-590000,-748220,-1613130,-836760,-1297660,-1175320,-479070,-2639472,-3428937
74,Depreciation and Amortization,- -,- -,- -,- -,- -,108,2380,3578,17418,18407,10279,4360,3600,- -,- -,5438
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,716656,390000,- -,149868,49625,480178,52702,167772,8446,64712,292449,2602191
77,Change in Working Capital,- -,-50000,-40000,-330000,-320000,820000,-80000,-30000,-77680,-577740,-624380,-465480,730600,-293210,1277889,0
78,Accounts Receivable,- -,- -,- -,- -,- -,-2950,-103944,-60828,-13973,99062,- -,- -,24172,- -,- -,-3924
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,7210,-15541,12417,15004,-34472,32360,-16122,-50727
80,Accounts Payable,- -,- -,32911,322463,- -,- -,- -,- -,- -,- -,- -,- -,-69638,- -,- -,4013
81,Other Working Capital,60000,10000,-30000,-360000,-680000,140000,60000,30000,-47680,-625420,-1249800,-1715280,-984680,-1277890,-1,-1
82,Other Non-Cash Items,-10000,55100,78997,649886,2404057,-566534,105613,174803,334418,1364638,1092806,907182,-742317,49995,194873,-141652
83,Cash Provided by Operating Activities,-10000,-44900,-11003,-114,-179287,-236426,-412007,-291751,-424439,-327647,-305353,-683826,-1174991,-657573,-874261,-962960
84,CAPEX,- -,- -,- -,- -,-467000,- -,-8273,-347,-2381,-2763,- -,- -,-747,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-1078,-50340,- -,42672,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-467000,- -,- -,- -,- -,-10434,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-467000,-51078,-58613,-347,40291,-13197,- -,- -,-747,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-20911,- -,- -,- -,- -,-45369,-80678,-151580,- -,-50000,-5438
91,Common Stock Issued,- -,- -,- -,- -,360000,505000,- -,40000,431192,258163,325742,450000,1294593,135000,202973,470500
92,Common Stock Repurchased,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147653
94,Other Financing Activites,- -,- -,- -,- -,287000,- -,309167,230500,- -,54000,50545,329250,- -,465750,748019,683249
95,Cash Used/Provided by Financing Activities,60000,- -,- -,- -,647000,484089,309167,270500,431192,312163,330918,698572,1143013,600750,900992,1000658
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-2596,-2381,5924,-19132,-26131,35910,- -,- -,- -
97,Net Change In Cash,60000,-44900,-11003,-114,713,196585,-161453,-24194,44663,-22757,6433,-11385,3185,600750,900992,37698
98,Cash at the End of Period,60000,11150,147,33,746,197331,35878,11684,56347,33590,40023,28638,56823,- -,26731,64429
99,Cash at the Beginning of Period,- -,56050,11150,147,33,746,197331,35878,11684,56347,33590,40023,53638,56823,- -,26731
100,Free Cash Flow,-10000,-44900,-11003,-114,-646287,-236426,-420280,-292098,-426820,-330410,-305353,-683826,-1175738,-657573,-874261,-962960
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393540/000118518512000812/0001185185-12-000812-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518513000857/0001185185-13-000857-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518514000997/0001185185-14-000997-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518515000922/0001185185-15-000922-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518516004256/0001185185-16-004256-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518517000941/0001185185-17-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033418000764/0001640334-18-000764-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033419000626/0001640334-19-000626-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033420001364/0001640334-20-001364-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033421000741/0001640334-21-000741-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033422000629/0001640334-22-000629-index.htm
102,false,,,,,,,,,,,,,,,,
