,https://roic.ai/company/SINT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-9170433,4274851,253000,-1737000,-658000,-617000,-1137000,-61000,1381000,1751000,-1651000
90,Debt Repayment,-1860000,-2000000,-13513000,-19810000,-2949000,-6643000,-6816000,-2282000,-3000,-27000,-401000
91,Common Stock Issued,- -,- -,- -,26689000,4337000,5149000,3128000,601000,1451000,19995000,196000
92,Common Stock Repurchased,- -,- -,- -,- -,-120000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,25609633,6865679,22747000,25348000,1691000,4711000,3129000,16082000,-54000,10957000,910000
95,Cash Used/Provided by Financing Activities,23749633,4865679,9234000,32227000,2959000,3217000,-559000,14401000,1394000,30925000,705000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-328557,-589632,-462000,15968000,-6762000,-4570000,-6376000,4908000,-3660000,23564000,-11078000
98,Cash at the End of Period,3330932,2741300,2279000,18247000,11485000,6915000,539000,5447000,1787000,25351000,14273000
99,Cash at the Beginning of Period,3659489,3330932,2741000,2279000,18247000,11485000,6915000,539000,5447000,1787000,25351000
100,Free Cash Flow,-16269546,-10323055,-12281000,-16694000,-9758000,-7841000,-5866000,-9409000,-6582000,-9472000,-13871000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1269026/000156459015001941/0001564590-15-001941-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315216008221/0001493152-16-008221-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315217010752/0001493152-17-010752-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315218004186/0001493152-18-004186-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315219003059/0001493152-19-003059-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315220004745/0001493152-20-004745-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315221006489/0001493152-21-006489-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315222007776/0001493152-22-007776-index.htm
102,false,,,,,,,,,,,
