,https://roic.ai/company/VKTX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,775,2269450,237455,560879,269613,179000,157000,- -,109000
45,Total Non-Current Assets,- -,775,2269450,237455,560879,269613,179000,755000,- -,134000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,398000,- -
47,Total Assets,- -,180394,3043134,15439103,14535708,22121411,302312000,284256000,256502000,210662000
48,Accounts Payable,54029,74090,1830724,592414,1203888,1529935,959000,2431000,3988000,1444000
49,Short-Term Debt,- -,46894,304274,- -,3269582,3450540,- -,302000,330000,29000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,350,6507,20382084,1384398,2003064,3676100,3591000,4044000,7811000,7305000
53,Total Current Liabilities,54379,127491,22517082,1976812,6476534,8656575,4550000,6777000,12129000,8778000
54,Long-Term Debt,42750,231851,1264114,2151540,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,8286,71656,1390469,2585753,16307,- -,12000,360000,- -,- -
58,Total Non-Current Liabilities,51036,303507,2654583,4737293,16307,- -,12000,360000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,662000,359000,29000
61,Total Liabilities,105415,430998,25171665,6714105,6492841,8656575,4562000,7137000,29000,8778000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,50,52,60,97,208,358,1000,1000,1000,1000
64,Retained Earnings,-111027,-257274,-22141457,-45545445,-60277267,-80854932,-102918000,-128697000,- -,-223182000
65,Other Comprehensive Income/Loss,- -,- -,- -,-7370,-6892,-19769,-423000,12000,-54000,-549000
66,Other Total Stockholders Equity,5562,6618,12866,54277716,68326818,94339179,401090000,405803000,244397000,425614000
67,Total Stockholders Equity,-105415,-250604,-22128531,8724998,8042867,13464836,297750000,277119000,244344000,201884000
68,Total Liabilities And Stockholders Equity,- -,180394,3043134,15439103,14535708,22121411,302312000,284256000,244373000,210662000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,12129000,- -
70,Total Liabilities & Equity,- -,180394,3043134,15439103,14535708,22121411,302312000,284256000,256502000,210662000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1607678/000156459016014212/0001564590-16-014212-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459017004911/0001564590-17-004911-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459018004757/0001564590-18-004757-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459019007584/0001564590-19-007584-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459020006766/0001564590-20-006766-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459021006406/0001564590-21-006406-index.htm,https://www.sec.gov/Archives/edgar/data/1607678/000156459022004429/0001564590-22-004429-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-146247,-21884183,-23403988,-14731822,-20577665,-22063000,-25779000,-39495,-54990000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,260000,3808000,296000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,6258,2601448,1794327,1451465,2608000,3743000,5818000,6100000
77,Change in Working Capital,- -,25444,-21795526,34968234,-5726541,5696928,284387777,-20859000,-32749000,-2927000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,20062,190296,219237,677185,263509,-508000,1472000,1555000,-2544000
81,Other Working Capital,- -,52128,-21743398,13224836,7498295,13195223,297583000,276724000,243975000,- -
82,Other Non-Cash Items,- -,42568,42082028,-22897188,7592773,-1328495,-283687777,17883000,1385495,3935000
83,Cash Provided by Operating Activities,- -,-78235,-1591423,-8731494,-11071263,-14757767,-18755000,-24752000,-21777000,-47586000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-16033042,-16922235,-22525707,-348204000,-362406000,-280636000,-168015000
87,Sales/Maturities of Investments,- -,- -,- -,2563000,19952000,20796000,82475000,369869000,322203000,205975000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-13470042,3029765,-1729707,-265729000,7463000,41567000,37960000
90,Debt Repayment,- -,- -,- -,- -,-94861,-77261,-3833000,- -,- -,- -
91,Common Stock Issued,- -,7,- -,25392500,11548518,22351890,296607000,- -,- -,- -
92,Common Stock Repurchased,- -,-2503,-2,-38,-229,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,260350,2167663,-3178233,-1104978,125821,7501000,887000,950000,6880000
95,Cash Used/Provided by Financing Activities,- -,257854,2167661,22214229,10348450,22400450,300275000,887000,950000,6880000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,576238,12693,2306952,5912976,15791000,-16402000,20740000,-2746000
98,Cash at the End of Period,- -,179619,755857,768550,3075502,8988478,24779000,8377000,29117000,26371000
99,Cash at the Beginning of Period,- -,- -,179619,755857,768550,3075502,8988000,24779000,8377000,29117000
100,Free Cash Flow,- -,-78235,-1591423,-8731494,-11071263,-14757767,-18755000,-24752000,-21777000,-47586000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1607678/000156459016014212/0001564590-16-014212-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459017004911/0001564590-17-004911-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459018004757/0001564590-18-004757-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459019007584/0001564590-19-007584-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459020006766/0001564590-20-006766-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459021006406/0001564590-21-006406-index.htm,https://www.sec.gov/Archives/edgar/data/1607678/000156459022004429/0001564590-22-004429-index.htm
102,false,,,,,,,,,,
