,https://roic.ai/company/TACO,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1585583/000114420414019351/0001144204-14-019351-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000114420415014106/0001144204-15-014106-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558316000016/0001585583-16-000016-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1585583/000158558317000010/0001585583-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558318000007/0001585583-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558320000014/0001585583-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558321000009/0001585583-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558322000009/0001585583-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-6539000,-1524869,4757000,- -,20913000,49871000,-118285000,-89738000,5721000
74,Depreciation and Amortization,19850000,- -,19525000,- -,22522000,22553000,47169000,48634000,- -
75,Deferred Income Tax,848000,- -,639000,- -,10741000,-22594000,-583000,-8040000,- -
76,Stock Based Compensation,1290000,- -,1498000,- -,4096000,4876000,6293000,5652000,- -
77,Change in Working Capital,-600000,-1486902,-26067812,- -,-3122000,-738000,-30759000,-13524000,-12886000
78,Accounts Receivable,- -,- -,8000,- -,- -,- -,- -,- -,- -
79,Inventory,-320000,- -,-265000,- -,88000,6000,-191000,324000,- -
80,Accounts Payable,-1633000,- -,-3309000,- -,-404000,2332000,-271000,-471000,- -
81,Other Working Capital,-4133286,-5620188,-31688000,- -,-34810000,-35548000,-53473000,-66997000,-79883000
82,Other Non-Cash Items,26476000,2163772,26816812,- -,2396000,3820000,145210000,116779000,7165000
83,Cash Provided by Operating Activities,41325000,-847999,27168000,- -,57546000,57788000,49045000,59763000,- -
84,CAPEX,-22292000,- -,-18593000,- -,-49744000,-51755000,-48528000,-22019000,- -
85,Acquisitions Net,- -,- -,-89827000,- -,- -,2192000,7187000,2558000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2295000,- -,135702000,- -,-1801000,7746000,7236000,1908000,- -
89,Cash Used for Investing Activites,-19997000,- -,27282000,- -,-47654000,-40689000,-29273000,-17553000,- -
90,Debt Repayment,-195062000,- -,-864000,- -,-20728000,-39087000,-55635000,-96218000,- -
91,Common Stock Issued,- -,- -,35000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,118703000,- -,-15314000,-13849000,-7373000,-4222000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,175535000,- -,-200476000,- -,24751000,33601000,37504000,64721000,- -
95,Cash Used/Provided by Financing Activities,-19527000,- -,-47637000,- -,-11291000,-19335000,-25504000,-35719000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1801000,-847999,6813000,- -,-1399000,-2236000,-5732000,6491000,- -
98,Cash at the End of Period,6071000,230467,7013000,- -,8795000,6559000,1421000,7912000,- -
99,Cash at the Beginning of Period,4270000,1078466,200000,- -,10194000,8795000,7153000,1421000,7912000
100,Free Cash Flow,19033000,-847999,-7340000,- -,7802000,6033000,517000,37744000,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1585583/000114420414019351/0001144204-14-019351-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000114420415014106/0001144204-15-014106-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558316000016/0001585583-16-000016-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1585583/000158558317000010/0001585583-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558318000007/0001585583-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558320000014/0001585583-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558321000009/0001585583-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558322000009/0001585583-22-000009-index.htm
102,false,,,,,,,,,
