,https://roic.ai/company/MTOR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,- -,- -,- -,547000000,904000000,909000000,844000000,719000000,610000000,518000000,720000000,328000000,313000000,339000000,351000000,279000000,268000000,272000000,290000000,285000000,264000000,308000000
53,Total Current Liabilities,- -,- -,- -,- -,1878000000,2273000000,2523000000,2549000000,2079000000,2137000000,1289000000,1390000000,1253000000,1028000000,1046000000,1038000000,868000000,757000000,1182000000,1084000000,936000000,726000000,900000000
54,Long-Term Debt,- -,- -,- -,- -,1541000000,1487000000,1451000000,1184000000,1130000000,1063000000,1080000000,1029000000,950000000,1042000000,1125000000,965000000,1036000000,982000000,750000000,730000000,902000000,1188000000,1008000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,30000000,6000000,- -,- -,- -,- -,101000000,100000000,103000000,99000000,12000000,12000000,16000000,15000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,871000000,830000000,963000000,741000000,966000000,937000000,1387000000,1483000000,1421000000,1312000000,1121000000,981000000,838000000,929000000,541000000,578000000,547000000,475000000,415000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,2412000000,2317000000,2414000000,1955000000,2102000000,2000000000,2467000000,2512000000,2371000000,2455000000,2346000000,2049000000,1973000000,1923000000,1303000000,1324000000,1464000000,1663000000,1423000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,4290000000,4590000000,4937000000,4504000000,4181000000,4137000000,3756000000,3902000000,3624000000,3483000000,3392000000,3087000000,2841000000,2680000000,2485000000,2408000000,2400000000,2389000000,2323000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,71000000,71000000,71000000,71000000,72000000,72000000,72000000,92000000,94000000,96000000,97000000,97000000,99000000,99000000,101000000,102000000,104000000,105000000,105000000
64,Retained Earnings,- -,- -,- -,- -,639000000,595000000,579000000,376000000,128000000,-7000000,-1247000000,-1220000000,-1157000000,-1105000000,-1127000000,-878000000,-814000000,-241000000,83000000,200000000,491000000,736000000,935000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1485000000,-1465000000,-1520000000,-1636000000,-1552000000,-1596000000,-969000000,-1019000000,-1014000000,-1005000000,-972000000,-973000000,-868000000,-830000000,-883000000,-899000000,-885000000,-961000000,-632000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,1674000000,1787000000,1745000000,2133000000,1895000000,1993000000,867000000,1093000000,1082000000,991000000,1152000000,1142000000,912000000,761000000,969000000,885000000,675000000,582000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,899000000,988000000,875000000,944000000,543000000,462000000,-1277000000,-1054000000,-995000000,-1023000000,-850000000,-612000000,-671000000,-211000000,270000000,288000000,385000000,462000000,574000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,5189000000,5578000000,5812000000,5448000000,4724000000,4599000000,2479000000,2848000000,2629000000,2460000000,2542000000,2475000000,2170000000,2469000000,2755000000,2696000000,2785000000,2851000000,2897000000
69,Minority Interest,- -,- -,- -,- -,64000000,61000000,58000000,65000000,65000000,75000000,29000000,31000000,34000000,41000000,28000000,27000000,25000000,25000000,27000000,30000000,30000000,33000000,41000000
70,Total Liabilities & Equity,- -,- -,- -,- -,5253000000,5639000000,5870000000,5513000000,4789000000,4674000000,2508000000,2879000000,2663000000,2501000000,2570000000,2502000000,2195000000,2494000000,2782000000,2726000000,2815000000,2884000000,2938000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1113256/000111325620000123/0001113256-20-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1113256/000111325621000128/0001113256-21-000128-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,194000000,218000000,35000000,107000000,136000000,-42000000,12000000,-175000000,-219000000,-101000000,-1212000000,12000000,63000000,52000000,-22000000,249000000,64000000,573000000,324000000,117000000,291000000,245000000,199000000
74,Depreciation and Amortization,131000000,162000000,217000000,196000000,214000000,183000000,182000000,172000000,129000000,145000000,81000000,70000000,66000000,63000000,67000000,67000000,65000000,67000000,75000000,84000000,87000000,101000000,103000000
75,Deferred Income Tax,17000000,32000000,-57000000,-33000000,-21000000,19000000,-119000000,-87000000,-36000000,109000000,671000000,-16000000,25000000,13000000,-4000000,-2000000,-24000000,-415000000,38000000,74000000,40000000,38000000,-13000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,7000000,6000000,5000000,8000000,10000000,9000000,19000000,20000000,18000000,7000000,20000000
77,Change in Working Capital,-50000000,-60000000,46000000,133000000,242000000,352000000,-66000000,-103000000,-234000000,5000000,-288000000,304000000,-125000000,64000000,68000000,-84000000,-80000000,-26000000,-32000000,26000000,138000000,277000000,-56000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-10000000,107000000,-1000000,-12000000,-59000000,-21000000,-32000000,-13000000,-68000000,- -,-62000000,-96000000,5000000,19000000,-9000000,4000000,28000000,-43000000,-112000000,9000000,100000000,-164000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000000,- -,-118000000,-31000000,-5000000,-70000000,-89000000,133000000,97000000,-103000000,-186000000,139000000
81,Other Working Capital,- -,-60000000,-14000000,119000000,361000000,713000000,647000000,544000000,310000000,315000000,27000000,331000000,206000000,270000000,338000000,254000000,174000000,148000000,116000000,142000000,280000000,557000000,30000000
82,Other Non-Cash Items,-30000000,-124000000,364000000,-219000000,-316000000,-293000000,-41000000,633000000,396000000,5000000,453000000,-166000000,5000000,-121000000,-210000000,-23000000,62000000,-4000000,-248000000,-70000000,-318000000,-403000000,-56000000
83,Cash Provided by Operating Activities,262000000,228000000,605000000,184000000,255000000,219000000,-32000000,440000000,36000000,163000000,-295000000,211000000,41000000,77000000,-96000000,215000000,97000000,204000000,176000000,251000000,256000000,265000000,197000000
84,CAPEX,-170000000,-225000000,-206000000,-184000000,-193000000,-152000000,-146000000,-150000000,-120000000,-172000000,-111000000,-56000000,-105000000,-89000000,-54000000,-77000000,-79000000,-93000000,-95000000,-104000000,-103000000,-85000000,-90000000
85,Acquisitions Net,- -,-74000000,- -,-25000000,-88000000,-3000000,-31000000,-6000000,-2000000,-57000000,- -,- -,- -,- -,182000000,- -,-16000000,- -,-34000000,213000000,-174000000,-13000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-17000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,18000000,- -,- -,5000000,5000000,6000000,- -,- -,- -,182000000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-692000000,99000000,-4000000,11000000,109000000,17000000,202000000,283000000,213000000,64000000,8000000,-64000000,-172000000,-40000000,-227000000,-70000000,-71000000,-86000000,-93000000,-102000000,-97000000,-76000000,-98000000
89,Cash Used for Investing Activites,-692000000,-200000000,-210000000,-198000000,-172000000,-120000000,25000000,110000000,96000000,-160000000,14000000,-64000000,-172000000,-40000000,137000000,-70000000,-87000000,-86000000,-127000000,111000000,-271000000,-89000000,-98000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-203000000,-299000000,- -,-86000000,-475000000,-439000000,-199000000,-55000000,-511000000,-224000000,-62000000,-320000000,-524000000
91,Common Stock Issued,- -,- -,- -,22000000,- -,6000000,6000000,1000000,28000000,- -,- -,209000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-6000000,-172000000,-48000000,-18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55000000,-81000000,- -,-100000000,-96000000,-241000000,-59000000
93,Dividends Paid,-29000000,-35000000,-51000000,-27000000,-29000000,-28000000,-28000000,-28000000,-29000000,-29000000,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,476000000,245000000,-303000000,-9000000,-27000000,-55000000,76000000,-364000000,-97000000,126000000,105000000,187000000,6000000,88000000,499000000,227000000,212000000,-16000000,389000000,-5000000,169000000,597000000,269000000
95,Cash Used/Provided by Financing Activities,441000000,38000000,-402000000,-32000000,-56000000,-77000000,54000000,-391000000,-98000000,97000000,-106000000,97000000,6000000,2000000,24000000,-212000000,-42000000,-152000000,-122000000,-329000000,11000000,36000000,-314000000
96,Effect of Forex Changes on Cash,-8000000,-18000000,-8000000,1000000,20000000,7000000,8000000,4000000,25000000,-12000000,-15000000,4000000,-1000000,1000000,-4000000,-4000000,-22000000,1000000,1000000,-6000000,-3000000,-5000000,1000000
97,Net Change In Cash,3000000,48000000,-15000000,-45000000,47000000,29000000,55000000,163000000,59000000,88000000,-402000000,248000000,-126000000,40000000,61000000,-71000000,-54000000,-33000000,-72000000,27000000,-7000000,207000000,-214000000
98,Cash at the End of Period,68000000,116000000,101000000,56000000,103000000,132000000,187000000,350000000,409000000,497000000,95000000,343000000,217000000,257000000,318000000,247000000,193000000,160000000,88000000,115000000,108000000,315000000,101000000
99,Cash at the Beginning of Period,65000000,68000000,116000000,101000000,56000000,103000000,132000000,187000000,350000000,409000000,497000000,95000000,343000000,217000000,257000000,318000000,247000000,193000000,160000000,88000000,115000000,108000000,315000000
100,Free Cash Flow,92000000,3000000,399000000,- -,62000000,67000000,-178000000,290000000,-84000000,-9000000,-406000000,155000000,-64000000,-12000000,-150000000,138000000,18000000,111000000,81000000,147000000,153000000,180000000,107000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1113256/000111325620000123/0001113256-20-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1113256/000111325621000128/0001113256-21-000128-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
