,https://roic.ai/company/APPS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/317788/000114420408022560/v108119_10ksb.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420408040026/v119667_10kt.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420409037286/v154713_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420410037919/v190564_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420411042003/v229592_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420412037402/v316695_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000119312513279804/0001193125-13-279804-index.html,https://www.sec.gov/Archives/edgar/data/317788/000119312514256053/0001193125-14-256053-index.html,https://www.sec.gov/Archives/edgar/data/317788/000156459015005080/0001564590-15-005080-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828016017110/0001628280-16-017110-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828017006453/0001628280-17-006453-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828018007821/0001628280-18-007821-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828019007512/0001628280-19-007512-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828020008824/0001628280-20-008824-index.htm,https://www.sec.gov/Archives/edgar/data/317788/000162828021012023/0001628280-21-012023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,146000,386000,3366,5742233,7254662,10900000,5927000,640000,845000,8799000,1149000,21805000,7069000,11231000,6149000,12720000,10894000,21534000,30778000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,146000,386000,3366,5742233,7254662,10900000,5927000,640000,845000,8799000,1149000,21805000,7069000,11231000,6149000,12720000,10894000,21534000,30778000
34,Net Receivables,587000,492000,- -,- -,- -,6200000,10745000,4711000,2699000,1190000,1995000,5102000,12173000,17519000,16554000,17050000,22707000,33135000,61985000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,288000,9000,- -,- -,- -,500000,1334000,7854000,296000,120000,848000,574000,950000,924000,962000,9985000,3522000,3778000,4622000
37,Total Current Assets,1021000,887000,3366,5742233,7254662,17600000,18006000,13205000,3840000,10109000,3992000,27481000,20192000,29674000,23665000,39755000,37123000,58447000,97385000
38,PP&E,9000,29000,- -,- -,- -,1000000,1230000,603000,388000,230000,148000,465000,614000,1784000,2377000,2757000,3430000,12420000,16545000
39,Goodwill,- -,- -,- -,- -,- -,61400000,55833000,8155000,6609000,3640000,3588000,4837000,76747000,76621000,76621000,42268000,42268000,69262000,80176000
40,Intangible Assets,149000,187000,- -,- -,- -,19800000,16121000,8195000,3366000,817000,4757000,9074000,24936000,12490000,4565000,1231000,- -,43882000,53300000
41,Intangible Assets,149000,187000,- -,- -,- -,81200000,71954000,16350000,9975000,4457000,8345000,13911000,101683000,89111000,81186000,43499000,42268000,113144000,133476000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,999000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3238000,82000,500000,352000,596000,40000,- -,12963000
44,Other Non-Current Assets,300000,35000,- -,- -,141258,300000,- -,16623000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,458000,251000,- -,- -,141258,82500000,73184000,33576000,10363000,4687000,8493000,17614000,102379000,92394000,83915000,46852000,45738000,125564000,162984000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1479000,1138000,3366,5742233,7395920,100100000,91190000,46781000,14203000,14796000,12485000,45095000,122571000,122068000,107580000,86607000,82861000,184011000,260369000
48,Accounts Payable,841000,159000,74424,98697,447337,2400000,9557000,4011000,3807000,3051000,3783000,2943000,8118000,15300000,19868000,19895000,14912000,31579000,34953000
49,Short-Term Debt,3289000,- -,- -,- -,- -,- -,23296000,26082000,115000,75000,3777000,- -,3600000,10560000,- -,1445000,- -,1188000,14557000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,265000,282000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1144000,- -,- -,- -,- -,6900000,9286000,8614000,3519000,2894000,2095000,8963000,12234000,13122000,10906000,25066000,23396000,50042000,61639000
53,Total Current Liabilities,5539000,441000,74424,98697,447337,9300000,42139000,38707000,7441000,6020000,9655000,11906000,23952000,38982000,30774000,46406000,38308000,82809000,111149000
54,Long-Term Debt,- -,3838000,- -,- -,- -,16500000,- -,- -,4144000,3077000,1252000,- -,7090000,- -,9685000,3873000,- -,18505000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1423000,- -,- -,- -,1300000,27000,- -,- -,- -,841000,238000,- -,815000,5076000,8656000,8195000,5243000,4108000
58,Total Non-Current Liabilities,- -,5261000,- -,- -,- -,17800000,27000,- -,4144000,3077000,2093000,238000,7090000,815000,14761000,12529000,8195000,23748000,4108000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5539000,5702000,74424,98697,447337,27100000,42166000,38707000,11585000,9097000,11748000,12144000,31042000,39797000,45535000,58935000,46503000,106557000,115257000
62,Preferred Stock,- -,- -,- -,100000,100000,- -,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
63,Common Stock,4000,- -,400,1673,2197,- -,4000,4000,4000,7000,7000,7000,7000,8000,8000,10000,10000,10000,10000
64,Retained Earnings,-161382000,-161886000,-171058,-767044,-2971155,-3300000,-44869000,-87352000,-96736000,-127443000,-141604000,-160308000,-184955000,-212987000,-237251000,-290108000,-296118000,-282218000,-227334000
65,Other Comprehensive Income/Loss,-5803000,-5820000,- -,- -,-1439928,200000,-129000,-419000,-291000,-194000,-266000,-199000,-52000,-202000,-321000,-325000,-356000,-591000,-903000
66,Other Total Stockholders Equity,163121000,163142000,99600,6308907,11257469,76100000,93918000,95741000,99541000,133229000,142500000,193351000,276429000,295352000,299509000,317995000,332722000,360153000,373239000
67,Total Stockholders Equity,-4060000,-4564000,-71058,5643536,6948583,73000000,49024000,8074000,2618000,5699000,737000,32951000,91529000,82271000,62045000,27672000,36358000,77454000,145112000
68,Total Liabilities And Stockholders Equity,1479000,1138000,3366,5742233,7395920,100100000,91190000,46781000,14203000,14796000,12485000,45095000,122571000,122068000,107580000,86607000,82861000,184011000,260369000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1479000,1138000,3366,5742233,7395920,100100000,91190000,46781000,14203000,14796000,12485000,45095000,122571000,122068000,107580000,86607000,82861000,184011000,260369000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/317788/000114420408022560/v108119_10ksb.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420408040026/v119667_10kt.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420409037286/v154713_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420410037919/v190564_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420411042003/v229592_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420412037402/v316695_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000119312513279804/0001193125-13-279804-index.html,https://www.sec.gov/Archives/edgar/data/317788/000119312514256053/0001193125-14-256053-index.html,https://www.sec.gov/Archives/edgar/data/317788/000156459015005080/0001564590-15-005080-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828016017110/0001628280-16-017110-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828017006453/0001628280-17-006453-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828018007821/0001628280-18-007821-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828019007512/0001628280-19-007512-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828020008824/0001628280-20-008824-index.htm,https://www.sec.gov/Archives/edgar/data/317788/000162828021012023/0001628280-21-012023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,128000,-504000,-171058,-553486,-2204111,-300000,-41600000,-42483000,-9384000,-30707000,-14161000,-18704000,-24647000,-28032000,-24264000,-52857000,-6010000,13900000,54884000
74,Depreciation and Amortization,1071000,406000,- -,- -,- -,250000,1518000,1612000,638000,429000,646000,1856000,2108000,10974000,8170000,2660000,2766000,2342000,7114000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,313000,2955000,1689000,326000,7302000,3566000,4693000,6340000,5962000,4146000,2978000,2531000,3353000,5877000
77,Change in Working Capital,-910000,4964000,-517058,5714594,1163789,1492675,-32433000,-1369000,21901000,7690000,-9752000,21238000,-19335000,-5548000,2199000,458000,5466000,-23177000,10598000
78,Accounts Receivable,- -,- -,- -,- -,- -,-1364000,4489000,38000,3303000,1521000,-260000,-734000,-406000,-5111000,833000,-7071000,-6040000,-2431000,-25378000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,352000,-3280000,-3849000,-497000,637000,513000,-893000,-379000,7308000,4568000,8108000,-4983000,16168000,-1897000
81,Other Working Capital,-4518000,446000,-71058,5643536,6807325,8300000,-24133000,-25502000,-3601000,4089000,-5663000,15575000,-3760000,-9308000,-7109000,-6651000,-1185000,-24362000,-13764000
82,Other Non-Cash Items,-460000,-4527000,591482,-5579241,220707,-4235675,64200000,37081000,-15390000,13457000,12836000,-16890000,21034000,9575000,2754000,53727000,-3484000,34959000,-15678000
83,Cash Provided by Operating Activities,-171000,339000,-96634,-418133,-819615,-2480000,-5360000,-3470000,-1909000,-1829000,-6865000,-7807000,-14500000,-7069000,-6995000,6966000,1269000,31377000,62795000
84,CAPEX,-12000,-199000,- -,- -,- -,-103000,-219000,-433000,-88000,-17000,-12000,-207000,-67000,-1549000,-1595000,-1992000,-2314000,-4845000,-9204000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-6934000,- -,-641000,- -,-3357000,-774000,1363000,- -,- -,- -,- -,-41872000,-28604000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,875000,999000,- -,- -,- -,- -
88,Other Investing Activites,-339000,- -,- -,- -,-141258,6253000,3380000,- -,-906000,- -,- -,- -,-2241000,-1549000,-1595000,-2134000,-2314000,-4845000,-9204000
89,Cash Used for Investing Activites,-351000,-199000,- -,- -,-141258,6150000,-3773000,-433000,-1635000,-17000,-3369000,-981000,-878000,-674000,-596000,-2134000,-2314000,-46717000,-37808000
90,Debt Repayment,- -,- -,- -,- -,- -,16000,- -,- -,- -,- -,- -,-3657000,- -,-600000,-11000000,-1098000,-1650000,- -,-20000000
91,Common Stock Issued,- -,- -,- -,6157000,2473302,- -,4354000,- -,- -,2700000,2550000,33297000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,225000,100000,100000,- -,- -,- -,-54000,- -,2500000,7000000,- -,- -,511000,12678000,13628000,2841000,734000,26175000,4784000
95,Cash Used/Provided by Financing Activities,225000,100000,100000,6157000,2473302,- -,4300000,- -,2500000,9700000,2550000,29640000,511000,12078000,2628000,1743000,-916000,26175000,-15216000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,10000,-176000,-133000,-2000,100000,34000,-196000,131000,-173000,-119000,-4000,-31000,-235000,-312000
97,Net Change In Cash,-297000,240000,- -,5738867,1512429,3680000,-5009000,-4036000,-1046000,7954000,-7650000,20656000,-14736000,4162000,-5082000,6571000,-1992000,10600000,9459000
98,Cash at the End of Period,-315000,386000,3366,5742233,7254662,10980000,5927000,1891000,845000,8799000,1149000,21805000,7069000,11231000,6149000,12720000,11059000,21659000,31118000
99,Cash at the Beginning of Period,-18000,146000,- -,3366,5742233,7300000,10936000,5927000,1891000,845000,8799000,1149000,21805000,7069000,11231000,6149000,13051000,11059000,21659000
100,Free Cash Flow,-183000,140000,-96634,-418133,-819615,-2580000,-5579000,-3903000,-1997000,-1846000,-6877000,-8014000,-14567000,-8618000,-8590000,4974000,-1045000,26532000,53591000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/317788/000114420408022560/v108119_10ksb.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420408040026/v119667_10kt.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420409037286/v154713_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420410037919/v190564_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420411042003/v229592_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000114420412037402/v316695_10k.htm,https://www.sec.gov/Archives/edgar/data/317788/000119312513279804/0001193125-13-279804-index.html,https://www.sec.gov/Archives/edgar/data/317788/000119312514256053/0001193125-14-256053-index.html,https://www.sec.gov/Archives/edgar/data/317788/000156459015005080/0001564590-15-005080-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828016017110/0001628280-16-017110-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828017006453/0001628280-17-006453-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828018007821/0001628280-18-007821-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828019007512/0001628280-19-007512-index.html,https://www.sec.gov/Archives/edgar/data/317788/000162828020008824/0001628280-20-008824-index.htm,https://www.sec.gov/Archives/edgar/data/317788/000162828021012023/0001628280-21-012023-index.htm
102,false,,,,,,,,,,,,,,,,,,,
