,https://roic.ai/company/BTCM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.39,0.08,0.03,0.66,0.71,-1.29,-0.69,-1.19,-1.60,-2.12,-0.80,-1.36
27,Weighted Average Shares Outstanding,24015369,23954713,24015369,23834268,33978282,38559021,41487276,40831012,41891129,42858630,43001126,43001126
28,Weighted Average Shares Outstanding Diluted,24445739,25708382,24445739,25972937,35784870,38559021,41487276,40831012,41891129,42858630,43001126,43001126
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517496/000114420415025260/v406535_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420416097132/v436563_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420417022867/v462802_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420418022893/tv491123_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420419020553/tv517885_20f.htm,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,63930000,31555000,544318000,485556000,400657000,673102000,529124000,435133000,361220000,308676000,17670000
32,Short-Term Investments,- -,4000000,- -,121085000,486085000,1266337000,904692000,120000000,100000000,23849000,- -,- -
33,Cash and Short-Term Investments,- -,67930000,31555000,665403000,971641000,1666994000,1577794000,649124000,535133000,385069000,308676000,17670000
34,Net Receivables,- -,174110000,227149000,98303000,112220000,25514000,108977000,36651000,49831000,37992000,20424000,737000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,66483000,71117000,146170000,172542000,19578000,20261000,51247000,16621000,7265000,6753000,80582000
37,Total Current Assets,- -,308523000,329821000,909876000,1256403000,1712086000,1707032000,737022000,601585000,430326000,335853000,98989000
38,PP&E,- -,13914000,38102000,36213000,41075000,44194000,53935000,106991000,97195000,100719000,29106000,79859000
39,Goodwill,- -,- -,- -,- -,- -,64899000,160438000,260366000,129752000,- -,- -,26569000
40,Intangible Assets,- -,1741000,2229000,3377000,3354000,200148000,61547000,291086000,214962000,4505000,2398000,76583000
41,Intangible Assets,- -,1741000,2229000,3377000,3354000,265047000,221985000,551452000,344714000,4505000,2398000,103152000
42,Investments,- -,- -,- -,- -,6652000,60332000,85459000,347073000,194375000,152954000,99972000,10051000
43,Tax Assets,- -,982000,841000,157000,343000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,12098000,8350000,8677000,11865000,2838000,8481000,12021000,8715000,7275000,3144000,9754000
45,Total Non-Current Assets,- -,28735000,49522000,48424000,63289000,372411000,369860000,1017537000,644999000,265453000,134620000,202816000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,337258000,379343000,958300000,1319692000,2084497000,2076892000,1754559000,1246584000,695779000,470473000,301805000
48,Accounts Payable,- -,- -,- -,- -,- -,106000,- -,- -,- -,- -,13401000,56726000
49,Short-Term Debt,- -,- -,- -,12802000,- -,- -,- -,- -,- -,16672000,3710000,2173000
50,Tax Payable,- -,2793000,6950000,8538000,13610000,1889000,12330000,11035000,6042000,3349000,2347000,498000
51,Deferred Revenue,- -,46946000,45207000,58503000,80695000,109247000,39406000,38695000,44009000,38663000,38327000,- -
52,Other Current Liabilities,- -,135491000,236809000,47262000,77181000,48469000,170069000,137242000,55685000,21827000,18182000,24211000
53,Total Current Liabilities,- -,182437000,282016000,118567000,157876000,157822000,209475000,175937000,99694000,77162000,73620000,83110000
54,Long-Term Debt,- -,- -,- -,- -,44194000,46928000,- -,- -,- -,31675000,5807000,4979000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,76877000,88796000,- -,- -,13411000,14902000,19475000,7744000,59000,- -,4596000
57,Other Non-Current Liabilities,- -,3595000,11151000,30313000,- -,- -,44472000,49837000,33584000,17814000,526000,- -
58,Total Non-Current Liabilities,- -,80472000,99947000,30313000,44194000,60339000,59374000,69312000,41328000,49548000,6333000,9575000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,48347000,9517000,7152000
61,Total Liabilities,- -,262909000,381963000,148880000,202070000,218161000,268849000,245249000,141022000,126710000,79953000,92685000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,84000,84000,114000,121000,142000,143000,143000,149000,151000,151000,36000
64,Retained Earnings,- -,-188716000,-274473000,-168419000,-11370000,-335363000,-538328000,-857751000,-1309424000,-1960692000,-2183918000,-382624000
65,Other Comprehensive Income/Loss,- -,15930000,15988000,10492000,22637000,89488000,172589000,116051000,137736000,141484000,128441000,-2407000
66,Other Total Stockholders Equity,- -,247051000,255781000,967233000,1106234000,2013596000,2075127000,2151331000,2288144000,2403513000,2459103000,568963000
67,Total Stockholders Equity,- -,74349000,-2620000,809420000,1117622000,1767863000,1709531000,1409774000,1116605000,584456000,403777000,183968000
68,Total Liabilities And Stockholders Equity,- -,337258000,379343000,958300000,1319692000,1986024000,1978380000,1655023000,1257627000,711166000,483730000,276653000
69,Minority Interest,- -,- -,- -,- -,- -,98473000,98512000,99536000,-11043000,-15387000,-13257000,25152000
70,Total Liabilities & Equity,- -,337258000,379343000,958300000,1319692000,2084497000,2076892000,1754559000,1246584000,695779000,470473000,301805000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517496/000114420415025260/v406535_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420416097132/v436563_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420417022867/v462802_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420418022893/tv491123_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420419020553/tv517885_20f.htm,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,38289000,13557000,4243000,106054000,157049000,-323897000,-202965000,-317099000,-451673000,-651268000,-223226000,- -
74,Depreciation and Amortization,3442000,3820000,1032000,8506000,10287000,11570000,19711000,39502000,63979000,79054000,53008000,- -
75,Deferred Income Tax,2919000,20564000,-903000,-97133000,-23931000,40079000,-496000,405000,-6000,-7642000,-3658000,- -
76,Stock Based Compensation,11000000,50154000,494000,7561000,89922000,158628000,163341000,91143000,108628000,79275000,55424000,- -
77,Change in Working Capital,47469000,-18766000,-7265000,-27078000,15511000,132044000,46598000,-41886000,-19551000,-21267000,14247000,- -
78,Accounts Receivable,28604000,-16016000,-4336000,-39360000,-11923000,51062000,-4360000,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1258000,1122000,-72000,18461000,13881000,2734000,-2438000,-19623000,-24690000,-1258000,-518000,- -
81,Other Working Capital,3432000,236000,-151000,17985000,9749000,11588000,-7215000,-19577000,-24078000,-13107000,- -,- -
82,Other Non-Cash Items,-20129000,96000,-798000,31260000,1715000,23951000,-140530000,25736000,138117000,358808000,36149000,- -
83,Cash Provided by Operating Activities,82990000,69425000,-3197000,29170000,250553000,42375000,-114341000,-202199000,-160506000,-163040000,-68056000,- -
84,CAPEX,-18852000,-10131000,-1005000,-9527000,-17188000,-11099000,-26888000,-75034000,-36676000,-3757000,-1470000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-93201000,217721000,-302522000,18467000,- -,-13835000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2122317000,-1152388000,-20000000,- -,-160730000,-80000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1360874000,1486854000,804692000,7593000,243752000,104738000,- -
88,Other Investing Activites,-94860000,-25989000,-555000,61076000,-380275000,-57205000,-21466000,-300923000,77000,-9432000,12281000,- -
89,Cash Used for Investing Activites,-113597000,-35334000,-1522000,51965000,-395744000,-922063000,503833000,108355000,-9486000,69833000,21714000,- -
90,Debt Repayment,- -,- -,-520000,-188488000,-13802000,-174000000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,43006000,- -,- -,548829000,- -,739108000,- -,- -,13318000,- -,- -,- -
92,Common Stock Repurchased,-39351000,- -,- -,- -,- -,-8773000,-131042000,-17283000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-16340000,-194526000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2055000,-2830000,24478000,270625000,98724000,192126000,13948000,8049000,41473000,17105000,26000,- -
95,Cash Used/Provided by Financing Activities,1600000,-2830000,7618000,436440000,84922000,748461000,-117094000,-9234000,54791000,17105000,26000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,-4812000,1507000,46328000,47000,-40900000,21226000,5511000,-6975000,- -
97,Net Change In Cash,-29007000,31261000,2899000,512763000,-58762000,-84899000,272445000,-143978000,-93975000,-70591000,-53291000,- -
98,Cash at the End of Period,34923000,63930000,8055000,544318000,485556000,400657000,673102000,529124000,436387000,365796000,312505000,- -
99,Cash at the Beginning of Period,63930000,32669000,5156000,31555000,544318000,485556000,400657000,673102000,530362000,436387000,365796000,- -
100,Free Cash Flow,64138000,59294000,-4202000,19643000,233365000,31276000,-141229000,-277233000,-197182000,-166797000,-69526000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517496/000114420415025260/v406535_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420416097132/v436563_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420417022867/v462802_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420418022893/tv491123_20f.htm,https://www.sec.gov/Archives/edgar/data/1517496/000114420419020553/tv517885_20f.htm,- -,- -,undefined
102,false,,,,,,,,,,,,
