,https://roic.ai/company/EGAN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1300000,27201000,42613000,9892000,4407000,5181000,4498000,6916000,6195000,3790000,7511000,5733000,12424000,9911000,16206000,8785000,8633000,11780000,10627000,11498000,31860000,46609000,63231000
32,Short-Term Investments,- -,- -,2991000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1300000,30192000,42613000,9892000,4407000,5181000,4498000,6916000,6195000,3790000,7511000,5733000,13057000,9911000,16206000,8785000,8633000,11780000,10627000,11498000,31860000,46609000,63231000
34,Net Receivables,- -,700000,8589000,13803000,4968000,3270000,2876000,4590000,2151000,1790000,2749000,4308000,2955000,8197000,6535000,12307000,11163000,13118000,11876000,7201000,7389000,20411000,22708000,26311000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,500000,4456000,7365000,4472000,3688000,1420000,1137000,635000,675000,831000,551000,525000,592000,830000,4151000,2243000,2934000,2698000,2803000,3651000,4318000,4203000,5136000
37,Total Current Assets,- -,2500000,43237000,63781000,19332000,11365000,9477000,10225000,9702000,8660000,7370000,12370000,9213000,21846000,17276000,32664000,22191000,24685000,26354000,20631000,22538000,56589000,73520000,94678000
38,PP&E,- -,1100000,11690000,11677000,5736000,1192000,473000,741000,1169000,1336000,1230000,995000,869000,1015000,2295000,3544000,4489000,3136000,1688000,1059000,559000,525000,3675000,2896000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,4880000,4880000,4880000,4880000,4880000,4880000,4880000,4880000,4880000,13186000,13186000,13186000,13186000,13186000,13186000,13186000
40,Intangible Assets,- -,20200000,119629000,81506000,8217000,6084000,4880000,4880000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7620000,4839000,2748000,733000,294000,26000,- -
41,Intangible Assets,- -,20200000,119629000,81506000,8217000,6084000,4880000,4880000,4880000,4880000,4880000,4880000,4880000,4880000,4880000,4880000,4880000,20806000,18025000,15934000,13919000,13480000,13212000,13186000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,200000,1344000,1187000,2259000,397000,331000,58000,354000,486000,434000,391000,354000,483000,1894000,2448000,1087000,1104000,1996000,2127000,2606000,3160000,3298000,3803000
45,Total Non-Current Assets,- -,21500000,132663000,94370000,16212000,7673000,5684000,5679000,6403000,6702000,6544000,6266000,6103000,6378000,9069000,10872000,10456000,25046000,21709000,19120000,17084000,17165000,20185000,19885000
46,Other Assets,3990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3990000,24000000,175900000,158151000,35544000,19038000,15161000,15904000,16105000,15362000,13914000,18636000,15316000,28224000,26345000,43536000,32647000,49731000,48063000,39751000,39622000,73754000,93705000,114563000
48,Accounts Payable,- -,700000,5305000,5397000,3176000,1486000,1036000,1109000,989000,1557000,1669000,979000,1146000,924000,1875000,2583000,2162000,1779000,2099000,2363000,3905000,4173000,2429000,3068000
49,Short-Term Debt,- -,- -,2298000,5419000,2548000,1742000,515000,1585000,1697000,2293000,152000,3306000,272000,1695000,1666000,5564000,1809000,976000,1157000,913000,301000,- -,1753000,1466000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,596000,432000,689000,1259000,795000,922000,1290000,1128000,1520000,2986000
51,Deferred Revenue,- -,- -,- -,5438000,3555000,4333000,3731000,4144000,4259000,5541000,4871000,5398000,4917000,5215000,7099000,15890000,13061000,14718000,16640000,18794000,18687000,30982000,37115000,46560000
52,Other Current Liabilities,- -,2500000,23725000,9769000,7772000,3976000,2186000,2593000,2410000,3380000,3344000,4570000,3933000,10165000,4731000,6606000,7044000,9251000,7344000,6241000,7668000,7539000,10868000,12447000
53,Total Current Liabilities,- -,3200000,31328000,26023000,17051000,11537000,7468000,9431000,9355000,12771000,10036000,14253000,10268000,17999000,15371000,30643000,24076000,26724000,27240000,28311000,30561000,42694000,52165000,63541000
54,Long-Term Debt,- -,200000,1072000,1328000,779000,1964000,6607000,7648000,8729000,11820000,16475000,7812000,8724000,3333000,7230000,2000000,3583000,18259000,20223000,14802000,8941000,- -,- -,797000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000,186000,609000,1187000,4057000,793000,1417000,3045000,4887000,7833000,5801000,4826000,3332000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,129000,989000,2245000,1456000,1506000,229000,217000,185000,692000,531000,301000,271000,242000,848000,1146000,2232000,1832000,1372000,1000000,952000,2073000,832000
58,Total Non-Current Liabilities,- -,300000,1201000,2317000,3024000,3420000,8113000,7877000,8946000,12005000,17167000,8476000,9211000,4213000,8659000,6905000,5522000,21908000,25100000,21061000,17774000,6753000,6899000,4961000
59,Other Liabilities,189000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,78000,368000,185000,28000,- -,- -,1017000,766000,482000,150000,42000,- -,3138000,2263000
61,Total Liabilities,189000,3500000,32529000,28340000,20075000,14957000,15581000,17308000,18301000,24776000,27203000,22729000,19479000,22212000,24030000,37548000,29598000,48632000,52340000,49372000,48335000,49447000,59064000,68502000
62,Preferred Stock,- -,- -,- -,- -,- -,101371000,108755000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7300000,36000,36000,37000,37000,4000,15000,15000,15000,15000,22000,22000,24000,24000,25000,25000,27000,27000,27000,28000,31000,31000,31000
64,Retained Earnings,- -,-12200000,-80674000,-183326000,-299146000,-310622000,-315516000,-316358000,-317417000,-325116000,-329263000,-327083000,-327210000,-318699000,-323616000,-321334000,-326580000,-339009000,-345249000,-351269000,-353260000,-345276000,-338068000,-331109000
65,Other Comprehensive Income/Loss,- -,-300000,-2173000,-7968000,-12803000,-325000,-384000,-528000,-530000,-515000,-568000,-506000,-596000,-800000,-750000,-1168000,-970000,-1170000,-1663000,-1663000,-1618000,-1459000,-1631000,-1220000
66,Other Total Stockholders Equity,3801000,25700000,226182000,321069000,327381000,213620000,206721000,315467000,315736000,316202000,316527000,323474000,323621000,325487000,326657000,328465000,330574000,341251000,342608000,343284000,346137000,371011000,374309000,378359000
67,Total Stockholders Equity,3801000,20500000,143371000,129811000,15469000,4081000,-420000,-1404000,-2196000,-9414000,-13289000,-4093000,-4163000,6012000,2315000,5988000,3049000,1099000,-4277000,-9621000,-8713000,24307000,34641000,46061000
68,Total Liabilities And Stockholders Equity,3990000,24000000,175900000,158151000,35544000,19038000,15161000,15904000,16105000,15362000,13914000,18636000,15316000,28224000,26345000,43536000,32647000,49731000,48063000,39751000,39622000,73754000,93705000,114563000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3990000,24000000,175900000,158151000,35544000,19038000,15161000,15904000,16105000,15362000,13914000,18636000,15316000,28224000,26345000,43536000,32647000,49731000,48063000,39751000,39622000,73754000,93705000,114563000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1066194/000101287001502080/0001012870-01-502080-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000101287002003932/0001012870-02-003932-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312503055476/0001193125-03-055476-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312504163238/0001193125-04-163238-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312505193237/d10k.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312506197995/d10k.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312507210115/0001193125-07-210115-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312508203156/0001193125-08-203156-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312509198400/0001193125-09-198400-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312510214925/0001193125-10-214925-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312511257374/0001193125-11-257374-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312512403504/0001193125-12-403504-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000156459013000619/0001564590-13-000619-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000156459014004080/0001564590-14-004080-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837015001771/0001558370-15-001771-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837016008328/0001558370-16-008328-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837017007169/0001558370-17-007169-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837018007466/0001558370-18-007466-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837019008598/egan-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837020011132/0001558370-20-011132-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837021012388/0001558370-21-012388-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-11300000,-68431000,-102652000,-115820000,-11476000,-4894000,-842000,-1059000,-7699000,-4147000,2180000,-127000,8511000,-4917000,684000,-5246000,-12429000,-6240000,-6020000,-1991000,4168000,7208000,6959000
74,Depreciation and Amortization,- -,3300000,23488000,47604000,44323000,6230000,2264000,326000,413000,645000,752000,689000,631000,598000,846000,1254000,2108000,5013000,4838000,3199000,2638000,800000,2112000,2089000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1406000,18000,-564000,357000,261000,-341000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241000,244000,218000,856000,1081000,1527000,2317000,1188000,667000,1695000,1623000,1861000,1700000
77,Change in Working Capital,- -,100000,12609000,25849000,-35477000,-2453000,2181000,-1215000,-447000,-4458000,1445000,783000,828000,4902000,-1942000,116000,-3906000,-154000,1153000,-6794000,-343000,21918000,7460000,9782000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2407000,1089000,-6637000,1350000,-6147000,1542000,-116000,-272000,4209000,-130000,-13270000,-2882000,-2767000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-611000,200000,-246000,- -,648000,-514000,-1093000,429000,262000,1540000,278000,-1740000,626000
81,Other Working Capital,- -,-700000,11909000,37758000,2281000,-172000,2009000,794000,347000,-4111000,-2666000,-1883000,-1055000,3847000,1905000,2021000,-1885000,-2039000,-886000,-7680000,-8023000,13895000,21355000,31137000
82,Other Non-Cash Items,- -,100000,-6218000,-41504000,79491000,1676000,-1837000,667000,4111000,8676000,-861000,-171000,919000,-7447000,6158000,6890000,858000,-5250000,2334000,14331000,5156000,-21912000,-4844000,-6327000
83,Cash Provided by Operating Activities,- -,-7800000,-38552000,-70703000,-27483000,-6023000,-2286000,-1064000,3018000,-2836000,-2811000,3722000,2495000,6782000,1001000,10025000,-4659000,-10503000,1867000,5401000,6591000,6954000,14058000,13862000
84,CAPEX,- -,-1300000,-8652000,-4885000,-1966000,-96000,-217000,-616000,-840000,-722000,-530000,-294000,-521000,-725000,-1827000,-2465000,-1772000,-741000,-547000,-492000,-137000,-398000,-514000,-402000
85,Acquisitions Net,- -,- -,- -,-806000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1905000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-26546000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-626000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,23392000,3154000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,100000,7391000,74000,12000,366000,39000,- -,- -,- -,- -,28000,- -,-25000,603000,5000,-1000,-779000,621000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-1200000,-4415000,-2463000,-1954000,270000,-178000,-616000,-840000,-722000,-530000,-266000,-521000,-1376000,-1224000,-2460000,-1773000,-3425000,74000,-492000,-137000,-398000,-514000,-402000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162000,-3306000,-5272000,-1695000,-4666000,-5727000,-12634000,-10008000,-14329000,-20001000,-16943000,-31000,- -
91,Common Stock Issued,- -,5100000,69344000,85650000,374000,2000,80000,2000,5000,6000,7000,- -,14000,- -,- -,- -,- -,- -,- -,- -,- -,21720000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-108000,-276000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1300000,-410000,2982000,-3801000,510000,3263000,1161000,118000,2686000,831000,63000,- -,6929000,-683000,3730000,4584000,26247000,11739000,8360000,14408000,8996000,1441000,2352000
95,Cash Used/Provided by Financing Activities,- -,6400000,68934000,88632000,-3427000,512000,3343000,1163000,123000,2692000,838000,-99000,-3400000,1381000,-2378000,-936000,-1143000,13613000,1731000,-5969000,-5593000,13773000,1410000,2352000
96,Effect of Forex Changes on Cash,- -,- -,-31000,-54000,142000,-244000,-105000,-166000,117000,145000,98000,364000,-352000,-96000,88000,-334000,154000,163000,-525000,-93000,10000,34000,-206000,811000
97,Net Change In Cash,- -,-2500000,25936000,15412000,-32721000,-5485000,774000,-683000,2418000,-721000,-2405000,4085000,-1778000,6691000,-2513000,6295000,-7421000,-152000,3147000,-1153000,871000,20363000,14748000,16623000
98,Cash at the End of Period,- -,1300000,27201000,42613000,9892000,4407000,5181000,4498000,6916000,6195000,3790000,7875000,5733000,12424000,9911000,16206000,8785000,8633000,11780000,10627000,11498000,31867000,46615000,63238000
99,Cash at the Beginning of Period,- -,3800000,1265000,27201000,42613000,9892000,4407000,5181000,4498000,6916000,6195000,3790000,7511000,5733000,12424000,9911000,16206000,8785000,8633000,11780000,10627000,11504000,31867000,46615000
100,Free Cash Flow,- -,-9100000,-47204000,-75588000,-29449000,-6119000,-2503000,-1680000,2178000,-3558000,-3341000,3428000,1974000,6057000,-826000,7560000,-6431000,-11244000,1320000,4909000,6454000,6556000,13544000,13460000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1066194/000101287001502080/0001012870-01-502080-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000101287002003932/0001012870-02-003932-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312503055476/0001193125-03-055476-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312504163238/0001193125-04-163238-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312505193237/d10k.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312506197995/d10k.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312507210115/0001193125-07-210115-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312508203156/0001193125-08-203156-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312509198400/0001193125-09-198400-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312510214925/0001193125-10-214925-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312511257374/0001193125-11-257374-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312512403504/0001193125-12-403504-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000156459013000619/0001564590-13-000619-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000156459014004080/0001564590-14-004080-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837015001771/0001558370-15-001771-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837016008328/0001558370-16-008328-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837017007169/0001558370-17-007169-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837018007466/0001558370-18-007466-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837019008598/egan-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837020011132/0001558370-20-011132-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837021012388/0001558370-21-012388-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
