,https://roic.ai/company/BNSO,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/846546/000100009610000160/bonso3312010.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997311000787/bonso_20f.htm,https://www.sec.gov/Archives/edgar/data/846546/000100009612000135/bonso331201220f.htm,https://www.sec.gov/Archives/edgar/data/846546/000100009613000111/bonso3312013.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997314000441/bonso_20f.htm,https://www.sec.gov/Archives/edgar/data/846546/000102189015000017/bonso3312015.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997316001119/bonso_20f-033116.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997317000496/bonso_20f.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997318000476/bonso_20f-033118.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997319000480/bonso_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,600000,- -,300000,600000,100000,200000,200000,100000,400000,300000,7959404,5322397,1878156,3633528,10815279,9707588,8582257,8118018,10195362,8043535,8085405,5407000,3014000,2154000,116000,3027000,3547000,3745000,8751000,7527000,9111000,10060000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,- -,1000000,- -,- -,- -,- -,1049000,391000,144000,167000,78000,102000,54000,504000
33,Cash and Short-Term Investments,100000,600000,- -,300000,600000,100000,200000,200000,100000,400000,300000,7959404,5322397,1878156,3633528,10815279,9707588,8582257,8818018,10195362,9043535,8085405,5407000,3014000,2154000,1165000,3418000,3691000,3912000,8829000,7629000,9165000,10564000
34,Net Receivables,600000,1200000,1200000,900000,1200000,1400000,1500000,1400000,1000000,1300000,1300000,2422076,5225750,8347480,7716049,11278427,12036290,8886629,9420012,9410867,2909396,4252052,3963000,5088000,6620000,6167000,2499000,2093000,2813000,1544000,1946000,1508000,1750000
35,Inventory,2000000,2500000,2500000,2400000,- -,3500000,4300000,6500000,6100000,6000000,4700000,6192611,5310889,8861952,12656518,10881932,11402239,15035216,14997788,11391318,6284293,4989958,4848000,4105000,5460000,7545000,3121000,1823000,1018000,1012000,829000,1178000,1097000
36,Other Current Assets,100000,300000,- -,100000,3400000,1300000,4900000,2900000,2000000,1400000,1000000,2096866,2884088,3999761,4194603,114858,543523,- -,- -,- -,3813697,199892,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,2800000,4600000,3700000,3700000,5200000,6300000,10900000,11000000,9200000,9100000,7300000,18670957,18743124,23087349,28200698,33090496,33689640,32504102,33235818,30997547,22050921,17527307,14223000,12207000,14234000,14877000,9038000,7607000,7743000,11385000,10404000,11851000,13411000
38,PP&E,1500000,1600000,1200000,1200000,1200000,6200000,5300000,7300000,10800000,11100000,11300000,14622042,18595790,18261659,16331398,16377361,14311986,12833929,11039173,9939064,3374253,2306886,3558000,6971000,8299000,12452000,12484000,11717000,10294000,10434000,9591000,9739000,9732000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,842821,842821,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3001609,3698354,3498354,3841492,2526982,2313434,502494,4008147,3854610,4031000,3990000,4590000,4387000,4119000,3292000,2785000,2787000,2338000,1930000,1813000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3001609,3698354,3498354,3841492,3369803,3156255,502494,4008147,3854610,4031000,3990000,4590000,4387000,4119000,3292000,2785000,2787000,2338000,1930000,1813000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,523000,523000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87245,84422,128887,15178,46849,82529,87369,191618,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,779000
44,Other Non-Current Assets,- -,- -,- -,- -,600000,400000,2100000,2400000,500000,400000,100000,499717,70511,16038,551399,617056,-427211,-311475,- -,155125,5704,- -,- -,- -,- -,424000,136000,405000,144000,149000,153000,158000,163000
45,Total Non-Current Assets,1500000,1600000,1200000,1200000,1800000,6600000,7400000,9700000,11300000,11500000,11400000,15121759,18753546,21363728,20710038,20507949,18773116,16974786,14282797,10788301,7388104,6161496,7589000,10961000,12889000,17263000,16739000,15414000,13223000,13370000,12082000,12350000,13010000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4300000,6200000,4900000,4900000,7000000,12900000,18300000,20700000,20500000,20600000,18700000,33792716,37496670,44451077,48910736,53598445,52462756,49478888,47518615,41785848,29439025,23688803,21812000,23168000,27123000,32140000,25777000,23021000,20966000,24755000,22486000,24201000,26421000
48,Accounts Payable,- -,1300000,1000000,1000000,1700000,1000000,1100000,1300000,1700000,1600000,1100000,3028023,3435626,4122443,6350527,8280039,6938578,6288213,5354326,5985403,3103502,2633187,2729000,5032000,7793000,10413000,4791000,2501000,1183000,924000,443000,775000,572000
49,Short-Term Debt,1900000,2000000,1800000,1600000,2300000,4700000,4500000,4100000,4500000,3900000,2300000,1994795,4858875,7259511,10246309,8678672,9121298,6933525,7868327,8745908,1877502,2215083,1333000,1870000,3813000,5500000,5364000,1927000,456000,194000,473000,2029000,1097000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6888,6888,24000,44000,7000,7000,7000,317000,533000,- -,- -,- -,165000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000,12000,317000
52,Other Current Liabilities,1000000,900000,-100000,- -,- -,600000,500000,1800000,1400000,400000,600000,882839,1125661,2106086,1827286,3231282,2259307,2434994,3171506,3366445,7798828,3038876,3309000,2391000,2336000,2733000,3274000,3709000,3605000,3251000,3222000,3323000,3438000
53,Total Current Liabilities,2900000,4200000,2700000,2600000,4000000,6300000,6100000,7200000,7600000,5900000,4000000,5905657,9420162,13488040,18424122,20189993,18319183,15656732,16394159,18097756,12779832,7887146,7371000,9293000,13942000,18646000,13429000,8137000,5244000,4369000,4155000,6139000,5424000
54,Long-Term Debt,300000,- -,- -,- -,400000,1800000,100000,700000,800000,200000,- -,864798,403890,317009,606488,613209,7479,- -,- -,- -,- -,- -,- -,- -,- -,- -,336000,202000,67000,3265000,3177000,3085000,2900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,39718,43856,19863,13901,4460,2609297,2614204,19000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,100000,- -,- -,- -,100000,- -,- -,100000,- -,- -,1445808,1445808,1990680,160256,- -,59258,2778896,51971,- -,2595000,2595000,2595000,2872000,157000,104000,60000,32000,5000,213000,701000
58,Total Non-Current Liabilities,300000,- -,100000,100000,500000,1800000,200000,800000,800000,200000,100000,864798,403890,1762817,2052296,2643607,211591,19863,73159,2783356,2661268,2614204,2614000,2597000,2595000,2872000,493000,306000,127000,3297000,3182000,3298000,3601000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544872,160256,- -,59258,183761,182172,51971,- -,- -,- -,92000,68000,153000,104000,60000,33000,305000,232000
61,Total Liabilities,3200000,4200000,2800000,2700000,4500000,8100000,6300000,8000000,8400000,6100000,4100000,6770455,9824052,15250857,20476418,22833600,18530774,15676595,16467318,20881112,15441100,10501350,9985000,11890000,16537000,21518000,13922000,8443000,5371000,7666000,7337000,9437000,9025000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17133,16484,16208,16583,16579,16729,16729,16729,16729,16729,16729,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
64,Retained Earnings,800000,400000,600000,700000,1000000,2000000,2100000,2700000,3200000,5500000,5500000,5873656,6927842,8176958,6533224,8515793,11307642,11234006,9584181,-1129819,-8714233,-9371913,-10932000,-11834000,-12588000,-12809000,-11699000,-8828000,-6033000,-6029000,-6492000,-6094000,-4323000
65,Other Comprehensive Income/Loss,-600000,-900000,-1200000,-1500000,-1800000,-2200000,-2500000,-3300000,-3900000,-4900000,-6300000,-7833604,-10128087,-10884191,409692,552469,842823,786770,-314401,1581598,2392966,2240174,2439000,2792000,2854000,3111000,3234000,2384000,974000,3036000,1923000,938000,1989000
66,Other Total Stockholders Equity,900000,2500000,2700000,3000000,3300000,5000000,12400000,13300000,12800000,13900000,15400000,28965076,30856379,31891245,21419544,21665801,21764788,21764788,21764788,20436228,20302463,20302463,20303000,20303000,20303000,20303000,20303000,21005000,20637000,20065000,19701000,19903000,19713000
67,Total Stockholders Equity,1100000,2000000,2100000,2200000,2500000,4800000,12000000,12700000,12100000,14500000,14600000,27022261,27672618,29200220,28379043,30750642,33931982,33802293,31051297,20904736,13997925,13187453,11827000,11278000,10586000,10622000,11855000,14578000,15595000,17089000,15149000,14764000,17396000
68,Total Liabilities And Stockholders Equity,4300000,6200000,4900000,4900000,7000000,12900000,18300000,20700000,20500000,20600000,18700000,33792716,37496670,44451077,48855461,53584242,52462756,49478888,47518615,41785848,29439025,23688803,21812000,23168000,27123000,32140000,25777000,23021000,20966000,24755000,22486000,24201000,26421000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55275,14203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4300000,6200000,4900000,4900000,7000000,12900000,18300000,20700000,20500000,20600000,18700000,33792716,37496670,44451077,48910736,53598445,52462756,49478888,47518615,41785848,29439025,23688803,21812000,23168000,27123000,32140000,25777000,23021000,20966000,24755000,22486000,24201000,26421000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/846546/000100009610000160/bonso3312010.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997311000787/bonso_20f.htm,https://www.sec.gov/Archives/edgar/data/846546/000100009612000135/bonso331201220f.htm,https://www.sec.gov/Archives/edgar/data/846546/000100009613000111/bonso3312013.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997314000441/bonso_20f.htm,https://www.sec.gov/Archives/edgar/data/846546/000102189015000017/bonso3312015.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997316001119/bonso_20f-033116.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997317000496/bonso_20f.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997318000476/bonso_20f-033118.htm,https://www.sec.gov/Archives/edgar/data/846546/000107997319000480/bonso_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,600000,-400000,200000,100000,300000,1000000,1800000,600000,500000,2300000,- -,347698,1603799,1805606,-1643735,2268610,3349612,484128,-1370943,-8549913,-7584414,-657680,-1560000,-902000,-754000,-221000,1110000,2871000,2795000,4000,-463000,398000,1771000
74,Depreciation and Amortization,200000,300000,300000,300000,400000,400000,500000,800000,1000000,1400000,1400000,1619173,2349185,3287915,3847908,3229040,2773086,2670186,2638515,2855658,2453366,1958298,307000,230000,346000,1375000,1376000,1335000,1317000,1376000,1134000,1105000,1081000
75,Deferred Income Tax,- -,-100000,- -,- -,100000,-100000,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-7616,-10802,-113690,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,801000,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-900000,-100000,500000,-400000,-1200000,-2800000,-900000,2100000,-500000,1200000,-339946,-1332255,-10512,-1103118,1971834,-4328379,-306027,196827,2011315,-2410495,402689,25000,2326000,223000,-114000,-649000,105000,-1077000,821000,-815000,-471000,-784000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-390281,-83929,58000,-770000,-678000,279000,1174000,393000,-254000,498000,166000,-230000,-462000
79,Inventory,- -,-600000,- -,100000,-600000,-500000,-700000,-2300000,300000,100000,1300000,-1622488,865373,-932725,-2314599,1774586,-520307,-3632977,442411,1606430,1603370,1402701,44000,460000,-1355000,-2959000,3737000,1268000,649000,-563000,18000,-513000,62000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2262636,-470315,127000,2303000,2761000,2620000,-5622000,-2290000,-1318000,-419000,-407000,379000,-248000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,110849,51315,-26286,-45497,- -,- -,- -,- -,-155125,31478,4907,17000,3000,-2000,- -,- -,- -,- -,738000,13000,-325000,-474000
82,Other Non-Cash Items,-800000,100000,-400000,- -,- -,200000,-1300000,100000,- -,100000,- -,-25677,506163,389460,606989,-286663,141358,156896,-37356,2985597,5724586,1782922,38000,-1180000,-2000,-795000,810000,-1257000,110000,585000,159000,126000,-84000
83,Cash Provided by Operating Activities,- -,-1000000,- -,900000,400000,300000,-1800000,500000,3500000,3300000,2600000,1601248,3126892,5472469,1708044,7182821,1935677,2997567,1416241,-811033,-1816957,3486229,-1190000,474000,-187000,245000,2647000,3855000,3145000,2786000,15000,1158000,1984000
84,CAPEX,- -,-500000,-200000,-400000,-400000,-3900000,-3200000,-3200000,-2800000,-1600000,-900000,-3856465,-5846296,-772048,-2463455,-617056,-684398,-1340134,-342110,-2683440,-71538,-490537,-1566000,-3415000,-2214000,-2778000,-1105000,-823000,-289000,-364000,-578000,-260000,-700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3044184,-519805,-2543734,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,-200000,- -,-1000000,- -,- -,- -,- -,-35000,-390000,-134000,-388000,-517000,-226000,-1075000,-613000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,300000,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,559495,- -,1058707,- -,- -,- -,- -,1049000,391000,146000,657000,223000,610000,188000
88,Other Investing Activites,- -,300000,600000,- -,-700000,- -,3500000,100000,- -,- -,- -,-1052115,-872016,-1072089,118477,4215552,21745,584744,173583,4875513,563718,3561,83000,25000,-800000,40000,314000,1147000,121000,8000,6000,95000,961000
89,Cash Used for Investing Activites,- -,-200000,400000,-400000,-1100000,-3900000,600000,-3100000,-2600000,-1600000,-900000,-4908580,-6718312,-4888321,-2864783,1054762,-1162653,-755390,-368527,2751568,-507819,571731,-1314000,-3390000,-2212000,-2773000,-132000,581000,-410000,-216000,-575000,-630000,-164000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178519,-447135,-52000,- -,- -,-28000,-9497000,-7998000,-3367000,-824000,-627000,-320000,-1002000
91,Common Stock Issued,- -,1300000,- -,- -,- -,- -,7200000,- -,- -,- -,300000,12272436,400000,- -,- -,272102,99137,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1800000,- -,- -,- -,- -,- -,-1185249,-102934,-38832,-25849,-1445808,- -,-1328560,- -,-133765,- -,- -,- -,- -,- -,- -,-99000,-368000,-572000,-364000,-119000,-190000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-549613,-556490,- -,-286041,-557763,-557764,-278882,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,500000,-1000000,-200000,1000000,3600000,-4100000,2500000,-1000000,-1300000,-2200000,-1275838,2289275,-3368965,2950943,-1016044,-266635,-2753691,42103,-170378,384803,-3935196,-68000,- -,1537000,1664000,9673000,4370000,1721000,2932000,878000,2106000,52000
95,Cash Used/Provided by Financing Activities,- -,1800000,-1000000,-200000,1000000,3600000,1300000,2500000,-1000000,-1300000,-1900000,10996598,954413,-4028389,2912111,-1055832,-2171069,-3311455,-1565339,-170378,72519,-4382331,-120000,- -,1537000,1636000,176000,-3727000,-2014000,1536000,-113000,1667000,-1140000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,-1309,- -,- -,- -,- -,290354,-56053,53386,307187,767321,-271861,-78000,518000,2000,-132000,220000,-189000,-523000,900000,-551000,-611000,269000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,7687957,-2637007,-3444241,1755372,7181751,-1107691,-1125331,-464239,2077344,-1484936,-625021,-2702000,-2398000,-860000,-1024000,2911000,520000,198000,5006000,-1224000,1584000,949000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,7959404,5322397,1878156,3633528,10815279,9707588,8582257,8118018,10195362,8710426,8085405,5412000,3014000,2154000,116000,3027000,3547000,3745000,8751000,7527000,9111000,10060000
99,Cash at the Beginning of Period,- -,100000,600000,- -,300000,100000,100000,200000,200000,100000,400000,271447,7959404,5322397,1878156,3633528,10815279,9707588,8582257,8118018,10195362,8710426,8114000,5412000,3014000,1140000,116000,3027000,3547000,3745000,8751000,7527000,9111000
