,https://roic.ai/company/MITI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-16057,-8628,-22184,-18112,-21383,-2428483,-3401522,-3770144,-403014,-4880859,-754045,-1415153,-3885262,-2860594,-7922634
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.2391,-19.2790,-16.5608,-Infinity,-Infinity,-Infinity,-Infinity,-1110.0749,-Infinity,-68.3021
25,EPS,-1.85,-1.00,-2.56,-2.09,-2.47,-7.07,-8.08,-7.07,-0.66,-0.35,-0.04,-0.06,-0.09,-0.03,-0.07
26,EPS Diluted,-1.85,-1.00,-2.56,-2.09,-2.47,-7.07,-8.08,-7.07,-0.66,-0.35,-0.04,-0.06,-0.09,-0.03,-0.07
27,Weighted Average Shares Outstanding,8671,8671,8671,8671,8671,347043,423879,498723,612114,13760888,17766522,25101167,45248520,105177272,105177272
28,Weighted Average Shares Outstanding Diluted,8671,8671,8671,8671,8671,347043,423879,498723,612114,13760888,17766522,25101167,45248520,105177272,105177272
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802257/000118518520000411/0001185185-20-000411-index.htm,https://www.sec.gov/Archives/edgar/data/802257/000118518521000369/0001185185-21-000369-index.htm,https://www.sec.gov/Archives/edgar/data/802257/000118518522000399/0001185185-22-000399-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7796,1526,7488,5338,291,13724,812064,14119,28185,- -,- -,1304,83245,64789,1164483
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7796,1526,7488,5338,291,13724,812064,14119,28185,- -,- -,1304,83245,64789,1164483
34,Net Receivables,- -,- -,- -,- -,- -,1615,2729,3020,- -,- -,- -,- -,- -,- -,44313
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25314
36,Other Current Assets,- -,- -,- -,- -,- -,- -,41636,107487,17000,1875,- -,2500,9721,- -,72985
37,Total Current Assets,7796,1526,7488,5338,291,15339,856429,124626,45185,1875,- -,3804,92966,64789,1307095
38,PP&E,- -,- -,- -,- -,- -,52727,45946,19716,- -,- -,- -,- -,- -,733725,3476164
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,8435,7907,9288,9636,8880,650948,716163,774406,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,8435,7907,9288,9636,8880,650948,716163,774406,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,60305,32022,45899,- -,- -,- -,- -,7854,- -,5871567
45,Total Non-Current Assets,8435,7907,9288,9636,8880,763980,794131,840021,- -,- -,- -,- -,7854,733725,9347731
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16231,9433,16776,14974,9171,779319,1650560,964647,45185,1875,- -,3804,100820,798514,10654826
48,Accounts Payable,- -,- -,1500,3014,2650,619304,394325,984841,414463,589229,766356,794466,529866,824405,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,49024,- -,- -,- -,- -,- -,- -,199278,899977,750270
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,34174,315850,324169,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,31535,33365,61392,76188,92132,203996,1271218,1920083,150410,478645,620895,740274,1690141,1304258,4808718
53,Total Current Liabilities,31535,33365,62892,79202,94782,906498,1981393,3229093,564873,1067874,1387251,1534740,2419285,3028640,5558988
54,Long-Term Debt,- -,- -,- -,- -,- -,776007,- -,- -,- -,- -,- -,123000,- -,- -,3972964
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2515,- -,- -,- -,- -,- -,- -,312099,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,776007,2515,- -,- -,- -,- -,123000,- -,312099,3972964
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321004,- -
61,Total Liabilities,31535,33365,62892,79202,94782,1682505,1983908,3229093,564873,1067874,1387251,1657740,2419285,3340739,9531952
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262,310,- -
63,Common Stock,35032,35032,35032,35032,35032,36131,4670,5480,117650,174367,189309,315982,812684,1553812,132163
64,Retained Earnings,- -,-188210,-210394,- -,- -,-9336500,-12738022,-16508167,-641255,-5522114,-6276159,-7691312,-11576574,-14437168,-25478332
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-8299,-164226,-56379,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,-50336,129246,129246,-99260,-120643,- -,12564230,14294620,3917,4281748,4699599,5721394,8445163,10340821,26469043
67,Total Stockholders Equity,-15304,-23932,-46116,-64228,-85611,-903186,-333348,-2264446,-519688,-1065999,-1387251,-1653936,-2318465,-2542225,1122874
68,Total Liabilities And Stockholders Equity,16231,9433,16776,14974,9171,779319,1650560,964647,45185,1875,- -,3804,100820,798514,10654826
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16231,9433,16776,14974,9171,779319,1650560,964647,45185,1875,- -,3804,100820,798514,10654826
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802257/000118518520000411/0001185185-20-000411-index.htm,https://www.sec.gov/Archives/edgar/data/802257/000118518521000369/0001185185-21-000369-index.htm,https://www.sec.gov/Archives/edgar/data/802257/000118518522000399/0001185185-22-000399-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-16057,-8628,-22184,-18112,-21383,-2428483,-3401522,-3770144,-403014,-4880859,-754045,-1415153,-3885262,-2860594,-7922634
74,Depreciation and Amortization,528,528,618,752,756,717384,493123,565160,- -,- -,- -,- -,- -,5890,182426
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,122107,227129,450736,3917,3377736,261534,455537,234192,568363,1039843
77,Change in Working Capital,1535,-8100,-23565,-18460,-20627,-796668,-233805,-1979503,2584779,-546311,-321252,-143685,-795383,-637532,-1288042
78,Accounts Receivable,- -,- -,- -,- -,- -,1185,-1114,-291,- -,- -,- -,- -,- -,- -,-44313
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25314
80,Accounts Payable,1535,1830,4527,6310,-364,145456,-167476,590516,-4316,564766,345313,452487,216704,522758,- -
81,Other Working Capital,-23739,-31839,-55404,-73864,-94491,-891159,-1124964,-3104467,-519688,-1065999,-1387251,-1530936,-2326319,-2963851,-4251893
82,Other Non-Cash Items,- -,9930,28092,24770,26207,937235,806123,3289676,-2552122,1779926,766763,856369,3661984,1403011,2992461
83,Cash Provided by Operating Activities,-13994,-6270,-17039,-11050,-15047,-1448425,-2108952,-1444075,-366440,-269508,-47000,-246932,-784469,-1520862,-4995946
84,CAPEX,- -,- -,-1999,-1100,- -,-564372,-561558,-598285,- -,- -,- -,- -,-7854,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-1999,-1100,- -,- -,-10000,6804,-108812,- -,- -,- -,- -,- -,-1928192
89,Cash Used for Investing Activites,- -,- -,-1999,-1100,- -,-564372,-561558,-591481,-108812,- -,- -,- -,-7854,- -,-1928192
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-265237,-252,- -,-67677,- -,-27764,-174236,-171000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,1323534,3573100,- -,- -,51000,47000,- -,- -,- -,1668000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65568,- -
94,Other Financing Activites,21300,- -,25000,10000,10000,579852,160987,1237863,505738,258000,- -,276000,1048500,1607838,6355832
95,Cash Used/Provided by Financing Activities,21300,- -,25000,10000,10000,1903386,3468850,1237611,505738,241323,47000,248236,874264,1502406,8023832
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7306,-6270,5962,-2150,-5047,-109411,798340,-797945,14066,- -,- -,- -,81941,-18456,1099694
98,Cash at the End of Period,7796,1526,7488,5338,291,13724,812064,14119,28185,- -,- -,1304,83245,64789,1164483
99,Cash at the Beginning of Period,490,7796,1526,7488,5338,123135,13724,812064,14119,28185,- -,- -,1304,83245,64789
100,Free Cash Flow,-13994,-6270,-19038,-12150,-15047,-2012797,-2670510,-2042360,-366440,-269508,-47000,-246932,-792323,-1520862,-4995946
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802257/000118518520000411/0001185185-20-000411-index.htm,https://www.sec.gov/Archives/edgar/data/802257/000118518521000369/0001185185-21-000369-index.htm,https://www.sec.gov/Archives/edgar/data/802257/000118518522000399/0001185185-22-000399-index.htm
102,false,,,,,,,,,,,,,,,
