,https://roic.ai/company/DB,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,16349000000,18362000000,20383000000,26419000000,28992000000,58454226000,51590840730,35055954420,27666387290,28624934720,43259911470,57980052950,69303879360,39470381680,21493000000,21406000000,26326000000,17081000000,12208000000,13817000000,3966000000,10074000000,12927000000,12856000000,8639000000,7173000000,8690000000
16,EBITDA ratio,2.1125,2.1625,2.1481,2.3128,1.7315,1.6907,1.7386,1.3194,1.3031,1.3069,1.6885,2.0915,2.3698,3.1991,0.7612,0.7002,0.7868,0.5091,0.3867,0.4409,0.1187,0.3406,0.4912,0.5123,0.3764,0.3015,0.3433
17,Operating Income,1823000000,2500000000,1045000000,4032000000,4087000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.2356,0.2944,0.1101,0.3530,0.2441,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,1823000000,2500000000,1045000000,4032000000,4087000000,6888867800,1806123370,3551719190,2751313950,4026257440,6107738540,8125000000,8749000000,-5741000000,5202000000,3975000000,5390000000,784000000,1456000000,3116000000,-6097000000,-810000000,1228000000,1330000000,-2634000000,1021000000,3390000000
21,Income Before Tax Ratio,0.2356,0.2944,0.1101,0.3530,0.2441,0.1992,0.0609,0.1337,0.1296,0.1838,0.2384,0.2931,0.2992,-0.4653,0.1842,0.1300,0.1611,0.0234,0.0461,0.0994,-0.1825,-0.0274,0.0467,0.0530,-0.1148,0.0429,0.1339
22,Income Tax expense (Gain),739000000,1366000000,524000000,2305000000,1516000000,-6662078180,1431861340,3191496530,1539624170,1555767120,2581055670,2139000000,2239000000,-1845000000,244000000,1645000000,1064000000,493000000,775000000,1425000000,675000000,546000000,1963000000,989000000,2630000000,397000000,880000000
23,Net Income,1084000000,1134000000,521000000,1726000000,2571000000,13550945980,167462590,396435520,1362555480,2470490320,3526682870,5986000000,6474000000,-3835000000,4973000000,2310000000,4132000000,237000000,666000000,1663000000,-6794000000,-1402000000,-751000000,267000000,-5390000000,495000000,2365000000
24,Net Income ratio,0.1401,0.1336,0.0549,0.1511,0.1535,0.3919,0.0056,0.0149,0.0642,0.1128,0.1377,0.2159,0.2214,-0.3108,0.1761,0.0756,0.1235,0.0071,0.0211,0.0531,-0.2033,-0.0474,-0.0285,0.0106,-0.2349,0.0208,0.0934
25,EPS,1.69,1.76,0.76,2.52,3.24,17.14,0.21,0.50,1.90,3.91,5.89,10.34,10.60,-5.91,6.15,2.61,3.79,0.21,0.57,1.20,-4.52,-1.08,-0.53,-0.01,-2.71,0.06,1.12
26,EPS Diluted,1.69,1.76,0.76,2.52,3.24,16.92,0.21,0.49,1.80,3.53,5.38,8.97,10.14,-5.91,5.90,2.49,3.66,0.21,0.55,1.17,-4.52,-1.08,-0.53,-0.01,-2.71,0.06,1.12
27,Weighted Average Shares Outstanding,642000000,644000000,684000000,686000000,794000000,790862335,797912092,797428825,717808891,631873162,598288092,579078105,610490968,648984599,808623739,884925700,1090151400,1097199793,1171677809,1391585238,1555057288,1555281375,1967700000,2102200000,2110000000,2108000000,2108000000
28,Weighted Average Shares Outstanding Diluted,642000000,644000000,684000000,686000000,794000000,801017530,797912092,810086483,758204863,700221438,655964756,657481521,638685300,649113340,843770098,928978154,1124571051,1127742828,1204335361,1421837091,1555057288,1555281375,1967700000,2102200000,2110000000,2170000000,2108000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,55387774800,48458503560,34700496610,21248242800,25649133600,18519939850,26479000000,30247000000,74565000000,56579000000,109534000000,177928000000,147433000000,95139000000,83573000000,109782000000,192970000000,234920000000,197612000000,147228000000,175338000000,199363000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22054000000,38659000000,22713000000,17119000000,49642000000,41249000000,45460000000,45318000000,60415000000,69507000000,52665000000,46075000000,44993000000,39214000000,49656000000,23377000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,55387774800,48458503560,34700496610,21248242800,25649133600,18519939850,48533000000,68906000000,97278000000,73698000000,159176000000,219177000000,192893000000,140457000000,143988000000,179289000000,245635000000,280995000000,242605000000,186442000000,224994000000,222740000000
34,Net Receivables,- -,- -,- -,- -,- -,9171670360,5917386150,4211174430,3605690230,- -,- -,77399000000,164480000000,114927000000,101046000000,111934000000,129957000000,103922000000,90172000000,120829000000,99434000000,109653000000,86988000000,70181000000,66941000000,77206000000,74793000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,822280000000,847092237640,846659385560,344870313300,321713958980,342362451760,388816575340,535804000000,1265485000000,1725428000000,1063233000000,1298539000000,1513121000000,1403455000000,1100632000000,1160434000000,1061213000000,996385000000,862364000000,812439000000,856880000000,837148000000,871853000000
37,Total Current Assets,- -,- -,- -,- -,822280000000,911651682800,901035275270,383781984340,346567892010,368011585360,407336515190,661736000000,1498871000000,1937633000000,1237977000000,1569649000000,1862255000000,1700270000000,1331261000000,1425251000000,1339936000000,1351673000000,1230347000000,1125225000000,1110263000000,1139348000000,1169386000000
38,PP&E,4633000000,5305000000,5895000000,5843000000,9049000000,10413157200,9822973400,8890257130,5775774220,5221299040,5075147410,4149000000,2409000000,3712000000,2777000000,5802000000,5509000000,4963000000,4420000000,2908000000,2847000000,2804000000,2661000000,2422000000,4929000000,5549000000,5535000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7144000000,7232000000,7533000000,7420000000,10762000000,10973000000,9297000000,9074000000,9518000000,4890000000,4103000000,3781000000,3876000000,2881000000,2739000000,2805000000
40,Intangible Assets,- -,- -,- -,- -,8536000000,- -,- -,- -,- -,- -,- -,1267000000,2151000000,2344000000,2749000000,4832000000,4829000000,4922000000,4858000000,5433000000,5188000000,4879000000,5058000000,5265000000,4148000000,3986000000,4019000000
41,Intangible Assets,- -,- -,- -,- -,8536000000,9504933980,8962058340,9791766750,7843428340,7441715840,8237088360,8411000000,9383000000,9877000000,10169000000,15594000000,15802000000,14219000000,13932000000,14951000000,10078000000,8982000000,8839000000,9141000000,7029000000,6725000000,6824000000
42,Investments,25244000000,28326000000,34112000000,45309000000,70206000000,- -,- -,356571831930,442024590550,458772781840,570759470170,451934000000,509686000000,251201000000,249741000000,314585000000,280537000000,292877000000,261787000000,265593000000,276269000000,227087000000,232885000000,211349000000,175453000000,173637000000,142248000000
43,Tax Assets,556000000,981000000,639000000,1852000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-70206000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,17585000000,19918091180,18785031740,375253855810,455643793110,471435796720,584071705940,464494000000,521478000000,264790000000,262687000000,335981000000,301848000000,312059000000,280139000000,283452000000,289194000000,238873000000,244385000000,222912000000,187411000000,185911000000,154607000000
46,Other Assets,368982000000,453051000000,533259000000,626604000000,- -,- -,- -,1134289695960,1257855478230,1310883178800,1575479927070,1590724000000,2541827000000,2467213000000,1763351000000,2241611000000,2465951000000,2324388000000,1891539000000,1992155000000,1918324000000,1829419000000,1719117000000,1571049000000,1485085000000,1511170000000,1478600000000
47,Total Assets,368982000000,453051000000,533259000000,626604000000,839865000000,931569773980,919820307010,759035840150,802211685120,839447382080,991408221130,1126230000000,2020349000000,2202423000000,1500664000000,1905630000000,2164103000000,2012329000000,1611400000000,1708703000000,1629130000000,1590546000000,1474732000000,1348137000000,1297674000000,1325259000000,1323993000000
48,Accounts Payable,- -,- -,- -,- -,- -,10531343340,7435788560,4671458940,3786729070,- -,- -,62167000000,135194000000,116579000000,114510000000,120102000000,143398000000,131646000000,122665000000,146163000000,137244000000,124731000000,109365000000,93194000000,73707000000,81550000000,71790000000
49,Short-Term Debt,- -,- -,- -,- -,- -,97055309960,36231486670,11583350350,22251102690,20103255360,20533619200,19793000000,53410000000,39115000000,42897000000,64990000000,65356000000,69060000000,59767000000,42931000000,28010000000,17295000000,18411000000,14158000000,5218000000,3552000000,4034000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7031000000,4515000000,2354000000,2141000000,2736000000,2524000000,1589000000,1600000000,1608000000,1699000000,1329000000,1001000000,944000000,651000000,574000000,600000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,350399000000,432540000000,510239000000,601777000000,801214000000,789527346700,686480724770,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,350399000000,432540000000,510239000000,601777000000,801214000000,897114000000,730148000000,16254809290,26037831760,20103255360,20533619200,81960000000,188604000000,155694000000,157407000000,185092000000,208754000000,200706000000,182432000000,189094000000,165254000000,142026000000,127776000000,107352000000,78925000000,85102000000,75824000000
54,Long-Term Debt,4244000000,5330000000,6615000000,7186000000,15504000000,154912216820,171281636180,104148185360,97309964560,106790982880,113467665210,132495000000,179556000000,154647000000,147624000000,185512000000,178497000000,170753000000,142617000000,154855000000,168805000000,178830000000,166163000000,157690000000,141235000000,156510000000,152155000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2124000000,3784000000,2157000000,2307000000,1789000000,1455000000,1101000000,1175000000,746000000,486000000,346000000,512000000,545000000,561000000,501000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-139502216820,-23400636180,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,4244000000,5330000000,6615000000,7186000000,15504000000,15410000000,147881000000,104148185360,97309964560,106790982880,113467665210,132495000000,181680000000,158431000000,149781000000,187819000000,180286000000,172208000000,143718000000,156030000000,169551000000,179316000000,166509000000,158202000000,141780000000,157071000000,152656000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,297290355170,816911614190,845330690240,900249918400,1054429208150,1143957000000,1974959000000,2173246000000,1455069000000,1857965000000,2080975000000,1929421000000,1517719000000,1602416000000,1565803000000,1563018000000,1445366000000,1330249000000,1298369000000,1335031000000,1332794000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3974000000,3965000000
61,Total Liabilities,354643000000,437870000000,516854000000,608963000000,816718000000,887765305640,879557355170,729018238120,774058557440,813562190880,961495162140,1093422000000,1981883000000,2170509000000,1462695000000,1855238000000,2109443000000,1957919000000,1556433000000,1635480000000,1561506000000,1525728000000,1406633000000,1279399000000,1235514000000,1263062000000,1255962000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1274000000,1279000000,1359000000,1363000000,1573000000,1582203640,1593704380,1593365840,1487218190,1391264480,1419285110,1343000000,1358000000,1461000000,1589000000,2380000000,2380000000,2380000000,2610000000,3531000000,3531000000,3531000000,5291000000,5291000000,5291000000,5291000000,5291000000
64,Retained Earnings,6884000000,7663000000,7892000000,9013000000,11018000000,23395532020,22658025600,22106045090,20450242650,19799331200,22610621800,25069000000,25116000000,20074000000,24056000000,25999000000,30119000000,29198000000,28376000000,29279000000,21182000000,18987000000,17454000000,16714000000,9644000000,10014000000,12607000000
65,Other Comprehensive Income/Loss,-2247000000,-2392000000,-3036000000,-3320000000,-3889000000,- -,- -,-2928476810,-3943152980,-4872376400,-2414726600,-2193000000,1133000000,-4851000000,-3780000000,-2601000000,-1981000000,-1293000000,-2457000000,1923000000,4404000000,3550000000,520000000,253000000,421000000,-1118000000,-444000000
66,Other Total Stockholders Equity,8427000000,8630000000,10190000000,10585000000,14445000000,18826732680,16011221860,9246667910,10158819820,9566971920,8297878680,8589000000,9437000000,14019000000,14782000000,23065000000,22872000000,23718000000,26191000000,38237000000,38237000000,38434000000,44584000000,44912000000,45166000000,46423000000,48879000000
67,Total Stockholders Equity,14338000000,15180000000,16405000000,17641000000,23147000000,43804468340,40262951840,30017602030,28153127680,25885191200,29913058990,32808000000,37044000000,30703000000,36647000000,48843000000,53390000000,54003000000,54720000000,72970000000,67354000000,64502000000,67849000000,67170000000,60522000000,60610000000,66333000000
68,Total Liabilities And Stockholders Equity,368981000000,453050000000,533259000000,626604000000,839865000000,931569773980,919820307010,759035840150,802211685120,839447382080,991408221130,1126230000000,2018927000000,2201212000000,1499342000000,1904081000000,2162833000000,2011922000000,1611153000000,1708450000000,1628860000000,1590230000000,1474482000000,1346569000000,1296036000000,1323672000000,1322295000000
69,Minority Interest,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1422000000,1211000000,1322000000,1549000000,1270000000,407000000,247000000,253000000,270000000,316000000,250000000,1568000000,1638000000,1587000000,1698000000
70,Total Liabilities & Equity,368982000000,453051000000,533259000000,626604000000,839865000000,931569773980,919820307010,759035840150,802211685120,839447382080,991408221130,1126230000000,2020349000000,2202423000000,1500664000000,1905630000000,2164103000000,2012329000000,1611400000000,1708703000000,1629130000000,1590546000000,1474732000000,1348137000000,1297674000000,1325259000000,1323993000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1084000000,1134000000,521000000,1726000000,2571000000,13550945980,167462590,396435520,1362555480,2470490320,3526682870,5986000000,6474000000,-3835000000,4973000000,2310000000,4132000000,237000000,666000000,1663000000,-6794000000,-1402000000,-751000000,267000000,-5390000000,495000000,2365000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,3329441980,4894628050,2847474360,3066543860,1774858080,1472476640,1557052950,1733879360,3054381680,1782000000,4255000000,3697000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-8355014780,-159595220,2481533880,268382140,837266800,963357710,84000000,-918000000,-1525000000,-296000000,315000000,-387000000,720000000,-179000000,673000000,-987000000,-312000000,1234000000,276000000,1868000000,-296000000,19000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-10555000000,-15160000000,-19666000000,-9815000000,-28231000000,-41129841460,-18546762820,-4971644490,-14190904160,-35706662720,-68566415100,-57618000000,11094000000,40192000000,-22015000000,-11030000000,-610000000,-29785000000,2701000000,-7868000000,65575000000,67748000000,36662000000,-57211000000,-42031000000,26705000000,-9353000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40471000000,-48864000000,129175000000,3862000000,-5875000000,2850000000,-50949000000,35669000000,26743000000,80852000000,32795000000,41415000000,-31860000000,26869000000,14506000000,50913000000
82,Other Non-Cash Items,18415000000,21391000000,24532000000,31448000000,55973000000,-824108760,410227150,-1537140610,690012070,694894560,-1307836190,-987052950,-1593879360,-769381680,1770000000,474000000,970000000,4381000000,3996000000,4902000000,9458000000,4576000000,2431000000,2602000000,5104000000,3832000000,4017000000
83,Cash Provided by Operating Activities,8944000000,7365000000,5387000000,23359000000,30313000000,-33428577040,-13234040250,-783341340,-8803410610,-29929152960,-63911734070,-50978000000,16790000000,37117000000,-13786000000,-3676000000,7802000000,-24447000000,7184000000,-630000000,67252000000,70610000000,39576000000,-54066000000,-40449000000,30736000000,-2952000000
84,CAPEX,-412000000,-1772000000,-2059000000,-1709000000,-5972000000,-2169940120,-3695416080,-1697239570,-989361380,-791530640,-700777300,-970000000,-675000000,-939000000,-592000000,-873000000,-794000000,-614000000,-513000000,-669000000,-432000000,-725000000,-485000000,-465000000,-327000000,-512000000,-550000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-1098811680,- -,- -,- -,- -,- -,-1944000000,-648000000,-24000000,-20000000,8580000000,348000000,96000000,-128000000,1931000000,555000000,2023000000,82000000,114000000,1762000000,5000000,-5000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-55616693900,-82626491470,-40977710000,-19907126130,-38051747440,-56505446750,-27371000000,-26495000000,-38700000000,-15812000000,-14232000000,-20208000000,-22184000000,-31609000000,-34236000000,-29760000000,-21720000000,-13484000000,-41341000000,-76719000000,-86723000000,-54067000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,98845137900,43950500550,38689629030,26462637810,33926640880,49945158050,21073000000,21980000000,38826000000,18535000000,15083000000,32919000000,20563000000,29694000000,20843000000,22178000000,32934000000,17535000000,50155000000,65890000000,86358000000,79113000000
88,Other Investing Activites,-6478000000,-3724000000,-6782000000,-11890000000,-28778000000,-44612606000,54110646950,25946514190,899635990,3397754080,-43041235180,-25795000000,1450000000,68000000,-1710000000,-1081000000,-350000000,-506000000,-459000000,-693000000,-783000000,-1273000000,-1215000000,-935000000,-886000000,-1020000000,-896000000
89,Cash Used for Investing Activites,-6890000000,-5496000000,-8841000000,-13599000000,-34750000000,-2482973680,15434656030,23658433220,7455147670,-727352480,-49601523880,-35007000000,-4388000000,-769000000,401000000,7477000000,11915000000,-2645000000,-3015000000,-12824000000,-8242000000,11239000000,2433000000,7528000000,-10280000000,-1892000000,23595000000
90,Debt Repayment,- -,- -,- -,- -,- -,-40482479540,-22924392270,-27225399930,-32309874730,-25753884160,-39786420130,-42944000000,-2809000000,-659000000,-1448000000,-229000000,-715000000,-708000000,-2776000000,-3142000000,-2043000000,-1102000000,-176000000,-1171000000,-2182000000,-1821000000,-721000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37060000000,40118000000,23645000000,18111000000,23579000000,12229000000,11418000000,15455000000,16826000000,8316000000,4983000000,15508000000,3912000000,1191000000,76000000,35000000
92,Common Stock Repurchased,687000000,62000000,996000000,115000000,3383000000,- -,- -,- -,- -,- -,- -,-39023000000,-41548000000,-21736000000,-19238000000,-15417000000,-13826000000,-12182000000,-13697000000,-9190000000,-14291000000,-6104000000,-8578000000,-6852000000,-13713000000,-955000000,-850000000
93,Dividends Paid,-473000000,-459000000,-460000000,-489000000,-600000000,-708052100,-802471740,-800494800,-754328500,-827676960,-867106370,-1239000000,-2005000000,-2274000000,-309000000,-465000000,-691000000,-689000000,-764000000,-765000000,-1034000000,- -,-392000000,-227000000,-227000000,- -,- -
94,Other Financing Activites,486000000,1087000000,1284000000,571000000,3318000000,71306702540,23089607040,4376038240,33045940540,58480319680,152672355750,132958000000,2875000000,4244000000,1864000000,1624000000,-157000000,-198000000,1238000000,4748000000,3469000000,574000000,776000000,1004000000,12129000000,2389000000,3166000000
95,Cash Used/Provided by Financing Activities,700000000,690000000,1820000000,197000000,6101000000,30116170900,-637256970,-23649856490,-18262690,31898758560,112018829250,86812000000,-3369000000,3220000000,-1020000000,9092000000,-3160000000,-2359000000,-544000000,8477000000,-5583000000,-1649000000,7138000000,-3334000000,-2802000000,-311000000,1630000000
96,Effect of Forex Changes on Cash,-87000000,122000000,66000000,-54000000,40000000,2717216480,325933900,-634678020,-972686750,-299498080,486322560,-389000000,-289000000,-402000000,690000000,1911000000,-964000000,40000000,-907000000,897000000,94000000,-28000000,-5772000000,1668000000,1578000000,-1074000000,1345000000
97,Net Change In Cash,2667000000,2681000000,-1568000000,9903000000,1704000000,-3078163340,1889292710,-1410395600,-2338418350,942755040,-1007261830,438000000,8744000000,39166000000,-13715000000,14804000000,15593000000,-29411000000,2720000000,-4081000000,53518000000,80171000000,43376000000,-48203000000,-51953000000,27459000000,23618000000
98,Cash at the End of Period,2667000000,2681000000,-1568000000,9903000000,1704000000,8525373180,10406282690,8986507100,6624592290,7573760560,6566198870,7009000000,26098000000,65264000000,51549000000,66353000000,81946000000,52535000000,56041000000,51960000000,105478000000,185649000000,229025000000,180822000000,128869000000,156328000000,179946000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,11603536520,8516989980,10396902700,8963010640,6631005520,7573460700,6571000000,17354000000,26098000000,65264000000,51549000000,66353000000,81946000000,53321000000,56041000000,51960000000,105478000000,185649000000,229025000000,180822000000,128869000000,156328000000
100,Free Cash Flow,8532000000,5593000000,3328000000,21650000000,24341000000,-35598517160,-16929456330,-2480580910,-9792771990,-30720683600,-64612511370,-51948000000,16115000000,36178000000,-14378000000,-4549000000,7008000000,-25061000000,6671000000,-1299000000,66820000000,69885000000,39091000000,-54531000000,-40776000000,30224000000,-3502000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.2777,1.2538,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
