,https://roic.ai/company/SFET,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,10138000,11624000,12583000,11805000,13070000,15256000,16732000
66,Other Total Stockholders Equity,- -,14889000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,1283000,1172000,3141000,3710000,2777000,16216000,24187000
68,Total Liabilities And Stockholders Equity,- -,2588000,3227000,5927000,6368000,17837000,22973000,30654000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2588000,3227000,5927000,6368000,17837000,22973000,30654000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-3692000,-18198000,-8922000,-5313000,-11753000,-12998000,-7845000,-13125000
74,Depreciation and Amortization,287000,284000,280000,278000,342000,1122000,1363000,1785000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,301000,16395000,1818000,1318000,381000,612000,742000,2356000
77,Change in Working Capital,107000,-7000,418000,306000,-174000,304000,-957000,878000
78,Accounts Receivable,-86000,-438000,468000,-138000,-210000,304000,46000,-851000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-26000,-4000,-46000,134000,-75000,-36000,25000,945000
81,Other Working Capital,73000,22000,101000,191000,95000,-185000,-548000,-923000
82,Other Non-Cash Items,810000,-908000,3089000,-1995000,2468000,4227000,85000,-1102000
83,Cash Provided by Operating Activities,-2187000,-2434000,-3317000,-5406000,-8736000,-6733000,-6612000,-9208000
84,CAPEX,-23000,-3000,-39000,-132000,-352000,-46000,-141000,-286000
85,Acquisitions Net,- -,- -,- -,- -,- -,-5508000,-1070000,-3700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-5844000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,14000,17000,-13000,-21000,-325000,-42000,-78000,-170000
89,Cash Used for Investing Activites,-9000,14000,-52000,-153000,-369000,-5596000,-1189000,-9796000
90,Debt Repayment,-15000,- -,- -,-63000,- -,-618000,-810000,-275000
91,Common Stock Issued,- -,- -,5599000,5582000,9231000,4391000,13457000,9750000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2500000,2172000,-1006000,1992000,131000,9339000,2063000,2267000
95,Cash Used/Provided by Financing Activities,2485000,2172000,4593000,7511000,9362000,13112000,14710000,11742000
96,Effect of Forex Changes on Cash,- -,- -,25000,251000,-54000,-159000,-233000,73000
97,Net Change In Cash,289000,-248000,1249000,2203000,203000,624000,6676000,-7189000
98,Cash at the End of Period,310000,62000,1311000,3514000,3717000,4341000,11017000,3828000
99,Cash at the Beginning of Period,21000,310000,62000,1311000,3514000,3717000,4341000,11017000
100,Free Cash Flow,-2210000,-2437000,-3356000,-5538000,-9088000,-6779000,-6753000,-9494000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,
