,https://roic.ai/company/SQFT,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,560188,102323,- -
61,Total Liabilities,149088605,192769034,202249447,202454697,176908997,164163220,135446035,95714143
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,168874,172023,175028,176680,177216,177638,95038,115997
64,Retained Earnings,-83150866,-93821328,-106623957,-113652763,-111343840,-113037144,-121674505,-125479772
65,Other Comprehensive Income/Loss,-23011006,-29961472,-36311485,-36208554,- -,- -,- -,- -
66,Other Total Stockholders Equity,166726882,176674325,185851267,187330456,151582017,152040300,156463146,181033550
67,Total Stockholders Equity,60733884,53063548,43090853,37645819,40415393,39180794,34883679,55669775
68,Total Liabilities And Stockholders Equity,209822489,245832582,245340300,240100516,217324390,203344014,170329714,151383918
69,Minority Interest,10802449,12100109,12658777,14396349,15725650,17440394,15238902,9812845
70,Total Liabilities & Equity,220624938,257932691,257999077,254496865,233050040,220784408,185568616,161196763
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1080657/000156459016015051/0001564590-16-015051-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000156459017006783/0001564590-17-006783-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000156459018006319/0001564590-18-006319-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1080657/000119312520167360/0001193125-20-167360-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000143774921007660/0001437749-21-007660-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000143774922007590/0001437749-22-007590-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-4045683,-3818692,-5812485,-3484416,3384294,-610206,-7673905,-1463442
74,Depreciation and Amortization,6049385,7950563,10256185,9710265,9101605,7364688,6274321,5397498
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,455819,464827,520578,558734,460651,686133,1105272,1614228
77,Change in Working Capital,2505499,-29036517,-7852632,295024,10977261,36931639,-1589620,-117146575
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-1183057,-767440,-1796421,-1221725
81,Other Working Capital,36640053,7603536,-249096,45928,11023189,47954828,46365208,-70781367
82,Other Non-Cash Items,-788249,28208801,6610436,-1493909,-23491359,-40581318,5577349,113973234
83,Cash Provided by Operating Activities,4176771,3768982,3722082,5585698,432452,3790936,3693417,2374943
84,CAPEX,-61630396,-70707531,-27817748,-21182469,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2380476
88,Other Investing Activites,19148981,34443306,11325356,20092017,25590578,11981047,27677840,21824489
89,Cash Used for Investing Activites,-42481415,-36264225,-16492392,-1090452,25590578,11981047,27677840,24204965
90,Debt Repayment,-22811129,-30834664,-10266235,-12119676,-31374774,-23176581,-43132732,- -
91,Common Stock Issued,- -,49999,- -,- -,- -,- -,- -,8871879
92,Common Stock Repurchased,-1861478,-176461,-2355031,-2070396,-13800000,-17127428,-18000,-110631
93,Dividends Paid,-4803508,-4123730,-4517287,-3620880,- -,-2158469,-963456,-994263
94,Other Financing Activites,63209760,68570520,26398587,14238486,20617384,27305555,13892573,-31185721
95,Cash Used/Provided by Financing Activities,33733645,33485664,9260034,-3572466,-24557390,-15156923,-30221615,-23418736
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4570999,990421,-3510276,922780,1465640,615060,1149642,3161172
98,Cash at the End of Period,5636002,6626423,3116147,8310575,9776215,10391275,11540917,14702089
99,Cash at the Beginning of Period,10207001,5636002,6626423,7387795,8310575,9776215,10391275,11540917
100,Free Cash Flow,-57453625,-66938549,-24095666,-15596771,432452,3790936,3693417,2374943
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1080657/000156459016015051/0001564590-16-015051-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000156459017006783/0001564590-17-006783-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000156459018006319/0001564590-18-006319-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1080657/000119312520167360/0001193125-20-167360-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000143774921007660/0001437749-21-007660-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000143774922007590/0001437749-22-007590-index.htm
102,false,,,,,,,,
