,https://roic.ai/company/UBER,2016,2017,2018,2019,2020,2021
25,EPS,-0.25,-3.69,1.33,-6.81,-3.86,-0.28
26,EPS Diluted,-0.25,-3.69,1.26,-6.81,-3.86,-0.28
27,Weighted Average Shares Outstanding,1458714000,1092241000,1458714000,1248353000,1752960000,1752960000
28,Weighted Average Shares Outstanding Diluted,1525531000,1092241000,1525531000,1248353000,1752960000,1752960000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1543151/000154315120000010/0001543151-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1543151/000154315122000004/0001543151-22-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1543151/000154315122000008/0001543151-22-000008-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,4393000000,6406000000,10873000000,5647000000,4295000000
32,Short-Term Investments,- -,- -,- -,440000000,1180000000,- -
33,Cash and Short-Term Investments,- -,4393000000,6406000000,11313000000,6827000000,4295000000
34,Net Receivables,- -,926000000,1335000000,1642000000,1537000000,2439000000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1518000000,917000000,970000000,1518000000,2085000000
37,Total Current Assets,- -,6837000000,8658000000,13925000000,9882000000,8819000000
38,PP&E,- -,1192000000,1641000000,3325000000,3088000000,3241000000
39,Goodwill,- -,39000000,153000000,167000000,6109000000,8420000000
40,Intangible Assets,- -,54000000,82000000,71000000,1564000000,2412000000
41,Intangible Assets,- -,93000000,235000000,238000000,7673000000,10832000000
42,Investments,- -,5969000000,11667000000,11891000000,10048000000,12606000000
43,Tax Assets,- -,- -,- -,1027000000,- -,- -
44,Other Non-Current Assets,- -,1335000000,1787000000,1355000000,2561000000,3276000000
45,Total Non-Current Assets,- -,8589000000,15330000000,17836000000,23370000000,29955000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,15426000000,23988000000,31761000000,33252000000,38774000000
48,Accounts Payable,- -,213000000,150000000,272000000,235000000,860000000
49,Short-Term Debt,- -,150000000,- -,361000000,700000000,185000000
50,Tax Payable,- -,1274000000,- -,1733000000,2014000000,- -
51,Deferred Revenue,- -,38000000,- -,76000000,- -,- -
52,Other Current Liabilities,- -,3446000000,5163000000,4930000000,5930000000,7979000000
53,Total Current Liabilities,- -,3847000000,5313000000,5639000000,6865000000,9024000000
54,Long-Term Debt,- -,3048000000,4535000000,5928000000,9224000000,10920000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1041000000,- -,1027000000,818000000,- -
57,Other Non-Current Liabilities,- -,16047000000,3807000000,4977000000,3378000000,3685000000
58,Total Non-Current Liabilities,- -,20136000000,8342000000,11932000000,13420000000,14605000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,63000000,- -,1884000000,2016000000,1829000000
61,Total Liabilities,- -,23983000000,13655000000,17571000000,20285000000,23629000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-8874000000,-10334000000,-16362000000,-23130000000,-23626000000
65,Other Comprehensive Income/Loss,- -,-3000000,-188000000,-187000000,-535000000,-524000000
66,Other Total Stockholders Equity,- -,848000000,21613000000,30739000000,36632000000,- -
67,Total Stockholders Equity,- -,-8557000000,10333000000,14190000000,12266000000,14458000000
68,Total Liabilities And Stockholders Equity,- -,15426000000,23988000000,31761000000,32551000000,38087000000
69,Minority Interest,- -,- -,- -,- -,701000000,687000000
70,Total Liabilities & Equity,- -,15426000000,23988000000,31761000000,33252000000,38774000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1543151/000154315120000010/0001543151-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1543151/000154315122000004/0001543151-22-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1543151/000154315122000008/0001543151-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-370000000,-4033000000,997000000,-8506000000,-6768000000,-496000000
74,Depreciation and Amortization,347000000,510000000,426000000,472000000,575000000,902000000
75,Deferred Income Tax,5000000,-762000000,35000000,-88000000,-266000000,-692000000
76,Stock Based Compensation,107000000,124000000,170000000,4596000000,827000000,1168000000
77,Change in Working Capital,1072000000,355000000,4941000000,-5269000000,- -,1682000000
78,Accounts Receivable,-348000000,-442000000,-279000000,-407000000,142000000,-597000000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,228000000,-79000000,-39000000,95000000,-133000000,90000000
81,Other Working Capital,2990000000,3345000000,8286000000,3017000000,3017000000,1376000000
82,Other Non-Cash Items,-4074000000,2388000000,-8110000000,4474000000,2887000000,-3009000000
83,Cash Provided by Operating Activities,-2913000000,-1418000000,-1541000000,-4321000000,-2745000000,-445000000
84,CAPEX,-1635000000,-829000000,-558000000,-588000000,-616000000,-298000000
85,Acquisitions Net,-240000000,- -,-476000000,286000000,-1380000000,-1314000000
86,Purchases of Investments,- -,- -,-30000000,-541000000,-2111000000,-2095000000
87,Sales/Maturities of Investments,- -,- -,- -,2000000,1360000000,2791000000
88,Other Investing Activites,11000000,334000000,369000000,51000000,-122000000,-285000000
89,Cash Used for Investing Activites,-1858000000,-487000000,-695000000,-790000000,-2869000000,-1201000000
90,Debt Repayment,-31000000,-88000000,-599000000,-165000000,-1642000000,-560000000
91,Common Stock Issued,- -,- -,- -,8473000000,125000000,- -
92,Common Stock Repurchased,-90000000,-131000000,-10000000,-74000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6315000000,1234000000,5249000000,705000000,2896000000,2340000000
95,Cash Used/Provided by Financing Activities,6194000000,1015000000,4640000000,8939000000,1379000000,1780000000
96,Effect of Forex Changes on Cash,-25000000,22000000,-119000000,-4000000,-92000000,-69000000
97,Net Change In Cash,1398000000,-998000000,2381000000,3858000000,-4676000000,414000000
98,Cash at the End of Period,6826000000,5828000000,8209000000,12067000000,7391000000,7805000000
99,Cash at the Beginning of Period,5428000000,6826000000,5828000000,8209000000,12067000000,7391000000
100,Free Cash Flow,-4548000000,-2247000000,-2099000000,-4909000000,-3361000000,-743000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1543151/000154315120000010/0001543151-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1543151/000154315122000004/0001543151-22-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1543151/000154315122000008/0001543151-22-000008-index.htm
102,false,,,,,,
